Orthogroup	Syal	Praq
OG0000092	Syal.g_00470	Praq.g_01495, Praq.g_00725
OG0000094	Syal.g_01907	Praq.g_01600
OG0000097	Syal.g_01735, Syal.g_01553	Praq.g_01374
OG0000098	Syal.g_02196	Praq.g_00157
OG0000099	Syal.g_01323	Praq.g_00216
OG0000100	Syal.g_02448	Praq.g_00368
OG0000101	Syal.g_00275	Praq.g_00879
OG0000102	Syal.g_01488	Praq.g_00768
OG0000103	Syal.g_01897, Syal.g_00077	Praq.g_00414
OG0000104	Syal.g_00092	Praq.g_00422
OG0000105	Syal.g_01255	Praq.g_01729
OG0000106	Syal.g_02577	Praq.g_01173
OG0000107	Syal.g_00194	Praq.g_01158
OG0000108	Syal.g_02897	Praq.g_00531
OG0000109	Syal.g_02913	Praq.g_00545
OG0000110	Syal.g_02782	Praq.g_01028
OG0000111	Syal.g_01813	Praq.g_00828
OG0000112	Syal.g_02000	Praq.g_00638
OG0000113	Syal.g_02443	Praq.g_01420
OG0000114	Syal.g_02286	Praq.g_01490
OG0000115	Syal.g_00404	Praq.g_01278
OG0000116	Syal.g_01630	Praq.g_01323
OG0000117	Syal.g_01704	Praq.g_00084
OG0000118	Syal.g_01583	Praq.g_00145
OG0000119	Syal.g_02056	Praq.g_00171
OG0000120	Syal.g_01324	Praq.g_00208
OG0000121	Syal.g_00374	Praq.g_00296
OG0000122	Syal.g_02602	Praq.g_00334
OG0000123	Syal.g_00283	Praq.g_00873
OG0000124	Syal.g_01519	Praq.g_00682
OG0000125	Syal.g_01075	Praq.g_00718
OG0000126	Syal.g_00090	Praq.g_00421
OG0000128	Syal.g_00109	Praq.g_00437
OG0000129	Syal.g_01062	Praq.g_01259
OG0000130	Syal.g_00751	Praq.g_01934
OG0000131	Syal.g_00886	Praq.g_01857
OG0000132	Syal.g_00906	Praq.g_01838
OG0000133	Syal.g_01995	Praq.g_01680
OG0000134	Syal.g_00552	Praq.g_01187
OG0000135	Syal.g_01119	Praq.g_01160
OG0000136	Syal.g_00520	Praq.g_01116
OG0000137	Syal.g_00463	Praq.g_00526
OG0000138	Syal.g_02914	Praq.g_00546
OG0000139	Syal.g_02832	Praq.g_01065
OG0000140	Syal.g_02830	Praq.g_01064
