Orthogroup	Syae	Syat
OG0000102	Syae.g_01824	Syat.g_00974
OG0000104	Syae.g_01708	Syat.g_02385
OG0000105	Syae.g_01977	Syat.g_02052
OG0000106	Syae.g_00272	Syat.g_00957
OG0000107	Syae.g_02032	Syat.g_01862, Syat.g_02009
OG0000108	Syae.g_02309	Syat.g_03170
OG0000110	Syae.g_02435	Syat.g_00049
OG0000111	Syae.g_00783	Syat.g_00816
OG0000112	Syae.g_00351	Syat.g_00593
OG0000113	Syae.g_00494	Syat.g_00509
OG0000114	Syae.g_00575	Syat.g_00426
OG0000115	Syae.g_02631	Syat.g_01328
OG0000116	Syae.g_00939	Syat.g_02641
OG0000117	Syae.g_00647	Syat.g_00224
OG0000118	Syae.g_02479	Syat.g_01168
OG0000119	Syae.g_00904	Syat.g_00309
OG0000120	Syae.g_01912	Syat.g_02132
OG0000121	Syae.g_02649	Syat.g_01223
OG0000123	Syae.g_02131	Syat.g_01653
OG0000124	Syae.g_01809	Syat.g_02231
OG0000125	Syae.g_01573	Syat.g_02684
OG0000126	Syae.g_01706	Syat.g_00976
OG0000128	Syae.g_01724	Syat.g_02331
OG0000129	Syae.g_01562	Syat.g_02693, Syat.g_02694
OG0000130	Syae.g_01284	Syat.g_01469
OG0000131	Syae.g_01428	Syat.g_02898
OG0000132	Syae.g_01447	Syat.g_02864
OG0000133	Syae.g_00356	Syat.g_00588
OG0000134	Syae.g_02222	Syat.g_02956
OG0000135	Syae.g_01608	Syat.g_02501
OG0000136	Syae.g_00989	Syat.g_01292
OG0000137	Syae.g_02530	Syat.g_01371
OG0000138	Syae.g_02325	Syat.g_03188
OG0000139	Syae.g_02380	Syat.g_03276
OG0000140	Syae.g_02383	Syat.g_03280
OG0000141	Syae.g_00016	Syat.g_03398
OG0000142	Syae.g_00074	Syat.g_00117
OG0000143	Syae.g_00078	Syat.g_00130
OG0000144	Syae.g_00261	Syat.g_00369
OG0000145	Syae.g_02331	Syat.g_03202
OG0000146	Syae.g_00350	Syat.g_00594
OG0000147	Syae.g_00349	Syat.g_00595
OG0000148	Syae.g_00500	Syat.g_00503
OG0000149	Syae.g_00847	Syat.g_00747
OG0000150	Syae.g_00017	Syat.g_03399
OG0000151	Syae.g_00563	Syat.g_00801, Syat.g_00440
OG0000152	Syae.g_00360	Syat.g_00578
OG0000153	Syae.g_00394	Syat.g_00542
OG0000154	Syae.g_00420	Syat.g_00708
OG0000155	Syae.g_00885	Syat.g_00287
OG0000156	Syae.g_00945	Syat.g_03228
OG0000157	Syae.g_00946	Syat.g_02012, Syat.g_03227
OG0000158	Syae.g_01858	Syat.g_02163
OG0000160	Syae.g_02650	Syat.g_01224
OG0000161	Syae.g_02644	Syat.g_01180
OG0000162	Syae.g_02638	Syat.g_01281
OG0000163	Syae.g_01092	Syat.g_02979
OG0000165	Syae.g_01021	Syat.g_03033
OG0000166	Syae.g_02085	Syat.g_01822
OG0000167	Syae.g_01874	Syat.g_02148
OG0000168	Syae.g_01856	Syat.g_02164
OG0000169	Syae.g_01841	Syat.g_02192
OG0000170	Syae.g_01834	Syat.g_02201
OG0000171	Syae.g_01810	Syat.g_02230
