Orthogroup	Syae	Syat
OG0000608	Syae.g_00612	Syat.g_00363
OG0000609	Syae.g_00610	Syat.g_00344
OG0000610	Syae.g_00601	Syat.g_00399
OG0000611	Syae.g_00598	Syat.g_00402
OG0000612	Syae.g_00597	Syat.g_00403
OG0000613	Syae.g_01910	Syat.g_02129
OG0000614	Syae.g_00765	Syat.g_01084
OG0000615	Syae.g_00557	Syat.g_00442
OG0000616	Syae.g_01696	Syat.g_02397
OG0000617	Syae.g_00464	Syat.g_00665
OG0000618	Syae.g_00463	Syat.g_00666
OG0000619	Syae.g_00462	Syat.g_00667
OG0000620	Syae.g_00456	Syat.g_02591
OG0000621	Syae.g_00455	Syat.g_02590
OG0000622	Syae.g_00454	Syat.g_02572
OG0000623	Syae.g_00453	Syat.g_00672
OG0000624	Syae.g_00451	Syat.g_00673
OG0000625	Syae.g_00450	Syat.g_00674
OG0000626	Syae.g_00449	Syat.g_00675
OG0000627	Syae.g_00299	Syat.g_00641
OG0000628	Syae.g_00300	Syat.g_00640
OG0000629	Syae.g_00303	Syat.g_00637
OG0000630	Syae.g_00310	Syat.g_00631
OG0000631	Syae.g_00317	Syat.g_00624
OG0000632	Syae.g_00318	Syat.g_00623
OG0000633	Syae.g_00320	Syat.g_00622
OG0000634	Syae.g_00525	Syat.g_00475
OG0000635	Syae.g_00524	Syat.g_00476
OG0000636	Syae.g_00522	Syat.g_00478
OG0000637	Syae.g_00520	Syat.g_00480
OG0000638	Syae.g_00519	Syat.g_00481
OG0000639	Syae.g_00518	Syat.g_00482
OG0000640	Syae.g_00517	Syat.g_00483
OG0000641	Syae.g_00513	Syat.g_00488
OG0000642	Syae.g_00512	Syat.g_00489
OG0000643	Syae.g_00510	Syat.g_00494
OG0000644	Syae.g_00509	Syat.g_00495
OG0000645	Syae.g_00507	Syat.g_00496
OG0000646	Syae.g_00504	Syat.g_00499
OG0000647	Syae.g_00502	Syat.g_00501
OG0000648	Syae.g_00499	Syat.g_00504
OG0000649	Syae.g_00498	Syat.g_00505
OG0000650	Syae.g_00497	Syat.g_00506
OG0000651	Syae.g_00496	Syat.g_00507
OG0000652	Syae.g_00495	Syat.g_00508
OG0000653	Syae.g_00493	Syat.g_00510
OG0000654	Syae.g_00492	Syat.g_00514
OG0000655	Syae.g_00491	Syat.g_00515
OG0000656	Syae.g_00488	Syat.g_00518
OG0000657	Syae.g_00834	Syat.g_00720
OG0000658	Syae.g_00837	Syat.g_00723
OG0000659	Syae.g_00838	Syat.g_00724
OG0000660	Syae.g_00842	Syat.g_00740
OG0000662	Syae.g_00846	Syat.g_00746
OG0000663	Syae.g_00849	Syat.g_00749
OG0000664	Syae.g_00850	Syat.g_00752
OG0000665	Syae.g_00121	Syat.g_03302
OG0000666	Syae.g_00258	Syat.g_01415
OG0000667	Syae.g_02056	Syat.g_00958, Syat.g_03278
OG0000668	Syae.g_00418	Syat.g_00710
OG0000669	Syae.g_00585	Syat.g_00416
OG0000670	Syae.g_00582	Syat.g_00419
OG0000671	Syae.g_00580	Syat.g_00421
OG0000672	Syae.g_00577	Syat.g_00424
OG0000673	Syae.g_00574	Syat.g_00430
OG0000674	Syae.g_00572	Syat.g_00432
OG0000675	Syae.g_00571	Syat.g_00433
OG0000676	Syae.g_00569	Syat.g_00436
OG0000677	Syae.g_00568	Syat.g_00437
OG0000678	Syae.g_00564	Syat.g_00439
OG0000679	Syae.g_00555	Syat.g_00448
OG0000680	Syae.g_00554	Syat.g_00449
OG0000681	Syae.g_00551	Syat.g_00452
OG0000682	Syae.g_00550	Syat.g_00453
OG0000683	Syae.g_00549	Syat.g_00454
OG0000684	Syae.g_00545	Syat.g_00457
OG0000685	Syae.g_00543	Syat.g_02571
OG0000686	Syae.g_00542	Syat.g_00459
OG0000687	Syae.g_00541	Syat.g_00460
OG0000688	Syae.g_00536	Syat.g_00463
OG0000689	Syae.g_00534	Syat.g_00465
OG0000690	Syae.g_00533	Syat.g_00466
OG0000691	Syae.g_00532	Syat.g_00467
OG0000692	Syae.g_00531	Syat.g_00469
OG0000693	Syae.g_00529	Syat.g_00471
OG0000694	Syae.g_00528	Syat.g_00472
OG0000695	Syae.g_00322	Syat.g_00619
OG0000696	Syae.g_00323	Syat.g_00618
OG0000697	Syae.g_00325	Syat.g_00616
OG0000698	Syae.g_00328	Syat.g_00613
OG0000699	Syae.g_00330	Syat.g_00611
OG0000700	Syae.g_00331	Syat.g_00610
OG0000701	Syae.g_00332	Syat.g_00609
OG0000702	Syae.g_00341	Syat.g_00606
OG0000703	Syae.g_00342	Syat.g_00601
OG0000704	Syae.g_00345	Syat.g_00599
OG0000705	Syae.g_00352	Syat.g_00592
OG0000706	Syae.g_00353	Syat.g_00591
OG0000707	Syae.g_00354	Syat.g_00590
OG0000708	Syae.g_00357	Syat.g_00587
OG0000709	Syae.g_00365	Syat.g_00573
OG0000710	Syae.g_00369	Syat.g_00567
OG0000711	Syae.g_00398	Syat.g_00539
OG0000712	Syae.g_00400	Syat.g_00537
OG0000713	Syae.g_00401	Syat.g_00536
OG0000714	Syae.g_00403	Syat.g_00532
OG0000715	Syae.g_00405	Syat.g_00530
OG0000716	Syae.g_00409	Syat.g_00527
OG0000717	Syae.g_00410	Syat.g_00526
OG0000718	Syae.g_00414	Syat.g_00522
OG0000719	Syae.g_00416	Syat.g_00712
OG0000720	Syae.g_00429	Syat.g_00699
OG0000721	Syae.g_00431	Syat.g_00697
OG0000722	Syae.g_00432	Syat.g_00696
OG0000723	Syae.g_00445	Syat.g_00686
OG0000724	Syae.g_00799	Syat.g_00782
OG0000725	Syae.g_00789	Syat.g_00810
OG0000726	Syae.g_00788	Syat.g_00811
OG0000727	Syae.g_00787	Syat.g_00812
OG0000728	Syae.g_00785	Syat.g_00814
OG0000729	Syae.g_01819	Syat.g_02224
OG0000730	Syae.g_02189	Syat.g_01617
OG0000731	Syae.g_02201	Syat.g_01605
OG0000732	Syae.g_01764	Syat.g_02290
OG0000733	Syae.g_01599	Syat.g_03285
OG0000734	Syae.g_01371	Syat.g_01579
OG0000735	Syae.g_00942	Syat.g_03235
OG0000736	Syae.g_00941	Syat.g_03236
OG0000737	Syae.g_00940	Syat.g_03237
OG0000738	Syae.g_00935	Syat.g_03251
OG0000739	Syae.g_00928	Syat.g_03252
OG0000740	Syae.g_00927	Syat.g_03253
OG0000741	Syae.g_00924	Syat.g_03256
OG0000742	Syae.g_00922	Syat.g_03259
OG0000743	Syae.g_00920	Syat.g_03262
OG0000744	Syae.g_00919	Syat.g_03263
OG0000745	Syae.g_00917	Syat.g_03266
OG0000746	Syae.g_00915	Syat.g_00314
OG0000747	Syae.g_00914	Syat.g_00313
OG0000748	Syae.g_00902	Syat.g_00305
OG0000749	Syae.g_00900	Syat.g_00303
OG0000750	Syae.g_00899	Syat.g_00302
OG0000751	Syae.g_00892	Syat.g_00296
OG0000752	Syae.g_00890	Syat.g_00294
OG0000753	Syae.g_00887	Syat.g_00291
OG0000754	Syae.g_00641	Syat.g_00250
OG0000755	Syae.g_00651	Syat.g_00217
OG0000756	Syae.g_00652	Syat.g_00216
OG0000757	Syae.g_00661	Syat.g_00205
OG0000758	Syae.g_00662	Syat.g_00204
OG0000759	Syae.g_00663	Syat.g_00203
OG0000760	Syae.g_00664	Syat.g_00202
OG0000761	Syae.g_00668	Syat.g_00201
OG0000762	Syae.g_00672	Syat.g_00199
OG0000763	Syae.g_00676	Syat.g_00924
OG0000764	Syae.g_00677	Syat.g_00923
OG0000765	Syae.g_00695	Syat.g_00897
OG0000766	Syae.g_00696	Syat.g_00896
OG0000767	Syae.g_00698	Syat.g_00894
OG0000768	Syae.g_00699	Syat.g_00893
OG0000769	Syae.g_00701	Syat.g_00891
OG0000770	Syae.g_00704	Syat.g_00886
OG0000771	Syae.g_00805	Syat.g_00788
OG0000772	Syae.g_00168	Syat.g_01768
OG0000773	Syae.g_00947	Syat.g_01114
OG0000774	Syae.g_00951	Syat.g_01146
OG0000775	Syae.g_00954	Syat.g_01148
OG0000776	Syae.g_00955	Syat.g_01149
OG0000777	Syae.g_00956	Syat.g_01150
OG0000778	Syae.g_00957	Syat.g_01151
OG0000779	Syae.g_00963	Syat.g_01154
OG0000780	Syae.g_00967	Syat.g_01157
OG0000781	Syae.g_00971	Syat.g_01161
OG0000782	Syae.g_00972	Syat.g_01162
OG0000783	Syae.g_00973	Syat.g_01163
OG0000784	Syae.g_00974	Syat.g_01164
OG0000785	Syae.g_00976	Syat.g_01166
OG0000786	Syae.g_02477	Syat.g_01170
OG0000787	Syae.g_02476	Syat.g_01171
OG0000788	Syae.g_00087	Syat.g_00087
OG0000789	Syae.g_00281	Syat.g_00845
OG0000790	Syae.g_02294	Syat.g_01300
OG0000791	Syae.g_02292	Syat.g_01302
OG0000792	Syae.g_02291	Syat.g_01303
OG0000793	Syae.g_02286	Syat.g_01412
OG0000794	Syae.g_02285	Syat.g_01414
OG0000795	Syae.g_02284	Syat.g_01416
OG0000796	Syae.g_02280	Syat.g_01422
OG0000797	Syae.g_02279	Syat.g_01423
OG0000798	Syae.g_01972	Syat.g_02057
OG0000798	Syae.g_01205	Syat.g_01214
OG0000799	Syae.g_00010	Syat.g_01256
OG0000800	Syae.g_00009	Syat.g_01255
OG0000801	Syae.g_00008	Syat.g_01253
OG0000802	Syae.g_02686	Syat.g_01245
OG0000803	Syae.g_02680	Syat.g_01241
OG0000804	Syae.g_02677	Syat.g_01238
OG0000805	Syae.g_02663	Syat.g_01236
OG0000806	Syae.g_02661	Syat.g_01234
OG0000807	Syae.g_02659	Syat.g_01233
OG0000808	Syae.g_02658	Syat.g_01232
OG0000809	Syae.g_02655	Syat.g_01229
OG0000810	Syae.g_02654	Syat.g_01228
OG0000811	Syae.g_02648	Syat.g_01186
OG0000812	Syae.g_02646	Syat.g_01182
OG0000813	Syae.g_02645	Syat.g_01181
OG0000814	Syae.g_02643	Syat.g_01179
OG0000815	Syae.g_02642	Syat.g_01177
OG0000816	Syae.g_02641	Syat.g_01175
OG0000817	Syae.g_02640	Syat.g_01279
OG0000818	Syae.g_02634	Syat.g_01325
OG0000819	Syae.g_02633	Syat.g_01326
OG0000820	Syae.g_02632	Syat.g_01327
OG0000821	Syae.g_02626	Syat.g_01333
OG0000822	Syae.g_02624	Syat.g_01335
OG0000823	Syae.g_02623	Syat.g_01336
OG0000824	Syae.g_02617	Syat.g_01342
OG0000825	Syae.g_02616	Syat.g_01343
OG0000826	Syae.g_02615	Syat.g_01344
OG0000827	Syae.g_02614	Syat.g_01345
OG0000828	Syae.g_02612	Syat.g_01348
OG0000829	Syae.g_02611	Syat.g_01349
OG0000830	Syae.g_02610	Syat.g_01350
OG0000831	Syae.g_02608	Syat.g_01353
OG0000832	Syae.g_01081	Syat.g_02982
OG0000833	Syae.g_01106	Syat.g_03072
OG0000834	Syae.g_01108	Syat.g_03073
OG0000835	Syae.g_01109	Syat.g_03075
OG0000836	Syae.g_01113	Syat.g_03078
OG0000837	Syae.g_01115	Syat.g_03079
OG0000838	Syae.g_01119	Syat.g_03083
OG0000839	Syae.g_01120	Syat.g_03084
OG0000840	Syae.g_01121	Syat.g_03085
OG0000841	Syae.g_01122	Syat.g_03086
OG0000842	Syae.g_01123	Syat.g_03087
OG0000843	Syae.g_01124	Syat.g_03088
OG0000844	Syae.g_01125	Syat.g_03090
OG0000845	Syae.g_01126	Syat.g_03091
OG0000846	Syae.g_01127	Syat.g_03092
OG0000847	Syae.g_01128	Syat.g_03093
OG0000848	Syae.g_01130	Syat.g_03095
OG0000849	Syae.g_01131	Syat.g_03096
OG0000850	Syae.g_01133	Syat.g_03098
OG0000851	Syae.g_01139	Syat.g_03101
OG0000852	Syae.g_01140	Syat.g_03102
OG0000853	Syae.g_01144	Syat.g_03106
OG0000854	Syae.g_01146	Syat.g_03108
OG0000855	Syae.g_01147	Syat.g_03109
OG0000856	Syae.g_00059	Syat.g_03305
OG0000857	Syae.g_00503	Syat.g_00500
OG0000858	Syae.g_01153	Syat.g_03114
OG0000859	Syae.g_01154	Syat.g_03115
OG0000860	Syae.g_01165	Syat.g_03126
OG0000861	Syae.g_01166	Syat.g_03127
OG0000862	Syae.g_01167	Syat.g_03136
OG0000863	Syae.g_01170	Syat.g_03138
OG0000864	Syae.g_01171	Syat.g_03139
OG0000865	Syae.g_01172	Syat.g_03140
OG0000866	Syae.g_01173	Syat.g_03141
OG0000867	Syae.g_01174	Syat.g_03142
OG0000868	Syae.g_01177	Syat.g_03067
OG0000869	Syae.g_01182	Syat.g_03054
OG0000870	Syae.g_01187	Syat.g_03049
OG0000871	Syae.g_01188	Syat.g_03048
OG0000872	Syae.g_01196	Syat.g_03042
OG0000873	Syae.g_01199	Syat.g_03039
OG0000874	Syae.g_01194	Syat.g_03037
OG0000875	Syae.g_01244	Syat.g_03035
OG0000876	Syae.g_01020	Syat.g_00745
OG0000877	Syae.g_01025	Syat.g_03024
OG0000878	Syae.g_01026	Syat.g_03023
OG0000879	Syae.g_01027	Syat.g_03022
OG0000880	Syae.g_01028	Syat.g_03021
OG0000881	Syae.g_01034	Syat.g_03016
OG0000882	Syae.g_01039	Syat.g_03011
OG0000883	Syae.g_01041	Syat.g_03007
OG0000884	Syae.g_01043	Syat.g_03005
OG0000885	Syae.g_01044	Syat.g_03004
OG0000886	Syae.g_01045	Syat.g_03003
OG0000887	Syae.g_01046	Syat.g_03002
OG0000888	Syae.g_01048	Syat.g_03000
OG0000889	Syae.g_01050	Syat.g_02997
OG0000890	Syae.g_01056	Syat.g_02994
OG0000891	Syae.g_01057	Syat.g_02993
OG0000892	Syae.g_01059	Syat.g_02992
OG0000893	Syae.g_02031	Syat.g_01864
OG0000894	Syae.g_02034	Syat.g_01860
OG0000895	Syae.g_02038	Syat.g_01856
OG0000896	Syae.g_02039	Syat.g_01855
OG0000897	Syae.g_02041	Syat.g_01853
OG0000898	Syae.g_02042	Syat.g_01852
OG0000899	Syae.g_02043	Syat.g_01851
OG0000900	Syae.g_02044	Syat.g_01850
OG0000901	Syae.g_02049	Syat.g_01845
OG0000902	Syae.g_02051	Syat.g_01843
OG0000903	Syae.g_02077	Syat.g_01830
OG0000904	Syae.g_02071	Syat.g_01834
OG0000905	Syae.g_02065	Syat.g_01839
OG0000906	Syae.g_02063	Syat.g_01841
OG0000907	Syae.g_02079	Syat.g_01828
OG0000908	Syae.g_02082	Syat.g_01825
OG0000909	Syae.g_02083	Syat.g_01824
OG0000910	Syae.g_02084	Syat.g_01823
OG0000911	Syae.g_02086	Syat.g_01821
OG0000912	Syae.g_02087	Syat.g_01820
OG0000913	Syae.g_02088	Syat.g_01819
OG0000914	Syae.g_02089	Syat.g_01818
OG0000915	Syae.g_02091	Syat.g_01816
OG0000916	Syae.g_02092	Syat.g_01815
OG0000917	Syae.g_02093	Syat.g_01814
OG0000918	Syae.g_02094	Syat.g_01813
OG0000919	Syae.g_02095	Syat.g_01812
OG0000920	Syae.g_02096	Syat.g_01811
OG0000921	Syae.g_02097	Syat.g_01810
OG0000922	Syae.g_02098	Syat.g_01809
OG0000923	Syae.g_02102	Syat.g_01805
OG0000924	Syae.g_02103	Syat.g_01804
OG0000925	Syae.g_02104	Syat.g_01803
OG0000926	Syae.g_02105	Syat.g_01802
OG0000927	Syae.g_02107	Syat.g_01800
OG0000928	Syae.g_02108	Syat.g_01799
OG0000929	Syae.g_02109	Syat.g_01798
OG0000930	Syae.g_02110	Syat.g_01797
OG0000931	Syae.g_02111	Syat.g_01796
OG0000932	Syae.g_02112	Syat.g_01794
OG0000933	Syae.g_02118	Syat.g_01788
OG0000934	Syae.g_02120	Syat.g_01786
OG0000935	Syae.g_02121	Syat.g_01665
OG0000936	Syae.g_02122	Syat.g_01664
OG0000937	Syae.g_02123	Syat.g_01663
OG0000938	Syae.g_02126	Syat.g_01659
OG0000939	Syae.g_02127	Syat.g_01658
OG0000940	Syae.g_02133	Syat.g_01651
OG0000941	Syae.g_02135	Syat.g_01649
OG0000942	Syae.g_02137	Syat.g_01647
OG0000943	Syae.g_02138	Syat.g_01646
OG0000944	Syae.g_02140	Syat.g_01644
OG0000945	Syae.g_02142	Syat.g_01643
OG0000946	Syae.g_02146	Syat.g_01633
OG0000947	Syae.g_02149	Syat.g_01630
OG0000948	Syae.g_02150	Syat.g_01629
OG0000949	Syae.g_01884	Syat.g_02142
OG0000950	Syae.g_01873	Syat.g_02152
OG0000951	Syae.g_01866	Syat.g_02157
OG0000952	Syae.g_01859	Syat.g_02162
OG0000953	Syae.g_01854	Syat.g_02166
OG0000954	Syae.g_01845	Syat.g_02187
OG0000955	Syae.g_01844	Syat.g_02188
OG0000956	Syae.g_01842	Syat.g_02191
OG0000957	Syae.g_01831	Syat.g_02204
OG0000958	Syae.g_01830	Syat.g_02205
OG0000959	Syae.g_01826	Syat.g_02212
OG0000960	Syae.g_01825	Syat.g_02213
OG0000961	Syae.g_01822	Syat.g_02873
OG0000962	Syae.g_01820	Syat.g_02223
OG0000963	Syae.g_01814	Syat.g_02226
OG0000964	Syae.g_01813	Syat.g_02227
OG0000965	Syae.g_01812	Syat.g_02228
OG0000966	Syae.g_01789	Syat.g_02259
OG0000967	Syae.g_01782	Syat.g_02263
OG0000968	Syae.g_01787	Syat.g_02269
OG0000969	Syae.g_01785	Syat.g_02271
OG0000970	Syae.g_01784	Syat.g_02272
OG0000971	Syae.g_01779	Syat.g_02274
OG0000972	Syae.g_01778	Syat.g_02275
OG0000973	Syae.g_01777	Syat.g_02276
OG0000974	Syae.g_01776	Syat.g_02277
OG0000975	Syae.g_01775	Syat.g_02278
OG0000976	Syae.g_01774	Syat.g_02279
OG0000977	Syae.g_01772	Syat.g_02281
OG0000978	Syae.g_01771	Syat.g_02283
OG0000979	Syae.g_01768	Syat.g_02286
OG0000980	Syae.g_01765	Syat.g_02289
OG0000981	Syae.g_01762	Syat.g_02292
OG0000982	Syae.g_01568	Syat.g_02691
OG0000983	Syae.g_01569	Syat.g_02690
OG0000984	Syae.g_01570	Syat.g_02689
OG0000985	Syae.g_01572	Syat.g_02685
OG0000986	Syae.g_01575	Syat.g_02680
OG0000987	Syae.g_01577	Syat.g_02678
OG0000988	Syae.g_01583	Syat.g_02672
OG0000989	Syae.g_01591	Syat.g_02657
OG0000990	Syae.g_01606	Syat.g_02500
OG0000991	Syae.g_01609	Syat.g_02503
OG0000992	Syae.g_01612	Syat.g_02507
OG0000993	Syae.g_01613	Syat.g_02508
OG0000994	Syae.g_01616	Syat.g_02512
OG0000995	Syae.g_01627	Syat.g_02517
OG0000996	Syae.g_01667	Syat.g_02446
OG0000997	Syae.g_01678	Syat.g_02417
OG0000998	Syae.g_01680	Syat.g_02415
OG0000999	Syae.g_01683	Syat.g_02414
OG0001001	Syae.g_01692	Syat.g_02400
OG0001002	Syae.g_01699	Syat.g_02394
OG0001003	Syae.g_01701	Syat.g_02392
OG0001004	Syae.g_01702	Syat.g_02391
OG0001005	Syae.g_01703	Syat.g_02390
OG0001006	Syae.g_01710	Syat.g_02378
OG0001007	Syae.g_01712	Syat.g_02376
OG0001008	Syae.g_00993	Syat.g_02971
OG0001009	Syae.g_01744	Syat.g_02311
OG0001010	Syae.g_01745	Syat.g_02310
OG0001011	Syae.g_01747	Syat.g_02308
OG0001012	Syae.g_01564	Syat.g_01004
OG0001013	Syae.g_01552	Syat.g_02716
OG0001014	Syae.g_01548	Syat.g_02721
OG0001015	Syae.g_01547	Syat.g_02722
OG0001016	Syae.g_01290	Syat.g_01474
OG0001017	Syae.g_01296	Syat.g_01480
OG0001018	Syae.g_01298	Syat.g_01482
OG0001019	Syae.g_01334	Syat.g_01532
OG0001020	Syae.g_01340	Syat.g_01539
OG0001021	Syae.g_01344	Syat.g_01552
OG0001022	Syae.g_01348	Syat.g_01555
OG0001023	Syae.g_01349	Syat.g_01556
OG0001024	Syae.g_01353	Syat.g_01560
OG0001025	Syae.g_01360	Syat.g_01566
OG0001026	Syae.g_01373	Syat.g_01582
OG0001027	Syae.g_01377	Syat.g_02947
OG0001028	Syae.g_01379	Syat.g_02944
OG0001029	Syae.g_01381	Syat.g_02942
OG0001030	Syae.g_01403	Syat.g_02922
OG0001031	Syae.g_01475	Syat.g_02836
OG0001032	Syae.g_01479	Syat.g_02834
OG0001033	Syae.g_01505	Syat.g_02784
OG0001034	Syae.g_02238	Syat.g_01448
OG0001035	Syae.g_02006	Syat.g_01885
OG0001036	Syae.g_02001	Syat.g_01939
OG0001037	Syae.g_01999	Syat.g_01941
OG0001038	Syae.g_01971	Syat.g_02058
OG0001039	Syae.g_01968	Syat.g_02061
OG0001040	Syae.g_01965	Syat.g_02064
OG0001041	Syae.g_01960	Syat.g_02070
OG0001042	Syae.g_01935	Syat.g_02100
OG0001043	Syae.g_01931	Syat.g_02103
OG0001044	Syae.g_02191	Syat.g_01615
OG0001045	Syae.g_02204	Syat.g_01602
OG0001046	Syae.g_00385	Syat.g_00552
OG0001047	Syae.g_00991	Syat.g_02973
OG0001048	Syae.g_00990	Syat.g_02974
OG0001049	Syae.g_00987	Syat.g_01290
OG0001050	Syae.g_00986	Syat.g_01289
OG0001051	Syae.g_00985	Syat.g_01288
OG0001052	Syae.g_02526	Syat.g_01375
OG0001053	Syae.g_02312	Syat.g_03173
OG0001054	Syae.g_02329	Syat.g_03192
OG0001055	Syae.g_02350	Syat.g_03224
OG0001056	Syae.g_02379	Syat.g_03275
OG0001057	Syae.g_02388	Syat.g_00102
OG0001058	Syae.g_02402	Syat.g_00079
OG0001059	Syae.g_02406	Syat.g_00075
OG0001061	Syae.g_02434	Syat.g_00051
OG0001062	Syae.g_02436	Syat.g_00048
OG0001063	Syae.g_02440	Syat.g_00042
OG0001064	Syae.g_02441	Syat.g_00041
OG0001065	Syae.g_02442	Syat.g_00040
OG0001066	Syae.g_02443	Syat.g_00039
OG0001067	Syae.g_02444	Syat.g_00038
OG0001068	Syae.g_02445	Syat.g_00037
OG0001069	Syae.g_02446	Syat.g_00036
OG0001070	Syae.g_02449	Syat.g_00032
OG0001071	Syae.g_02450	Syat.g_00031
OG0001072	Syae.g_02454	Syat.g_00028
OG0001073	Syae.g_02468	Syat.g_00009
OG0001074	Syae.g_00027	Syat.g_01015
OG0001075	Syae.g_00029	Syat.g_01037
OG0001076	Syae.g_00050	Syat.g_03315
OG0001077	Syae.g_00061	Syat.g_03290
OG0001078	Syae.g_00075	Syat.g_00118
OG0001079	Syae.g_00088	Syat.g_00378
OG0001080	Syae.g_00267	Syat.g_00368
OG0001081	Syae.g_00615	Syat.g_00366
OG0001082	Syae.g_00614	Syat.g_00365
OG0001083	Syae.g_00605	Syat.g_00390
OG0001084	Syae.g_00604	Syat.g_00391
OG0001085	Syae.g_00594	Syat.g_00408
OG0001086	Syae.g_00592	Syat.g_00410
OG0001087	Syae.g_00751	Syat.g_03277
OG0001088	Syae.g_00755	Syat.g_02496
OG0001089	Syae.g_00781	Syat.g_00818
OG0001090	Syae.g_00471	Syat.g_00659
OG0001091	Syae.g_00469	Syat.g_00661
OG0001092	Syae.g_00466	Syat.g_00663
OG0001093	Syae.g_00460	Syat.g_00669
OG0001094	Syae.g_00527	Syat.g_00473
OG0001095	Syae.g_00506	Syat.g_00497
OG0001096	Syae.g_00490	Syat.g_00516
OG0001097	Syae.g_00845	Syat.g_00743
OG0001098	Syae.g_00269	Syat.g_01672
OG0001099	Syae.g_01380	Syat.g_02943
OG0001100	Syae.g_00583	Syat.g_00418
OG0001101	Syae.g_00581	Syat.g_00420
OG0001102	Syae.g_00578	Syat.g_00423
OG0001103	Syae.g_00576	Syat.g_00425
OG0001104	Syae.g_00544	Syat.g_00458
OG0001105	Syae.g_00540	Syat.g_00461
OG0001106	Syae.g_00346	Syat.g_00598
OG0001107	Syae.g_00358	Syat.g_00580
OG0001108	Syae.g_00366	Syat.g_00570
OG0001109	Syae.g_00368	Syat.g_00568
OG0001110	Syae.g_00370	Syat.g_00566
OG0001111	Syae.g_00372	Syat.g_00564
OG0001112	Syae.g_00374	Syat.g_00562
OG0001113	Syae.g_00375	Syat.g_00561
OG0001114	Syae.g_00376	Syat.g_00560
OG0001115	Syae.g_00380	Syat.g_00557
OG0001116	Syae.g_00382	Syat.g_00555
OG0001117	Syae.g_00383	Syat.g_00554
OG0001118	Syae.g_00384	Syat.g_00553
OG0001119	Syae.g_00386	Syat.g_00551
OG0001120	Syae.g_00390	Syat.g_00546
OG0001122	Syae.g_00417	Syat.g_00711
OG0001123	Syae.g_00424	Syat.g_00704
OG0001124	Syae.g_00426	Syat.g_00702
OG0001125	Syae.g_00428	Syat.g_00700
OG0001126	Syae.g_00807	Syat.g_00790
OG0001127	Syae.g_00806	Syat.g_00789
OG0001128	Syae.g_00803	Syat.g_00786
OG0001129	Syae.g_00801	Syat.g_00784
OG0001130	Syae.g_00800	Syat.g_00783
OG0001131	Syae.g_00562	Syat.g_01674
OG0001132	Syae.g_00242	Syat.g_00965
OG0001133	Syae.g_00053	Syat.g_03311
OG0001136	Syae.g_00923	Syat.g_03257
OG0001137	Syae.g_00903	Syat.g_00306
OG0001138	Syae.g_00654	Syat.g_00214
OG0001139	Syae.g_00656	Syat.g_00209
OG0001140	Syae.g_00657	Syat.g_00208
OG0001141	Syae.g_00658	Syat.g_00207
OG0001142	Syae.g_00660	Syat.g_00206
OG0001143	Syae.g_00673	Syat.g_00925
OG0001144	Syae.g_00684	Syat.g_00906
OG0001145	Syae.g_00948	Syat.g_01117
OG0001146	Syae.g_00968	Syat.g_01158
OG0001147	Syae.g_02536	Syat.g_01368
OG0001148	Syae.g_02297	Syat.g_01297
OG0001149	Syae.g_02296	Syat.g_01298
OG0001150	Syae.g_02295	Syat.g_01299
OG0001151	Syae.g_02282	Syat.g_01420
OG0001152	Syae.g_02281	Syat.g_01421
OG0001153	Syae.g_02613	Syat.g_01346
OG0001155	Syae.g_01083	Syat.g_02774
OG0001156	Syae.g_01093	Syat.g_02978
OG0001157	Syae.g_01094	Syat.g_02977
OG0001158	Syae.g_01100	Syat.g_02976
OG0001159	Syae.g_01103	Syat.g_02975
OG0001160	Syae.g_01142	Syat.g_03104
OG0001161	Syae.g_01597	Syat.g_02384
OG0001162	Syae.g_00487	Syat.g_01528
OG0001163	Syae.g_01150	Syat.g_03112
OG0001164	Syae.g_01156	Syat.g_03116
OG0001165	Syae.g_01161	Syat.g_03121
OG0001166	Syae.g_01186	Syat.g_03050
OG0001167	Syae.g_01031	Syat.g_03019
OG0001168	Syae.g_01033	Syat.g_03017
OG0001169	Syae.g_01035	Syat.g_03015
OG0001170	Syae.g_01037	Syat.g_03013
OG0001171	Syae.g_01047	Syat.g_03001
OG0001172	Syae.g_02036	Syat.g_01858
OG0001173	Syae.g_02037	Syat.g_01857
OG0001174	Syae.g_02045	Syat.g_01849
OG0001175	Syae.g_02046	Syat.g_01848
OG0001176	Syae.g_02076	Syat.g_01831
OG0001178	Syae.g_01168	Syat.g_03137
OG0001180	Syae.g_02130	Syat.g_01654
OG0001181	Syae.g_02134	Syat.g_01650
OG0001182	Syae.g_02143	Syat.g_01642
OG0001183	Syae.g_02147	Syat.g_01632
OG0001184	Syae.g_01862	Syat.g_02160
OG0001185	Syae.g_01835	Syat.g_02200
OG0001188	Syae.g_01783	Syat.g_02261
OG0001189	Syae.g_01767	Syat.g_02287
OG0001190	Syae.g_01567	Syat.g_02692
OG0001191	Syae.g_01580	Syat.g_02675
OG0001192	Syae.g_01587	Syat.g_02663
OG0001193	Syae.g_01617	Syat.g_02513
OG0001194	Syae.g_01625	Syat.g_02515
OG0001195	Syae.g_01626	Syat.g_02516
OG0001196	Syae.g_01695	Syat.g_02398
OG0001197	Syae.g_01697	Syat.g_02396
OG0001199	Syae.g_01291	Syat.g_01475
OG0001200	Syae.g_01293	Syat.g_01477
