Orthogroup	Prat	Syai
OG0000111	Prat.g_00776	Syai.g_00884
OG0000112	Prat.g_00888	Syai.g_01512
OG0000113	Prat.g_01014	Syai.g_01367
OG0000114	Prat.g_00716	Syai.g_01261
OG0000115	Prat.g_01373	Syai.g_00932
OG0000116	Prat.g_01166	Syai.g_02156
OG0000117	Prat.g_01129	Syai.g_01756
OG0000118	Prat.g_01261	Syai.g_00818
OG0000119	Prat.g_00647, Prat.g_01452	Syai.g_02127
OG0000120	Prat.g_00344	Syai.g_00198
OG0000121	Prat.g_01355	Syai.g_00951
OG0000122	Prat.g_00781, Prat.g_01398	Syai.g_01143
OG0000123	Prat.g_01733	Syai.g_00411
OG0000124	Prat.g_01805	Syai.g_00089
OG0000125	Prat.g_01841	Syai.g_02782
OG0000126	Prat.g_01888	Syai.g_02927
OG0000128	Prat.g_00012, Prat.g_00011	Syai.g_00012
OG0000129	Prat.g_00047	Syai.g_02771
OG0000130	Prat.g_00066	Syai.g_02474
OG0000131	Prat.g_00144	Syai.g_02608
OG0000132	Prat.g_00164	Syai.g_02628
OG0000133	Prat.g_00329	Syai.g_01507
OG0000134	Prat.g_00372	Syai.g_00520
OG0000135	Prat.g_01477	Syai.g_02826
OG0000136	Prat.g_00401	Syai.g_02217
OG0000137	Prat.g_00434	Syai.g_00865
OG0000138	Prat.g_00456	Syai.g_00654
OG0000139	Prat.g_00499	Syai.g_00714
OG0000140	Prat.g_00500	Syai.g_00716
OG0000141	Prat.g_00570	Syai.g_01041
OG0000142	Prat.g_01090	Syai.g_01104
OG0000143	Prat.g_01086	Syai.g_01108
OG0000144	Prat.g_01072	Syai.g_01608
OG0000145	Prat.g_01472	Syai.g_00660
OG0000146	Prat.g_00887	Syai.g_01513
OG0000147	Prat.g_00886	Syai.g_01514
OG0000148	Prat.g_01020	Syai.g_01361
OG0000149	Prat.g_00991	Syai.g_02059
OG0000150	Prat.g_00981	Syai.g_00717
OG0000151	Prat.g_00726	Syai.g_01280
OG0000152	Prat.g_00896, Prat.g_01277	Syai.g_01503
OG0000153	Prat.g_00915	Syai.g_01461
OG0000154	Prat.g_00934	Syai.g_01434
OG0000155	Prat.g_01135	Syai.g_02109
OG0000156	Prat.g_01238	Syai.g_02162
OG0000157	Prat.g_01239	Syai.g_02163
OG0000158	Prat.g_01769	Syai.g_00135
OG0000160	Prat.g_01354	Syai.g_00952
OG0000161	Prat.g_01360	Syai.g_00946
OG0000162	Prat.g_01366	Syai.g_00939
OG0000163	Prat.g_01409	Syai.g_02300
OG0000164	Prat.g_01615	Syai.g_02411
OG0000165	Prat.g_01623	Syai.g_02244
OG0000166	Prat.g_01690	Syai.g_00364
OG0000167	Prat.g_01759	Syai.g_00164
OG0000168	Prat.g_01770	Syai.g_00134
OG0000169	Prat.g_01781	Syai.g_00123
OG0000170	Prat.g_01784	Syai.g_00116
OG0000171	Prat.g_01804	Syai.g_00090
OG0000172	Prat.g_01811	Syai.g_00083
OG0000173	Prat.g_01826	Syai.g_00064
OG0000174	Prat.g_01858	Syai.g_02828
OG0000175	Prat.g_01870	Syai.g_02901
OG0000176	Prat.g_00004	Syai.g_00004
OG0000177	Prat.g_00005	Syai.g_00005
OG0000178	Prat.g_00006	Syai.g_00006
OG0000179	Prat.g_00017	Syai.g_00023
OG0000180	Prat.g_00018	Syai.g_00024
OG0000181	Prat.g_00019	Syai.g_00025
OG0000182	Prat.g_00020	Syai.g_00026
OG0000183	Prat.g_01314, Prat.g_00024	Syai.g_00030
OG0000184	Prat.g_00051	Syai.g_02756
OG0000185	Prat.g_00054	Syai.g_02734
OG0000186	Prat.g_00060	Syai.g_02469
OG0000187	Prat.g_00061	Syai.g_02471
OG0000188	Prat.g_00080	Syai.g_02494
OG0000189	Prat.g_00093	Syai.g_02530
OG0000190	Prat.g_00094	Syai.g_02532
OG0000191	Prat.g_00116	Syai.g_02562
OG0000192	Prat.g_00121	Syai.g_02569
OG0000193	Prat.g_00145	Syai.g_02609
OG0000194	Prat.g_00148	Syai.g_02612
OG0000195	Prat.g_00150	Syai.g_02614
OG0000196	Prat.g_00161	Syai.g_02625
OG0000197	Prat.g_00162	Syai.g_02626
OG0000198	Prat.g_00163	Syai.g_02627
OG0000199	Prat.g_00171	Syai.g_02635
OG0000200	Prat.g_00185	Syai.g_02651
OG0000202	Prat.g_00195	Syai.g_02668
OG0000203	Prat.g_00196	Syai.g_02669
OG0000204	Prat.g_00197	Syai.g_02670
OG0000205	Prat.g_00204	Syai.g_02677
OG0000206	Prat.g_00209	Syai.g_02684
OG0000207	Prat.g_00211	Syai.g_02686
OG0000208	Prat.g_00212	Syai.g_02687
OG0000209	Prat.g_00221	Syai.g_02699
OG0000210	Prat.g_00222	Syai.g_02700
OG0000211	Prat.g_00238	Syai.g_00533
OG0000212	Prat.g_00246	Syai.g_00544
OG0000213	Prat.g_00264	Syai.g_00292
OG0000214	Prat.g_00274	Syai.g_00276
OG0000215	Prat.g_00300	Syai.g_00245
OG0000216	Prat.g_00302	Syai.g_00241
OG0000217	Prat.g_00305	Syai.g_00237
OG0000218	Prat.g_00307	Syai.g_00235
OG0000219	Prat.g_00308	Syai.g_00234
OG0000220	Prat.g_00309	Syai.g_00233
OG0000221	Prat.g_00310	Syai.g_00227
OG0000222	Prat.g_00317	Syai.g_00215
OG0000223	Prat.g_00330	Syai.g_00194
OG0000224	Prat.g_00332	Syai.g_00186
OG0000225	Prat.g_00360	Syai.g_00502
OG0000226	Prat.g_00364	Syai.g_00506
OG0000227	Prat.g_00366	Syai.g_00508
OG0000228	Prat.g_00369	Syai.g_00516
OG0000229	Prat.g_00396	Syai.g_02228
OG0000230	Prat.g_00398	Syai.g_02226
OG0000231	Prat.g_00411	Syai.g_02208
OG0000232	Prat.g_00419	Syai.g_00846
OG0000233	Prat.g_00426	Syai.g_00855
OG0000234	Prat.g_00435	Syai.g_00866
OG0000235	Prat.g_00439	Syai.g_00637
OG0000236	Prat.g_00454	Syai.g_00652
OG0000237	Prat.g_00469	Syai.g_00669
