Orthogroup	Prat	Syai
OG0000582	Prat.g_00571	Syai.g_01042
OG0000583	Prat.g_00572	Syai.g_01043
OG0000584	Prat.g_00573	Syai.g_01044
OG0000585	Prat.g_00575	Syai.g_01046
OG0000586	Prat.g_00576	Syai.g_01047
OG0000587	Prat.g_00577	Syai.g_01049
OG0000588	Prat.g_00582	Syai.g_01063
OG0000589	Prat.g_00584	Syai.g_01066
OG0000590	Prat.g_00585	Syai.g_01067
OG0000591	Prat.g_00589	Syai.g_01075
OG0000592	Prat.g_00590	Syai.g_01076
OG0000593	Prat.g_01094	Syai.g_01100
OG0000594	Prat.g_01093	Syai.g_01101
OG0000595	Prat.g_01091	Syai.g_01102
OG0000596	Prat.g_01087	Syai.g_01107
OG0000597	Prat.g_01084	Syai.g_01110
OG0000598	Prat.g_01083	Syai.g_01111
OG0000599	Prat.g_01080	Syai.g_01114
OG0000600	Prat.g_01079	Syai.g_01115
OG0000601	Prat.g_01078	Syai.g_01116
OG0000602	Prat.g_01076	Syai.g_01121
OG0000603	Prat.g_01075	Syai.g_01122
OG0000604	Prat.g_01074	Syai.g_01125
OG0000605	Prat.g_01073	Syai.g_01609
OG0000606	Prat.g_01070	Syai.g_01221
OG0000607	Prat.g_01067	Syai.g_01224
OG0000608	Prat.g_01066	Syai.g_01225
OG0000609	Prat.g_01065	Syai.g_01227
OG0000610	Prat.g_01059	Syai.g_01234
OG0000611	Prat.g_01056	Syai.g_01237
OG0000612	Prat.g_01055	Syai.g_01238
OG0000613	Prat.g_00747	Syai.g_00196
OG0000614	Prat.g_00767	Syai.g_01981
OG0000615	Prat.g_00777	Syai.g_01286
OG0000616	Prat.g_01882	Syai.g_02914
OG0000617	Prat.g_00797	Syai.g_01393
OG0000618	Prat.g_00798	Syai.g_01394
OG0000619	Prat.g_00799	Syai.g_01395
OG0000620	Prat.g_00802	Syai.g_01402
OG0000621	Prat.g_00803	Syai.g_01403
OG0000622	Prat.g_00804	Syai.g_01404
OG0000623	Prat.g_00805	Syai.g_01405
OG0000624	Prat.g_00807	Syai.g_01407
OG0000625	Prat.g_00808	Syai.g_01408
OG0000626	Prat.g_00809	Syai.g_01409
OG0000627	Prat.g_00811	Syai.g_01575
OG0000628	Prat.g_00812	Syai.g_01573
OG0000629	Prat.g_00813	Syai.g_01570
OG0000630	Prat.g_00816	Syai.g_01566
OG0000631	Prat.g_00865	Syai.g_01557
OG0000632	Prat.g_00866	Syai.g_01556
OG0000633	Prat.g_00867	Syai.g_01555
OG0000634	Prat.g_01041	Syai.g_01317
OG0000635	Prat.g_01040	Syai.g_01318
OG0000636	Prat.g_01038	Syai.g_01320
OG0000637	Prat.g_01036	Syai.g_01322
OG0000638	Prat.g_01035	Syai.g_01323
OG0000639	Prat.g_01034	Syai.g_01324
OG0000640	Prat.g_01033	Syai.g_01325
OG0000641	Prat.g_01029	Syai.g_01329
OG0000642	Prat.g_01028	Syai.g_01330
OG0000643	Prat.g_01027	Syai.g_01349
OG0000644	Prat.g_01026	Syai.g_01350
OG0000645	Prat.g_01025	Syai.g_01352
OG0000646	Prat.g_01023	Syai.g_01355
OG0000647	Prat.g_01021	Syai.g_01357
OG0000648	Prat.g_01019	Syai.g_01362
OG0000649	Prat.g_01018	Syai.g_01363
OG0000650	Prat.g_01017	Syai.g_01364
OG0000651	Prat.g_01016	Syai.g_01365
OG0000652	Prat.g_01015	Syai.g_01366
OG0000653	Prat.g_01013	Syai.g_01368
OG0000654	Prat.g_01012	Syai.g_01369
OG0000655	Prat.g_01011	Syai.g_01370
OG0000656	Prat.g_01008	Syai.g_01373
OG0000657	Prat.g_01002	Syai.g_02045
OG0000658	Prat.g_01001	Syai.g_02049
OG0000659	Prat.g_01000	Syai.g_02050
OG0000660	Prat.g_00996	Syai.g_02054
OG0000661	Prat.g_00994	Syai.g_02056
OG0000662	Prat.g_00992	Syai.g_02058
OG0000663	Prat.g_00990	Syai.g_02061
OG0000664	Prat.g_00989	Syai.g_02062
OG0000665	Prat.g_00983	Syai.g_02431
OG0000666	Prat.g_00982	Syai.g_01610
OG0000667	Prat.g_00978	Syai.g_01724
OG0000668	Prat.g_00694	Syai.g_01436
OG0000669	Prat.g_00705	Syai.g_01251
OG0000670	Prat.g_00708	Syai.g_00561
OG0000671	Prat.g_00710	Syai.g_01255
OG0000672	Prat.g_00713	Syai.g_01259
OG0000673	Prat.g_00717	Syai.g_01262
OG0000674	Prat.g_00719	Syai.g_01264
OG0000675	Prat.g_00720	Syai.g_01265
OG0000676	Prat.g_00722	Syai.g_01275
OG0000677	Prat.g_00723	Syai.g_01276
OG0000678	Prat.g_00725	Syai.g_01279
OG0000679	Prat.g_00730	Syai.g_01288
OG0000680	Prat.g_00731	Syai.g_01289
OG0000681	Prat.g_00734	Syai.g_01292
OG0000682	Prat.g_00735	Syai.g_01293
OG0000683	Prat.g_00736	Syai.g_01294
OG0000684	Prat.g_00738	Syai.g_01299
OG0000685	Prat.g_00740	Syai.g_01301
OG0000686	Prat.g_00741	Syai.g_01302
OG0000687	Prat.g_00742	Syai.g_01303
OG0000688	Prat.g_01051	Syai.g_01307
OG0000689	Prat.g_01050	Syai.g_01309
OG0000690	Prat.g_01049	Syai.g_01310
OG0000691	Prat.g_01048	Syai.g_01311
OG0000692	Prat.g_01046	Syai.g_01312
OG0000693	Prat.g_01045	Syai.g_01313
OG0000694	Prat.g_01044	Syai.g_01314
OG0000695	Prat.g_00869	Syai.g_01553
OG0000696	Prat.g_00870	Syai.g_01552
OG0000697	Prat.g_00871	Syai.g_01550
OG0000698	Prat.g_00874	Syai.g_01547
OG0000699	Prat.g_00876	Syai.g_01545
OG0000700	Prat.g_00877	Syai.g_01544
OG0000701	Prat.g_00878	Syai.g_01543
OG0000702	Prat.g_00880	Syai.g_01521
OG0000703	Prat.g_00881	Syai.g_01520
OG0000704	Prat.g_00883	Syai.g_01518
OG0000705	Prat.g_00889	Syai.g_01511
OG0000706	Prat.g_00890	Syai.g_01510
OG0000707	Prat.g_00891	Syai.g_01509
OG0000708	Prat.g_00893	Syai.g_01506
OG0000709	Prat.g_00897	Syai.g_01497
OG0000710	Prat.g_00900	Syai.g_01487
OG0000711	Prat.g_00916	Syai.g_01456
OG0000712	Prat.g_00917	Syai.g_01454
OG0000713	Prat.g_00918	Syai.g_01453
OG0000714	Prat.g_00919	Syai.g_01451
OG0000715	Prat.g_00921	Syai.g_01449
OG0000716	Prat.g_00923	Syai.g_01445
OG0000717	Prat.g_00924	Syai.g_01444
OG0000718	Prat.g_00929	Syai.g_01440
OG0000719	Prat.g_00931	Syai.g_01438
OG0000720	Prat.g_00942	Syai.g_01425
OG0000721	Prat.g_00946	Syai.g_01423
OG0000722	Prat.g_00947	Syai.g_01422
OG0000723	Prat.g_00951	Syai.g_01411
OG0000724	Prat.g_00960	Syai.g_02013
OG0000725	Prat.g_00966	Syai.g_02004
OG0000726	Prat.g_00967	Syai.g_02003
OG0000727	Prat.g_00968	Syai.g_02002
OG0000728	Prat.g_00970	Syai.g_02000
OG0000729	Prat.g_01214	Syai.g_00097
OG0000730	Prat.g_01199	Syai.g_00483
OG0000731	Prat.g_00354	Syai.g_00495
OG0000732	Prat.g_01831	Syai.g_00058
OG0000733	Prat.g_01560	Syai.g_02805
OG0000734	Prat.g_01171	Syai.g_02548
OG0000735	Prat.g_01169	Syai.g_02159
OG0000736	Prat.g_01168	Syai.g_02158
OG0000737	Prat.g_01167	Syai.g_02157
OG0000738	Prat.g_01163	Syai.g_02152
OG0000739	Prat.g_01162	Syai.g_02151
OG0000740	Prat.g_01161	Syai.g_02150
OG0000741	Prat.g_01159	Syai.g_02147
OG0000742	Prat.g_01157	Syai.g_02145
OG0000743	Prat.g_01155	Syai.g_02143
OG0000744	Prat.g_01154	Syai.g_02142
OG0000745	Prat.g_01153	Syai.g_02140
OG0000746	Prat.g_01151	Syai.g_02138
OG0000747	Prat.g_01150	Syai.g_02137
OG0000748	Prat.g_01146	Syai.g_02125
OG0000749	Prat.g_01145	Syai.g_02123
OG0000750	Prat.g_01144	Syai.g_02122
OG0000751	Prat.g_01141	Syai.g_02116
OG0000752	Prat.g_01139	Syai.g_02114
OG0000753	Prat.g_01136	Syai.g_02111
OG0000754	Prat.g_01134	Syai.g_01750
OG0000755	Prat.g_01128	Syai.g_01760
OG0000756	Prat.g_01127	Syai.g_01761
OG0000757	Prat.g_01121	Syai.g_01769
OG0000758	Prat.g_01120	Syai.g_01770
OG0000759	Prat.g_01119	Syai.g_01771
OG0000760	Prat.g_01118	Syai.g_01772
OG0000761	Prat.g_01117	Syai.g_01775
OG0000762	Prat.g_01116	Syai.g_01777
OG0000763	Prat.g_01114	Syai.g_01779
OG0000764	Prat.g_01113	Syai.g_01780
OG0000765	Prat.g_01104	Syai.g_01797
OG0000766	Prat.g_01103	Syai.g_01798
OG0000767	Prat.g_01101	Syai.g_01800
OG0000768	Prat.g_01100	Syai.g_01801
OG0000769	Prat.g_01098	Syai.g_01803
OG0000770	Prat.g_00594	Syai.g_01822
OG0000771	Prat.g_01509	Syai.g_02019
OG0000772	Prat.g_00626	Syai.g_01639
OG0000773	Prat.g_01240	Syai.g_02164
OG0000774	Prat.g_01242	Syai.g_02168
OG0000775	Prat.g_01244	Syai.g_02172
OG0000776	Prat.g_01245	Syai.g_02173
OG0000777	Prat.g_01246	Syai.g_02174
OG0000778	Prat.g_01247	Syai.g_02175
OG0000779	Prat.g_01251	Syai.g_02181
OG0000780	Prat.g_01252	Syai.g_02184
OG0000781	Prat.g_01255	Syai.g_02188
OG0000782	Prat.g_01256	Syai.g_02189
OG0000783	Prat.g_01257	Syai.g_02190
OG0000784	Prat.g_01258	Syai.g_02191
OG0000785	Prat.g_01260	Syai.g_02193
OG0000786	Prat.g_01263	Syai.g_00816
OG0000787	Prat.g_01264	Syai.g_00815
OG0000788	Prat.g_01471	Syai.g_01117
OG0000789	Prat.g_01455	Syai.g_01596
OG0000790	Prat.g_01296	Syai.g_00623
OG0000791	Prat.g_01298	Syai.g_00621
OG0000792	Prat.g_01299	Syai.g_00620
OG0000793	Prat.g_01302	Syai.g_00615
OG0000794	Prat.g_01303	Syai.g_00614
OG0000795	Prat.g_01304	Syai.g_00613
OG0000796	Prat.g_01308	Syai.g_00609
OG0000797	Prat.g_01309	Syai.g_00608
OG0000799	Prat.g_01333	Syai.g_00996
OG0000800	Prat.g_01334	Syai.g_00993
OG0000801	Prat.g_01335	Syai.g_00992
OG0000802	Prat.g_01337	Syai.g_00988
OG0000803	Prat.g_01339	Syai.g_00983
OG0000804	Prat.g_01340	Syai.g_00980
OG0000805	Prat.g_01342	Syai.g_00965
OG0000806	Prat.g_01344	Syai.g_00963
OG0000807	Prat.g_01345	Syai.g_00961
OG0000808	Prat.g_01346	Syai.g_00960
OG0000809	Prat.g_01350	Syai.g_00957
OG0000810	Prat.g_01351	Syai.g_00956
OG0000811	Prat.g_01356	Syai.g_00950
OG0000812	Prat.g_01358	Syai.g_00948
OG0000813	Prat.g_01359	Syai.g_00947
OG0000814	Prat.g_01361	Syai.g_00945
OG0000815	Prat.g_01362	Syai.g_00944
OG0000816	Prat.g_01364	Syai.g_00942
OG0000817	Prat.g_01365	Syai.g_00941
OG0000818	Prat.g_01370	Syai.g_00935
OG0000819	Prat.g_01371	Syai.g_00934
OG0000820	Prat.g_01372	Syai.g_00933
OG0000821	Prat.g_01378	Syai.g_00916
OG0000822	Prat.g_01379	Syai.g_00914
OG0000823	Prat.g_01380	Syai.g_00913
OG0000824	Prat.g_01383	Syai.g_00907
OG0000825	Prat.g_01384	Syai.g_00906
OG0000826	Prat.g_01385	Syai.g_00905
OG0000827	Prat.g_01386	Syai.g_00904
OG0000828	Prat.g_01389	Syai.g_00900
OG0000829	Prat.g_01390	Syai.g_00899
OG0000830	Prat.g_01391	Syai.g_00898
OG0000831	Prat.g_01393	Syai.g_00896
OG0000832	Prat.g_01405	Syai.g_02296
OG0000833	Prat.g_01414	Syai.g_02305
OG0000834	Prat.g_01415	Syai.g_02307
OG0000835	Prat.g_01416	Syai.g_02308
OG0000836	Prat.g_01417	Syai.g_02312
OG0000837	Prat.g_01418	Syai.g_02313
OG0000838	Prat.g_01421	Syai.g_02323
OG0000839	Prat.g_01422	Syai.g_02324
OG0000840	Prat.g_01423	Syai.g_02325
OG0000841	Prat.g_01424	Syai.g_02326
OG0000842	Prat.g_01425	Syai.g_02327
OG0000843	Prat.g_01426	Syai.g_02328
OG0000844	Prat.g_01427	Syai.g_02330
OG0000845	Prat.g_01428	Syai.g_02331
OG0000846	Prat.g_01429	Syai.g_02332
OG0000847	Prat.g_01430	Syai.g_02333
OG0000848	Prat.g_01431	Syai.g_02335
OG0000849	Prat.g_01432	Syai.g_02336
OG0000850	Prat.g_01434	Syai.g_02339
OG0000851	Prat.g_01435	Syai.g_02352
OG0000852	Prat.g_01436	Syai.g_02353
OG0000853	Prat.g_01441	Syai.g_02357
OG0000854	Prat.g_01443	Syai.g_02359
OG0000855	Prat.g_01444	Syai.g_02360
OG0000856	Prat.g_01457	Syai.g_01078
OG0000857	Prat.g_01022	Syai.g_01356
OG0000858	Prat.g_01585	Syai.g_02366
OG0000859	Prat.g_01586	Syai.g_02367
OG0000860	Prat.g_01594	Syai.g_02380
OG0000861	Prat.g_01595	Syai.g_02381
OG0000862	Prat.g_01596	Syai.g_02382
OG0000863	Prat.g_01598	Syai.g_02385
OG0000864	Prat.g_01599	Syai.g_02386
OG0000865	Prat.g_01600	Syai.g_02387
OG0000866	Prat.g_01601	Syai.g_02388
OG0000867	Prat.g_01602	Syai.g_02389
OG0000868	Prat.g_01603	Syai.g_02392
OG0000869	Prat.g_01606	Syai.g_02396
OG0000870	Prat.g_01611	Syai.g_02401
OG0000871	Prat.g_01612	Syai.g_02402
OG0000872	Prat.g_01613	Syai.g_02409
OG0000873	Prat.g_01616	Syai.g_02412
OG0000874	Prat.g_01619	Syai.g_02408
OG0000875	Prat.g_01621	Syai.g_02416
OG0000876	Prat.g_01622	Syai.g_02243
OG0000877	Prat.g_01624	Syai.g_02250
OG0000878	Prat.g_01625	Syai.g_02251
OG0000879	Prat.g_01626	Syai.g_02252
OG0000880	Prat.g_01627	Syai.g_02253
OG0000881	Prat.g_01631	Syai.g_02257
OG0000882	Prat.g_01636	Syai.g_02262
OG0000883	Prat.g_01639	Syai.g_02264
OG0000884	Prat.g_01641	Syai.g_02266
OG0000885	Prat.g_01642	Syai.g_02267
OG0000886	Prat.g_01643	Syai.g_02268
OG0000887	Prat.g_01644	Syai.g_02269
OG0000888	Prat.g_01646	Syai.g_02271
OG0000889	Prat.g_01648	Syai.g_02273
OG0000890	Prat.g_01649	Syai.g_02279
OG0000891	Prat.g_01650	Syai.g_02280
OG0000892	Prat.g_01652	Syai.g_02282
OG0000893	Prat.g_01655	Syai.g_00318
OG0000894	Prat.g_01658	Syai.g_00321
OG0000895	Prat.g_01662	Syai.g_00325
OG0000896	Prat.g_01663	Syai.g_00326
OG0000897	Prat.g_01665	Syai.g_00328
OG0000898	Prat.g_01666	Syai.g_00329
OG0000899	Prat.g_01667	Syai.g_00330
OG0000900	Prat.g_01668	Syai.g_00331
OG0000901	Prat.g_01671	Syai.g_00336
OG0000902	Prat.g_01673	Syai.g_00338
OG0000903	Prat.g_01677	Syai.g_00353
OG0000904	Prat.g_01682	Syai.g_00348
OG0000905	Prat.g_01675	Syai.g_00342
OG0000906	Prat.g_01674	Syai.g_00340
OG0000907	Prat.g_01684	Syai.g_00358
OG0000908	Prat.g_01687	Syai.g_00361
OG0000909	Prat.g_01688	Syai.g_00362
OG0000910	Prat.g_01689	Syai.g_00363
OG0000911	Prat.g_01691	Syai.g_00365
OG0000912	Prat.g_01692	Syai.g_00366
OG0000913	Prat.g_01693	Syai.g_00367
OG0000914	Prat.g_01694	Syai.g_00368
OG0000915	Prat.g_01695	Syai.g_00370
OG0000916	Prat.g_01696	Syai.g_00371
OG0000917	Prat.g_01697	Syai.g_00372
OG0000918	Prat.g_01698	Syai.g_00373
OG0000919	Prat.g_01699	Syai.g_00374
OG0000920	Prat.g_01700	Syai.g_00375
OG0000921	Prat.g_01701	Syai.g_00376
OG0000922	Prat.g_01702	Syai.g_00377
OG0000923	Prat.g_01706	Syai.g_00381
OG0000924	Prat.g_01707	Syai.g_00382
OG0000925	Prat.g_01708	Syai.g_00383
OG0000926	Prat.g_01709	Syai.g_00384
OG0000927	Prat.g_01711	Syai.g_00386
OG0000928	Prat.g_01712	Syai.g_00387
OG0000929	Prat.g_01713	Syai.g_00388
OG0000930	Prat.g_01714	Syai.g_00389
OG0000931	Prat.g_01715	Syai.g_00390
OG0000932	Prat.g_01327	Syai.g_00391
OG0000933	Prat.g_01719	Syai.g_00397
OG0000934	Prat.g_01721	Syai.g_00399
OG0000935	Prat.g_01722	Syai.g_00400
OG0000936	Prat.g_01723	Syai.g_00401
OG0000937	Prat.g_01724	Syai.g_00402
OG0000938	Prat.g_01727	Syai.g_00405
OG0000939	Prat.g_01728	Syai.g_00406
OG0000940	Prat.g_01735	Syai.g_00413
OG0000941	Prat.g_01737	Syai.g_00415
OG0000942	Prat.g_01739	Syai.g_00417
OG0000943	Prat.g_01740	Syai.g_00418
OG0000944	Prat.g_01742	Syai.g_00420
OG0000945	Prat.g_01744	Syai.g_00422
OG0000946	Prat.g_01748	Syai.g_00428
OG0000947	Prat.g_01750	Syai.g_00431
OG0000948	Prat.g_01751	Syai.g_00432
OG0000949	Prat.g_01754	Syai.g_00174
OG0000950	Prat.g_01760	Syai.g_00163
OG0000951	Prat.g_01764	Syai.g_00158
OG0000952	Prat.g_01768	Syai.g_00136
OG0000953	Prat.g_01772	Syai.g_00132
OG0000954	Prat.g_01777	Syai.g_00127
OG0000955	Prat.g_01778	Syai.g_00126
OG0000956	Prat.g_01780	Syai.g_00124
OG0000957	Prat.g_01786	Syai.g_00113
OG0000958	Prat.g_01787	Syai.g_00112
OG0000959	Prat.g_01791	Syai.g_00108
OG0000960	Prat.g_01792	Syai.g_00107
OG0000961	Prat.g_01795	Syai.g_00100
OG0000962	Prat.g_01797	Syai.g_00098
OG0000963	Prat.g_01801	Syai.g_00094
OG0000964	Prat.g_01802	Syai.g_00093
OG0000965	Prat.g_01803	Syai.g_00092
OG0000966	Prat.g_01809	Syai.g_00082
OG0000967	Prat.g_01813	Syai.g_00077
OG0000968	Prat.g_01815	Syai.g_00085
OG0000969	Prat.g_01816	Syai.g_00080
OG0000970	Prat.g_01817	Syai.g_00079
OG0000971	Prat.g_01818	Syai.g_00074
OG0000972	Prat.g_01819	Syai.g_00073
OG0000973	Prat.g_01820	Syai.g_00072
OG0000974	Prat.g_01821	Syai.g_00071
OG0000975	Prat.g_01822	Syai.g_00070
OG0000976	Prat.g_01823	Syai.g_00069
OG0000977	Prat.g_01824	Syai.g_00067
OG0000978	Prat.g_01825	Syai.g_00065
OG0000979	Prat.g_01828	Syai.g_00062
OG0000980	Prat.g_01830	Syai.g_00059
OG0000981	Prat.g_01833	Syai.g_00056
OG0000982	Prat.g_01835	Syai.g_02777
OG0000983	Prat.g_01836	Syai.g_02778
OG0000984	Prat.g_01837	Syai.g_02779
OG0000985	Prat.g_01840	Syai.g_02781
OG0000986	Prat.g_01842	Syai.g_02784
OG0000987	Prat.g_01843	Syai.g_02786
OG0000988	Prat.g_01846	Syai.g_02790
OG0000989	Prat.g_01850	Syai.g_02797
OG0000990	Prat.g_01856	Syai.g_02825
OG0000991	Prat.g_01857	Syai.g_02827
OG0000992	Prat.g_01860	Syai.g_02830
OG0000993	Prat.g_01861	Syai.g_02831
OG0000994	Prat.g_01862	Syai.g_02834
OG0000995	Prat.g_01866	Syai.g_02840
OG0000996	Prat.g_01867	Syai.g_02891
OG0000997	Prat.g_01869	Syai.g_02900
OG0000998	Prat.g_01871	Syai.g_02902
OG0000999	Prat.g_01872	Syai.g_02903
OG0001000	Prat.g_01875	Syai.g_02906
OG0001001	Prat.g_01879	Syai.g_02911
OG0001002	Prat.g_01884	Syai.g_02918
OG0001003	Prat.g_01885	Syai.g_02919
OG0001004	Prat.g_01886	Syai.g_02920
OG0001005	Prat.g_01887	Syai.g_02921
OG0001006	Prat.g_01891	Syai.g_02931
OG0001007	Prat.g_01893	Syai.g_02933
OG0001008	Prat.g_00397	Syai.g_02227
OG0001009	Prat.g_00028	Syai.g_00034
OG0001010	Prat.g_00029	Syai.g_00035
OG0001011	Prat.g_00031	Syai.g_00037
OG0001012	Prat.g_00046	Syai.g_02773
OG0001013	Prat.g_00053	Syai.g_02750
OG0001014	Prat.g_00056	Syai.g_02726
OG0001015	Prat.g_00057	Syai.g_02725
OG0001016	Prat.g_00070	Syai.g_02479
OG0001017	Prat.g_00074	Syai.g_02485
OG0001018	Prat.g_00076	Syai.g_02487
OG0001019	Prat.g_00087	Syai.g_02508
OG0001020	Prat.g_00088	Syai.g_02516
OG0001021	Prat.g_00089	Syai.g_02523
OG0001022	Prat.g_00091	Syai.g_02528
OG0001023	Prat.g_00092	Syai.g_02529
OG0001024	Prat.g_00095	Syai.g_02533
OG0001025	Prat.g_00102	Syai.g_02540
OG0001026	Prat.g_00110	Syai.g_02550
OG0001027	Prat.g_00111	Syai.g_02555
OG0001028	Prat.g_00113	Syai.g_02557
OG0001029	Prat.g_00114	Syai.g_02559
OG0001030	Prat.g_00130	Syai.g_02580
OG0001031	Prat.g_00188	Syai.g_02656
OG0001032	Prat.g_00189	Syai.g_02658
OG0001033	Prat.g_00210	Syai.g_02685
OG0001034	Prat.g_00241	Syai.g_00537
OG0001035	Prat.g_00261	Syai.g_00295
OG0001036	Prat.g_00266	Syai.g_00290
OG0001037	Prat.g_00267	Syai.g_00288
OG0001038	Prat.g_00285	Syai.g_00261
OG0001039	Prat.g_00288	Syai.g_00258
OG0001040	Prat.g_00291	Syai.g_00255
OG0001041	Prat.g_00295	Syai.g_00250
OG0001042	Prat.g_00312	Syai.g_00225
OG0001043	Prat.g_00313	Syai.g_00221
OG0001044	Prat.g_00347	Syai.g_00485
OG0001045	Prat.g_00356	Syai.g_00498
OG0001046	Prat.g_01469	Syai.g_01471
OG0001047	Prat.g_00399	Syai.g_02225
OG0001048	Prat.g_00400	Syai.g_02224
OG0001049	Prat.g_00403	Syai.g_02215
OG0001050	Prat.g_00404	Syai.g_02214
OG0001051	Prat.g_00405	Syai.g_02213
OG0001052	Prat.g_00430	Syai.g_00861
OG0001053	Prat.g_00443	Syai.g_00641
OG0001054	Prat.g_00459	Syai.g_00658
OG0001055	Prat.g_00480	Syai.g_00679
OG0001056	Prat.g_00498	Syai.g_00713
OG0001057	Prat.g_00502	Syai.g_00721
OG0001058	Prat.g_00510	Syai.g_00734
OG0001059	Prat.g_00515	Syai.g_00738
OG0001060	Prat.g_00522	Syai.g_00744
OG0001061	Prat.g_00538	Syai.g_00765
OG0001062	Prat.g_00540	Syai.g_00767
OG0001063	Prat.g_00542	Syai.g_00774
OG0001064	Prat.g_00543	Syai.g_00775
OG0001065	Prat.g_00544	Syai.g_00776
OG0001066	Prat.g_00545	Syai.g_00777
OG0001067	Prat.g_00546	Syai.g_00778
OG0001068	Prat.g_00547	Syai.g_00779
OG0001069	Prat.g_00548	Syai.g_00780
OG0001070	Prat.g_00550	Syai.g_00783
OG0001071	Prat.g_00551	Syai.g_00784
OG0001072	Prat.g_00552	Syai.g_00788
OG0001073	Prat.g_00566	Syai.g_00807
OG0001074	Prat.g_00579	Syai.g_01051
OG0001075	Prat.g_00580	Syai.g_01053
OG0001076	Prat.g_00587	Syai.g_01069
OG0001077	Prat.g_00592	Syai.g_01081
OG0001078	Prat.g_01089	Syai.g_01105
OG0001079	Prat.g_01077	Syai.g_01118
OG0001080	Prat.g_01071	Syai.g_01606
OG0001081	Prat.g_01069	Syai.g_01222
OG0001082	Prat.g_01068	Syai.g_01223
OG0001083	Prat.g_01063	Syai.g_01230
OG0001084	Prat.g_01062	Syai.g_01231
OG0001085	Prat.g_00744	Syai.g_01241
OG0001086	Prat.g_00745	Syai.g_01243
OG0001087	Prat.g_00762	Syai.g_01953
OG0001088	Prat.g_00763	Syai.g_01957
OG0001089	Prat.g_00774	Syai.g_01996
OG0001090	Prat.g_00789	Syai.g_01387
OG0001091	Prat.g_00791	Syai.g_01389
OG0001092	Prat.g_00792	Syai.g_01391
OG0001093	Prat.g_00800	Syai.g_01397
OG0001094	Prat.g_01043	Syai.g_01315
OG0001096	Prat.g_01010	Syai.g_01371
OG0001097	Prat.g_00993	Syai.g_02057
OG0001098	Prat.g_00974	Syai.g_01603
OG0001099	Prat.g_00699	Syai.g_02558
OG0001100	Prat.g_00707	Syai.g_01253
OG0001101	Prat.g_00709	Syai.g_01254
OG0001102	Prat.g_00712	Syai.g_01257
OG0001103	Prat.g_00715	Syai.g_01260
OG0001104	Prat.g_00739	Syai.g_01300
OG0001105	Prat.g_00743	Syai.g_01304
OG0001106	Prat.g_00884	Syai.g_01517
OG0001107	Prat.g_00894	Syai.g_01505
OG0001108	Prat.g_00898	Syai.g_01496
OG0001109	Prat.g_00899	Syai.g_01488
OG0001110	Prat.g_00901	Syai.g_01486
OG0001111	Prat.g_00902	Syai.g_01484
OG0001112	Prat.g_00903	Syai.g_01482
OG0001113	Prat.g_00904	Syai.g_01481
OG0001114	Prat.g_00905	Syai.g_01480
OG0001115	Prat.g_00907	Syai.g_01476
OG0001116	Prat.g_00908	Syai.g_01474
OG0001117	Prat.g_00909	Syai.g_01473
OG0001118	Prat.g_00910	Syai.g_01472
OG0001119	Prat.g_00911	Syai.g_01470
OG0001120	Prat.g_00913	Syai.g_01466
OG0001122	Prat.g_00932	Syai.g_01437
OG0001123	Prat.g_00937	Syai.g_01430
OG0001124	Prat.g_00939	Syai.g_01428
OG0001125	Prat.g_00941	Syai.g_01426
OG0001126	Prat.g_00955	Syai.g_02021
OG0001127	Prat.g_00956	Syai.g_02020
OG0001128	Prat.g_00957	Syai.g_02017
OG0001129	Prat.g_00958	Syai.g_02015
OG0001130	Prat.g_00959	Syai.g_02014
OG0001131	Prat.g_01204	Syai.g_01281
OG0001132	Prat.g_01479	Syai.g_01620
OG0001133	Prat.g_01211	Syai.g_01072
OG0001134	Prat.g_01495, Prat.g_01561	Syai.g_01745
OG0001136	Prat.g_01158	Syai.g_02146
OG0001137	Prat.g_01147	Syai.g_02126
OG0001138	Prat.g_01126	Syai.g_01763
OG0001139	Prat.g_01124	Syai.g_01765
OG0001141	Prat.g_01123	Syai.g_01767
OG0001142	Prat.g_01122	Syai.g_01768
OG0001143	Prat.g_01115	Syai.g_01778
OG0001144	Prat.g_01110	Syai.g_01788
OG0001145	Prat.g_01241	Syai.g_02165
OG0001146	Prat.g_01253	Syai.g_02185
OG0001147	Prat.g_01287	Syai.g_00869
OG0001148	Prat.g_01293	Syai.g_00626
OG0001149	Prat.g_01294	Syai.g_00625
OG0001150	Prat.g_01295	Syai.g_00624
OG0001151	Prat.g_01306	Syai.g_00611
OG0001152	Prat.g_01307	Syai.g_00610
OG0001153	Prat.g_01387	Syai.g_00903
OG0001154	Prat.g_01388	Syai.g_00901
OG0001155	Prat.g_01407	Syai.g_02298
OG0001156	Prat.g_01410	Syai.g_02301
OG0001157	Prat.g_01411	Syai.g_02302
OG0001158	Prat.g_01412	Syai.g_02303
OG0001159	Prat.g_01413	Syai.g_02304
OG0001160	Prat.g_01439	Syai.g_02355
OG0001161	Prat.g_01502	Syai.g_02803
OG0001162	Prat.g_01500	Syai.g_01374
OG0001163	Prat.g_01583	Syai.g_02363
OG0001164	Prat.g_01587	Syai.g_02369
OG0001165	Prat.g_01590	Syai.g_02374
OG0001166	Prat.g_01610	Syai.g_02400
OG0001167	Prat.g_01628	Syai.g_02254
OG0001168	Prat.g_01630	Syai.g_02256
