Orthogroup	Syai	Praw
OG0000063	Syai.g_00042	Praw.g_01395
OG0000066	Syai.g_01709, Syai.g_00719	Praw.g_00609
OG0000067	Syai.g_01321	Praw.g_01697
OG0000068	Syai.g_00628	Praw.g_01016
OG0000070	Syai.g_02196	Praw.g_00697
OG0000071	Syai.g_02179	Praw.g_00981
OG0000072	Syai.g_02636	Praw.g_01264
OG0000073	Syai.g_00659	Praw.g_00649
OG0000075	Syai.g_00161	Praw.g_00064
OG0000076	Syai.g_00111	Praw.g_00039
OG0000077	Syai.g_02486	Praw.g_01356
OG0000078	Syai.g_00543	Praw.g_01196
OG0000081	Syai.g_00553	Praw.g_00617
OG0000082	Syai.g_00781	Praw.g_01932
OG0000084	Syai.g_00958	Praw.g_01087
OG0000085	Syai.g_02365	Praw.g_00508
OG0000086	Syai.g_02507	Praw.g_01346
OG0000087	Syai.g_02592	Praw.g_01296
OG0000088	Syai.g_02630	Praw.g_01269
OG0000089	Syai.g_00517	Praw.g_00776
OG0000090	Syai.g_00707	Praw.g_00615
OG0000091	Syai.g_01112	Praw.g_01880
OG0000092	Syai.g_01358	Praw.g_01592
OG0000094	Syai.g_01424	Praw.g_01486
OG0000097	Syai.g_01787	Praw.g_00275
OG0000098	Syai.g_01718	Praw.g_00997
OG0000099	Syai.g_00199	Praw.g_01051
OG0000100	Syai.g_01372	Praw.g_00411
OG0000101	Syai.g_00404	Praw.g_00096
OG0000102	Syai.g_00106	Praw.g_00034
OG0000103	Syai.g_02912	Praw.g_01148
OG0000104	Syai.g_02929	Praw.g_01140
OG0000105	Syai.g_00267	Praw.g_00860
OG0000106	Syai.g_01601	Praw.g_00762
OG0000107	Syai.g_00319	Praw.g_00748
OG0000108	Syai.g_00638	Praw.g_00667
OG0000109	Syai.g_00653	Praw.g_00654
OG0000110	Syai.g_00766	Praw.g_01922
OG0000111	Syai.g_00884	Praw.g_01823
OG0000112	Syai.g_01512	Praw.g_01732
OG0000113	Syai.g_01367	Praw.g_01675
OG0000114	Syai.g_01261	Praw.g_01597
OG0000115	Syai.g_00932	Praw.g_00178
OG0000116	Syai.g_02156	Praw.g_00224
OG0000117	Syai.g_01756	Praw.g_00926
OG0000118	Syai.g_00818	Praw.g_00993
OG0000119	Syai.g_02127	Praw.g_01012
OG0000120	Syai.g_00198	Praw.g_01050
OG0000121	Syai.g_00951	Praw.g_01078
OG0000122	Syai.g_01143	Praw.g_00377
OG0000123	Syai.g_00411	Praw.g_00089
OG0000124	Syai.g_00089	Praw.g_00023
OG0000125	Syai.g_02782	Praw.g_01180
OG0000126	Syai.g_02927	Praw.g_01141
OG0000128	Syai.g_00012	Praw.g_01125
OG0000129	Syai.g_02771	Praw.g_01384
OG0000130	Syai.g_02474	Praw.g_01365
OG0000131	Syai.g_02608	Praw.g_01290
OG0000132	Syai.g_02628	Praw.g_01271
OG0000133	Syai.g_01507	Praw.g_00812
OG0000134	Syai.g_00520	Praw.g_00775
OG0000135	Syai.g_02826	Praw.g_00751
OG0000136	Syai.g_02217	Praw.g_00706
OG0000137	Syai.g_00865	Praw.g_00672
OG0000138	Syai.g_00654	Praw.g_00653
OG0000139	Syai.g_00714	Praw.g_00611
OG0000140	Syai.g_00716	Praw.g_00610
OG0000141	Syai.g_01041	Praw.g_00143
OG0000142	Syai.g_01104	Praw.g_01887
OG0000143	Syai.g_01108	Praw.g_01883
OG0000144	Syai.g_01608	Praw.g_01870
OG0000145	Syai.g_00660	Praw.g_01745
OG0000146	Syai.g_01513	Praw.g_01731
OG0000147	Syai.g_01514	Praw.g_01730
OG0000148	Syai.g_01361	Praw.g_01681
OG0000149	Syai.g_02059	Praw.g_01652
OG0000150	Syai.g_00717	Praw.g_01644
OG0000151	Syai.g_01280	Praw.g_01587
OG0000152	Syai.g_01503	Praw.g_01539
OG0000153	Syai.g_01461	Praw.g_01520
OG0000154	Syai.g_01434	Praw.g_01493
OG0000155	Syai.g_02109	Praw.g_00254
OG0000156	Syai.g_02162	Praw.g_00968
OG0000157	Syai.g_02163	Praw.g_00969
OG0000158	Syai.g_00135	Praw.g_01052
OG0000160	Syai.g_00952	Praw.g_01079, Praw.g_01080
OG0000161	Syai.g_00946	Praw.g_00344
OG0000162	Syai.g_00939	Praw.g_00350
OG0000163	Syai.g_02300	Praw.g_00384
OG0000164	Syai.g_02411	Praw.g_00539
OG0000165	Syai.g_02244	Praw.g_00546
OG0000166	Syai.g_00364	Praw.g_00132
OG0000167	Syai.g_00164	Praw.g_00066
OG0000168	Syai.g_00134	Praw.g_00056
OG0000169	Syai.g_00123	Praw.g_00046
OG0000170	Syai.g_00116	Praw.g_00044
OG0000171	Syai.g_00090	Praw.g_00024
OG0000172	Syai.g_00083	Praw.g_00016
OG0000173	Syai.g_00064	Praw.g_00001
OG0000174	Syai.g_02828	Praw.g_01166
OG0000175	Syai.g_02901	Praw.g_01156
OG0000176	Syai.g_00004	Praw.g_01132
OG0000177	Syai.g_00005	Praw.g_01131
OG0000178	Syai.g_00006	Praw.g_01130
OG0000179	Syai.g_00023	Praw.g_01412
OG0000180	Syai.g_00024	Praw.g_01411
OG0000181	Syai.g_00025	Praw.g_01410
OG0000182	Syai.g_00026	Praw.g_01409
OG0000183	Syai.g_00030	Praw.g_01405
OG0000184	Syai.g_02756	Praw.g_01382
OG0000185	Syai.g_02734	Praw.g_01379
OG0000186	Syai.g_02469	Praw.g_01370
OG0000187	Syai.g_02471	Praw.g_01369
OG0000188	Syai.g_02494	Praw.g_01352
OG0000189	Syai.g_02530	Praw.g_01339
OG0000190	Syai.g_02532	Praw.g_01338
OG0000191	Syai.g_02562	Praw.g_01318
OG0000192	Syai.g_02569	Praw.g_01314
OG0000193	Syai.g_02609	Praw.g_01289
OG0000194	Syai.g_02612	Praw.g_01286
OG0000195	Syai.g_02614	Praw.g_01284
OG0000196	Syai.g_02625	Praw.g_01274
OG0000197	Syai.g_02626	Praw.g_01273
OG0000198	Syai.g_02627	Praw.g_01272
OG0000199	Syai.g_02635	Praw.g_01265
OG0000200	Syai.g_02651	Praw.g_01251
OG0000202	Syai.g_02668	Praw.g_01242
OG0000203	Syai.g_02669	Praw.g_01241
OG0000204	Syai.g_02670	Praw.g_01240
OG0000205	Syai.g_02677	Praw.g_01233
OG0000206	Syai.g_02684	Praw.g_01228
OG0000207	Syai.g_02686	Praw.g_01226
OG0000208	Syai.g_02687	Praw.g_01225
OG0000209	Syai.g_02699	Praw.g_01216
OG0000210	Syai.g_02700	Praw.g_01215
OG0000212	Syai.g_00544	Praw.g_01195
OG0000213	Syai.g_00292	Praw.g_00876
OG0000214	Syai.g_00276	Praw.g_00867
OG0000215	Syai.g_00245	Praw.g_00842
OG0000216	Syai.g_00241	Praw.g_00840
OG0000217	Syai.g_00237	Praw.g_00837
OG0000218	Syai.g_00235	Praw.g_00835
OG0000219	Syai.g_00234	Praw.g_00834
