Orthogroup	Syap	Prbk
OG0000580	Syap.g_00454	Prbk.g_01147
OG0000581	Syap.g_01521	Prbk.g_01151
OG0000582	Syap.g_01533	Prbk.g_01155
OG0000583	Syap.g_01532	Prbk.g_01156
OG0000584	Syap.g_01530	Prbk.g_01157
OG0000585	Syap.g_01526	Prbk.g_01159
OG0000586	Syap.g_01525	Prbk.g_01161
OG0000587	Syap.g_01523	Prbk.g_01163
OG0000588	Syap.g_00776	Prbk.g_02605
OG0000589	Syap.g_00941	Prbk.g_02608
OG0000590	Syap.g_00940	Prbk.g_02609
OG0000591	Syap.g_01289	Prbk.g_02616
OG0000592	Syap.g_01288	Prbk.g_02617
OG0000593	Syap.g_00890	Prbk.g_02627
OG0000594	Syap.g_00891	Prbk.g_02628
OG0000595	Syap.g_00892	Prbk.g_02629
OG0000596	Syap.g_00898	Prbk.g_02634
OG0000597	Syap.g_00903	Prbk.g_02637
OG0000598	Syap.g_00904	Prbk.g_02638
OG0000599	Syap.g_00908	Prbk.g_02648
OG0000600	Syap.g_00909	Prbk.g_02649
OG0000601	Syap.g_00910	Prbk.g_02650
OG0000602	Syap.g_00640	Prbk.g_02654
OG0000603	Syap.g_00641	Prbk.g_02655
OG0000604	Syap.g_02769	Prbk.g_02656
OG0000605	Syap.g_02501, Syap.g_02771	Prbk.g_00740
OG0000606	Syap.g_02506	Prbk.g_00729
OG0000607	Syap.g_00093	Prbk.g_00726
OG0000608	Syap.g_00094	Prbk.g_00725
OG0000609	Syap.g_00096	Prbk.g_00723
OG0000610	Syap.g_01963	Prbk.g_00715
OG0000611	Syap.g_01958	Prbk.g_00712
OG0000612	Syap.g_01957	Prbk.g_00711
OG0000613	Syap.g_02480	Prbk.g_00478
OG0000615	Syap.g_00154	Prbk.g_02429
OG0000616	Syap.g_00127	Prbk.g_02262
OG0000617	Syap.g_00513	Prbk.g_00613
OG0000618	Syap.g_00514	Prbk.g_00612
OG0000619	Syap.g_00515	Prbk.g_00611
OG0000620	Syap.g_00520	Prbk.g_00607
OG0000621	Syap.g_00521	Prbk.g_00606
OG0000622	Syap.g_00523	Prbk.g_00605
OG0000623	Syap.g_00526	Prbk.g_00604
OG0000624	Syap.g_00527	Prbk.g_00603
OG0000625	Syap.g_00528	Prbk.g_00602
OG0000626	Syap.g_00529	Prbk.g_00601
OG0000627	Syap.g_00848	Prbk.g_02376
OG0000628	Syap.g_00850	Prbk.g_02375
OG0000629	Syap.g_02334	Prbk.g_02372
OG0000630	Syap.g_02793	Prbk.g_02368
OG0000631	Syap.g_01724	Prbk.g_02362
OG0000632	Syap.g_01725	Prbk.g_02361
OG0000633	Syap.g_01726	Prbk.g_02360
OG0000634	Syap.g_00190	Prbk.g_02464
OG0000635	Syap.g_00191	Prbk.g_02465
OG0000636	Syap.g_00193	Prbk.g_02467
OG0000637	Syap.g_00195	Prbk.g_02469
OG0000638	Syap.g_00196	Prbk.g_02470
OG0000639	Syap.g_00197	Prbk.g_02471
OG0000640	Syap.g_00198	Prbk.g_02472
OG0000641	Syap.g_00203	Prbk.g_02476
OG0000642	Syap.g_02732	Prbk.g_02477
OG0000643	Syap.g_02731	Prbk.g_02478
OG0000644	Syap.g_02730	Prbk.g_02479
OG0000645	Syap.g_02726	Prbk.g_02480
OG0000646	Syap.g_02723	Prbk.g_02483
OG0000647	Syap.g_02721	Prbk.g_02486
OG0000648	Syap.g_02719	Prbk.g_02488
OG0000649	Syap.g_02718	Prbk.g_02489
OG0000650	Syap.g_02717	Prbk.g_02490
OG0000651	Syap.g_02716	Prbk.g_02491
OG0000652	Syap.g_02715	Prbk.g_02492
OG0000653	Syap.g_02713	Prbk.g_02494
OG0000654	Syap.g_02711	Prbk.g_02495
OG0000655	Syap.g_02710	Prbk.g_02496
OG0000656	Syap.g_02706	Prbk.g_02499
OG0000657	Syap.g_01845	Prbk.g_02532
OG0000658	Syap.g_01841	Prbk.g_02534
OG0000659	Syap.g_01840	Prbk.g_02535
OG0000660	Syap.g_01835	Prbk.g_02539
OG0000662	Syap.g_00823	Prbk.g_02543
OG0000663	Syap.g_00826	Prbk.g_02546
OG0000664	Syap.g_00828	Prbk.g_02547
OG0000665	Syap.g_02331	Prbk.g_02560
OG0000666	Syap.g_01573	Prbk.g_02563
OG0000667	Syap.g_01979	Prbk.g_02570
OG0000668	Syap.g_02765	Prbk.g_00582
OG0000669	Syap.g_02371	Prbk.g_02580
OG0000670	Syap.g_02368	Prbk.g_01662
OG0000671	Syap.g_01260	Prbk.g_02391
OG0000672	Syap.g_01257	Prbk.g_02394
OG0000673	Syap.g_01253	Prbk.g_02397
OG0000674	Syap.g_01251	Prbk.g_02399
OG0000675	Syap.g_01250	Prbk.g_02400
OG0000676	Syap.g_01248	Prbk.g_02408
OG0000677	Syap.g_01246	Prbk.g_02410
OG0000678	Syap.g_01239	Prbk.g_02415
OG0000679	Syap.g_00157	Prbk.g_02435
OG0000680	Syap.g_00158	Prbk.g_02436
OG0000681	Syap.g_00163	Prbk.g_02438
OG0000682	Syap.g_00165	Prbk.g_02439
OG0000683	Syap.g_00166	Prbk.g_02440
OG0000684	Syap.g_00169	Prbk.g_02453
OG0000685	Syap.g_00172	Prbk.g_02451
OG0000686	Syap.g_00173	Prbk.g_02450
OG0000687	Syap.g_00174	Prbk.g_02449
OG0000688	Syap.g_00178	Prbk.g_02455
OG0000689	Syap.g_00180	Prbk.g_02456
OG0000690	Syap.g_00181	Prbk.g_02457
OG0000691	Syap.g_00182	Prbk.g_02458
OG0000692	Syap.g_00184	Prbk.g_02459
OG0000693	Syap.g_00185	Prbk.g_02460
OG0000694	Syap.g_00186	Prbk.g_02461
OG0000695	Syap.g_01729	Prbk.g_02358
OG0000696	Syap.g_01730	Prbk.g_02357
OG0000697	Syap.g_01734	Prbk.g_02355
OG0000698	Syap.g_01737	Prbk.g_02352
OG0000699	Syap.g_01738	Prbk.g_02350
OG0000700	Syap.g_01739	Prbk.g_02349
OG0000701	Syap.g_01740	Prbk.g_02348
OG0000702	Syap.g_01747	Prbk.g_02340
OG0000703	Syap.g_01750	Prbk.g_02339
OG0000704	Syap.g_01753	Prbk.g_02337
OG0000705	Syap.g_02022	Prbk.g_02331
OG0000706	Syap.g_02020	Prbk.g_02330
OG0000707	Syap.g_02019	Prbk.g_02329
OG0000708	Syap.g_02016	Prbk.g_02327
OG0000709	Syap.g_00121	Prbk.g_02320
OG0000711	Syap.g_02686	Prbk.g_02293
OG0000712	Syap.g_02688	Prbk.g_02292
OG0000713	Syap.g_02689	Prbk.g_00562
OG0000714	Syap.g_02691	Prbk.g_00566
OG0000715	Syap.g_02693	Prbk.g_00568
OG0000716	Syap.g_02696	Prbk.g_00572
OG0000717	Syap.g_02697	Prbk.g_00573
OG0000718	Syap.g_02701	Prbk.g_00578
OG0000719	Syap.g_02767	Prbk.g_00580
OG0000720	Syap.g_02780	Prbk.g_00593
OG0000721	Syap.g_02782	Prbk.g_00594
OG0000722	Syap.g_02783	Prbk.g_00595
OG0000723	Syap.g_00532	Prbk.g_00599
OG0000725	Syap.g_01559	Prbk.g_00054
OG0000726	Syap.g_01560	Prbk.g_00053
OG0000727	Syap.g_01561	Prbk.g_00052
OG0000728	Syap.g_01564	Prbk.g_00051
OG0000729	Syap.g_01122	Prbk.g_01531
OG0000730	Syap.g_00572	Prbk.g_00869
OG0000731	Syap.g_00560	Prbk.g_00879
OG0000732	Syap.g_00111, Syap.g_00976, Syap.g_01814	Prbk.g_01601
OG0000733	Syap.g_01971	Prbk.g_02202
OG0000734	Syap.g_02628	Prbk.g_00004
OG0000735	Syap.g_00244	Prbk.g_01037
OG0000736	Syap.g_00243	Prbk.g_01036
OG0000737	Syap.g_00242	Prbk.g_01035
OG0000738	Syap.g_00236	Prbk.g_01028
OG0000739	Syap.g_00235	Prbk.g_01026
OG0000740	Syap.g_00234	Prbk.g_01025
OG0000741	Syap.g_00231	Prbk.g_01022
OG0000742	Syap.g_00229	Prbk.g_01020
OG0000743	Syap.g_00226	Prbk.g_01018
OG0000744	Syap.g_00225	Prbk.g_01017
OG0000745	Syap.g_00222	Prbk.g_00141
OG0000746	Syap.g_00220	Prbk.g_00143
OG0000747	Syap.g_00219	Prbk.g_00144
OG0000748	Syap.g_00212	Prbk.g_00156
OG0000749	Syap.g_00211	Prbk.g_00157
OG0000750	Syap.g_00210	Prbk.g_00158
OG0000751	Syap.g_00205	Prbk.g_00105
OG0000752	Syap.g_01793	Prbk.g_00103
OG0000753	Syap.g_02775	Prbk.g_00100
OG0000754	Syap.g_01883	Prbk.g_01501
OG0000755	Syap.g_01893	Prbk.g_00139
OG0000757	Syap.g_00427	Prbk.g_00131
OG0000758	Syap.g_00428	Prbk.g_00130
OG0000759	Syap.g_00429	Prbk.g_00129
OG0000760	Syap.g_00430	Prbk.g_00128
OG0000761	Syap.g_00431	Prbk.g_00127
OG0000762	Syap.g_00434	Prbk.g_01503
OG0000763	Syap.g_02624	Prbk.g_01505
OG0000764	Syap.g_02623	Prbk.g_01506
OG0000765	Syap.g_02440	Prbk.g_00178
OG0000766	Syap.g_02439	Prbk.g_00177
OG0000767	Syap.g_02437	Prbk.g_00175
OG0000768	Syap.g_02436	Prbk.g_00174
OG0000769	Syap.g_02434	Prbk.g_00098
OG0000770	Syap.g_02431	Prbk.g_00122
OG0000772	Syap.g_02295	Prbk.g_02011
OG0000773	Syap.g_00885	Prbk.g_00162
OG0000774	Syap.g_01473	Prbk.g_01192
OG0000775	Syap.g_01475	Prbk.g_01190
OG0000776	Syap.g_01476	Prbk.g_01189
OG0000777	Syap.g_01478	Prbk.g_01188
OG0000778	Syap.g_01479	Prbk.g_01187
OG0000779	Syap.g_01494	Prbk.g_01182
OG0000780	Syap.g_01496	Prbk.g_01179
OG0000781	Syap.g_02609	Prbk.g_01175
OG0000782	Syap.g_02611	Prbk.g_01174
OG0000783	Syap.g_02612	Prbk.g_01173
OG0000784	Syap.g_02613	Prbk.g_01172
OG0000785	Syap.g_02281	Prbk.g_01170
OG0000786	Syap.g_02287	Prbk.g_01167
OG0000787	Syap.g_02288	Prbk.g_01166
OG0000788	Syap.g_01932	Prbk.g_00334
OG0000789	Syap.g_00372	Prbk.g_01691
OG0000791	Syap.g_02520	Prbk.g_02046
OG0000792	Syap.g_02519	Prbk.g_02045
OG0000793	Syap.g_02141	Prbk.g_02041
OG0000794	Syap.g_02200	Prbk.g_02040
OG0000795	Syap.g_02199	Prbk.g_02039
OG0000796	Syap.g_02448	Prbk.g_02035
OG0000797	Syap.g_02449	Prbk.g_02034
OG0000798	Syap.g_01363	Prbk.g_00414
OG0000799	Syap.g_02488	Prbk.g_01929
OG0000800	Syap.g_02487	Prbk.g_01930
OG0000801	Syap.g_02486	Prbk.g_01931
OG0000802	Syap.g_02659	Prbk.g_01938
OG0000803	Syap.g_02109	Prbk.g_00244
OG0000804	Syap.g_02113	Prbk.g_00246
OG0000805	Syap.g_02115	Prbk.g_00248
OG0000806	Syap.g_02117	Prbk.g_00250
OG0000807	Syap.g_02118	Prbk.g_00252
OG0000808	Syap.g_02119	Prbk.g_00253
OG0000809	Syap.g_02122	Prbk.g_00257
OG0000810	Syap.g_02124	Prbk.g_00258
OG0000811	Syap.g_02472	Prbk.g_00270
OG0000812	Syap.g_02474	Prbk.g_00272
OG0000813	Syap.g_02475	Prbk.g_00273
OG0000814	Syap.g_02753	Prbk.g_00275
OG0000815	Syap.g_02752	Prbk.g_00276
OG0000816	Syap.g_02289	Prbk.g_00278
OG0000817	Syap.g_02527	Prbk.g_00279
OG0000818	Syap.g_02001	Prbk.g_01237
OG0000819	Syap.g_02002	Prbk.g_01236
OG0000820	Syap.g_02003	Prbk.g_01235
OG0000821	Syap.g_02009	Prbk.g_01228
OG0000822	Syap.g_02011	Prbk.g_01226
OG0000824	Syap.g_00008	Prbk.g_01221
OG0000825	Syap.g_00009	Prbk.g_01220
OG0000826	Syap.g_00010	Prbk.g_01219
OG0000827	Syap.g_00011	Prbk.g_01218
OG0000828	Syap.g_00014	Prbk.g_01215
OG0000829	Syap.g_00015	Prbk.g_01214
OG0000830	Syap.g_00016	Prbk.g_01213
OG0000831	Syap.g_00019	Prbk.g_01211
OG0000832	Syap.g_00752	Prbk.g_02006
OG0000833	Syap.g_00021	Prbk.g_01998
OG0000834	Syap.g_00023	Prbk.g_01997
OG0000835	Syap.g_00024	Prbk.g_01996
OG0000836	Syap.g_00026	Prbk.g_01994
OG0000837	Syap.g_00027	Prbk.g_01993
OG0000838	Syap.g_00031	Prbk.g_01990
OG0000839	Syap.g_00032	Prbk.g_01989
OG0000840	Syap.g_00033	Prbk.g_01988
OG0000841	Syap.g_00034	Prbk.g_01987
OG0000842	Syap.g_00035	Prbk.g_01986
OG0000843	Syap.g_00036	Prbk.g_01985
OG0000844	Syap.g_00039	Prbk.g_01983
OG0000845	Syap.g_00040	Prbk.g_01982
OG0000846	Syap.g_00042	Prbk.g_01981
OG0000847	Syap.g_00043	Prbk.g_01980
OG0000848	Syap.g_00045	Prbk.g_01979
OG0000849	Syap.g_00046	Prbk.g_01978
OG0000850	Syap.g_00310	Prbk.g_01977
OG0000851	Syap.g_01214	Prbk.g_00937
OG0000852	Syap.g_01215	Prbk.g_00936
OG0000853	Syap.g_01219	Prbk.g_00932
OG0000854	Syap.g_01222	Prbk.g_00930
OG0000855	Syap.g_01223	Prbk.g_00929
OG0000856	Syap.g_01286	Prbk.g_02619
OG0000857	Syap.g_02722	Prbk.g_02485
OG0000858	Syap.g_00612	Prbk.g_00918
OG0000859	Syap.g_00613	Prbk.g_00917
OG0000860	Syap.g_00623	Prbk.g_00905
OG0000861	Syap.g_02789	Prbk.g_00904
OG0000862	Syap.g_01789	Prbk.g_00902
OG0000863	Syap.g_01784	Prbk.g_01451
OG0000864	Syap.g_01783	Prbk.g_01450
OG0000865	Syap.g_01781, Syap.g_01782	Prbk.g_01449
OG0000866	Syap.g_01780	Prbk.g_01448
OG0000867	Syap.g_01779	Prbk.g_01447
OG0000868	Syap.g_01775	Prbk.g_01445
OG0000869	Syap.g_01770	Prbk.g_01442
OG0000870	Syap.g_01401	Prbk.g_01437
OG0000871	Syap.g_01400	Prbk.g_01436
OG0000872	Syap.g_01394	Prbk.g_01434
OG0000873	Syap.g_01390	Prbk.g_01431
OG0000874	Syap.g_01388	Prbk.g_01427
OG0000875	Syap.g_01386	Prbk.g_01426
OG0000876	Syap.g_00822	Prbk.g_01425
OG0000877	Syap.g_01380	Prbk.g_01422
OG0000878	Syap.g_01378	Prbk.g_01421
OG0000879	Syap.g_01377	Prbk.g_01420
OG0000880	Syap.g_01376	Prbk.g_01419
OG0000882	Syap.g_01516	Prbk.g_01409
OG0000883	Syap.g_01511	Prbk.g_01407
OG0000884	Syap.g_01509	Prbk.g_01405
OG0000885	Syap.g_01508	Prbk.g_01404
OG0000886	Syap.g_01507	Prbk.g_01403
OG0000887	Syap.g_01506	Prbk.g_01402
OG0000888	Syap.g_01504	Prbk.g_01400
OG0000889	Syap.g_01502	Prbk.g_01398
OG0000890	Syap.g_01499	Prbk.g_01384
OG0000891	Syap.g_01498	Prbk.g_01383
OG0000892	Syap.g_02671	Prbk.g_01381
OG0000893	Syap.g_02497	Prbk.g_01901
OG0000894	Syap.g_02679	Prbk.g_01905
OG0000895	Syap.g_00546	Prbk.g_01910
OG0000896	Syap.g_00545	Prbk.g_01911
OG0000897	Syap.g_00543	Prbk.g_01913
OG0000898	Syap.g_00542	Prbk.g_01914
OG0000899	Syap.g_00541	Prbk.g_01915
OG0000900	Syap.g_00540	Prbk.g_01916
OG0000901	Syap.g_01930	Prbk.g_01920
OG0000902	Syap.g_01929	Prbk.g_01922
OG0000903	Syap.g_01916	Prbk.g_00990
OG0000904	Syap.g_01922	Prbk.g_00995
OG0000905	Syap.g_01925	Prbk.g_00997
OG0000906	Syap.g_01927	Prbk.g_01926
OG0000907	Syap.g_01914	Prbk.g_00988
OG0000908	Syap.g_01235	Prbk.g_00985
OG0000909	Syap.g_01236	Prbk.g_00984
OG0000910	Syap.g_01237	Prbk.g_00983
OG0000911	Syap.g_00511	Prbk.g_00981
OG0000912	Syap.g_00510	Prbk.g_00980
OG0000913	Syap.g_00509	Prbk.g_00979
OG0000914	Syap.g_00508	Prbk.g_00978
OG0000915	Syap.g_00506	Prbk.g_00977
OG0000916	Syap.g_00505	Prbk.g_00976
OG0000917	Syap.g_00504	Prbk.g_00975
OG0000918	Syap.g_00503	Prbk.g_00974
OG0000919	Syap.g_00502	Prbk.g_00973
OG0000920	Syap.g_00501	Prbk.g_00972
OG0000921	Syap.g_00500	Prbk.g_00971
OG0000922	Syap.g_00499	Prbk.g_00970
OG0000923	Syap.g_00495	Prbk.g_00966
OG0000924	Syap.g_00494	Prbk.g_00965
OG0000925	Syap.g_00493	Prbk.g_00964
OG0000926	Syap.g_00492	Prbk.g_00963
OG0000927	Syap.g_00490	Prbk.g_00961
OG0000928	Syap.g_00489	Prbk.g_00960
OG0000929	Syap.g_00488	Prbk.g_00959
OG0000930	Syap.g_00487	Prbk.g_00958
OG0000931	Syap.g_00486	Prbk.g_00957
OG0000932	Syap.g_00485	Prbk.g_00956
OG0000933	Syap.g_00479	Prbk.g_00951
OG0000934	Syap.g_00477	Prbk.g_00949
OG0000935	Syap.g_00476	Prbk.g_00948
OG0000936	Syap.g_00475	Prbk.g_00947
OG0000937	Syap.g_00474	Prbk.g_00946
OG0000938	Syap.g_00471	Prbk.g_00797
OG0000939	Syap.g_00469	Prbk.g_00798
OG0000940	Syap.g_00460	Prbk.g_00807
OG0000941	Syap.g_00458	Prbk.g_00809
OG0000942	Syap.g_00606	Prbk.g_00811
OG0000943	Syap.g_00604	Prbk.g_00812
OG0000944	Syap.g_00602	Prbk.g_00814
OG0000945	Syap.g_00601	Prbk.g_00816
OG0000946	Syap.g_00595	Prbk.g_00844
OG0000947	Syap.g_00591	Prbk.g_00847
OG0000948	Syap.g_00590	Prbk.g_00848
OG0000949	Syap.g_01051	Prbk.g_00851
OG0000950	Syap.g_01061	Prbk.g_00513
OG0000951	Syap.g_01070	Prbk.g_00518
OG0000952	Syap.g_01074	Prbk.g_00525
OG0000953	Syap.g_01078	Prbk.g_00529
OG0000954	Syap.g_01089	Prbk.g_00216
OG0000955	Syap.g_01090	Prbk.g_00217
OG0000956	Syap.g_01092	Prbk.g_00219
OG0000957	Syap.g_01109	Prbk.g_00235
OG0000958	Syap.g_01110	Prbk.g_00236
OG0000959	Syap.g_01114	Prbk.g_01482
OG0000960	Syap.g_01115	Prbk.g_01483
OG0000961	Syap.g_02170	Prbk.g_01494
OG0000962	Syap.g_01121	Prbk.g_01530
OG0000963	Syap.g_01124	Prbk.g_01535
OG0000964	Syap.g_01125	Prbk.g_01536
OG0000965	Syap.g_01126	Prbk.g_01537
OG0000966	Syap.g_01141	Prbk.g_01571
OG0000967	Syap.g_00633	Prbk.g_01577
OG0000968	Syap.g_00998	Prbk.g_01580
OG0000969	Syap.g_00996	Prbk.g_01582
OG0000970	Syap.g_00995	Prbk.g_01583
OG0000971	Syap.g_00993	Prbk.g_01585
OG0000972	Syap.g_00992	Prbk.g_01586
OG0000973	Syap.g_00991	Prbk.g_01587
OG0000974	Syap.g_00990	Prbk.g_01588
OG0000975	Syap.g_00989	Prbk.g_01589
OG0000976	Syap.g_00988	Prbk.g_01590
OG0000977	Syap.g_00986	Prbk.g_01592
OG0000978	Syap.g_00985	Prbk.g_01593
OG0000979	Syap.g_00980	Prbk.g_01596
OG0000980	Syap.g_00977	Prbk.g_01600
OG0000981	Syap.g_01812	Prbk.g_01603
OG0000982	Syap.g_00132	Prbk.g_02161
OG0000983	Syap.g_00134	Prbk.g_02162
OG0000984	Syap.g_00135	Prbk.g_02163
OG0000985	Syap.g_00140	Prbk.g_02167
OG0000986	Syap.g_01044	Prbk.g_02169
OG0000987	Syap.g_01033	Prbk.g_02171
OG0000988	Syap.g_01027	Prbk.g_02175
OG0000989	Syap.g_01011	Prbk.g_02185
OG0000990	Syap.g_02087	Prbk.g_02207
OG0000991	Syap.g_02091	Prbk.g_02210
OG0000992	Syap.g_02095	Prbk.g_02213
OG0000993	Syap.g_02097	Prbk.g_02214
OG0000994	Syap.g_02101	Prbk.g_02217
OG0000996	Syap.g_01817	Prbk.g_02239
OG0000997	Syap.g_02590	Prbk.g_02248
OG0000998	Syap.g_02591	Prbk.g_02250
OG0000999	Syap.g_02592	Prbk.g_02251
OG0001001	Syap.g_02605	Prbk.g_02258
OG0001002	Syap.g_00124	Prbk.g_02265
OG0001003	Syap.g_02310	Prbk.g_02267
OG0001004	Syap.g_02311	Prbk.g_02268
OG0001005	Syap.g_02312	Prbk.g_02270
OG0001006	Syap.g_00053	Prbk.g_02276
OG0001007	Syap.g_00055	Prbk.g_02278
OG0001008	Syap.g_02060	Prbk.g_00327
OG0001012	Syap.g_00371	Prbk.g_02158
OG0001013	Syap.g_01325	Prbk.g_02133
OG0001016	Syap.g_01695	Prbk.g_01315
OG0001033	Syap.g_00105	Prbk.g_00633
OG0001035	Syap.g_01594	Prbk.g_00372
OG0001038	Syap.g_01362	Prbk.g_00415
OG0001039	Syap.g_01359	Prbk.g_00418
OG0001040	Syap.g_01356	Prbk.g_00421
OG0001041	Syap.g_01352	Prbk.g_00426
OG0001043	Syap.g_01676	Prbk.g_00453
OG0001044	Syap.g_00571	Prbk.g_00870
OG0001053	Syap.g_02253	Prbk.g_02064
OG0001054	Syap.g_00274	Prbk.g_01861
OG0001055	Syap.g_00252	Prbk.g_01056
OG0001059	Syap.g_00306	Prbk.g_01889
OG0001060	Syap.g_00299	Prbk.g_01882
OG0001061	Syap.g_01309	Prbk.g_01109
OG0001062	Syap.g_01314	Prbk.g_01111
OG0001072	Syap.g_00441	Prbk.g_01129
OG0001073	Syap.g_00122, Syap.g_00455	Prbk.g_01148
OG0001078	Syap.g_00896	Prbk.g_02632
OG0001080	Syap.g_02505	Prbk.g_00738
OG0001085	Syap.g_01953	Prbk.g_00708
OG0001094	Syap.g_00187	Prbk.g_02462
OG0001095	Syap.g_02725	Prbk.g_02481
OG0001096	Syap.g_02709	Prbk.g_02497
OG0001100	Syap.g_02369	Prbk.g_02389
OG0001102	Syap.g_01258	Prbk.g_02393
OG0001103	Syap.g_01256	Prbk.g_02395
OG0001104	Syap.g_00171	Prbk.g_02452
OG0001105	Syap.g_00175	Prbk.g_02447
OG0001107	Syap.g_02015	Prbk.g_02326
OG0001108	Syap.g_00119	Prbk.g_02319
OG0001122	Syap.g_02766	Prbk.g_00581
OG0001123	Syap.g_01872	Prbk.g_00588
OG0001133	Syap.g_01292	Prbk.g_02613
OG0001136	Syap.g_00230	Prbk.g_01021
OG0001137	Syap.g_00213	Prbk.g_00155
OG0001140	Syap.g_02134	Prbk.g_00134
OG0001152	Syap.g_02447	Prbk.g_02036
OG0001154	Syap.g_00013	Prbk.g_01216
OG0001155	Syap.g_00750	Prbk.g_02004
OG0001160	Syap.g_01217	Prbk.g_00934
OG0001162	Syap.g_02366	Prbk.g_01788
OG0001163	Syap.g_00609	Prbk.g_00920
OG0001164	Syap.g_00614	Prbk.g_00915
OG0001165	Syap.g_00619	Prbk.g_00912
OG0001168	Syap.g_01372	Prbk.g_01415
OG0001171	Syap.g_01505	Prbk.g_01401
OG0001172	Syap.g_00547	Prbk.g_01908
OG0001177	Syap.g_01920	Prbk.g_00993
OG0001178	Syap.g_01786, Syap.g_01787	Prbk.g_00901
OG0001179	Syap.g_00491	Prbk.g_00962
OG0001180	Syap.g_00097, Syap.g_00465	Prbk.g_00804
OG0001181	Syap.g_00459	Prbk.g_00808
OG0001183	Syap.g_00594	Prbk.g_00845
OG0001185	Syap.g_01104	Prbk.g_00231
OG0001186	Syap.g_01140	Prbk.g_01568
OG0001187	Syap.g_01142	Prbk.g_01572
OG0001188	Syap.g_00634	Prbk.g_01576
OG0001189	Syap.g_00979	Prbk.g_01598
OG0001191	Syap.g_01030	Prbk.g_02173
OG0001192	Syap.g_01021	Prbk.g_02180
OG0001197	Syap.g_00126	Prbk.g_02263
OG0001198	Syap.g_00052	Prbk.g_02275
OG0001199	Syap.g_01696	Prbk.g_01314
OG0001200	Syap.g_01698	Prbk.g_01312
OG0001202	Syap.g_01613	Prbk.g_01254
OG0001203	Syap.g_01154	Prbk.g_01519
OG0001204	Syap.g_01577	Prbk.g_01013
OG0001214	Syap.g_00897	Prbk.g_02633
OG0001217	Syap.g_01464	Prbk.g_01872
OG0001218	Syap.g_00020	Prbk.g_01205
OG0001219	Syap.g_02794	Prbk.g_02367
OG0001221	Syap.g_01777	Prbk.g_02420
OG0001222	Syap.g_02027	Prbk.g_02189
OG0001224	Syap.g_01551	Prbk.g_00060
OG0001225	Syap.g_01553	Prbk.g_00058
OG0001226	Syap.g_02551	Prbk.g_01682
OG0001228	Syap.g_01063	Prbk.g_00183
OG0001229	Syap.g_00827	Prbk.g_00923
OG0001230	Syap.g_02116	Prbk.g_00249
OG0001231	Syap.g_00073	Prbk.g_01637
OG0001232	Syap.g_01393	Prbk.g_01433
OG0001235	Syap.g_01924	Prbk.g_00996
OG0001236	Syap.g_01069	Prbk.g_00517
OG0001237	Syap.g_01073	Prbk.g_00524
OG0001238	Syap.g_01028	Prbk.g_02174
OG0001239	Syap.g_01693, Syap.g_01692	Prbk.g_01317
OG0001242	Syap.g_02227, Syap.g_02229	Prbk.g_00200
OG0001243	Syap.g_02219	Prbk.g_00541
OG0001246	Syap.g_00267, Syap.g_01165	Prbk.g_01044
OG0001248	Syap.g_00423	Prbk.g_01805
OG0001249	Syap.g_00575	Prbk.g_00865
OG0001250	Syap.g_01836	Prbk.g_02538
OG0001253	Syap.g_01969	Prbk.g_01700
OG0001255	Syap.g_02523	Prbk.g_01776
OG0001258	Syap.g_00617	Prbk.g_00914
OG0001260	Syap.g_01497	Prbk.g_01382
OG0001261	Syap.g_00482	Prbk.g_00953
OG0001262	Syap.g_00981	Prbk.g_01595
OG0001263	Syap.g_02216	Prbk.g_00543
OG0001265	Syap.g_02231	Prbk.g_00198
OG0001266	Syap.g_01618	Prbk.g_01250
OG0001267	Syap.g_01360	Prbk.g_00417
OG0001268	Syap.g_00563	Prbk.g_00877
OG0001270	Syap.g_02056	Prbk.g_00330
OG0001271	Syap.g_02759	Prbk.g_02110
OG0001272	Syap.g_02250	Prbk.g_02067
OG0001274	Syap.g_01897	Prbk.g_00651
OG0001275	Syap.g_02694	Prbk.g_00570
OG0001276	Syap.g_01873	Prbk.g_00587
OG0001277	Syap.g_01293	Prbk.g_02247
OG0001278	Syap.g_02438	Prbk.g_00176
OG0001279	Syap.g_02663	Prbk.g_01933
OG0001286	Syap.g_00467	Prbk.g_00802
OG0001288	Syap.g_01123	Prbk.g_01534
OG0001291	Syap.g_02207	Prbk.g_00553
OG0001292	Syap.g_01583	Prbk.g_01007
OG0001297	Syap.g_00255	Prbk.g_01053
OG0001303	Syap.g_02795	Prbk.g_02365
OG0001307	Syap.g_00403	Prbk.g_01198
OG0001308	Syap.g_02751, Syap.g_02750	Prbk.g_00277
OG0001310	Syap.g_01774	Prbk.g_01444
OG0001311	Syap.g_01871	Prbk.g_00589
OG0001312	Syap.g_01735	Prbk.g_02354
OG0001319	Syap.g_02338	Prbk.g_00407
OG0001323	Syap.g_00757	Prbk.g_01062
OG0001326	Syap.g_02646	Prbk.g_02231
OG0001332	Syap.g_01548	Prbk.g_02016
OG0001333	Syap.g_01373	Prbk.g_01416
OG0001336	Syap.g_02602	Prbk.g_02257
OG0001337	Syap.g_00576	Prbk.g_00859
OG0001347	Syap.g_02536	Prbk.g_01542
OG0001348	Syap.g_00938	Prbk.g_00671
OG0001351	Syap.g_01996	Prbk.g_00300
OG0001353	Syap.g_01849	Prbk.g_02529
