Orthogroup	Syap	Prbk
OG0000112	Syap.g_02023	Prbk.g_02332
OG0000113	Syap.g_02714	Prbk.g_02493
OG0000114	Syap.g_01255	Prbk.g_02396
OG0000115	Syap.g_02004	Prbk.g_01234
OG0000116	Syap.g_00241	Prbk.g_01034
OG0000117	Syap.g_01889	Prbk.g_01496
OG0000118	Syap.g_02286	Prbk.g_01169
OG0000120	Syap.g_02075	Prbk.g_00477
OG0000121	Syap.g_02471	Prbk.g_00267, Prbk.g_00261
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Prbk.g_00805
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Prbk.g_01539
OG0000125	Syap.g_01046, Syap.g_01047	Prbk.g_02168
OG0000126	Syap.g_02317, Syap.g_02576, Syap.g_02316	Prbk.g_02272
OG0000128	Syap.g_00069	Prbk.g_02290
OG0000129	Syap.g_00130, Syap.g_00129	Prbk.g_02156
OG0000130	Syap.g_01688, Syap.g_01689	Prbk.g_01320
OG0000131	Syap.g_02189	Prbk.g_00751
OG0000132	Syap.g_01205	Prbk.g_00771
OG0000133	Syap.g_02017	Prbk.g_00472
OG0000134	Syap.g_02047	Prbk.g_00361
OG0000135	Syap.g_02090	Prbk.g_02209
OG0000136	Syap.g_00089	Prbk.g_00323
OG0000137	Syap.g_02756	Prbk.g_02113
OG0000138	Syap.g_00278	Prbk.g_02078
OG0000139	Syap.g_00410	Prbk.g_01086
OG0000140	Syap.g_01976	Prbk.g_01092
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Prbk.g_01154
OG0000142	Syap.g_00895, Syap.g_00894	Prbk.g_02631
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Prbk.g_02635
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Prbk.g_00739
OG0000145	Syap.g_01860, Syap.g_01859	Prbk.g_01863
OG0000146	Syap.g_02024	Prbk.g_02333
OG0000147	Syap.g_02025	Prbk.g_02334
OG0000148	Syap.g_02720	Prbk.g_02487
OG0000149	Syap.g_00824	Prbk.g_02544
OG0000150	Syap.g_01540	Prbk.g_02567
OG0000151	Syap.g_00142	Prbk.g_02417
OG0000152	Syap.g_02012	Prbk.g_02324
OG0000153	Syap.g_02682	Prbk.g_02297
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Prbk.g_00584
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Prbk.g_00099
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Prbk.g_00164
OG0000157	Syap.g_00249, Syap.g_00286	Prbk.g_00163
OG0000158	Syap.g_01075	Prbk.g_00526
