Orthogroup	Syap	Prbb
OG0000580	Syap.g_00454	Prbb.g_00603
OG0000581	Syap.g_01521	Prbb.g_00606
OG0000582	Syap.g_01533	Prbb.g_00609
OG0000583	Syap.g_01532	Prbb.g_00610
OG0000584	Syap.g_01530	Prbb.g_00611
OG0000585	Syap.g_01526	Prbb.g_00613
OG0000586	Syap.g_01525	Prbb.g_00614
OG0000587	Syap.g_01523	Prbb.g_00615
OG0000588	Syap.g_00776	Prbb.g_00619
OG0000589	Syap.g_00941	Prbb.g_00622
OG0000590	Syap.g_00940	Prbb.g_00623
OG0000591	Syap.g_01289	Prbb.g_00626
OG0000592	Syap.g_01288	Prbb.g_00627
OG0000593	Syap.g_00890	Prbb.g_00633
OG0000594	Syap.g_00891	Prbb.g_00634
OG0000595	Syap.g_00892	Prbb.g_00635
OG0000596	Syap.g_00898	Prbb.g_00639
OG0000597	Syap.g_00903	Prbb.g_00641
OG0000598	Syap.g_00904	Prbb.g_00642
OG0000599	Syap.g_00908	Prbb.g_00645
OG0000600	Syap.g_00909	Prbb.g_00646
OG0000601	Syap.g_00910	Prbb.g_00647
OG0000602	Syap.g_00640	Prbb.g_00649
OG0000603	Syap.g_00641	Prbb.g_00650
OG0000604	Syap.g_02769	Prbb.g_00651
OG0000605	Syap.g_02501, Syap.g_02771	Prbb.g_00652
OG0000606	Syap.g_02506	Prbb.g_00655
OG0000607	Syap.g_00093	Prbb.g_00658
OG0000608	Syap.g_00094	Prbb.g_00659
OG0000609	Syap.g_00096	Prbb.g_00660
OG0000610	Syap.g_01963	Prbb.g_00667
OG0000611	Syap.g_01958	Prbb.g_00670
OG0000612	Syap.g_01957	Prbb.g_00671
OG0000613	Syap.g_02480	Prbb.g_00677
OG0000615	Syap.g_00154	Prbb.g_00708
OG0000616	Syap.g_00127	Prbb.g_02176
OG0000617	Syap.g_00513	Prbb.g_00719
OG0000618	Syap.g_00514	Prbb.g_00720
OG0000619	Syap.g_00515	Prbb.g_00721
OG0000620	Syap.g_00520	Prbb.g_00724
OG0000621	Syap.g_00521	Prbb.g_00725
OG0000622	Syap.g_00523	Prbb.g_00726
OG0000623	Syap.g_00526	Prbb.g_00727
OG0000624	Syap.g_00527	Prbb.g_00729
OG0000625	Syap.g_00528	Prbb.g_00730
OG0000626	Syap.g_00529	Prbb.g_00731
OG0000627	Syap.g_00848	Prbb.g_00733
OG0000628	Syap.g_00850	Prbb.g_00734
OG0000629	Syap.g_02334	Prbb.g_00735
OG0000630	Syap.g_02793	Prbb.g_00738
OG0000631	Syap.g_01724	Prbb.g_00962
OG0000632	Syap.g_01725	Prbb.g_00963
OG0000633	Syap.g_01726	Prbb.g_00964
OG0000634	Syap.g_00190	Prbb.g_00779
OG0000635	Syap.g_00191	Prbb.g_00780
OG0000636	Syap.g_00193	Prbb.g_00782
OG0000637	Syap.g_00195	Prbb.g_00784
OG0000638	Syap.g_00196	Prbb.g_00785
OG0000639	Syap.g_00197	Prbb.g_00786
OG0000640	Syap.g_00198	Prbb.g_00787
OG0000641	Syap.g_00203	Prbb.g_00791
OG0000642	Syap.g_02732	Prbb.g_00792
OG0000643	Syap.g_02731	Prbb.g_00793
OG0000644	Syap.g_02730	Prbb.g_00794
OG0000645	Syap.g_02726	Prbb.g_00795
OG0000646	Syap.g_02723	Prbb.g_00798
OG0000647	Syap.g_02721	Prbb.g_00800
OG0000648	Syap.g_02719	Prbb.g_00802
OG0000649	Syap.g_02718	Prbb.g_00803
OG0000650	Syap.g_02717	Prbb.g_00804
OG0000651	Syap.g_02716	Prbb.g_00805
OG0000652	Syap.g_02715	Prbb.g_00806
OG0000653	Syap.g_02713	Prbb.g_00808
OG0000654	Syap.g_02711	Prbb.g_00809
OG0000655	Syap.g_02710	Prbb.g_00810
OG0000656	Syap.g_02706	Prbb.g_00813
OG0000657	Syap.g_01845	Prbb.g_00819
OG0000658	Syap.g_01841	Prbb.g_00821
OG0000659	Syap.g_01840	Prbb.g_00822
OG0000660	Syap.g_01835	Prbb.g_00827
OG0000662	Syap.g_00823	Prbb.g_00831
OG0000663	Syap.g_00826	Prbb.g_00833
OG0000664	Syap.g_00828	Prbb.g_00834
OG0000665	Syap.g_02331	Prbb.g_00838
OG0000666	Syap.g_01573	Prbb.g_00839
OG0000667	Syap.g_01979	Prbb.g_00843
OG0000668	Syap.g_02765	Prbb.g_00914
OG0000669	Syap.g_02371	Prbb.g_00922
OG0000670	Syap.g_02368	Prbb.g_00925
OG0000671	Syap.g_01260	Prbb.g_00927
OG0000672	Syap.g_01257	Prbb.g_00930
OG0000673	Syap.g_01253	Prbb.g_00933
OG0000674	Syap.g_01251	Prbb.g_00935
OG0000675	Syap.g_01250	Prbb.g_00936
OG0000676	Syap.g_01248	Prbb.g_00938
OG0000677	Syap.g_01246	Prbb.g_00939
OG0000678	Syap.g_01239	Prbb.g_00942
OG0000679	Syap.g_00157	Prbb.g_00946
OG0000680	Syap.g_00158	Prbb.g_00947
OG0000681	Syap.g_00163	Prbb.g_00950
OG0000682	Syap.g_00165	Prbb.g_00951
OG0000683	Syap.g_00166	Prbb.g_00952
OG0000684	Syap.g_00169	Prbb.g_00762
OG0000685	Syap.g_00172	Prbb.g_00764
OG0000686	Syap.g_00173	Prbb.g_00765
OG0000687	Syap.g_00174	Prbb.g_00766
OG0000688	Syap.g_00178	Prbb.g_00769
OG0000689	Syap.g_00180	Prbb.g_00770
OG0000690	Syap.g_00181	Prbb.g_00771
OG0000691	Syap.g_00182	Prbb.g_00772
OG0000692	Syap.g_00184	Prbb.g_00774
OG0000693	Syap.g_00185	Prbb.g_00775
OG0000694	Syap.g_00186	Prbb.g_00776
OG0000695	Syap.g_01729	Prbb.g_00966
OG0000696	Syap.g_01730	Prbb.g_00967
OG0000697	Syap.g_01734	Prbb.g_00968
OG0000698	Syap.g_01737	Prbb.g_00971
OG0000699	Syap.g_01738	Prbb.g_00972
OG0000700	Syap.g_01739	Prbb.g_00973
OG0000701	Syap.g_01740	Prbb.g_00974
OG0000702	Syap.g_01747	Prbb.g_00976
OG0000703	Syap.g_01750	Prbb.g_00977
OG0000704	Syap.g_01753	Prbb.g_00978
OG0000705	Syap.g_02022	Prbb.g_00984
OG0000706	Syap.g_02020	Prbb.g_00985
OG0000707	Syap.g_02019	Prbb.g_00986
OG0000708	Syap.g_02016	Prbb.g_00988
OG0000709	Syap.g_00121	Prbb.g_00992
OG0000711	Syap.g_02686	Prbb.g_01010
OG0000712	Syap.g_02688	Prbb.g_01012
OG0000713	Syap.g_02689	Prbb.g_01013
OG0000714	Syap.g_02691	Prbb.g_01014
OG0000715	Syap.g_02693	Prbb.g_01016
OG0000716	Syap.g_02696	Prbb.g_01017
OG0000717	Syap.g_02697	Prbb.g_01018
OG0000718	Syap.g_02701	Prbb.g_01036
OG0000719	Syap.g_02767	Prbb.g_01037
OG0000720	Syap.g_02780	Prbb.g_01048
OG0000721	Syap.g_02782	Prbb.g_01049
OG0000722	Syap.g_02783	Prbb.g_01050
OG0000723	Syap.g_00532	Prbb.g_01054
OG0000725	Syap.g_01559	Prbb.g_00891
OG0000726	Syap.g_01560	Prbb.g_00890
OG0000727	Syap.g_01561	Prbb.g_00889
OG0000728	Syap.g_01564	Prbb.g_00887
OG0000729	Syap.g_01122	Prbb.g_02071
OG0000730	Syap.g_00572	Prbb.g_00392
OG0000731	Syap.g_00560	Prbb.g_00400
OG0000732	Syap.g_00111, Syap.g_00976, Syap.g_01814	Prbb.g_02121
OG0000733	Syap.g_01971	Prbb.g_01888
OG0000734	Syap.g_02628	Prbb.g_01533
OG0000735	Syap.g_00244	Prbb.g_01531
OG0000736	Syap.g_00243	Prbb.g_01530
OG0000737	Syap.g_00242	Prbb.g_01529
OG0000738	Syap.g_00236	Prbb.g_01525
OG0000739	Syap.g_00235	Prbb.g_01524
OG0000740	Syap.g_00234	Prbb.g_01523
OG0000741	Syap.g_00231	Prbb.g_01521
OG0000742	Syap.g_00229	Prbb.g_01518
OG0000743	Syap.g_00226	Prbb.g_01516
OG0000744	Syap.g_00225	Prbb.g_01515
OG0000745	Syap.g_00222	Prbb.g_01513
OG0000746	Syap.g_00220	Prbb.g_01511
OG0000747	Syap.g_00219	Prbb.g_01510
OG0000748	Syap.g_00212	Prbb.g_01506
OG0000749	Syap.g_00211	Prbb.g_01505
OG0000750	Syap.g_00210	Prbb.g_01504
OG0000751	Syap.g_00205	Prbb.g_01501
OG0000752	Syap.g_01793	Prbb.g_01499
OG0000753	Syap.g_02775	Prbb.g_01497
OG0000754	Syap.g_01883	Prbb.g_01493
OG0000755	Syap.g_01893	Prbb.g_01488
OG0000757	Syap.g_00427	Prbb.g_01480
OG0000758	Syap.g_00428	Prbb.g_01479
OG0000759	Syap.g_00429	Prbb.g_01478
OG0000760	Syap.g_00430	Prbb.g_01477
OG0000761	Syap.g_00431	Prbb.g_01476
OG0000762	Syap.g_00434	Prbb.g_01475
OG0000763	Syap.g_02624	Prbb.g_01473
OG0000764	Syap.g_02623	Prbb.g_01472
OG0000765	Syap.g_02440	Prbb.g_01463
OG0000766	Syap.g_02439	Prbb.g_01462
OG0000767	Syap.g_02437	Prbb.g_01461
OG0000768	Syap.g_02436	Prbb.g_01460
OG0000769	Syap.g_02434	Prbb.g_01458
OG0000770	Syap.g_02431	Prbb.g_01457
OG0000772	Syap.g_02295	Prbb.g_01291
OG0000773	Syap.g_00885	Prbb.g_01577
OG0000774	Syap.g_01473	Prbb.g_01580
OG0000775	Syap.g_01475	Prbb.g_01581
OG0000776	Syap.g_01476	Prbb.g_01582
OG0000777	Syap.g_01478	Prbb.g_01583
OG0000778	Syap.g_01479	Prbb.g_01584
OG0000779	Syap.g_01494	Prbb.g_01588
OG0000780	Syap.g_01496	Prbb.g_01589
OG0000781	Syap.g_02609	Prbb.g_01592
OG0000782	Syap.g_02611	Prbb.g_01593
OG0000783	Syap.g_02612	Prbb.g_01594
OG0000784	Syap.g_02613	Prbb.g_01595
OG0000785	Syap.g_02281	Prbb.g_01597
OG0000786	Syap.g_02287	Prbb.g_01600
OG0000787	Syap.g_02288	Prbb.g_01601
OG0000788	Syap.g_01932	Prbb.g_00746
OG0000789	Syap.g_00372	Prbb.g_01057
OG0000791	Syap.g_02520	Prbb.g_01646
OG0000792	Syap.g_02519	Prbb.g_01647
OG0000793	Syap.g_02141	Prbb.g_01650
OG0000794	Syap.g_02200	Prbb.g_01651
OG0000795	Syap.g_02199	Prbb.g_01652
OG0000796	Syap.g_02448	Prbb.g_01656
OG0000797	Syap.g_02449	Prbb.g_01657
OG0000798	Syap.g_01269	Prbb.g_00858
OG0000799	Syap.g_02488	Prbb.g_01668
OG0000800	Syap.g_02487	Prbb.g_01669
OG0000801	Syap.g_02486	Prbb.g_01670
OG0000802	Syap.g_02659	Prbb.g_01672
OG0000803	Syap.g_02109	Prbb.g_01674
OG0000804	Syap.g_02113	Prbb.g_01675
OG0000805	Syap.g_02115	Prbb.g_01677
OG0000806	Syap.g_02117	Prbb.g_01679
OG0000807	Syap.g_02118	Prbb.g_01680
OG0000808	Syap.g_02119	Prbb.g_01681
OG0000809	Syap.g_02122	Prbb.g_01684
OG0000810	Syap.g_02124	Prbb.g_01685
OG0000811	Syap.g_02472	Prbb.g_01689
OG0000812	Syap.g_02474	Prbb.g_01691
OG0000813	Syap.g_02475	Prbb.g_01692
OG0000814	Syap.g_02753	Prbb.g_01694
OG0000815	Syap.g_02752	Prbb.g_01695
OG0000816	Syap.g_02289	Prbb.g_01697
OG0000817	Syap.g_02527	Prbb.g_01698
OG0000818	Syap.g_02001	Prbb.g_01702
OG0000819	Syap.g_02002	Prbb.g_01703
OG0000820	Syap.g_02003	Prbb.g_01704
OG0000821	Syap.g_02009	Prbb.g_01707
OG0000822	Syap.g_02011	Prbb.g_01708
OG0000824	Syap.g_00008	Prbb.g_01712
OG0000825	Syap.g_00009	Prbb.g_01713
OG0000826	Syap.g_00010	Prbb.g_01714
OG0000827	Syap.g_00011	Prbb.g_01715
OG0000828	Syap.g_00014	Prbb.g_01718
OG0000829	Syap.g_00015	Prbb.g_01719
OG0000830	Syap.g_00016	Prbb.g_01720
OG0000831	Syap.g_00019	Prbb.g_01722
OG0000832	Syap.g_00752	Prbb.g_01732
OG0000833	Syap.g_00021	Prbb.g_01740
OG0000834	Syap.g_00023	Prbb.g_01741
OG0000835	Syap.g_00024	Prbb.g_01742
OG0000836	Syap.g_00026	Prbb.g_01744
OG0000837	Syap.g_00027	Prbb.g_01745
OG0000838	Syap.g_00031	Prbb.g_01747
OG0000839	Syap.g_00032	Prbb.g_01748
OG0000840	Syap.g_00033	Prbb.g_01749
OG0000841	Syap.g_00034	Prbb.g_01750
OG0000842	Syap.g_00035	Prbb.g_01751
OG0000843	Syap.g_00036	Prbb.g_01752
OG0000844	Syap.g_00039	Prbb.g_01753
OG0000845	Syap.g_00040	Prbb.g_01754
OG0000846	Syap.g_00042	Prbb.g_01755
OG0000847	Syap.g_00043	Prbb.g_01756
OG0000848	Syap.g_00045	Prbb.g_01757
OG0000849	Syap.g_00046	Prbb.g_01758
OG0000850	Syap.g_00310	Prbb.g_01760
OG0000851	Syap.g_01214	Prbb.g_01761
OG0000852	Syap.g_01215	Prbb.g_01762
OG0000853	Syap.g_01219	Prbb.g_01767
OG0000854	Syap.g_01222	Prbb.g_01769
OG0000855	Syap.g_01223	Prbb.g_01770
OG0000856	Syap.g_01286	Prbb.g_01659
OG0000857	Syap.g_02722	Prbb.g_00799
OG0000858	Syap.g_00612	Prbb.g_01817
OG0000859	Syap.g_00613	Prbb.g_01818
OG0000860	Syap.g_00623	Prbb.g_01825
OG0000861	Syap.g_02789	Prbb.g_01826
OG0000862	Syap.g_01789	Prbb.g_01827
OG0000863	Syap.g_01784	Prbb.g_01828
OG0000864	Syap.g_01783	Prbb.g_01829
OG0000865	Syap.g_01781, Syap.g_01782	Prbb.g_01830
OG0000866	Syap.g_01780	Prbb.g_01831
OG0000867	Syap.g_01779	Prbb.g_01832
OG0000868	Syap.g_01775	Prbb.g_01833
OG0000869	Syap.g_01770	Prbb.g_01836
OG0000870	Syap.g_01401	Prbb.g_01841
OG0000871	Syap.g_01400	Prbb.g_01842
OG0000872	Syap.g_01394	Prbb.g_01843
OG0000873	Syap.g_01390	Prbb.g_01846
OG0000874	Syap.g_01388	Prbb.g_01849
OG0000875	Syap.g_01386	Prbb.g_01851
OG0000876	Syap.g_00822	Prbb.g_01852
OG0000877	Syap.g_01380	Prbb.g_01854
OG0000878	Syap.g_01378	Prbb.g_01855
OG0000879	Syap.g_01377	Prbb.g_01856
OG0000880	Syap.g_01376	Prbb.g_01857
OG0000882	Syap.g_01516	Prbb.g_01865
OG0000883	Syap.g_01511	Prbb.g_01867
OG0000884	Syap.g_01509	Prbb.g_01869
OG0000885	Syap.g_01508	Prbb.g_01870
OG0000886	Syap.g_01507	Prbb.g_01871
OG0000887	Syap.g_01506	Prbb.g_01872
OG0000888	Syap.g_01504	Prbb.g_01874
OG0000889	Syap.g_01502	Prbb.g_01876
OG0000890	Syap.g_01499	Prbb.g_01877
OG0000891	Syap.g_01498	Prbb.g_01878
OG0000892	Syap.g_02671	Prbb.g_01880
OG0000893	Syap.g_02497	Prbb.g_01922
OG0000894	Syap.g_02679	Prbb.g_01925
OG0000895	Syap.g_00546	Prbb.g_01928
OG0000896	Syap.g_00545	Prbb.g_01929
OG0000897	Syap.g_00543	Prbb.g_01931
OG0000898	Syap.g_00542	Prbb.g_01932
OG0000899	Syap.g_00541	Prbb.g_01933
OG0000900	Syap.g_00540	Prbb.g_01934
OG0000901	Syap.g_01930	Prbb.g_01937
OG0000902	Syap.g_01929	Prbb.g_01939
OG0000903	Syap.g_01916	Prbb.g_01948
OG0000904	Syap.g_01922	Prbb.g_01943
OG0000905	Syap.g_01925	Prbb.g_01941
OG0000906	Syap.g_01927	Prbb.g_01940
OG0000907	Syap.g_01914	Prbb.g_01958
OG0000908	Syap.g_01235	Prbb.g_01961
OG0000909	Syap.g_01236	Prbb.g_01962
OG0000910	Syap.g_01237	Prbb.g_01963
OG0000911	Syap.g_00511	Prbb.g_01965
OG0000912	Syap.g_00510	Prbb.g_01966
OG0000913	Syap.g_00509	Prbb.g_01967
OG0000914	Syap.g_00508	Prbb.g_01968
OG0000915	Syap.g_00506	Prbb.g_01969
OG0000916	Syap.g_00505	Prbb.g_01970
OG0000917	Syap.g_00504	Prbb.g_01971
OG0000918	Syap.g_00503	Prbb.g_01972
OG0000919	Syap.g_00502	Prbb.g_01973
OG0000920	Syap.g_00501	Prbb.g_01974
OG0000921	Syap.g_00500	Prbb.g_01975
OG0000922	Syap.g_00499	Prbb.g_01976
OG0000923	Syap.g_00495	Prbb.g_01980
OG0000924	Syap.g_00494	Prbb.g_01981
OG0000925	Syap.g_00493	Prbb.g_01982
OG0000926	Syap.g_00492	Prbb.g_01983
OG0000927	Syap.g_00490	Prbb.g_01985
OG0000928	Syap.g_00489	Prbb.g_01986
OG0000929	Syap.g_00488	Prbb.g_01987
OG0000930	Syap.g_00487	Prbb.g_01988
OG0000931	Syap.g_00486	Prbb.g_01989
OG0000932	Syap.g_00485	Prbb.g_01990
OG0000933	Syap.g_00479	Prbb.g_01994
OG0000934	Syap.g_00477	Prbb.g_01996
OG0000935	Syap.g_00476	Prbb.g_01997
OG0000936	Syap.g_00475	Prbb.g_01998
OG0000937	Syap.g_00474	Prbb.g_01999
OG0000938	Syap.g_00471	Prbb.g_02002
OG0000939	Syap.g_00469	Prbb.g_02003
OG0000940	Syap.g_00460	Prbb.g_02010
OG0000941	Syap.g_00458	Prbb.g_02012
OG0000942	Syap.g_00606	Prbb.g_02014
OG0000943	Syap.g_00604	Prbb.g_02015
OG0000944	Syap.g_00602	Prbb.g_02017
OG0000945	Syap.g_00601	Prbb.g_02018
OG0000946	Syap.g_00595	Prbb.g_02024
OG0000947	Syap.g_00591	Prbb.g_02026
OG0000948	Syap.g_00590	Prbb.g_02027
OG0000949	Syap.g_01051	Prbb.g_02030
OG0000950	Syap.g_01061	Prbb.g_02035
OG0000951	Syap.g_01070	Prbb.g_02039
OG0000952	Syap.g_01074	Prbb.g_02043
OG0000953	Syap.g_01078	Prbb.g_02047
OG0000954	Syap.g_01089	Prbb.g_02051
OG0000955	Syap.g_01090	Prbb.g_02052
OG0000956	Syap.g_01092	Prbb.g_02054
OG0000957	Syap.g_01109	Prbb.g_02059
OG0000958	Syap.g_01110	Prbb.g_02060
OG0000959	Syap.g_01114	Prbb.g_02064
OG0000960	Syap.g_01115	Prbb.g_02065
OG0000961	Syap.g_02170	Prbb.g_02068
OG0000962	Syap.g_01121	Prbb.g_02070
OG0000963	Syap.g_01124	Prbb.g_02075
OG0000964	Syap.g_01125	Prbb.g_02076
OG0000965	Syap.g_01126	Prbb.g_02077
OG0000966	Syap.g_01141	Prbb.g_02099
OG0000967	Syap.g_00633	Prbb.g_02103
OG0000968	Syap.g_00998	Prbb.g_02105
OG0000969	Syap.g_00996	Prbb.g_02106
OG0000970	Syap.g_00995	Prbb.g_02107
OG0000971	Syap.g_00993	Prbb.g_02108
OG0000972	Syap.g_00992	Prbb.g_02109
OG0000973	Syap.g_00991	Prbb.g_02110
OG0000974	Syap.g_00990	Prbb.g_02111
OG0000975	Syap.g_00989	Prbb.g_02112
OG0000976	Syap.g_00988	Prbb.g_02113
OG0000977	Syap.g_00986	Prbb.g_02114
OG0000978	Syap.g_00985	Prbb.g_02115
OG0000979	Syap.g_00980	Prbb.g_02118
OG0000980	Syap.g_00977	Prbb.g_02120
OG0000981	Syap.g_01812	Prbb.g_02123
OG0000982	Syap.g_00132	Prbb.g_02125
OG0000983	Syap.g_00134	Prbb.g_02126
OG0000984	Syap.g_00135	Prbb.g_02127
OG0000985	Syap.g_00140	Prbb.g_02130
OG0000986	Syap.g_01044	Prbb.g_02132
OG0000987	Syap.g_01033	Prbb.g_02133
OG0000988	Syap.g_01027	Prbb.g_02136
OG0000989	Syap.g_01011	Prbb.g_02140
OG0000990	Syap.g_02087	Prbb.g_02145
OG0000991	Syap.g_02091	Prbb.g_02146
OG0000992	Syap.g_02095	Prbb.g_02149
OG0000993	Syap.g_02097	Prbb.g_02150
OG0000994	Syap.g_02101	Prbb.g_02151
OG0000996	Syap.g_01817	Prbb.g_02156
OG0000997	Syap.g_02590	Prbb.g_02164
OG0000998	Syap.g_02591	Prbb.g_02166
OG0000999	Syap.g_02592	Prbb.g_02167
OG0001001	Syap.g_02605	Prbb.g_02173
OG0001002	Syap.g_00124	Prbb.g_02178
OG0001003	Syap.g_02310	Prbb.g_02180
OG0001004	Syap.g_02311	Prbb.g_02181
OG0001005	Syap.g_02312	Prbb.g_02182
OG0001006	Syap.g_00053	Prbb.g_02187
OG0001007	Syap.g_00055	Prbb.g_02189
OG0001008	Syap.g_02060	Prbb.g_00442
OG0001012	Syap.g_00371	Prbb.g_00058
OG0001013	Syap.g_01325	Prbb.g_00063
OG0001016	Syap.g_01695	Prbb.g_00128
OG0001033	Syap.g_00105	Prbb.g_00264
OG0001035	Syap.g_01594	Prbb.g_00310
OG0001038	Syap.g_01362	Prbb.g_00331
OG0001040	Syap.g_01356	Prbb.g_00335
OG0001041	Syap.g_01352	Prbb.g_00339
OG0001043	Syap.g_01676	Prbb.g_00356
OG0001044	Syap.g_00571	Prbb.g_00393
OG0001053	Syap.g_02253	Prbb.g_00488
OG0001054	Syap.g_00274	Prbb.g_00502
OG0001055	Syap.g_00252	Prbb.g_00521
OG0001059	Syap.g_00306	Prbb.g_00557
OG0001060	Syap.g_00299	Prbb.g_00564
OG0001061	Syap.g_01309	Prbb.g_00577
OG0001062	Syap.g_01314	Prbb.g_00579
OG0001072	Syap.g_00441	Prbb.g_00590
OG0001073	Syap.g_00122, Syap.g_00455	Prbb.g_00604
OG0001078	Syap.g_00896	Prbb.g_00637
OG0001080	Syap.g_02505	Prbb.g_00654
OG0001085	Syap.g_01953	Prbb.g_00674
OG0001094	Syap.g_00187	Prbb.g_00777
OG0001095	Syap.g_02725	Prbb.g_00796
OG0001096	Syap.g_02709	Prbb.g_00811
OG0001100	Syap.g_02369	Prbb.g_00924
OG0001102	Syap.g_01258	Prbb.g_00929
OG0001103	Syap.g_01256	Prbb.g_00931
OG0001104	Syap.g_00171	Prbb.g_00763
OG0001105	Syap.g_00175	Prbb.g_00767
OG0001107	Syap.g_02015	Prbb.g_00989
OG0001108	Syap.g_00119	Prbb.g_00993
OG0001122	Syap.g_02766	Prbb.g_01038
OG0001123	Syap.g_01872	Prbb.g_01043
OG0001133	Syap.g_01292	Prbb.g_01085
OG0001136	Syap.g_00230	Prbb.g_01520
OG0001137	Syap.g_00213	Prbb.g_01507
OG0001140	Syap.g_02134	Prbb.g_01483
OG0001152	Syap.g_02447	Prbb.g_01655
OG0001154	Syap.g_00013	Prbb.g_01717
OG0001155	Syap.g_00750	Prbb.g_01733
OG0001160	Syap.g_01217	Prbb.g_01765
OG0001162	Syap.g_02366	Prbb.g_01778
OG0001163	Syap.g_00609	Prbb.g_01815
OG0001164	Syap.g_00614	Prbb.g_01819
OG0001165	Syap.g_00619	Prbb.g_01822
OG0001168	Syap.g_01372	Prbb.g_01859
OG0001171	Syap.g_01505	Prbb.g_01873
OG0001172	Syap.g_00547	Prbb.g_01926
OG0001177	Syap.g_01920	Prbb.g_01945
OG0001178	Syap.g_01786, Syap.g_01787	Prbb.g_01279
OG0001179	Syap.g_00491	Prbb.g_01984
OG0001180	Syap.g_00097, Syap.g_00465	Prbb.g_02007
OG0001181	Syap.g_00459	Prbb.g_02011
OG0001183	Syap.g_00594	Prbb.g_02025
OG0001185	Syap.g_01104	Prbb.g_02056
OG0001186	Syap.g_01140	Prbb.g_02097
OG0001187	Syap.g_01142	Prbb.g_02100
OG0001188	Syap.g_00634	Prbb.g_02102
OG0001189	Syap.g_00979	Prbb.g_02119
OG0001191	Syap.g_01030	Prbb.g_02134
OG0001192	Syap.g_01021	Prbb.g_02139
OG0001197	Syap.g_00126	Prbb.g_02177
OG0001198	Syap.g_00052	Prbb.g_02186
OG0001199	Syap.g_01696	Prbb.g_00129
OG0001200	Syap.g_01698	Prbb.g_00131
OG0001202	Syap.g_01613	Prbb.g_00256
OG0001203	Syap.g_01154	Prbb.g_00295
OG0001204	Syap.g_01577	Prbb.g_00301
OG0001214	Syap.g_00897	Prbb.g_00638
OG0001217	Syap.g_01464	Prbb.g_00108
OG0001218	Syap.g_00020	Prbb.g_00754
OG0001219	Syap.g_02794	Prbb.g_00960
OG0001221	Syap.g_01777	Prbb.g_00944
OG0001222	Syap.g_02027	Prbb.g_00893
OG0001224	Syap.g_01551	Prbb.g_01066
OG0001225	Syap.g_01553	Prbb.g_01068
OG0001228	Syap.g_01063	Prbb.g_01465
OG0001229	Syap.g_00827	Prbb.g_01201
OG0001230	Syap.g_02116	Prbb.g_01678
OG0001231	Syap.g_00073	Prbb.g_00758
OG0001232	Syap.g_01393	Prbb.g_01844
OG0001235	Syap.g_01924	Prbb.g_01942
OG0001236	Syap.g_01069	Prbb.g_02038
OG0001237	Syap.g_01073	Prbb.g_02042
OG0001238	Syap.g_01028	Prbb.g_02135
OG0001239	Syap.g_01693, Syap.g_01692	Prbb.g_00126
OG0001242	Syap.g_02227, Syap.g_02229	Prbb.g_00176
OG0001243	Syap.g_02219	Prbb.g_00183
OG0001244	Syap.g_02192	Prbb.g_00199
OG0001246	Syap.g_00267, Syap.g_01165	Prbb.g_00508
OG0001248	Syap.g_00423	Prbb.g_00691
OG0001249	Syap.g_00575	Prbb.g_00389
OG0001251	Syap.g_01549, Syap.g_01727	Prbb.g_01913
OG0001253	Syap.g_01969	Prbb.g_01783
OG0001255	Syap.g_02523	Prbb.g_01534
OG0001256	Syap.g_01225	Prbb.g_01774
OG0001257	Syap.g_00374, Syap.g_00373	Prbb.g_01779
OG0001258	Syap.g_00617	Prbb.g_01820
OG0001260	Syap.g_01497	Prbb.g_01879
OG0001261	Syap.g_00482	Prbb.g_01992
OG0001262	Syap.g_00981	Prbb.g_02117
OG0001263	Syap.g_02216	Prbb.g_00186
OG0001277	Syap.g_01293	Prbb.g_02163
OG0001279	Syap.g_02663	Prbb.g_01196
OG0001282	Syap.g_01701	Prbb.g_01640
OG0001284	Syap.g_00047	Prbb.g_01759
OG0001286	Syap.g_00467	Prbb.g_02005
OG0001287	Syap.g_00418	Prbb.g_02063
OG0001288	Syap.g_01123	Prbb.g_02074
OG0001289	Syap.g_02365	Prbb.g_00142
OG0001297	Syap.g_00255	Prbb.g_00518
OG0001299	Syap.g_01959	Prbb.g_00669
OG0001303	Syap.g_02795	Prbb.g_01388
OG0001304	Syap.g_00536	Prbb.g_01052
OG0001305	Syap.g_01562	Prbb.g_00888
OG0001306	Syap.g_00245	Prbb.g_01532
OG0001307	Syap.g_00403	Prbb.g_01609
OG0001308	Syap.g_02751, Syap.g_02750	Prbb.g_01696
OG0001310	Syap.g_01774	Prbb.g_01834
OG0001311	Syap.g_01871	Prbb.g_01044
OG0001312	Syap.g_01735	Prbb.g_00969
OG0001315	Syap.g_00596	Prbb.g_02023
OG0001318	Syap.g_01596, Syap.g_01597	Prbb.g_00312
OG0001326	Syap.g_02646	Prbb.g_01905
OG0001332	Syap.g_01548	Prbb.g_01731
OG0001336	Syap.g_02602	Prbb.g_02172
OG0001337	Syap.g_00576	Prbb.g_00383
OG0001345	Syap.g_01877, Syap.g_02776	Prbb.g_01496
OG0001346	Syap.g_01484	Prbb.g_01587
OG0001347	Syap.g_02536	Prbb.g_02088
OG0001348	Syap.g_00938	Prbb.g_01125
OG0001349	Syap.g_01264, Syap.g_00851	Prbb.g_00876
OG0001351	Syap.g_01996	Prbb.g_00459
OG0001358	Syap.g_00942	Prbb.g_00621
