Orthogroup	Syap	Prbb
OG0000108	Syap.g_00733, Syap.g_02255	Prbb.g_00484, Prbb.g_00485
OG0000109	Syap.g_00279, Syap.g_02237	Prbb.g_00498
OG0000110	Syap.g_01313	Prbb.g_00578
OG0000111	Syap.g_01566, Syap.g_01568	Prbb.g_00707
OG0000112	Syap.g_02023	Prbb.g_00983
OG0000113	Syap.g_02714	Prbb.g_00807, Prbb.g_01218
OG0000114	Syap.g_01255	Prbb.g_00932
OG0000115	Syap.g_02004	Prbb.g_01780
OG0000116	Syap.g_00241	Prbb.g_01528
OG0000117	Syap.g_01889	Prbb.g_01399
OG0000118	Syap.g_02286	Prbb.g_01598
OG0000120	Syap.g_02075	Prbb.g_00678
OG0000121	Syap.g_02471	Prbb.g_01688
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Prbb.g_02008
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Prbb.g_02079
OG0000125	Syap.g_01046, Syap.g_01047	Prbb.g_02131
OG0000126	Syap.g_02317, Syap.g_02576, Syap.g_02316	Prbb.g_02183
OG0000128	Syap.g_00069	Prbb.g_00012
OG0000129	Syap.g_00130, Syap.g_00129	Prbb.g_00059
OG0000130	Syap.g_01688, Syap.g_01689	Prbb.g_00124
OG0000131	Syap.g_02189	Prbb.g_00202
OG0000132	Syap.g_01205	Prbb.g_00221
OG0000133	Syap.g_02017	Prbb.g_00373
OG0000134	Syap.g_02047	Prbb.g_00418
OG0000135	Syap.g_02090	Prbb.g_01326
OG0000136	Syap.g_00089	Prbb.g_00446
OG0000137	Syap.g_02756	Prbb.g_00478
OG0000138	Syap.g_00278	Prbb.g_00499
OG0000139	Syap.g_00410	Prbb.g_00540
OG0000140	Syap.g_01976	Prbb.g_00541
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Prbb.g_00608
OG0000142	Syap.g_00895, Syap.g_00894	Prbb.g_00636
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Prbb.g_00640
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Prbb.g_00653
OG0000145	Syap.g_01860, Syap.g_01859	Prbb.g_01099
OG0000146	Syap.g_02024	Prbb.g_00982
OG0000147	Syap.g_02025	Prbb.g_00981
OG0000148	Syap.g_02720	Prbb.g_00801
OG0000149	Syap.g_00824	Prbb.g_00832
OG0000150	Syap.g_01540	Prbb.g_00840
OG0000151	Syap.g_00142	Prbb.g_00943
OG0000152	Syap.g_02012	Prbb.g_00991
OG0000153	Syap.g_02682	Prbb.g_01009
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Prbb.g_01040
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Prbb.g_01495
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Prbb.g_01575
OG0000157	Syap.g_00249, Syap.g_00286	Prbb.g_01576
OG0000158	Syap.g_01075	Prbb.g_02044
OG0000159	Syap.g_00852	Prbb.g_02093, Prbb.g_02083
OG0000160	Syap.g_02470, Syap.g_02469	Prbb.g_01687
OG0000161	Syap.g_02476	Prbb.g_01693
OG0000162	Syap.g_02531	Prbb.g_01699
OG0000164	Syap.g_01391, Syap.g_01392	Prbb.g_01845
OG0000165	Syap.g_01381, Syap.g_01382	Prbb.g_01853
OG0000166	Syap.g_00512, Syap.g_01238	Prbb.g_01964
OG0000167	Syap.g_02080	Prbb.g_02034
OG0000168	Syap.g_01076	Prbb.g_02045
OG0000169	Syap.g_01049, Syap.g_01093	Prbb.g_02055
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Prbb.g_02057
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Prbb.g_02078
OG0000172	Syap.g_01143, Syap.g_00635	Prbb.g_02101
OG0000173	Syap.g_00982, Syap.g_00983	Prbb.g_02116
OG0000174	Syap.g_02092	Prbb.g_02147
OG0000175	Syap.g_02654	Prbb.g_02165
OG0000176	Syap.g_00059	Prbb.g_00004
OG0000177	Syap.g_00061, Syap.g_00060	Prbb.g_00005
OG0000178	Syap.g_00062	Prbb.g_00007, Prbb.g_00006
OG0000179	Syap.g_00077, Syap.g_02638	Prbb.g_00017
OG0000180	Syap.g_00078, Syap.g_02640	Prbb.g_00018
OG0000181	Syap.g_00079, Syap.g_02641	Prbb.g_00019
OG0000182	Syap.g_00080, Syap.g_02642	Prbb.g_00020
OG0000183	Syap.g_00084	Prbb.g_00024
OG0000184	Syap.g_01337	Prbb.g_00061
OG0000185	Syap.g_01322	Prbb.g_00064
OG0000186	Syap.g_01684	Prbb.g_00119
OG0000187	Syap.g_01686	Prbb.g_00120
OG0000188	Syap.g_02547	Prbb.g_00137
OG0000191	Syap.g_02233	Prbb.g_00175
OG0000192	Syap.g_02224	Prbb.g_00179
OG0000193	Syap.g_02187, Syap.g_02188	Prbb.g_00203
