Orthogroup	Prbb	Syaa
OG0000107	Prbb.g_01923	Syaa.g_02351
OG0000108	Prbb.g_00484, Prbb.g_00485	Syaa.g_02051
OG0000109	Prbb.g_00498	Syaa.g_02036
OG0000110	Prbb.g_00578	Syaa.g_01918
OG0000111	Prbb.g_00707	Syaa.g_00888
OG0000112	Prbb.g_00983	Syaa.g_01366
OG0000113	Prbb.g_00807, Prbb.g_01218	Syaa.g_01196
OG0000114	Prbb.g_00932	Syaa.g_01094
OG0000115	Prbb.g_01780	Syaa.g_01795
OG0000116	Prbb.g_01528	Syaa.g_00757
OG0000117	Prbb.g_01399	Syaa.g_01009
OG0000118	Prbb.g_01598	Syaa.g_01874
OG0000119	Prbb.g_01632	Syaa.g_00785
OG0000120	Prbb.g_00678	Syaa.g_00201
OG0000121	Prbb.g_01688	Syaa.g_01777
OG0000122	Prbb.g_01727	Syaa.g_01598
OG0000123	Prbb.g_02008	Syaa.g_02242
OG0000125	Prbb.g_02131	Syaa.g_02598
OG0000126	Prbb.g_02183	Syaa.g_02752
OG0000127	Prbb.g_01346	Syaa.g_00934
OG0000128	Prbb.g_00012	Syaa.g_00012
OG0000129	Prbb.g_00059	Syaa.g_02586
OG0000130	Prbb.g_00124	Syaa.g_00354
OG0000131	Prbb.g_00202	Syaa.g_02448
OG0000132	Prbb.g_00221	Syaa.g_02472
OG0000133	Prbb.g_00373	Syaa.g_01361
OG0000134	Prbb.g_00418	Syaa.g_02146
OG0000135	Prbb.g_01326	Syaa.g_02649
OG0000136	Prbb.g_00446	Syaa.g_00708
OG0000137	Prbb.g_00478	Syaa.g_01842
OG0000138	Prbb.g_00499	Syaa.g_02035
OG0000139	Prbb.g_00540	Syaa.g_01974
OG0000140	Prbb.g_00541	Syaa.g_01971
OG0000141	Prbb.g_00608	Syaa.g_01689
OG0000142	Prbb.g_00636	Syaa.g_01633
OG0000143	Prbb.g_00640	Syaa.g_01629
OG0000144	Prbb.g_00653	Syaa.g_01446
OG0000145	Prbb.g_01099	Syaa.g_02029
OG0000146	Prbb.g_00982	Syaa.g_01367
OG0000147	Prbb.g_00981	Syaa.g_01368
OG0000148	Prbb.g_00801	Syaa.g_01190
