Orthogroup	Prbb	Praq
OG0000144	Prbb.g_00653	Praq.g_00781
OG0000145	Prbb.g_01099	Praq.g_00637
OG0000146	Prbb.g_00982	Praq.g_00639
OG0000147	Prbb.g_00981	Praq.g_00640
OG0000148	Prbb.g_00801	Praq.g_01414
OG0000149	Prbb.g_00832	Praq.g_01444
OG0000150	Prbb.g_00840	Praq.g_01452
OG0000151	Prbb.g_00943	Praq.g_01500
OG0000152	Prbb.g_00991	Praq.g_01548
OG0000153	Prbb.g_01009	Praq.g_01567
OG0000154	Prbb.g_01040	Praq.g_01593
OG0000155	Prbb.g_01495	Praq.g_01353
OG0000156	Prbb.g_01575	Praq.g_00122
OG0000157	Prbb.g_01576	Praq.g_00123
OG0000158	Prbb.g_02044	Praq.g_00258
OG0000159	Prbb.g_02093	Praq.g_00253
OG0000160	Prbb.g_01687	Praq.g_00295
OG0000161	Prbb.g_01693	Praq.g_00301
OG0000162	Prbb.g_01699	Praq.g_00307
OG0000163	Prbb.g_01735	Praq.g_00341
OG0000164	Prbb.g_01845	Praq.g_00473
OG0000165	Prbb.g_01853	Praq.g_00466
OG0000166	Prbb.g_01964	Praq.g_00915
OG0000167	Prbb.g_02034	Praq.g_00737
OG0000168	Prbb.g_02045	Praq.g_00747
OG0000169	Prbb.g_02055	Praq.g_00757
OG0000170	Prbb.g_02057	Praq.g_00759
OG0000171	Prbb.g_02078	Praq.g_00681
OG0000172	Prbb.g_02101	Praq.g_00689
OG0000173	Prbb.g_02116	Praq.g_00704
OG0000174	Prbb.g_02147	Praq.g_00396
OG0000175	Prbb.g_02165	Praq.g_00406
OG0000176	Prbb.g_00004	Praq.g_00430
OG0000177	Prbb.g_00005	Praq.g_00431
OG0000178	Prbb.g_00007, Prbb.g_00006	Praq.g_00432
OG0000179	Prbb.g_00017	Praq.g_01219
OG0000180	Prbb.g_00018	Praq.g_01220
OG0000181	Prbb.g_00019	Praq.g_01221
OG0000182	Prbb.g_00020	Praq.g_01222
OG0000183	Prbb.g_00024	Praq.g_01226
OG0000184	Prbb.g_00061	Praq.g_01262
OG0000185	Prbb.g_00064	Praq.g_01265
OG0000186	Prbb.g_00119	Praq.g_01939
