Orthogroup	Prau	Prad
OG0000091	Prau.g_00682	Prad.g_01431
OG0000092	Prau.g_00961	Prad.g_00240
OG0000093	Prau.g_00983	Prad.g_00218
OG0000094	Prau.g_01070	Prad.g_01038
OG0000095	Prau.g_01089	Prad.g_01018
OG0000096	Prau.g_01156	Prad.g_00650
OG0000096	Prau.g_01331	Prad.g_00330
OG0000097	Prau.g_01247	Prad.g_01454
OG0000098	Prau.g_01391	Prad.g_00612
OG0000099	Prau.g_01435	Prad.g_00566
OG0000100	Prau.g_01605	Prad.g_00440
OG0000101	Prau.g_01869	Prad.g_00807
OG0000102	Prau.g_01930	Prad.g_01626
OG0000103	Prau.g_02009	Prad.g_01548
OG0000104	Prau.g_02018	Prad.g_01540
OG0000105	Prau.g_00276	Prad.g_01717
OG0000106	Prau.g_00373	Prad.g_00739
OG0000107	Prau.g_00389	Prad.g_00724
OG0000108	Prau.g_00521	Prad.g_00027
OG0000109	Prau.g_00535	Prad.g_00013
OG0000110	Prau.g_00614	Prad.g_01364
OG0000111	Prau.g_00739	Prad.g_01273
OG0000112	Prau.g_00818	Prad.g_01109
OG0000113	Prau.g_00876	Prad.g_01168
OG0000114	Prau.g_00956	Prad.g_00245
OG0000115	Prau.g_01148	Prad.g_00641
OG0000116	Prau.g_01197	Prad.g_01506
OG0000117	Prau.g_01318	Prad.g_01214
OG0000118	Prau.g_01383	Prad.g_00616
OG0000119	Prau.g_01405	Prad.g_00598
OG0000120	Prau.g_01430	Prad.g_00564
OG0000121	Prau.g_01533	Prad.g_00513
OG0000122	Prau.g_01571	Prad.g_00474
OG0000123	Prau.g_01876	Prad.g_00800
OG0000124	Prau.g_01941	Prad.g_01616
OG0000125	Prau.g_01978	Prad.g_01580
OG0000126	Prau.g_02017	Prad.g_01541
OG0000128	Prau.g_00011	Prad.g_01975
OG0000129	Prau.g_00051	Prad.g_01943
OG0000130	Prau.g_00071	Prad.g_01924
OG0000131	Prau.g_00146	Prad.g_01846
OG0000132	Prau.g_00165	Prad.g_01827
OG0000133	Prau.g_00324	Prad.g_01669
OG0000134	Prau.g_00359	Prad.g_00754
OG0000135	Prau.g_00386	Prad.g_00727
OG0000136	Prau.g_00482	Prad.g_00066
OG0000137	Prau.g_00516	Prad.g_00032
OG0000138	Prau.g_00536	Prad.g_00012
OG0000139	Prau.g_00577	Prad.g_00092
OG0000140	Prau.g_00578	Prad.g_00091
OG0000141	Prau.g_00645	Prad.g_01396
OG0000142	Prau.g_00675	Prad.g_01424
OG0000143	Prau.g_00679	Prad.g_01428
OG0000144	Prau.g_00692	Prad.g_01226
OG0000145	Prau.g_00816	Prad.g_01107
OG0000146	Prau.g_00819	Prad.g_01110
OG0000147	Prau.g_00820	Prad.g_01111
OG0000148	Prau.g_00870	Prad.g_01162
OG0000149	Prau.g_00900	Prad.g_00301
OG0000150	Prau.g_00909	Prad.g_00293
OG0000151	Prau.g_00966	Prad.g_00235
OG0000152	Prau.g_01015	Prad.g_00186
OG0000153	Prau.g_01034	Prad.g_00167
OG0000154	Prau.g_01063	Prad.g_00139
OG0000155	Prau.g_01226	Prad.g_01476
OG0000156	Prau.g_01359	Prad.g_00359
OG0000157	Prau.g_01360	Prad.g_00360
OG0000158	Prau.g_01436	Prad.g_00567
OG0000159	Prau.g_01433, Prau.g_01457	Prad.g_00563
OG0000160	Prau.g_01532	Prad.g_00514
OG0000161	Prau.g_01538	Prad.g_00508
OG0000162	Prau.g_01544	Prad.g_00502
OG0000163	Prau.g_01578	Prad.g_00467
OG0000164	Prau.g_01756	Prad.g_00917
OG0000165	Prau.g_01763	Prad.g_00910
OG0000166	Prau.g_01833	Prad.g_00843
OG0000167	Prau.g_01899	Prad.g_00777
OG0000168	Prau.g_01909	Prad.g_00767
OG0000169	Prau.g_01919	Prad.g_01637
