Orthogroup	Prbn	Syaf
OG0000037	Prbn.g_01310	Syaf.g_00899
OG0000038	Prbn.g_00946	Syaf.g_00642
OG0000039	Prbn.g_01577	Syaf.g_01395
OG0000041	Prbn.g_01793	Syaf.g_01171, Syaf.g_01414
OG0000042	Prbn.g_00988	Syaf.g_00403
OG0000043	Prbn.g_01168	Syaf.g_01747
OG0000046	Prbn.g_00093	Syaf.g_00055, Syaf.g_00045, Syaf.g_00062
OG0000047	Prbn.g_00690	Syaf.g_00030
OG0000048	Prbn.g_01097	Syaf.g_00230
OG0000051	Prbn.g_00809	Syaf.g_00972
OG0000052	Prbn.g_00724	Syaf.g_00335
OG0000053	Prbn.g_00233, Prbn.g_01690	Syaf.g_02447
OG0000054	Prbn.g_00508	Syaf.g_02376
OG0000057	Prbn.g_01562	Syaf.g_01665, Syaf.g_01452
OG0000058	Prbn.g_00172	Syaf.g_00316
OG0000059	Prbn.g_01833	Syaf.g_00143
OG0000061	Prbn.g_01189	Syaf.g_01288
OG0000062	Prbn.g_00897	Syaf.g_01055
OG0000063	Prbn.g_00130	Syaf.g_00457
OG0000064	Prbn.g_00710	Syaf.g_01063, Syaf.g_02253, Syaf.g_01667
OG0000065	Prbn.g_01312	Syaf.g_00903
OG0000066	Prbn.g_00577, Prbn.g_01657	Syaf.g_02643
OG0000067	Prbn.g_01546	Syaf.g_02049
OG0000068	Prbn.g_01240	Syaf.g_02733
OG0000070	Prbn.g_00663	Syaf.g_01237
OG0000071	Prbn.g_01084	Syaf.g_01254
OG0000072	Prbn.g_00383	Syaf.g_00805
OG0000073	Prbn.g_00614	Syaf.g_02700
OG0000075	Prbn.g_01917	Syaf.g_00353
OG0000076	Prbn.g_00996	Syaf.g_00388
OG0000077	Prbn.g_01342	Syaf.g_00951
OG0000078	Prbn.g_00310	Syaf.g_02782
OG0000079	Prbn.g_00018	Syaf.g_00197
OG0000081	Prbn.g_00585	Syaf.g_02776
OG0000082	Prbn.g_00530, Prbn.g_01734	Syaf.g_02576
OG0000084	Prbn.g_00209	Syaf.g_02409
OG0000085	Prbn.g_00144, Prbn.g_01737	Syaf.g_01048
OG0000086	Prbn.g_01333	Syaf.g_00932
OG0000087	Prbn.g_01278	Syaf.g_00848
OG0000088	Prbn.g_01247	Syaf.g_00811
OG0000089	Prbn.g_00696	Syaf.g_02807
OG0000090	Prbn.g_00583	Syaf.g_02654
OG0000091	Prbn.g_00434	Syaf.g_02302
OG0000093	Prbn.g_00846	Syaf.g_02065
OG0000094	Prbn.g_01369	Syaf.g_01940
OG0000095	Prbn.g_01471	Syaf.g_01442
OG0000097	Prbn.g_00408	Syaf.g_01574
OG0000098	Prbn.g_01216	Syaf.g_01637
OG0000099	Prbn.g_00173	Syaf.g_00312
OG0000100	Prbn.g_00903	Syaf.g_02017
OG0000101	Prbn.g_01881	Syaf.g_00093
OG0000102	Prbn.g_00991	Syaf.g_00393
OG0000103	Prbn.g_00907	Syaf.g_00520
OG0000104	Prbn.g_00296	Syaf.g_00502
OG0000105	Prbn.g_00041	Syaf.g_00235
OG0000106	Prbn.g_00829	Syaf.g_01745
OG0000107	Prbn.g_01810	Syaf.g_00177, Syaf.g_00758
OG0000108	Prbn.g_00634	Syaf.g_02721
