Orthogroup	Praa	Prbj
OG0000053	Praa.g_01496	Prbj.g_00638
OG0000054	Praa.g_00606	Prbj.g_01758
OG0000057	Praa.g_00698	Prbj.g_00758
OG0000059	Praa.g_01723	Prbj.g_01521
OG0000062	Praa.g_01555	Prbj.g_00881
OG0000063	Praa.g_00033	Prbj.g_01208
OG0000065	Praa.g_00107	Prbj.g_00620
OG0000066	Praa.g_00539	Prbj.g_02141
OG0000067	Praa.g_00803	Prbj.g_02412
OG0000068	Praa.g_01366	Prbj.g_01639
OG0000070	Praa.g_00449	Prbj.g_00118
OG0000071	Praa.g_01318	Prbj.g_01728
OG0000072	Praa.g_00171	Prbj.g_00516
OG0000073	Praa.g_00499	Prbj.g_01608
OG0000075	Praa.g_01808	Prbj.g_01502
OG0000076	Praa.g_01832	Prbj.g_01598
OG0000077	Praa.g_00078	Prbj.g_00576
OG0000078	Praa.g_00239	Prbj.g_02614
OG0000079	Praa.g_00252	Prbj.g_01353
OG0000081	Praa.g_00531	Prbj.g_00765
OG0000082	Praa.g_00585	Prbj.g_01789
OG0000084	Praa.g_01472	Prbj.g_01052
OG0000085	Praa.g_01628	Prbj.g_00869
OG0000086	Praa.g_00088	Prbj.g_00589
OG0000087	Praa.g_00139	Prbj.g_01547
OG0000088	Praa.g_00166	Prbj.g_00521
OG0000089	Praa.g_00355	Prbj.g_00064
OG0000090	Praa.g_00533	Prbj.g_02127
OG0000091	Praa.g_00642	Prbj.g_02581
OG0000093	Praa.g_00932	Prbj.g_02388
OG0000094	Praa.g_01020	Prbj.g_01985
OG0000097	Praa.g_01200	Prbj.g_02152
OG0000098	Praa.g_01348	Prbj.g_00669
OG0000099	Praa.g_01394	Prbj.g_01464
OG0000100	Praa.g_01551	Prbj.g_00185, Prbj.g_02442
OG0000101	Praa.g_01775	Prbj.g_00415, Prbj.g_00981
OG0000102	Praa.g_01837	Prbj.g_01819
OG0000103	Praa.g_01916	Prbj.g_02055
OG0000104	Praa.g_01924	Prbj.g_02069
OG0000105	Praa.g_00274	Prbj.g_01397
OG0000106	Praa.g_00369	Prbj.g_00875
