Orthogroup	Prav	Syar
OG0000062	Prav.g_01656	Syar.g_01439
OG0000063	Prav.g_00101	Syar.g_00509
OG0000065	Prav.g_00172	Syar.g_03119
OG0000066	Prav.g_01137	Syar.g_02228
OG0000067	Prav.g_00397	Syar.g_02639
OG0000068	Prav.g_01473	Syar.g_02329, Syar.g_01461
OG0000069	Prav.g_01881, Prav.g_01689	Syar.g_01716
OG0000070	Prav.g_01049	Syar.g_02223
OG0000071	Prav.g_01438	Syar.g_02777
OG0000072	Prav.g_00867	Syar.g_00107, Syar.g_01140
OG0000073	Prav.g_01097	Syar.g_01493, Syar.g_01364
OG0000075	Prav.g_00665	Syar.g_03065, Syar.g_00659
OG0000076	Prav.g_00689	Syar.g_00608
OG0000078	Prav.g_00799	Syar.g_01366
OG0000079	Prav.g_01899	Syar.g_00166
OG0000081	Prav.g_01129	Syar.g_01898
OG0000082	Prav.g_01182	Syar.g_02202
OG0000085	Prav.g_01754	Syar.g_02919
OG0000086	Prav.g_00153	Syar.g_03085
OG0000087	Prav.g_00204	Syar.g_03192, Syar.g_00068
OG0000088	Prav.g_00872	Syar.g_00101
OG0000089	Prav.g_00975	Syar.g_01162
OG0000090	Prav.g_01131	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Prav.g_01240	Syar.g_01891, Syar.g_02426
OG0000092	Prav.g_00504, Prav.g_01735	Syar.g_01960
OG0000093	Prav.g_01497	Syar.g_00819
OG0000094	Prav.g_00914	Syar.g_01789
OG0000095	Prav.g_00933	Syar.g_01932
OG0000097	Prav.g_01840	Syar.g_01706, Syar.g_00364
OG0000098	Prav.g_01455	Syar.g_02343
OG0000099	Prav.g_01514	Syar.g_00715
OG0000100	Prav.g_01652	Syar.g_02477
OG0000101	Prav.g_00632	Syar.g_01073, Syar.g_03154
OG0000102	Prav.g_00694	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Prav.g_00773	Syar.g_00452, Syar.g_00014
OG0000104	Prav.g_00782	Syar.g_00466
OG0000105	Prav.g_01920	Syar.g_00218
OG0000106	Prav.g_00989	Syar.g_01748
OG0000107	Prav.g_01001	Syar.g_00149
OG0000108	Prav.g_01078	Syar.g_01469
OG0000109	Prav.g_01092	Syar.g_03310, Syar.g_01485
OG0000110	Prav.g_01172	Syar.g_02295
OG0000111	Prav.g_01297	Syar.g_01940
OG0000112	Prav.g_00364	Syar.g_02548, Syar.g_03195
OG0000113	Prav.g_00419	Syar.g_02664
OG0000114	Prav.g_00499	Syar.g_01616
OG0000115	Prav.g_00010	Syar.g_02854, Syar.g_01415
OG0000116	Prav.g_00055	Syar.g_01525, Syar.g_02255
OG0000117	Prav.g_01390	Syar.g_01969
OG0000118	Prav.g_01450	Syar.g_02793
OG0000120	Prav.g_01513	Syar.g_00713
OG0000121	Prav.g_01580	Syar.g_02806
OG0000123	Prav.g_00639	Syar.g_01079
OG0000124	Prav.g_00705	Syar.g_00586
OG0000125	Prav.g_00741	Syar.g_00338
OG0000126	Prav.g_00781	Syar.g_00887, Syar.g_00888
OG0000128	Prav.g_00079	Syar.g_00482
OG0000129	Prav.g_00115	Syar.g_00324
OG0000130	Prav.g_00134	Syar.g_03040
OG0000131	Prav.g_00212	Syar.g_00078
OG0000132	Prav.g_00874	Syar.g_00099
OG0000133	Prav.g_01968	Syar.g_02543
OG0000134	Prav.g_00976	Syar.g_02009, Syar.g_01165
OG0000135	Prav.g_00999	Syar.g_00698
OG0000136	Prav.g_01040	Syar.g_02874
OG0000137	Prav.g_01073	Syar.g_01273
OG0000138	Prav.g_01093	Syar.g_01486
OG0000139	Prav.g_01135	Syar.g_03245
OG0000140	Prav.g_01136	Syar.g_02344, Syar.g_03246
OG0000141	Prav.g_01203	Syar.g_02129
OG0000142	Prav.g_01233	Syar.g_02418
OG0000143	Prav.g_01237	Syar.g_02422
OG0000144	Prav.g_01250	Syar.g_02441
OG0000145	Prav.g_00362	Syar.g_01494
OG0000146	Prav.g_00365	Syar.g_02549
OG0000147	Prav.g_00366	Syar.g_02550
OG0000148	Prav.g_00413	Syar.g_02658
OG0000149	Prav.g_00443	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Prav.g_00451	Syar.g_02130
OG0000151	Prav.g_00509	Syar.g_02038
OG0000152	Prav.g_00556	Syar.g_02539
OG0000153	Prav.g_00575	Syar.g_03283, Syar.g_02503
OG0000154	Prav.g_00907	Syar.g_01800
OG0000155	Prav.g_01861	Syar.g_01959
OG0000156	Prav.g_01427	Syar.g_01517
OG0000157	Prav.g_01428	Syar.g_01516
OG0000158	Prav.g_01505	Syar.g_00650
OG0000159	Prav.g_01506	Syar.g_02359
OG0000160	Prav.g_01579	Syar.g_02807
OG0000161	Prav.g_01585	Syar.g_02801
OG0000162	Prav.g_01591	Syar.g_02863
OG0000163	Prav.g_01625	Syar.g_01186
OG0000164	Prav.g_01785	Syar.g_03168, Syar.g_02969
OG0000165	Prav.g_01792	Syar.g_02976
OG0000166	Prav.g_00596	Syar.g_01034
OG0000167	Prav.g_00663	Syar.g_00662
OG0000168	Prav.g_00673	Syar.g_00246
OG0000169	Prav.g_00683	Syar.g_00262
OG0000170	Prav.g_00685	Syar.g_00613
OG0000171	Prav.g_00704	Syar.g_00587
OG0000172	Prav.g_00712	Syar.g_00547
OG0000173	Prav.g_00727	Syar.g_00528
OG0000174	Prav.g_00755	Syar.g_00701
OG0000175	Prav.g_00765	Syar.g_00438
OG0000176	Prav.g_00790	Syar.g_00474
OG0000177	Prav.g_00791	Syar.g_00475
OG0000178	Prav.g_00792	Syar.g_00476
OG0000179	Prav.g_00084	Syar.g_00489
OG0000180	Prav.g_00085	Syar.g_00490
OG0000181	Prav.g_00086	Syar.g_00491
OG0000182	Prav.g_00087	Syar.g_00492
OG0000183	Prav.g_00091	Syar.g_00496
OG0000184	Prav.g_00117	Syar.g_00897
OG0000185	Prav.g_00120	Syar.g_00909
OG0000186	Prav.g_00129	Syar.g_03036
OG0000187	Prav.g_00130	Syar.g_03038
OG0000188	Prav.g_00147	Syar.g_03058
OG0000189	Prav.g_00161	Syar.g_03104
OG0000190	Prav.g_00162	Syar.g_03107, Syar.g_02374
OG0000191	Prav.g_00182	Syar.g_00039
OG0000192	Prav.g_00186	Syar.g_00046
OG0000193	Prav.g_00213	Syar.g_00079
OG0000194	Prav.g_00216	Syar.g_00082, Syar.g_03236
OG0000195	Prav.g_00887	Syar.g_00023, Syar.g_00084
OG0000196	Prav.g_00877	Syar.g_00096
OG0000197	Prav.g_00876	Syar.g_00097
OG0000198	Prav.g_00875	Syar.g_00098
OG0000199	Prav.g_00868	Syar.g_00106
OG0000200	Prav.g_00854	Syar.g_00124
OG0000201	Prav.g_00846	Syar.g_01000
OG0000202	Prav.g_00845	Syar.g_00021, Syar.g_00998
OG0000203	Prav.g_00844	Syar.g_00997, Syar.g_00020
OG0000204	Prav.g_00843	Syar.g_00996
OG0000205	Prav.g_00836	Syar.g_00988
OG0000206	Prav.g_00831	Syar.g_00963
OG0000207	Prav.g_00829	Syar.g_00957
OG0000208	Prav.g_00828	Syar.g_00956
OG0000209	Prav.g_00819	Syar.g_00936, Syar.g_03261
OG0000210	Prav.g_00818	Syar.g_03260, Syar.g_00935
OG0000211	Prav.g_00805	Syar.g_03026
OG0000212	Prav.g_00798	Syar.g_03017
OG0000213	Prav.g_01904	Syar.g_00187
OG0000214	Prav.g_01914	Syar.g_00209
OG0000215	Prav.g_01938	Syar.g_00239
OG0000216	Prav.g_01940	Syar.g_00244
OG0000217	Prav.g_01943	Syar.g_00854
OG0000218	Prav.g_01945	Syar.g_00852
OG0000219	Prav.g_01946	Syar.g_00851
OG0000220	Prav.g_01947	Syar.g_00850, Syar.g_02026
OG0000221	Prav.g_01948	Syar.g_00834
OG0000222	Prav.g_01956	Syar.g_02119, Syar.g_00728
