Orthogroup	Prav	Syar
OG0000569	Prav.g_01167	Syar.g_02301
OG0000570	Prav.g_01168	Syar.g_02300
OG0000571	Prav.g_01170	Syar.g_02298
OG0000572	Prav.g_01183	Syar.g_02201
OG0000573	Prav.g_01188	Syar.g_02191
OG0000574	Prav.g_01189	Syar.g_02190
OG0000575	Prav.g_01193	Syar.g_03180
OG0000576	Prav.g_01195	Syar.g_02187
OG0000577	Prav.g_01196	Syar.g_02186
OG0000578	Prav.g_01197	Syar.g_02185
OG0000579	Prav.g_01198	Syar.g_02184
OG0000580	Prav.g_01199	Syar.g_02183
OG0000581	Prav.g_01201	Syar.g_02175
OG0000582	Prav.g_01204	Syar.g_02131
OG0000583	Prav.g_01205	Syar.g_02132
OG0000584	Prav.g_01206	Syar.g_02133
OG0000585	Prav.g_01208	Syar.g_02170
OG0000586	Prav.g_01209	Syar.g_02171
OG0000587	Prav.g_01210	Syar.g_02173
OG0000588	Prav.g_01214	Syar.g_02275
OG0000589	Prav.g_01219	Syar.g_02261
OG0000590	Prav.g_01220	Syar.g_02260
OG0000591	Prav.g_01223	Syar.g_02246
OG0000592	Prav.g_01224	Syar.g_02245
OG0000593	Prav.g_01230	Syar.g_02414
OG0000594	Prav.g_01231	Syar.g_02415
OG0000595	Prav.g_01232	Syar.g_02416
OG0000596	Prav.g_01236	Syar.g_02421
OG0000597	Prav.g_01238	Syar.g_02424
OG0000598	Prav.g_01239	Syar.g_02425
OG0000599	Prav.g_01242	Syar.g_02428
OG0000600	Prav.g_01243	Syar.g_02429
OG0000601	Prav.g_01244	Syar.g_02430
OG0000602	Prav.g_01246	Syar.g_02435
OG0000603	Prav.g_01247	Syar.g_02436
OG0000604	Prav.g_01248	Syar.g_02438
OG0000605	Prav.g_01249	Syar.g_02440
OG0000606	Prav.g_01252	Syar.g_02443
OG0000607	Prav.g_01255	Syar.g_02446
OG0000608	Prav.g_01256	Syar.g_02447
OG0000609	Prav.g_01257	Syar.g_02470
OG0000610	Prav.g_01262	Syar.g_01917
OG0000611	Prav.g_01265	Syar.g_01914
OG0000612	Prav.g_01266	Syar.g_01913
OG0000613	Prav.g_01271	Syar.g_00712
OG0000614	Prav.g_01290	Syar.g_02012, Syar.g_01344
OG0000615	Prav.g_01298	Syar.g_02603
OG0000616	Prav.g_01312	Syar.g_00454
OG0000617	Prav.g_00312	Syar.g_01576
OG0000618	Prav.g_00313	Syar.g_01575
OG0000619	Prav.g_00314	Syar.g_01574
OG0000620	Prav.g_00317	Syar.g_01569
OG0000621	Prav.g_00318	Syar.g_01568
OG0000622	Prav.g_00319	Syar.g_01566
OG0000623	Prav.g_00320	Syar.g_01565
OG0000624	Prav.g_00321	Syar.g_01564
OG0000625	Prav.g_00322	Syar.g_01563
OG0000626	Prav.g_00323	Syar.g_01562
OG0000627	Prav.g_00324	Syar.g_01868
OG0000628	Prav.g_00325	Syar.g_01869
OG0000629	Prav.g_00326	Syar.g_01872
OG0000630	Prav.g_00329	Syar.g_02586
OG0000631	Prav.g_00388	Syar.g_02579
OG0000632	Prav.g_00389	Syar.g_02578
OG0000633	Prav.g_00390	Syar.g_02576
OG0000634	Prav.g_00393	Syar.g_02635
OG0000635	Prav.g_00394	Syar.g_02636
OG0000636	Prav.g_00396	Syar.g_02638
OG0000637	Prav.g_00398	Syar.g_02640
OG0000638	Prav.g_00399	Syar.g_02641
OG0000639	Prav.g_00400	Syar.g_02642
OG0000640	Prav.g_00401	Syar.g_02643
OG0000641	Prav.g_00405	Syar.g_02648
OG0000642	Prav.g_00406	Syar.g_02649
OG0000643	Prav.g_00407	Syar.g_02650
OG0000644	Prav.g_00408	Syar.g_02651
OG0000645	Prav.g_00409	Syar.g_02652
OG0000646	Prav.g_00411	Syar.g_02655
OG0000647	Prav.g_00412	Syar.g_02657
OG0000648	Prav.g_00414	Syar.g_02659
OG0000649	Prav.g_00415	Syar.g_02660
OG0000650	Prav.g_00416	Syar.g_02661
OG0000651	Prav.g_00417	Syar.g_02662
OG0000652	Prav.g_00418	Syar.g_02663
OG0000653	Prav.g_00420	Syar.g_02665
OG0000654	Prav.g_00421	Syar.g_02666
OG0000655	Prav.g_00422	Syar.g_02667
OG0000656	Prav.g_00425	Syar.g_02479
OG0000657	Prav.g_00432	Syar.g_01812
OG0000658	Prav.g_00433	Syar.g_01815
OG0000659	Prav.g_00434	Syar.g_01816
OG0000660	Prav.g_00438	Syar.g_01820
OG0000661	Prav.g_00440	Syar.g_03175, Syar.g_01822
OG0000662	Prav.g_00442	Syar.g_01829
OG0000663	Prav.g_00444	Syar.g_01832
OG0000664	Prav.g_00445	Syar.g_01837
OG0000665	Prav.g_00449	Syar.g_02774
OG0000666	Prav.g_00450	Syar.g_01241
OG0000667	Prav.g_00454	Syar.g_02346
OG0000668	Prav.g_00483	Syar.g_01802
OG0000669	Prav.g_00490	Syar.g_01627
OG0000670	Prav.g_00492	Syar.g_01624
OG0000671	Prav.g_00494	Syar.g_01622
OG0000672	Prav.g_00497	Syar.g_01619
OG0000673	Prav.g_00500	Syar.g_01615
OG0000674	Prav.g_00502	Syar.g_01613
OG0000675	Prav.g_00503	Syar.g_01612
OG0000676	Prav.g_00505	Syar.g_01608
OG0000677	Prav.g_00506	Syar.g_01607
OG0000678	Prav.g_00508	Syar.g_02037
OG0000679	Prav.g_00512	Syar.g_02606
OG0000680	Prav.g_00513	Syar.g_02607
OG0000681	Prav.g_00515	Syar.g_02610
OG0000682	Prav.g_00516	Syar.g_02611
OG0000683	Prav.g_00517	Syar.g_02612
OG0000684	Prav.g_00519	Syar.g_02615
OG0000685	Prav.g_00521	Syar.g_02617
OG0000686	Prav.g_00522	Syar.g_02618
OG0000687	Prav.g_00523	Syar.g_02619
OG0000688	Prav.g_00526	Syar.g_02624
OG0000689	Prav.g_00527	Syar.g_02626
OG0000690	Prav.g_00528	Syar.g_02627
OG0000691	Prav.g_00529	Syar.g_02628
OG0000692	Prav.g_00530	Syar.g_02629
OG0000693	Prav.g_00531	Syar.g_02631
OG0000694	Prav.g_00532	Syar.g_02632
OG0000695	Prav.g_00534	Syar.g_02573
OG0000696	Prav.g_00535	Syar.g_02572
OG0000697	Prav.g_00536	Syar.g_02570
OG0000698	Prav.g_00539	Syar.g_02567
OG0000699	Prav.g_00540	Syar.g_02566
OG0000700	Prav.g_00541	Syar.g_02565
OG0000701	Prav.g_00542	Syar.g_02564
OG0000702	Prav.g_00544	Syar.g_02559
OG0000703	Prav.g_00545	Syar.g_02557
OG0000704	Prav.g_00546	Syar.g_02555
OG0000705	Prav.g_00550	Syar.g_02547
OG0000706	Prav.g_00551	Syar.g_02546
OG0000707	Prav.g_00552	Syar.g_02545
OG0000708	Prav.g_00553	Syar.g_02542
OG0000709	Prav.g_00557	Syar.g_02534
OG0000710	Prav.g_00560	Syar.g_02528
OG0000711	Prav.g_00577	Syar.g_02499
OG0000712	Prav.g_00579	Syar.g_02497
OG0000713	Prav.g_00580	Syar.g_02496
OG0000714	Prav.g_00581	Syar.g_02494
OG0000715	Prav.g_00583	Syar.g_02492
OG0000716	Prav.g_00585	Syar.g_02488
OG0000717	Prav.g_00586	Syar.g_02487
OG0000718	Prav.g_00902	Syar.g_02483
OG0000719	Prav.g_00904	Syar.g_01804
OG0000720	Prav.g_00913	Syar.g_01790
OG0000721	Prav.g_00915	Syar.g_01788
OG0000722	Prav.g_00916	Syar.g_01787
OG0000723	Prav.g_00919	Syar.g_01560
OG0000724	Prav.g_00928	Syar.g_01367, Syar.g_02120
OG0000725	Prav.g_00934	Syar.g_01934
OG0000726	Prav.g_00935	Syar.g_01935
OG0000727	Prav.g_00936	Syar.g_01936
OG0000728	Prav.g_00938	Syar.g_01938
OG0000729	Prav.g_00263	Syar.g_00593
OG0000730	Prav.g_00004	Syar.g_01115
OG0000731	Prav.g_00008	Syar.g_01127
OG0000732	Prav.g_00016	Syar.g_00522
OG0000733	Prav.g_00034	Syar.g_02234
OG0000734	Prav.g_00050	Syar.g_03128
OG0000735	Prav.g_00052	Syar.g_01522
OG0000736	Prav.g_00053	Syar.g_01523
OG0000737	Prav.g_00054	Syar.g_01524
OG0000738	Prav.g_00058	Syar.g_01530
OG0000739	Prav.g_00059	Syar.g_01531
OG0000740	Prav.g_00060	Syar.g_01532
OG0000741	Prav.g_00061	Syar.g_01535
OG0000742	Prav.g_00064	Syar.g_01538
OG0000743	Prav.g_00066	Syar.g_01541
OG0000744	Prav.g_00067	Syar.g_01542
OG0000745	Prav.g_00068	Syar.g_01545
OG0000746	Prav.g_00070	Syar.g_01549
OG0000747	Prav.g_00071	Syar.g_01551
OG0000748	Prav.g_00074	Syar.g_01945
OG0000749	Prav.g_00075	Syar.g_01946
OG0000750	Prav.g_00076	Syar.g_01947
OG0000751	Prav.g_01868	Syar.g_01952
OG0000752	Prav.g_01866	Syar.g_01954
OG0000753	Prav.g_01863	Syar.g_01957
OG0000754	Prav.g_01860	Syar.g_01963
OG0000755	Prav.g_01857	Syar.g_01974
OG0000756	Prav.g_01856	Syar.g_01975
OG0000757	Prav.g_01850	Syar.g_01984
OG0000758	Prav.g_01849	Syar.g_01985
OG0000759	Prav.g_01848	Syar.g_01986
OG0000760	Prav.g_01847	Syar.g_01987
OG0000761	Prav.g_01846	Syar.g_01988
OG0000762	Prav.g_01845	Syar.g_01992
OG0000763	Prav.g_01843	Syar.g_01699
OG0000764	Prav.g_01842	Syar.g_01700
OG0000765	Prav.g_01833	Syar.g_01718
OG0000766	Prav.g_01832	Syar.g_01719
OG0000767	Prav.g_01830	Syar.g_01721
OG0000768	Prav.g_01829	Syar.g_01722
OG0000769	Prav.g_01827	Syar.g_01724
OG0000770	Prav.g_01825	Syar.g_01727
OG0000771	Prav.g_02003	Syar.g_01373
OG0000772	Prav.g_01409	Syar.g_00746
OG0000773	Prav.g_01429	Syar.g_02694
OG0000774	Prav.g_01431	Syar.g_02771
OG0000775	Prav.g_01433	Syar.g_02773
OG0000776	Prav.g_01434	Syar.g_01755
OG0000777	Prav.g_01435	Syar.g_01754
OG0000778	Prav.g_01436	Syar.g_01753
OG0000779	Prav.g_01440	Syar.g_02779
OG0000780	Prav.g_01441	Syar.g_02781
OG0000781	Prav.g_01444	Syar.g_02785
OG0000782	Prav.g_01445	Syar.g_02786
OG0000783	Prav.g_01446	Syar.g_02787
OG0000784	Prav.g_01447	Syar.g_02788
OG0000785	Prav.g_01449	Syar.g_02791
OG0000786	Prav.g_01451	Syar.g_02795
OG0000787	Prav.g_01452	Syar.g_02796
OG0000788	Prav.g_01460	Syar.g_02331
OG0000789	Prav.g_01463	Syar.g_02040
OG0000790	Prav.g_01478	Syar.g_01456
OG0000791	Prav.g_01480	Syar.g_01454
OG0000792	Prav.g_01481	Syar.g_01453
OG0000793	Prav.g_01484	Syar.g_01243
OG0000794	Prav.g_01485	Syar.g_01242
OG0000795	Prav.g_01486	Syar.g_01240
OG0000796	Prav.g_01490	Syar.g_01236
OG0000797	Prav.g_01491	Syar.g_01235
OG0000798	Prav.g_01556	Syar.g_02701
OG0000799	Prav.g_01560	Syar.g_02844
OG0000800	Prav.g_01561	Syar.g_02843
OG0000801	Prav.g_01562	Syar.g_02842
OG0000802	Prav.g_01564	Syar.g_02825
OG0000803	Prav.g_01566	Syar.g_02822
OG0000804	Prav.g_01567	Syar.g_02819
OG0000805	Prav.g_01569	Syar.g_02817
OG0000806	Prav.g_01571	Syar.g_02815
OG0000807	Prav.g_01572	Syar.g_02814
OG0000808	Prav.g_01573	Syar.g_02813
OG0000809	Prav.g_01576	Syar.g_02811
OG0000810	Prav.g_01577	Syar.g_02810
OG0000811	Prav.g_01581	Syar.g_02805
OG0000812	Prav.g_01583	Syar.g_02803
OG0000813	Prav.g_01584	Syar.g_02802
OG0000814	Prav.g_01586	Syar.g_02800
OG0000815	Prav.g_01587	Syar.g_02799
OG0000816	Prav.g_01589	Syar.g_02797
OG0000817	Prav.g_01590	Syar.g_02861
OG0000818	Prav.g_01595	Syar.g_01418
OG0000819	Prav.g_01596	Syar.g_01417
OG0000820	Prav.g_01597	Syar.g_01416
OG0000821	Prav.g_01601	Syar.g_01410
OG0000822	Prav.g_01602	Syar.g_01408
OG0000823	Prav.g_01603	Syar.g_01407
OG0000824	Prav.g_01606	Syar.g_01402
OG0000825	Prav.g_01607	Syar.g_01401
OG0000826	Prav.g_01608	Syar.g_01400
OG0000827	Prav.g_01609	Syar.g_01399
OG0000828	Prav.g_01612	Syar.g_01396
OG0000829	Prav.g_01613	Syar.g_01395
OG0000830	Prav.g_01614	Syar.g_01394
OG0000831	Prav.g_01616	Syar.g_01391
OG0000832	Prav.g_01622	Syar.g_01213
OG0000833	Prav.g_01630	Syar.g_02877
OG0000834	Prav.g_01631	Syar.g_02878
OG0000835	Prav.g_01632	Syar.g_02879
OG0000836	Prav.g_01633	Syar.g_02881
OG0000837	Prav.g_01634	Syar.g_02882
OG0000838	Prav.g_01636	Syar.g_02886
OG0000839	Prav.g_01637	Syar.g_02887
OG0000840	Prav.g_01638	Syar.g_02888
OG0000841	Prav.g_01639	Syar.g_02889
OG0000842	Prav.g_01640	Syar.g_02890
OG0000843	Prav.g_01641	Syar.g_02891
OG0000844	Prav.g_01642	Syar.g_02893
OG0000845	Prav.g_01643	Syar.g_02894
OG0000846	Prav.g_01644	Syar.g_02895
OG0000847	Prav.g_01645	Syar.g_02896
OG0000848	Prav.g_01646	Syar.g_02898
OG0000849	Prav.g_01647	Syar.g_02899
OG0000850	Prav.g_01649	Syar.g_02902
OG0000851	Prav.g_01650	Syar.g_02905
OG0000852	Prav.g_01651	Syar.g_02906
OG0000853	Prav.g_01655	Syar.g_02910
OG0000854	Prav.g_01657	Syar.g_02912
OG0000855	Prav.g_01658	Syar.g_02913
OG0000856	Prav.g_01671	Syar.g_02243
OG0000857	Prav.g_01699	Syar.g_02656
OG0000858	Prav.g_01755	Syar.g_02920
OG0000859	Prav.g_01756	Syar.g_02921
OG0000860	Prav.g_01763	Syar.g_02931
OG0000861	Prav.g_01764	Syar.g_02932
OG0000862	Prav.g_01765	Syar.g_02942
OG0000863	Prav.g_01767	Syar.g_02944
OG0000864	Prav.g_01768	Syar.g_02945
OG0000865	Prav.g_01769	Syar.g_02946
OG0000866	Prav.g_01770	Syar.g_02947
OG0000867	Prav.g_01771	Syar.g_02948
OG0000868	Prav.g_01772	Syar.g_02950
OG0000869	Prav.g_01776	Syar.g_02955
OG0000870	Prav.g_01781	Syar.g_02960
OG0000871	Prav.g_01782	Syar.g_02961
OG0000872	Prav.g_01783	Syar.g_02967
OG0000873	Prav.g_01786	Syar.g_02970
OG0000874	Prav.g_01789	Syar.g_02974
OG0000875	Prav.g_01790	Syar.g_02975
OG0000876	Prav.g_01791	Syar.g_01828
OG0000877	Prav.g_01793	Syar.g_02977
OG0000878	Prav.g_01794	Syar.g_02978
OG0000879	Prav.g_01795	Syar.g_02979
OG0000880	Prav.g_01796	Syar.g_02980
OG0000881	Prav.g_01800	Syar.g_02984
OG0000882	Prav.g_01805	Syar.g_02989
OG0000883	Prav.g_01807	Syar.g_02992
OG0000884	Prav.g_01809	Syar.g_02994
OG0000885	Prav.g_01810	Syar.g_02995
OG0000886	Prav.g_01811	Syar.g_02996
OG0000887	Prav.g_01812	Syar.g_02998
OG0000888	Prav.g_01814	Syar.g_03000
OG0000889	Prav.g_01816	Syar.g_03002
OG0000890	Prav.g_01817	Syar.g_03005
OG0000891	Prav.g_01818	Syar.g_03006
OG0000892	Prav.g_00264	Syar.g_03008
OG0000893	Prav.g_00268	Syar.g_00150
OG0000894	Prav.g_00270	Syar.g_00145
OG0000895	Prav.g_00273	Syar.g_00141
OG0000896	Prav.g_00274	Syar.g_00140
OG0000897	Prav.g_00276	Syar.g_00138
OG0000898	Prav.g_00277	Syar.g_00137
OG0000899	Prav.g_00278	Syar.g_00136
OG0000900	Prav.g_00279	Syar.g_00135
OG0000901	Prav.g_00282	Syar.g_00130
OG0000902	Prav.g_00284	Syar.g_01013
OG0000903	Prav.g_00287	Syar.g_01026
OG0000904	Prav.g_00289	Syar.g_01021
OG0000905	Prav.g_00294	Syar.g_01018
OG0000906	Prav.g_00295	Syar.g_01015
OG0000907	Prav.g_00590	Syar.g_01028
OG0000908	Prav.g_00593	Syar.g_01031
OG0000909	Prav.g_00594	Syar.g_01032
OG0000910	Prav.g_00595	Syar.g_01033
OG0000911	Prav.g_00597	Syar.g_01035
OG0000912	Prav.g_00598	Syar.g_01036
OG0000913	Prav.g_00599	Syar.g_01037
OG0000914	Prav.g_00600	Syar.g_01038
OG0000915	Prav.g_00601	Syar.g_01040
OG0000916	Prav.g_00602	Syar.g_01041
OG0000917	Prav.g_00603	Syar.g_01042
OG0000918	Prav.g_00604	Syar.g_01043
OG0000919	Prav.g_00605	Syar.g_01044
OG0000920	Prav.g_00606	Syar.g_01045
OG0000921	Prav.g_00607	Syar.g_01046
OG0000922	Prav.g_00608	Syar.g_01047
OG0000923	Prav.g_00612	Syar.g_01051
OG0000924	Prav.g_00613	Syar.g_01052
OG0000925	Prav.g_00614	Syar.g_01053
OG0000926	Prav.g_00615	Syar.g_01054
OG0000927	Prav.g_00617	Syar.g_01056
OG0000928	Prav.g_00618	Syar.g_01057
OG0000929	Prav.g_00619	Syar.g_01058
OG0000930	Prav.g_00620	Syar.g_01059
OG0000931	Prav.g_00621	Syar.g_01060
OG0000932	Prav.g_00622	Syar.g_01061
OG0000933	Prav.g_00626	Syar.g_01066
OG0000934	Prav.g_00628	Syar.g_01068
OG0000935	Prav.g_00629	Syar.g_01069
OG0000936	Prav.g_00630	Syar.g_01070
OG0000937	Prav.g_00631	Syar.g_01071
OG0000938	Prav.g_00633	Syar.g_01074
OG0000939	Prav.g_00634	Syar.g_01075
OG0000940	Prav.g_00641	Syar.g_01081
OG0000941	Prav.g_00643	Syar.g_01083
OG0000942	Prav.g_00645	Syar.g_01085
OG0000943	Prav.g_00646	Syar.g_01086
OG0000944	Prav.g_00647	Syar.g_01088
OG0000945	Prav.g_00648	Syar.g_01089
OG0000946	Prav.g_00653	Syar.g_01095
OG0000947	Prav.g_00655	Syar.g_01098
OG0000948	Prav.g_00656	Syar.g_01099
OG0000949	Prav.g_00659	Syar.g_00283
OG0000950	Prav.g_00664	Syar.g_00661
OG0000951	Prav.g_00668	Syar.g_00656
OG0000952	Prav.g_00672	Syar.g_00651
OG0000953	Prav.g_00675	Syar.g_00248
OG0000954	Prav.g_00679	Syar.g_00258
OG0000955	Prav.g_00680	Syar.g_00259
OG0000956	Prav.g_00682	Syar.g_00261
OG0000957	Prav.g_00687	Syar.g_00610
OG0000958	Prav.g_00688	Syar.g_00609
OG0000959	Prav.g_00692	Syar.g_00605
OG0000960	Prav.g_00693	Syar.g_00604
OG0000961	Prav.g_00695	Syar.g_00094
OG0000962	Prav.g_00697	Syar.g_00594
OG0000963	Prav.g_00701	Syar.g_00590
OG0000964	Prav.g_00702	Syar.g_00589
OG0000965	Prav.g_00703	Syar.g_00588
OG0000966	Prav.g_00710	Syar.g_00549
OG0000967	Prav.g_00714	Syar.g_00545
OG0000968	Prav.g_00716	Syar.g_00542
OG0000969	Prav.g_00717	Syar.g_00540
OG0000970	Prav.g_00718	Syar.g_00539
OG0000971	Prav.g_00719	Syar.g_00537
OG0000972	Prav.g_00720	Syar.g_00536
OG0000973	Prav.g_00721	Syar.g_00535
OG0000974	Prav.g_00722	Syar.g_00534
OG0000975	Prav.g_00723	Syar.g_00533
OG0000976	Prav.g_00724	Syar.g_00532
OG0000977	Prav.g_00725	Syar.g_00530
OG0000978	Prav.g_00726	Syar.g_00529
OG0000979	Prav.g_00729	Syar.g_00526
OG0000980	Prav.g_00731	Syar.g_00523
OG0000981	Prav.g_00733	Syar.g_00520
OG0000982	Prav.g_00735	Syar.g_00331
OG0000983	Prav.g_00736	Syar.g_00332
OG0000984	Prav.g_00737	Syar.g_00333
OG0000985	Prav.g_00740	Syar.g_00337
OG0000986	Prav.g_00742	Syar.g_00344
OG0000987	Prav.g_00743	Syar.g_00346
OG0000988	Prav.g_00746	Syar.g_00352
OG0000989	Prav.g_00750	Syar.g_00377
OG0000990	Prav.g_00753	Syar.g_00697
OG0000991	Prav.g_00754	Syar.g_00700
OG0000992	Prav.g_00756	Syar.g_00704
OG0000993	Prav.g_00757	Syar.g_00705
OG0000994	Prav.g_00758	Syar.g_00708
OG0000995	Prav.g_00762	Syar.g_03212, Syar.g_00624
OG0000996	Prav.g_00763	Syar.g_00861
OG0000997	Prav.g_00764	Syar.g_00437
OG0000998	Prav.g_00766	Syar.g_00439
OG0000999	Prav.g_00767	Syar.g_00440
OG0001000	Prav.g_00770	Syar.g_00955, Syar.g_00444
OG0001001	Prav.g_00772	Syar.g_00450
OG0001002	Prav.g_00776	Syar.g_00457
OG0001003	Prav.g_00778	Syar.g_00459
OG0001004	Prav.g_00779	Syar.g_00460
OG0001005	Prav.g_00780	Syar.g_00461
OG0001006	Prav.g_00784	Syar.g_00468
OG0001007	Prav.g_00786	Syar.g_00470
OG0001008	Prav.g_01036	Syar.g_01178
OG0001009	Prav.g_00095	Syar.g_00500
OG0001010	Prav.g_00096	Syar.g_00501
OG0001011	Prav.g_00097	Syar.g_00503
OG0001013	Prav.g_00119	Syar.g_00906
OG0001014	Prav.g_00122	Syar.g_00914
OG0001015	Prav.g_00123	Syar.g_00915
OG0001017	Prav.g_00142	Syar.g_03050
OG0001018	Prav.g_00145	Syar.g_03052
OG0001019	Prav.g_00154	Syar.g_03086
OG0001020	Prav.g_00155	Syar.g_03092
OG0001021	Prav.g_00156	Syar.g_03098
OG0001022	Prav.g_00159	Syar.g_03102
OG0001023	Prav.g_00160	Syar.g_03103
OG0001024	Prav.g_00163	Syar.g_02276
OG0001025	Prav.g_00169	Syar.g_03115
OG0001026	Prav.g_00176	Syar.g_03131
OG0001027	Prav.g_00177	Syar.g_00031
OG0001028	Prav.g_00179	Syar.g_00034
OG0001029	Prav.g_00180	Syar.g_00036
OG0001030	Prav.g_00195	Syar.g_00058
OG0001031	Prav.g_00852	Syar.g_00129
OG0001032	Prav.g_00851	Syar.g_01011
OG0001033	Prav.g_00830	Syar.g_00962
OG0001034	Prav.g_00802	Syar.g_03022
OG0001035	Prav.g_01901	Syar.g_00171
OG0001036	Prav.g_01906	Syar.g_00193
OG0001037	Prav.g_01907	Syar.g_00195
OG0001038	Prav.g_01924	Syar.g_00223
OG0001039	Prav.g_01927	Syar.g_00226
OG0001040	Prav.g_01929	Syar.g_00229
OG0001041	Prav.g_01933	Syar.g_00234
OG0001042	Prav.g_01950	Syar.g_00831
OG0001043	Prav.g_01951	Syar.g_00826
OG0001044	Prav.g_01979	Syar.g_01117
OG0001045	Prav.g_01988	Syar.g_01130
OG0001046	Prav.g_00996	Syar.g_02514
OG0001047	Prav.g_01038	Syar.g_01180
OG0001048	Prav.g_01039	Syar.g_01181
OG0001049	Prav.g_01041	Syar.g_02872
OG0001050	Prav.g_01042	Syar.g_02871
OG0001051	Prav.g_01043	Syar.g_02870
OG0001052	Prav.g_01069	Syar.g_01269
OG0001053	Prav.g_01081	Syar.g_01472
OG0001054	Prav.g_01096	Syar.g_01492
OG0001055	Prav.g_01115	Syar.g_01513
OG0001056	Prav.g_01134	Syar.g_02349
OG0001057	Prav.g_01139	Syar.g_02341
OG0001058	Prav.g_01147	Syar.g_02324
OG0001059	Prav.g_01151	Syar.g_00422
OG0001060	Prav.g_01158	Syar.g_02315
OG0001061	Prav.g_01171	Syar.g_02297
OG0001062	Prav.g_01173	Syar.g_02294
OG0001063	Prav.g_01175	Syar.g_02209
OG0001064	Prav.g_01176	Syar.g_02208
OG0001065	Prav.g_01177	Syar.g_02207
OG0001066	Prav.g_01178	Syar.g_02206
OG0001067	Prav.g_01179	Syar.g_02205
OG0001068	Prav.g_01180	Syar.g_02204
OG0001069	Prav.g_01181	Syar.g_02203
OG0001070	Prav.g_01184	Syar.g_02200
OG0001071	Prav.g_01185	Syar.g_02199
OG0001072	Prav.g_01186	Syar.g_02195
OG0001073	Prav.g_01200	Syar.g_02182
OG0001074	Prav.g_01211	Syar.g_02031
OG0001075	Prav.g_01212	Syar.g_02215
OG0001076	Prav.g_01222	Syar.g_02253
OG0001077	Prav.g_01226	Syar.g_02240
OG0001078	Prav.g_01234	Syar.g_02419
OG0001079	Prav.g_01245	Syar.g_02431
OG0001080	Prav.g_01251	Syar.g_02442
OG0001081	Prav.g_01253	Syar.g_02444
OG0001082	Prav.g_01254	Syar.g_02445
OG0001083	Prav.g_01259	Syar.g_02473
OG0001084	Prav.g_01260	Syar.g_02474
OG0001085	Prav.g_01268	Syar.g_01688
OG0001086	Prav.g_01269	Syar.g_01686
OG0001087	Prav.g_01286	Syar.g_02347
OG0001088	Prav.g_01287	Syar.g_00431
OG0001089	Prav.g_01295	Syar.g_01942
OG0001090	Prav.g_00307	Syar.g_01582
OG0001091	Prav.g_00309	Syar.g_01580
OG0001092	Prav.g_00310	Syar.g_01578
OG0001093	Prav.g_00315	Syar.g_01572
OG0001094	Prav.g_00391	Syar.g_02633
OG0001095	Prav.g_00410	Syar.g_02653
OG0001096	Prav.g_00423	Syar.g_02476
OG0001097	Prav.g_00441	Syar.g_01823
OG0001098	Prav.g_00456	Syar.g_01672
OG0001099	Prav.g_00487	Syar.g_00035
OG0001100	Prav.g_00491	Syar.g_01625
OG0001101	Prav.g_00493	Syar.g_01623
OG0001102	Prav.g_00496	Syar.g_01620
OG0001103	Prav.g_00498	Syar.g_01618
OG0001104	Prav.g_00520	Syar.g_02616
OG0001105	Prav.g_00524	Syar.g_02620
OG0001106	Prav.g_00547	Syar.g_02553
OG0001107	Prav.g_00554	Syar.g_02541
OG0001109	Prav.g_00559	Syar.g_02529
OG0001110	Prav.g_00561	Syar.g_02527
OG0001111	Prav.g_00562	Syar.g_02525
OG0001112	Prav.g_00563	Syar.g_02523
OG0001113	Prav.g_00564	Syar.g_02522
OG0001114	Prav.g_00565	Syar.g_02521
OG0001115	Prav.g_00567	Syar.g_02519
OG0001116	Prav.g_00568	Syar.g_02517
OG0001117	Prav.g_00569	Syar.g_02516
OG0001118	Prav.g_00570	Syar.g_02515
OG0001119	Prav.g_00571	Syar.g_02513
OG0001120	Prav.g_00573	Syar.g_02507
OG0001122	Prav.g_00905	Syar.g_01803
OG0001123	Prav.g_00909	Syar.g_01796
OG0001124	Prav.g_00911	Syar.g_01793
OG0001125	Prav.g_00912	Syar.g_01791
OG0001126	Prav.g_00922	Syar.g_01375
OG0001127	Prav.g_00923	Syar.g_01374
OG0001128	Prav.g_00925	Syar.g_01371
OG0001129	Prav.g_00926	Syar.g_01369
OG0001130	Prav.g_00927	Syar.g_01368
OG0001131	Prav.g_00242	Syar.g_02448
OG0001132	Prav.g_00252	Syar.g_00684
OG0001133	Prav.g_00019	Syar.g_02249
OG0001134	Prav.g_00033	Syar.g_02235
OG0001135	Prav.g_00036	Syar.g_02232
OG0001136	Prav.g_00062	Syar.g_01536
OG0001137	Prav.g_00073	Syar.g_01944
OG0001138	Prav.g_01855	Syar.g_01977
OG0001139	Prav.g_01854	Syar.g_01980
OG0001140	Prav.g_01853	Syar.g_01981
OG0001141	Prav.g_01852	Syar.g_01982
OG0001142	Prav.g_01851	Syar.g_01983
OG0001143	Prav.g_01844	Syar.g_01698
OG0001144	Prav.g_01839	Syar.g_01707
OG0001145	Prav.g_01430	Syar.g_02769
OG0001146	Prav.g_01442	Syar.g_02782
OG0001147	Prav.g_01459	Syar.g_01276
OG0001148	Prav.g_01475	Syar.g_01459
OG0001149	Prav.g_01476	Syar.g_01458
OG0001150	Prav.g_01477	Syar.g_01457
OG0001151	Prav.g_01488	Syar.g_01238
OG0001152	Prav.g_01489	Syar.g_01237
