Orthogroup	Syah	Prbb
OG0000105	Syah.g_00632	Prbb.g_00327
OG0000106	Syah.g_01544	Prbb.g_01197, Prbb.g_01329
OG0000107	Syah.g_00688	Prbb.g_01923
OG0000108	Syah.g_00997	Prbb.g_00484, Prbb.g_00485
OG0000109	Syah.g_01012	Prbb.g_00498
OG0000110	Syah.g_01124	Prbb.g_00578
OG0000111	Syah.g_02021	Prbb.g_00707
OG0000112	Syah.g_01613	Prbb.g_00983
OG0000113	Syah.g_01752	Prbb.g_00807, Prbb.g_01218
OG0000114	Syah.g_01529	Prbb.g_00932
OG0000115	Syah.g_01269	Prbb.g_01780
OG0000116	Syah.g_02175	Prbb.g_01528
OG0000117	Syah.g_01425	Prbb.g_01399
OG0000118	Syah.g_01173	Prbb.g_01598
OG0000120	Syah.g_00145	Prbb.g_00678
OG0000121	Syah.g_01287	Prbb.g_01688
OG0000122	Syah.g_01900	Prbb.g_01727
OG0000123	Syah.g_00793	Prbb.g_02008
OG0000125	Syah.g_00504	Prbb.g_02131
OG0000126	Syah.g_00379	Prbb.g_02183
OG0000128	Syah.g_00361	Prbb.g_00012
OG0000129	Syah.g_00516	Prbb.g_00059
OG0000130	Syah.g_02483	Prbb.g_00124
OG0000131	Syah.g_00052	Prbb.g_00202
OG0000132	Syah.g_00072	Prbb.g_00221
OG0000133	Syah.g_01618	Prbb.g_00373
OG0000134	Syah.g_00891	Prbb.g_00418
OG0000135	Syah.g_00465	Prbb.g_01326
OG0000136	Syah.g_02227	Prbb.g_00446
OG0000137	Syah.g_01221	Prbb.g_00478
OG0000138	Syah.g_01013	Prbb.g_00499
OG0000139	Syah.g_01070	Prbb.g_00540
OG0000140	Syah.g_01071	Prbb.g_00541
OG0000141	Syah.g_01981	Prbb.g_00608
OG0000142	Syah.g_01935	Prbb.g_00636
OG0000143	Syah.g_01931	Prbb.g_00640
OG0000144	Syah.g_01824	Prbb.g_00653
OG0000145	Syah.g_01019	Prbb.g_01099
OG0000146	Syah.g_01612	Prbb.g_00982
OG0000147	Syah.g_01611	Prbb.g_00981
OG0000148	Syah.g_01758	Prbb.g_00801
OG0000149	Syah.g_02096	Prbb.g_00832
OG0000150	Syah.g_01980	Prbb.g_00840
OG0000151	Syah.g_01820	Prbb.g_00943
OG0000152	Syah.g_01622	Prbb.g_00991
OG0000153	Syah.g_01656	Prbb.g_01009
OG0000154	Syah.g_01682	Prbb.g_01040
OG0000155	Syah.g_02123	Prbb.g_01495
OG0000156	Syah.g_02185	Prbb.g_01575
OG0000157	Syah.g_02186	Prbb.g_01576
OG0000158	Syah.g_00204	Prbb.g_02044
OG0000160	Syah.g_01289	Prbb.g_01687
OG0000161	Syah.g_01282	Prbb.g_01693
OG0000162	Syah.g_01276	Prbb.g_01699
OG0000163	Syah.g_02315	Prbb.g_01735
OG0000164	Syah.g_02423	Prbb.g_01845
