Orthogroup	Syag	Syam
OG0000282	Syag.g_00611	Syam.g_01347
OG0000283	Syag.g_00775	Syam.g_01087
OG0000284	Syag.g_00780	Syam.g_01093
OG0000285	Syag.g_00791	Syam.g_01105
OG0000286	Syag.g_00809	Syam.g_01123
OG0000287	Syag.g_00838	Syam.g_01153
OG0000288	Syag.g_00869	Syam.g_01186
OG0000289	Syag.g_00884	Syam.g_01201
OG0000290	Syag.g_00970	Syam.g_00771
OG0000291	Syag.g_00972	Syam.g_00773
OG0000292	Syag.g_02265	Syam.g_02439
OG0000293	Syag.g_01155	Syam.g_01806
OG0000294	Syag.g_01154	Syam.g_01805
OG0000295	Syag.g_01115	Syam.g_01771
OG0000296	Syag.g_01113	Syam.g_01769
OG0000297	Syag.g_01099	Syam.g_00906
OG0000298	Syag.g_01098	Syam.g_00905
OG0000299	Syag.g_01067	Syam.g_00878
OG0000301	Syag.g_01061	Syam.g_00870
OG0000302	Syag.g_01060	Syam.g_00868
OG0000303	Syag.g_01048	Syam.g_00859
OG0000304	Syag.g_01041	Syam.g_00853
OG0000305	Syag.g_00977	Syam.g_00776
OG0000306	Syag.g_00460	Syam.g_01757
OG0000307	Syag.g_01546	Syam.g_00566
OG0000308	Syag.g_01548	Syam.g_00564
OG0000309	Syag.g_01553	Syam.g_00559
OG0000310	Syag.g_01291	Syam.g_01591
OG0000311	Syag.g_01300	Syam.g_01595
OG0000312	Syag.g_01434	Syam.g_01601
OG0000313	Syag.g_00966, Syag.g_01412	Syam.g_01617
OG0000314	Syag.g_01380	Syam.g_01647
OG0000315	Syag.g_01369	Syam.g_01658
OG0000316	Syag.g_01641	Syam.g_01945
OG0000317	Syag.g_01684	Syam.g_01987
OG0000318	Syag.g_01688	Syam.g_01991
OG0000319	Syag.g_01710	Syam.g_02006
OG0000320	Syag.g_01712	Syam.g_02008
OG0000321	Syag.g_01713	Syam.g_02009
OG0000322	Syag.g_01714	Syam.g_02010
OG0000323	Syag.g_01728	Syam.g_02025
OG0000324	Syag.g_01757	Syam.g_01906
OG0000325	Syag.g_02690	Syam.g_00289
OG0000326	Syag.g_02698	Syam.g_00296
OG0000327	Syag.g_02728	Syam.g_00325
OG0000328	Syag.g_02729	Syam.g_00326
OG0000329	Syag.g_02747	Syam.g_00344
OG0000330	Syag.g_02748	Syam.g_00345
OG0000331	Syag.g_02749	Syam.g_00346
OG0000332	Syag.g_02764	Syam.g_00361
OG0000333	Syag.g_02767	Syam.g_00364
OG0000334	Syag.g_02777	Syam.g_00375
OG0000335	Syag.g_02782	Syam.g_00380
OG0000336	Syag.g_02786	Syam.g_00384
OG0000337	Syag.g_02445	Syam.g_00155
OG0000338	Syag.g_02440	Syam.g_00153
OG0000340	Syag.g_02416	Syam.g_00137
OG0000341	Syag.g_02414	Syam.g_00135
OG0000342	Syag.g_02413	Syam.g_00134
OG0000343	Syag.g_02411	Syam.g_00133
OG0000344	Syag.g_02407	Syam.g_00129
OG0000345	Syag.g_02397	Syam.g_00119
