Orthogroup	Syak	Prbf
OG0000148	Syak.g_00455	Prbf.g_01228
OG0000149	Syak.g_00596	Prbf.g_01196
OG0000150	Syak.g_02747	Prbf.g_01186
OG0000151	Syak.g_00387	Prbf.g_01310
OG0000152	Syak.g_00503	Prbf.g_01117
OG0000153	Syak.g_00470	Prbf.g_01098
OG0000154	Syak.g_00645	Prbf.g_01078
OG0000155	Syak.g_00855	Prbf.g_00939
OG0000156	Syak.g_00919	Prbf.g_00037
OG0000157	Syak.g_00920	Prbf.g_00036
OG0000158	Syak.g_01624	Prbf.g_00514
OG0000160	Syak.g_01043	Prbf.g_00158
OG0000161	Syak.g_01050	Prbf.g_00164
OG0000162	Syak.g_01058	Prbf.g_00170
OG0000163	Syak.g_02478	Prbf.g_00209
OG0000164	Syak.g_02384	Prbf.g_00669
OG0000165	Syak.g_02374	Prbf.g_00662
OG0000166	Syak.g_01345	Prbf.g_00595
OG0000167	Syak.g_01561	Prbf.g_00524
OG0000168	Syak.g_01625	Prbf.g_00513
OG0000169	Syak.g_01637	Prbf.g_00503
OG0000170	Syak.g_01644	Prbf.g_00500
OG0000171	Syak.g_01691	Prbf.g_00479
OG0000172	Syak.g_01713	Prbf.g_00472
OG0000173	Syak.g_01733	Prbf.g_00457
OG0000174	Syak.g_01895	Prbf.g_00428
OG0000175	Syak.g_01827	Prbf.g_00415
OG0000176	Syak.g_01790	Prbf.g_00389
OG0000177	Syak.g_01789	Prbf.g_00388
OG0000178	Syak.g_01788	Prbf.g_00387
OG0000179	Syak.g_01773	Prbf.g_01338
OG0000180	Syak.g_01772	Prbf.g_01339
OG0000181	Syak.g_01771	Prbf.g_01340
OG0000182	Syak.g_01770	Prbf.g_01341
OG0000183	Syak.g_01766	Prbf.g_01345
OG0000184	Syak.g_01955	Prbf.g_01371
OG0000185	Syak.g_01971	Prbf.g_01374
OG0000186	Syak.g_02258	Prbf.g_01390
OG0000187	Syak.g_02257	Prbf.g_01391
OG0000188	Syak.g_02235	Prbf.g_01408
OG0000189	Syak.g_02203	Prbf.g_01422
OG0000190	Syak.g_01575	Prbf.g_01424
OG0000191	Syak.g_02171	Prbf.g_01447
OG0000192	Syak.g_02165	Prbf.g_01452
OG0000193	Syak.g_02127	Prbf.g_01479
OG0000194	Syak.g_02124	Prbf.g_01482
OG0000195	Syak.g_02122	Prbf.g_01484
OG0000196	Syak.g_02111	Prbf.g_01495
OG0000197	Syak.g_02110	Prbf.g_01496
OG0000198	Syak.g_02109	Prbf.g_01497
OG0000199	Syak.g_02100	Prbf.g_01504
OG0000200	Syak.g_02083	Prbf.g_01518
OG0000201	Syak.g_02068	Prbf.g_01527
OG0000202	Syak.g_02067	Prbf.g_01528
OG0000203	Syak.g_02066	Prbf.g_01529
OG0000204	Syak.g_02065	Prbf.g_01530
OG0000205	Syak.g_02058	Prbf.g_01537
OG0000206	Syak.g_02038	Prbf.g_01542
OG0000207	Syak.g_02025	Prbf.g_01545
OG0000208	Syak.g_02024	Prbf.g_01546
OG0000209	Syak.g_01995	Prbf.g_01555
OG0000210	Syak.g_01994	Prbf.g_01556
OG0000211	Syak.g_02300, Syak.g_02017	Prbf.g_01571
OG0000212	Syak.g_02311	Prbf.g_01579
OG0000213	Syak.g_01425	Prbf.g_01597
OG0000214	Syak.g_01442	Prbf.g_01607
OG0000215	Syak.g_01474	Prbf.g_01634
OG0000216	Syak.g_01478	Prbf.g_01635
OG0000217	Syak.g_01482	Prbf.g_01638
OG0000218	Syak.g_01484	Prbf.g_01640
OG0000219	Syak.g_01485	Prbf.g_01641
