Orthogroup	Syar	Syaf
OG0000164	Syar.g_03168	Syaf.g_00999
OG0000165	Syar.g_02976	Syaf.g_01197
OG0000166	Syar.g_01034	Syaf.g_00133
OG0000167	Syar.g_00662	Syaf.g_00350
OG0000168	Syar.g_00246	Syaf.g_00365
OG0000169	Syar.g_00262	Syaf.g_00376
OG0000170	Syar.g_00613	Syaf.g_00383
OG0000171	Syar.g_00587	Syaf.g_00413
OG0000172	Syar.g_00547	Syaf.g_00419
OG0000173	Syar.g_00528	Syaf.g_00438
OG0000174	Syar.g_00701	Syaf.g_00603
OG0000175	Syar.g_00438	Syaf.g_00531
OG0000176	Syar.g_00474	Syaf.g_00494
OG0000177	Syar.g_00475	Syaf.g_00493
OG0000178	Syar.g_00476	Syaf.g_00492
OG0000179	Syar.g_00489	Syaf.g_00477
OG0000180	Syar.g_00490	Syaf.g_00476
OG0000181	Syar.g_00491	Syaf.g_00475
OG0000182	Syar.g_00492	Syaf.g_00474
OG0000183	Syar.g_00496	Syaf.g_00470
OG0000184	Syar.g_00897	Syaf.g_00664
OG0000185	Syar.g_00909	Syaf.g_00684
OG0000186	Syar.g_03036	Syaf.g_00968
OG0000187	Syar.g_03038	Syaf.g_00966
OG0000188	Syar.g_03058	Syaf.g_00944
OG0000189	Syar.g_03104	Syaf.g_00916
OG0000190	Syar.g_03107, Syar.g_02374	Syaf.g_00914
OG0000191	Syar.g_00039	Syaf.g_00877
OG0000192	Syar.g_00046	Syaf.g_00871
OG0000193	Syar.g_00079	Syaf.g_00832
OG0000194	Syar.g_00082	Syaf.g_00829
OG0000195	Syar.g_00023	Syaf.g_00827
OG0000196	Syar.g_00096	Syaf.g_00816
OG0000197	Syar.g_00097	Syaf.g_00815
OG0000198	Syar.g_00098	Syaf.g_00814
OG0000199	Syar.g_00106	Syaf.g_00806
OG0000200	Syar.g_00124	Syaf.g_00789
OG0000201	Syar.g_01000	Syaf.g_00771
OG0000202	Syar.g_00998	Syaf.g_00770
OG0000203	Syar.g_00997	Syaf.g_00769
OG0000204	Syar.g_00996	Syaf.g_00768
OG0000205	Syar.g_00988	Syaf.g_00761
OG0000206	Syar.g_00963	Syaf.g_00736
OG0000207	Syar.g_00957	Syaf.g_00735
OG0000208	Syar.g_00956	Syaf.g_00734
OG0000209	Syar.g_00936, Syar.g_03261	Syaf.g_00714
