Orthogroup	Syar	Prac
OG0000573	Syar.g_02191	Prac.g_00780
OG0000574	Syar.g_02190	Prac.g_00779
OG0000575	Syar.g_03180	Prac.g_00775
OG0000576	Syar.g_02187	Prac.g_00772
OG0000577	Syar.g_02186	Prac.g_00771
OG0000578	Syar.g_02185	Prac.g_00770
OG0000579	Syar.g_02184	Prac.g_00769
OG0000580	Syar.g_02183	Prac.g_00768
OG0000581	Syar.g_02175	Prac.g_00766
OG0000582	Syar.g_02131	Prac.g_00763
OG0000583	Syar.g_02132	Prac.g_00762
OG0000584	Syar.g_02133	Prac.g_00761
OG0000585	Syar.g_02170	Prac.g_00759
OG0000586	Syar.g_02171	Prac.g_00758
OG0000587	Syar.g_02173	Prac.g_00757
OG0000588	Syar.g_02275	Prac.g_00753
OG0000589	Syar.g_02261	Prac.g_00750
OG0000590	Syar.g_02260	Prac.g_00749
OG0000591	Syar.g_02246	Prac.g_00746
OG0000592	Syar.g_02245	Prac.g_00745
OG0000593	Syar.g_02414	Prac.g_00739
OG0000594	Syar.g_02415	Prac.g_00738
OG0000595	Syar.g_02416	Prac.g_00737
OG0000596	Syar.g_02421	Prac.g_00733
OG0000597	Syar.g_02424	Prac.g_00731
OG0000598	Syar.g_02425	Prac.g_00730
OG0000599	Syar.g_02428	Prac.g_00727
OG0000600	Syar.g_02429	Prac.g_00726
OG0000601	Syar.g_02430	Prac.g_00725
OG0000602	Syar.g_02435	Prac.g_00723
OG0000603	Syar.g_02436	Prac.g_00722
OG0000604	Syar.g_02438	Prac.g_00721
OG0000605	Syar.g_02440	Prac.g_00720
OG0000606	Syar.g_02443	Prac.g_00717
OG0000607	Syar.g_02446	Prac.g_00714
OG0000608	Syar.g_02447	Prac.g_00713
OG0000609	Syar.g_02470	Prac.g_00712
OG0000610	Syar.g_01917	Prac.g_00707
OG0000611	Syar.g_01914	Prac.g_00704
OG0000612	Syar.g_01913	Prac.g_00703
OG0000613	Syar.g_00712	Prac.g_00698
OG0000614	Syar.g_02012, Syar.g_01344	Prac.g_00679
OG0000615	Syar.g_02603	Prac.g_00671
OG0000616	Syar.g_00454	Prac.g_00667
OG0000617	Syar.g_01576	Prac.g_01554
OG0000618	Syar.g_01575	Prac.g_01553
OG0000619	Syar.g_01574	Prac.g_01552
OG0000620	Syar.g_01569	Prac.g_01549
OG0000621	Syar.g_01568	Prac.g_01548
OG0000622	Syar.g_01566	Prac.g_01547
OG0000623	Syar.g_01565	Prac.g_01546
OG0000624	Syar.g_01564	Prac.g_01545
OG0000625	Syar.g_01563	Prac.g_01544
OG0000626	Syar.g_01562	Prac.g_01543
OG0000627	Syar.g_01868	Prac.g_01542
OG0000628	Syar.g_01869	Prac.g_01541
OG0000629	Syar.g_01872	Prac.g_01540
OG0000630	Syar.g_02586	Prac.g_01537
OG0000631	Syar.g_02579	Prac.g_01484
OG0000632	Syar.g_02578	Prac.g_01483
OG0000633	Syar.g_02576	Prac.g_01482
OG0000634	Syar.g_02635	Prac.g_01479
OG0000635	Syar.g_02636	Prac.g_01478
OG0000636	Syar.g_02638	Prac.g_01476
OG0000637	Syar.g_02640	Prac.g_01474
OG0000638	Syar.g_02641	Prac.g_01473
OG0000639	Syar.g_02642	Prac.g_01472
OG0000640	Syar.g_02643	Prac.g_01471
OG0000641	Syar.g_02648	Prac.g_01467
OG0000642	Syar.g_02649	Prac.g_01466
OG0000643	Syar.g_02650	Prac.g_01465
OG0000644	Syar.g_02651	Prac.g_01464
OG0000645	Syar.g_02652	Prac.g_01463
OG0000646	Syar.g_02655	Prac.g_01461
OG0000647	Syar.g_02657	Prac.g_01460
OG0000648	Syar.g_02659	Prac.g_01458
OG0000649	Syar.g_02660	Prac.g_01457
OG0000650	Syar.g_02661	Prac.g_01456
OG0000651	Syar.g_02662	Prac.g_01455
OG0000652	Syar.g_02663	Prac.g_01454
OG0000653	Syar.g_02665	Prac.g_01452
OG0000654	Syar.g_02666	Prac.g_01451
OG0000655	Syar.g_02667	Prac.g_01450
OG0000656	Syar.g_02479	Prac.g_01447
OG0000657	Syar.g_01812	Prac.g_01440
OG0000658	Syar.g_01815	Prac.g_01439
OG0000659	Syar.g_01816	Prac.g_01438
OG0000660	Syar.g_01820	Prac.g_01434
OG0000661	Syar.g_03175, Syar.g_01822	Prac.g_01432
OG0000662	Syar.g_01829	Prac.g_01430
OG0000663	Syar.g_01832	Prac.g_01428
OG0000664	Syar.g_01837	Prac.g_01427
OG0000665	Syar.g_02774	Prac.g_01423
OG0000666	Syar.g_01241	Prac.g_01422
OG0000667	Syar.g_02346	Prac.g_01418
OG0000668	Syar.g_01802	Prac.g_01401
OG0000669	Syar.g_01627	Prac.g_01393
OG0000670	Syar.g_01624	Prac.g_01391
OG0000671	Syar.g_01622	Prac.g_01389
OG0000672	Syar.g_01619	Prac.g_01386
OG0000673	Syar.g_01615	Prac.g_01383
OG0000674	Syar.g_01613	Prac.g_01381
OG0000675	Syar.g_01612	Prac.g_01380
OG0000676	Syar.g_01608	Prac.g_01378
OG0000677	Syar.g_01607	Prac.g_01377
OG0000678	Syar.g_02037	Prac.g_01375
OG0000679	Syar.g_02606	Prac.g_01371
OG0000680	Syar.g_02607	Prac.g_01370
OG0000681	Syar.g_02610	Prac.g_01368
OG0000682	Syar.g_02611	Prac.g_01367
OG0000683	Syar.g_02612	Prac.g_01366
OG0000684	Syar.g_02615	Prac.g_01365
OG0000685	Syar.g_02617	Prac.g_01363
OG0000686	Syar.g_02618	Prac.g_01362
OG0000687	Syar.g_02619	Prac.g_01361
OG0000688	Syar.g_02624	Prac.g_01358
OG0000689	Syar.g_02626	Prac.g_01357
OG0000690	Syar.g_02627	Prac.g_01356
OG0000691	Syar.g_02628	Prac.g_01355
OG0000692	Syar.g_02629	Prac.g_01353
OG0000693	Syar.g_02631	Prac.g_01352
OG0000694	Syar.g_02632	Prac.g_01351
OG0000695	Syar.g_02573	Prac.g_01349
OG0000696	Syar.g_02572	Prac.g_01348
OG0000697	Syar.g_02570	Prac.g_01347
OG0000698	Syar.g_02567	Prac.g_01344
OG0000699	Syar.g_02566	Prac.g_01343
OG0000700	Syar.g_02565	Prac.g_01342
OG0000701	Syar.g_02564	Prac.g_01341
OG0000702	Syar.g_02559	Prac.g_01339
OG0000703	Syar.g_02557	Prac.g_01338
OG0000704	Syar.g_02555	Prac.g_01337
OG0000705	Syar.g_02547	Prac.g_01333
OG0000706	Syar.g_02546	Prac.g_01332
OG0000707	Syar.g_02545	Prac.g_01331
OG0000708	Syar.g_02542	Prac.g_01330
OG0000709	Syar.g_02534	Prac.g_01326
OG0000710	Syar.g_02528	Prac.g_01323
OG0000711	Syar.g_02499	Prac.g_01307
OG0000712	Syar.g_02497	Prac.g_01305
OG0000713	Syar.g_02496	Prac.g_01304
OG0000714	Syar.g_02494	Prac.g_01303
OG0000715	Syar.g_02492	Prac.g_01301
OG0000716	Syar.g_02488	Prac.g_01299
OG0000717	Syar.g_02487	Prac.g_01298
OG0000718	Syar.g_02483	Prac.g_01287
OG0000719	Syar.g_01804	Prac.g_01285
OG0000720	Syar.g_01790	Prac.g_01276
OG0000721	Syar.g_01788	Prac.g_01274
OG0000722	Syar.g_01787	Prac.g_01273
OG0000723	Syar.g_01560	Prac.g_01270
OG0000724	Syar.g_01367, Syar.g_02120	Prac.g_01261
OG0000725	Syar.g_01934	Prac.g_01255
OG0000726	Syar.g_01935	Prac.g_01254
OG0000727	Syar.g_01936	Prac.g_01253
OG0000728	Syar.g_01938	Prac.g_01251
OG0000729	Syar.g_00593	Prac.g_01205
OG0000730	Syar.g_01115	Prac.g_01046
OG0000731	Syar.g_01127	Prac.g_01042
OG0000732	Syar.g_00522	Prac.g_01036
OG0000733	Syar.g_02234	Prac.g_01017
OG0000734	Syar.g_03128	Prac.g_01000
OG0000735	Syar.g_01522	Prac.g_00998
OG0000736	Syar.g_01523	Prac.g_00997
OG0000737	Syar.g_01524	Prac.g_00996
OG0000738	Syar.g_01530	Prac.g_00992
OG0000739	Syar.g_01531	Prac.g_00991
OG0000740	Syar.g_01532	Prac.g_00990
OG0000741	Syar.g_01535	Prac.g_00989
OG0000742	Syar.g_01538	Prac.g_00986
OG0000743	Syar.g_01541	Prac.g_00984
OG0000744	Syar.g_01542	Prac.g_00983
OG0000745	Syar.g_01545	Prac.g_00982
OG0000746	Syar.g_01549	Prac.g_00980
OG0000747	Syar.g_01551	Prac.g_00979
OG0000748	Syar.g_01945	Prac.g_00976
OG0000749	Syar.g_01946	Prac.g_00975
OG0000750	Syar.g_01947	Prac.g_00974
OG0000751	Syar.g_01952	Prac.g_00972
OG0000752	Syar.g_01954	Prac.g_00970
OG0000753	Syar.g_01957	Prac.g_00967
OG0000754	Syar.g_01963	Prac.g_00964
OG0000755	Syar.g_01974	Prac.g_00961
OG0000756	Syar.g_01975	Prac.g_00960
OG0000757	Syar.g_01984	Prac.g_00954
OG0000758	Syar.g_01985	Prac.g_00953
OG0000759	Syar.g_01986	Prac.g_00952
OG0000760	Syar.g_01987	Prac.g_00951
OG0000761	Syar.g_01988	Prac.g_00950
OG0000762	Syar.g_01992	Prac.g_00949
OG0000763	Syar.g_01699	Prac.g_00947
OG0000764	Syar.g_01700	Prac.g_00946
OG0000765	Syar.g_01718	Prac.g_00937
OG0000766	Syar.g_01719	Prac.g_00936
OG0000767	Syar.g_01721	Prac.g_00934
OG0000768	Syar.g_01722	Prac.g_00933
OG0000769	Syar.g_01724	Prac.g_00931
OG0000770	Syar.g_01727	Prac.g_00929
OG0000771	Syar.g_01373	Prac.g_00448
OG0000772	Syar.g_00746	Prac.g_00154
OG0000773	Syar.g_02694	Prac.g_00166
OG0000774	Syar.g_02771	Prac.g_00168
OG0000775	Syar.g_02773	Prac.g_00170
OG0000776	Syar.g_01755	Prac.g_00171
OG0000777	Syar.g_01754	Prac.g_00172
OG0000778	Syar.g_01753	Prac.g_00173
OG0000779	Syar.g_02779	Prac.g_00177
OG0000780	Syar.g_02781	Prac.g_00178
OG0000781	Syar.g_02785	Prac.g_00181
OG0000782	Syar.g_02786	Prac.g_00182
OG0000783	Syar.g_02787	Prac.g_00183
OG0000784	Syar.g_02788	Prac.g_00184
OG0000785	Syar.g_02791	Prac.g_00186
OG0000786	Syar.g_02795	Prac.g_00188
OG0000787	Syar.g_02796	Prac.g_00189
OG0000788	Syar.g_02331	Prac.g_00204
OG0000789	Syar.g_02040	Prac.g_00207
OG0000790	Syar.g_01456	Prac.g_00222
OG0000791	Syar.g_01454	Prac.g_00224
OG0000792	Syar.g_01453	Prac.g_00225
OG0000793	Syar.g_01243	Prac.g_00228
OG0000794	Syar.g_01242	Prac.g_00229
OG0000795	Syar.g_01240	Prac.g_00230
OG0000796	Syar.g_01236	Prac.g_00234
OG0000797	Syar.g_01235	Prac.g_00235
OG0000798	Syar.g_00222, Syar.g_02701	Prac.g_00262
OG0000799	Syar.g_02844	Prac.g_00429
OG0000800	Syar.g_02843	Prac.g_00428
OG0000801	Syar.g_02842	Prac.g_00427
OG0000802	Syar.g_02825	Prac.g_00425
OG0000803	Syar.g_02822	Prac.g_00423
OG0000804	Syar.g_02819	Prac.g_00422
OG0000805	Syar.g_02817	Prac.g_00420
OG0000806	Syar.g_02815	Prac.g_00418
OG0000807	Syar.g_02814	Prac.g_00417
OG0000808	Syar.g_02813	Prac.g_00416
OG0000809	Syar.g_02811	Prac.g_00413
OG0000810	Syar.g_02810	Prac.g_00412
OG0000811	Syar.g_02805	Prac.g_00408
OG0000812	Syar.g_02803	Prac.g_00406
OG0000813	Syar.g_02802	Prac.g_00405
OG0000814	Syar.g_02800	Prac.g_00403
OG0000815	Syar.g_02799	Prac.g_00402
OG0000816	Syar.g_02797	Prac.g_00400
OG0000817	Syar.g_02861	Prac.g_00399
OG0000818	Syar.g_01418	Prac.g_00394
OG0000819	Syar.g_01417	Prac.g_00393
OG0000820	Syar.g_01416	Prac.g_00392
OG0000821	Syar.g_01410	Prac.g_00388
OG0000822	Syar.g_01408	Prac.g_00387
OG0000823	Syar.g_01407	Prac.g_00386
OG0000824	Syar.g_01402	Prac.g_00383
OG0000825	Syar.g_01401	Prac.g_00382
OG0000826	Syar.g_01400	Prac.g_00381
OG0000827	Syar.g_01399	Prac.g_00380
OG0000828	Syar.g_01396	Prac.g_00377
OG0000829	Syar.g_01395	Prac.g_00376
OG0000830	Syar.g_01394	Prac.g_00375
OG0000831	Syar.g_01391	Prac.g_00373
OG0000832	Syar.g_01213	Prac.g_00367
OG0000833	Syar.g_02877	Prac.g_00359
OG0000834	Syar.g_02878	Prac.g_00358
OG0000835	Syar.g_02879	Prac.g_00357
OG0000836	Syar.g_02881	Prac.g_00356
OG0000837	Syar.g_02882	Prac.g_00355
OG0000838	Syar.g_02886	Prac.g_00353
OG0000839	Syar.g_02887	Prac.g_00352
OG0000840	Syar.g_02888	Prac.g_00351
OG0000841	Syar.g_02889	Prac.g_00350
OG0000842	Syar.g_02890	Prac.g_00349
OG0000843	Syar.g_02891	Prac.g_00348
OG0000844	Syar.g_02893	Prac.g_00347
OG0000845	Syar.g_02894	Prac.g_00346
OG0000846	Syar.g_02895	Prac.g_00345
OG0000847	Syar.g_02896	Prac.g_00344
OG0000848	Syar.g_02898	Prac.g_00343
OG0000849	Syar.g_02899	Prac.g_00342
OG0000850	Syar.g_02902	Prac.g_00340
OG0000851	Syar.g_02905	Prac.g_00339
OG0000852	Syar.g_02906	Prac.g_00338
OG0000853	Syar.g_02910	Prac.g_00334
OG0000854	Syar.g_02912	Prac.g_00332
OG0000855	Syar.g_02913	Prac.g_00331
OG0000856	Syar.g_02243	Prac.g_00317
OG0000857	Syar.g_02656	Prac.g_00288
OG0000858	Syar.g_02920	Prac.g_00631
OG0000859	Syar.g_02921	Prac.g_00630
OG0000860	Syar.g_02931	Prac.g_00623
OG0000861	Syar.g_02932	Prac.g_00622
OG0000862	Syar.g_02942	Prac.g_00621
OG0000863	Syar.g_02944	Prac.g_00619
OG0000864	Syar.g_02945	Prac.g_00618
OG0000865	Syar.g_02946	Prac.g_00617
OG0000866	Syar.g_02947	Prac.g_00616
OG0000867	Syar.g_02948	Prac.g_00615
OG0000868	Syar.g_02950	Prac.g_00614
OG0000869	Syar.g_02955	Prac.g_00610
OG0000870	Syar.g_02960	Prac.g_00605
OG0000871	Syar.g_02961	Prac.g_00604
OG0000872	Syar.g_02967	Prac.g_00603
OG0000873	Syar.g_02970	Prac.g_00600
OG0000874	Syar.g_02974	Prac.g_00597
OG0000875	Syar.g_02975	Prac.g_00596
OG0000876	Syar.g_01828	Prac.g_00595
OG0000877	Syar.g_02977	Prac.g_00593
OG0000878	Syar.g_02978	Prac.g_00592
OG0000879	Syar.g_02979	Prac.g_00591
OG0000880	Syar.g_02980	Prac.g_00590
OG0000881	Syar.g_02984	Prac.g_00586
OG0000882	Syar.g_02989	Prac.g_00581
OG0000883	Syar.g_02992	Prac.g_00580
OG0000884	Syar.g_02994	Prac.g_00578
OG0000885	Syar.g_02995	Prac.g_00577
OG0000886	Syar.g_02996	Prac.g_00576
OG0000887	Syar.g_02998	Prac.g_00575
OG0000888	Syar.g_03000	Prac.g_00573
OG0000889	Syar.g_03002	Prac.g_00571
OG0000890	Syar.g_03005	Prac.g_00570
OG0000891	Syar.g_03006	Prac.g_00569
OG0000892	Syar.g_03008	Prac.g_00471
OG0000893	Syar.g_00150	Prac.g_00476
OG0000894	Syar.g_00145	Prac.g_00478
OG0000895	Syar.g_00141	Prac.g_00481
OG0000896	Syar.g_00140	Prac.g_00482
OG0000897	Syar.g_00138	Prac.g_00484
OG0000898	Syar.g_00137	Prac.g_00485
OG0000899	Syar.g_00136	Prac.g_00486
OG0000900	Syar.g_00135	Prac.g_00487
OG0000901	Syar.g_00130	Prac.g_00490
OG0000902	Syar.g_01013	Prac.g_00492
OG0000903	Syar.g_01026	Prac.g_00495
OG0000904	Syar.g_01021	Prac.g_00497
OG0000905	Syar.g_01018	Prac.g_00502
OG0000906	Syar.g_01015	Prac.g_00503
OG0000907	Syar.g_01028	Prac.g_00506
OG0000908	Syar.g_01031	Prac.g_00509
OG0000909	Syar.g_01032	Prac.g_00510
OG0000910	Syar.g_01033	Prac.g_00511
OG0000911	Syar.g_01035	Prac.g_00513
OG0000912	Syar.g_01036	Prac.g_00514
OG0000913	Syar.g_01037	Prac.g_00515
OG0000914	Syar.g_01038	Prac.g_00516
OG0000915	Syar.g_01040	Prac.g_00517
OG0000916	Syar.g_01041	Prac.g_00518
OG0000917	Syar.g_01042	Prac.g_00519
OG0000918	Syar.g_01043	Prac.g_00520
OG0000919	Syar.g_01044	Prac.g_00521
OG0000920	Syar.g_01045	Prac.g_00522
OG0000921	Syar.g_01046	Prac.g_00523
OG0000922	Syar.g_01047	Prac.g_00524
OG0000923	Syar.g_01051	Prac.g_00528
OG0000924	Syar.g_01052	Prac.g_00529
OG0000925	Syar.g_01053	Prac.g_00530
OG0000926	Syar.g_01054	Prac.g_00531
OG0000927	Syar.g_01056	Prac.g_00533
OG0000928	Syar.g_01057	Prac.g_00534
OG0000929	Syar.g_01058	Prac.g_00535
OG0000930	Syar.g_01059	Prac.g_00536
OG0000931	Syar.g_01060	Prac.g_00537
OG0000932	Syar.g_01061	Prac.g_00538
OG0000933	Syar.g_01066	Prac.g_00542
OG0000934	Syar.g_01068	Prac.g_00544
OG0000935	Syar.g_01069	Prac.g_00545
OG0000936	Syar.g_01070	Prac.g_00546
OG0000937	Syar.g_01071	Prac.g_00547
OG0000938	Syar.g_01074	Prac.g_00549
OG0000939	Syar.g_01075	Prac.g_00550
OG0000940	Syar.g_01081	Prac.g_00556
OG0000941	Syar.g_01083	Prac.g_00558
OG0000942	Syar.g_01085	Prac.g_00560
OG0000943	Syar.g_01086	Prac.g_00561
OG0000944	Syar.g_01088	Prac.g_00562
OG0000945	Syar.g_01089	Prac.g_00563
OG0000946	Syar.g_01095	Prac.g_00005
OG0000947	Syar.g_01098	Prac.g_00007
OG0000948	Syar.g_01099	Prac.g_00008
OG0000949	Syar.g_00283	Prac.g_00011
OG0000950	Syar.g_00661	Prac.g_00016
OG0000951	Syar.g_00656	Prac.g_00020
OG0000952	Syar.g_00651	Prac.g_00024
OG0000953	Syar.g_00248	Prac.g_00027
OG0000954	Syar.g_00258	Prac.g_00031
OG0000955	Syar.g_00259	Prac.g_00032
OG0000956	Syar.g_00261	Prac.g_00034
OG0000957	Syar.g_00610	Prac.g_00039
OG0000958	Syar.g_00609	Prac.g_00040
OG0000959	Syar.g_00605	Prac.g_00044
OG0000960	Syar.g_00604	Prac.g_00045
OG0000961	Syar.g_00094	Prac.g_00047
OG0000962	Syar.g_00594	Prac.g_00049
OG0000963	Syar.g_00590	Prac.g_00052
OG0000964	Syar.g_00589	Prac.g_00053
OG0000965	Syar.g_00588	Prac.g_00054
OG0000966	Syar.g_00549	Prac.g_00061
OG0000967	Syar.g_00545	Prac.g_00065
OG0000968	Syar.g_00542	Prac.g_00067
OG0000969	Syar.g_00540	Prac.g_00068
OG0000970	Syar.g_00539	Prac.g_00069
OG0000971	Syar.g_00537	Prac.g_00070
OG0000972	Syar.g_00536	Prac.g_00071
OG0000973	Syar.g_00535	Prac.g_00072
OG0000974	Syar.g_00534	Prac.g_00073
OG0000975	Syar.g_00533	Prac.g_00074
OG0000976	Syar.g_00532	Prac.g_00075
OG0000977	Syar.g_00530	Prac.g_00076
OG0000978	Syar.g_00529	Prac.g_00077
OG0000979	Syar.g_00526	Prac.g_00080
OG0000980	Syar.g_00523	Prac.g_00082
OG0000981	Syar.g_00520	Prac.g_00084
OG0000982	Syar.g_00331	Prac.g_00086
OG0000983	Syar.g_00332	Prac.g_00087
OG0000984	Syar.g_00333	Prac.g_00088
OG0000985	Syar.g_00337	Prac.g_00091
OG0000986	Syar.g_00344	Prac.g_00093
OG0000987	Syar.g_00346	Prac.g_00094
OG0000988	Syar.g_00352	Prac.g_00097
OG0000989	Syar.g_00377	Prac.g_00100
OG0000990	Syar.g_00697	Prac.g_00103
OG0000991	Syar.g_00700	Prac.g_00104
OG0000992	Syar.g_00704	Prac.g_00106
OG0000993	Syar.g_00705	Prac.g_00107
OG0000994	Syar.g_00708	Prac.g_00108
OG0000995	Syar.g_03212, Syar.g_00624	Prac.g_00112
OG0000996	Syar.g_00861	Prac.g_00113
OG0000997	Syar.g_00437	Prac.g_00114
OG0000998	Syar.g_00439	Prac.g_00116
OG0000999	Syar.g_00440	Prac.g_00117
OG0001000	Syar.g_00955, Syar.g_00444	Prac.g_00120
OG0001001	Syar.g_00450	Prac.g_00122
OG0001002	Syar.g_00457	Prac.g_00126
OG0001003	Syar.g_00459	Prac.g_00127
OG0001004	Syar.g_00460	Prac.g_00128
OG0001005	Syar.g_00461	Prac.g_00129
OG0001006	Syar.g_00468	Prac.g_01949
OG0001007	Syar.g_00470	Prac.g_01947
OG0001008	Syar.g_01178	Prac.g_01110
OG0001009	Syar.g_00500	Prac.g_01920
OG0001010	Syar.g_00501	Prac.g_01919
OG0001011	Syar.g_00503	Prac.g_01918
OG0001013	Syar.g_00906	Prac.g_01883
OG0001014	Syar.g_00914	Prac.g_01880
OG0001015	Syar.g_00915	Prac.g_01879
OG0001017	Syar.g_03050	Prac.g_01854
OG0001018	Syar.g_03052	Prac.g_01851
OG0001019	Syar.g_03086	Prac.g_01842
OG0001020	Syar.g_03092	Prac.g_01841
OG0001021	Syar.g_03098	Prac.g_01840
OG0001022	Syar.g_03102	Prac.g_01837
OG0001023	Syar.g_03103	Prac.g_01836
OG0001024	Syar.g_02276	Prac.g_01833
OG0001025	Syar.g_03115	Prac.g_01827
OG0001026	Syar.g_03131	Prac.g_01820
OG0001027	Syar.g_00031	Prac.g_01819
OG0001028	Syar.g_00034	Prac.g_01817
OG0001029	Syar.g_00036	Prac.g_01816
OG0001030	Syar.g_00058	Prac.g_01801
OG0001031	Syar.g_00129	Prac.g_01744
OG0001032	Syar.g_01011	Prac.g_01743
OG0001033	Syar.g_00962	Prac.g_01722
OG0001034	Syar.g_03022	Prac.g_01694
OG0001035	Syar.g_00171	Prac.g_01677
OG0001036	Syar.g_00193	Prac.g_01672
OG0001037	Syar.g_00195	Prac.g_01671
OG0001038	Syar.g_00223	Prac.g_01653
OG0001039	Syar.g_00226	Prac.g_01650
OG0001040	Syar.g_00229	Prac.g_01648
OG0001041	Syar.g_00234	Prac.g_01644
OG0001042	Syar.g_00831	Prac.g_01627
OG0001043	Syar.g_00826	Prac.g_01626
OG0001044	Syar.g_01117	Prac.g_01201
OG0001045	Syar.g_01130	Prac.g_01192
OG0001046	Syar.g_02514	Prac.g_01154
OG0001047	Syar.g_01180	Prac.g_01108
OG0001048	Syar.g_01181	Prac.g_01107
OG0001049	Syar.g_02872	Prac.g_01105
OG0001050	Syar.g_02871	Prac.g_01104
OG0001051	Syar.g_02870	Prac.g_01103
OG0001052	Syar.g_01269	Prac.g_01073
OG0001053	Syar.g_01472	Prac.g_01061
OG0001054	Syar.g_01492	Prac.g_00873
OG0001055	Syar.g_01513	Prac.g_00855
OG0001056	Syar.g_02349	Prac.g_00836
OG0001057	Syar.g_02341	Prac.g_00831
OG0001058	Syar.g_02324	Prac.g_00823
OG0001059	Syar.g_00422	Prac.g_00819
OG0001060	Syar.g_02315	Prac.g_00812
OG0001061	Syar.g_02297	Prac.g_00799
OG0001062	Syar.g_02294	Prac.g_00797
OG0001063	Syar.g_02209	Prac.g_00795
OG0001064	Syar.g_02208	Prac.g_00794
OG0001065	Syar.g_02207	Prac.g_00793
OG0001066	Syar.g_02206	Prac.g_00792
OG0001067	Syar.g_02205	Prac.g_00791
OG0001068	Syar.g_02204	Prac.g_00790
OG0001069	Syar.g_02203	Prac.g_00789
OG0001070	Syar.g_02200	Prac.g_00786
OG0001071	Syar.g_02199	Prac.g_00785
OG0001072	Syar.g_02195	Prac.g_00783
OG0001073	Syar.g_02182	Prac.g_00767
OG0001074	Syar.g_02031	Prac.g_00756
OG0001075	Syar.g_02215	Prac.g_00755
OG0001076	Syar.g_02253	Prac.g_00747
OG0001077	Syar.g_02240	Prac.g_00743
OG0001078	Syar.g_02419	Prac.g_00735
OG0001079	Syar.g_02431	Prac.g_00724
OG0001080	Syar.g_02442	Prac.g_00718
OG0001081	Syar.g_02444	Prac.g_00716
OG0001082	Syar.g_02445	Prac.g_00715
OG0001083	Syar.g_02473	Prac.g_00710
OG0001084	Syar.g_02474	Prac.g_00709
OG0001085	Syar.g_01688	Prac.g_00701
OG0001086	Syar.g_01686	Prac.g_00700
OG0001087	Syar.g_02347	Prac.g_00683
OG0001088	Syar.g_00431	Prac.g_00682
OG0001089	Syar.g_01942	Prac.g_00674
OG0001090	Syar.g_01582	Prac.g_01559
OG0001091	Syar.g_01580	Prac.g_01557
OG0001092	Syar.g_01578	Prac.g_01556
OG0001093	Syar.g_01572	Prac.g_01551
OG0001094	Syar.g_02633	Prac.g_01481
OG0001095	Syar.g_02653	Prac.g_01462
OG0001096	Syar.g_02476	Prac.g_01449
OG0001097	Syar.g_01823	Prac.g_01431
OG0001098	Syar.g_01672	Prac.g_01416
OG0001099	Syar.g_00035	Prac.g_01396
OG0001100	Syar.g_01625	Prac.g_01392
OG0001101	Syar.g_01623	Prac.g_01390
OG0001102	Syar.g_01620	Prac.g_01387
OG0001103	Syar.g_01618	Prac.g_01385
OG0001104	Syar.g_02616	Prac.g_01364
OG0001105	Syar.g_02620	Prac.g_01360
OG0001106	Syar.g_02553	Prac.g_01336
OG0001107	Syar.g_02541	Prac.g_01329
OG0001109	Syar.g_02529	Prac.g_01324
OG0001110	Syar.g_02527	Prac.g_01322
OG0001111	Syar.g_02525	Prac.g_01321
OG0001112	Syar.g_02523	Prac.g_01320
OG0001113	Syar.g_02522	Prac.g_01319
OG0001114	Syar.g_02521	Prac.g_01318
OG0001115	Syar.g_02519	Prac.g_01316
OG0001116	Syar.g_02517	Prac.g_01315
OG0001117	Syar.g_02516	Prac.g_01314
OG0001118	Syar.g_02515	Prac.g_01313
OG0001119	Syar.g_02513	Prac.g_01312
OG0001120	Syar.g_02507	Prac.g_01310
OG0001122	Syar.g_01803	Prac.g_01284
OG0001123	Syar.g_01796	Prac.g_01280
OG0001124	Syar.g_01793	Prac.g_01278
OG0001125	Syar.g_01791	Prac.g_01277
OG0001126	Syar.g_01375	Prac.g_01267
OG0001127	Syar.g_01374	Prac.g_01266
OG0001128	Syar.g_01371	Prac.g_01264
OG0001129	Syar.g_01369	Prac.g_01263
OG0001130	Syar.g_01368	Prac.g_01262
OG0001131	Syar.g_02448	Prac.g_01225
OG0001132	Syar.g_00684	Prac.g_01216
OG0001133	Syar.g_02249	Prac.g_01031
OG0001134	Syar.g_02235	Prac.g_01018
OG0001135	Syar.g_02232	Prac.g_01959, Prac.g_01015
OG0001136	Syar.g_01536	Prac.g_00988
OG0001137	Syar.g_01944	Prac.g_00977
OG0001138	Syar.g_01977	Prac.g_00959
OG0001139	Syar.g_01980	Prac.g_00958
OG0001140	Syar.g_01981	Prac.g_00957
OG0001141	Syar.g_01982	Prac.g_00956
OG0001142	Syar.g_01983	Prac.g_00955
OG0001143	Syar.g_01698	Prac.g_00948
OG0001144	Syar.g_01707	Prac.g_00943
OG0001145	Syar.g_02769	Prac.g_00167
OG0001146	Syar.g_02782	Prac.g_00179
OG0001147	Syar.g_01276	Prac.g_00203
OG0001148	Syar.g_01459	Prac.g_00219
OG0001149	Syar.g_01458	Prac.g_00220
OG0001150	Syar.g_01457	Prac.g_00221
OG0001151	Syar.g_01238	Prac.g_00232
OG0001152	Syar.g_01237	Prac.g_00233
OG0001153	Syar.g_01398	Prac.g_00379
OG0001154	Syar.g_01397	Prac.g_00378
OG0001155	Syar.g_01211	Prac.g_00366
OG0001156	Syar.g_01185	Prac.g_00363
