Orthogroup	Syar	Prac
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prac.g_00839
OG0000091	Syar.g_01891, Syar.g_02426	Prac.g_00729
OG0000092	Syar.g_01960	Prac.g_01379, Prac.g_00003
OG0000094	Syar.g_01789	Prac.g_01275
OG0000095	Syar.g_01932	Prac.g_01256
OG0000097	Syar.g_01706, Syar.g_00364	Prac.g_00944
OG0000098	Syar.g_02343	Prac.g_00199
OG0000099	Syar.g_00715	Prac.g_00256
OG0000100	Syar.g_02477	Prac.g_00337
OG0000101	Syar.g_01073, Syar.g_03154	Prac.g_00548
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prac.g_00046
OG0000103	Syar.g_00452, Syar.g_00014	Prac.g_00123
OG0000104	Syar.g_00466	Prac.g_00131
OG0000105	Syar.g_00218	Prac.g_01657
OG0000106	Syar.g_01748	Prac.g_01163
OG0000107	Syar.g_00149	Prac.g_01148
OG0000108	Syar.g_01469	Prac.g_01064
OG0000109	Syar.g_03310, Syar.g_01485	Prac.g_01050
OG0000110	Syar.g_02295	Prac.g_00798
OG0000111	Syar.g_01940	Prac.g_00672
OG0000112	Syar.g_02548, Syar.g_03195	Prac.g_01507
OG0000113	Syar.g_02664	Prac.g_01453
OG0000114	Syar.g_01616	Prac.g_01384
OG0000115	Syar.g_02854, Syar.g_01415	Prac.g_01040
OG0000116	Syar.g_01525, Syar.g_02255	Prac.g_00995
OG0000117	Syar.g_01969	Prac.g_01955
OG0000118	Syar.g_02793	Prac.g_00187
OG0000120	Syar.g_00713	Prac.g_00248
OG0000121	Syar.g_02806	Prac.g_00409
OG0000123	Syar.g_01079	Prac.g_00554
OG0000124	Syar.g_00586	Prac.g_00056
OG0000125	Syar.g_00338	Prac.g_00092
OG0000126	Syar.g_00887, Syar.g_00888	Prac.g_00130
OG0000128	Syar.g_00482	Prac.g_01936
OG0000129	Syar.g_00324	Prac.g_01888
OG0000130	Syar.g_03040	Prac.g_01862
OG0000131	Syar.g_00078	Prac.g_01785
OG0000132	Syar.g_00099	Prac.g_01766
OG0000133	Syar.g_02543	Prac.g_01609
OG0000134	Syar.g_02009, Syar.g_01165	Prac.g_01177
OG0000135	Syar.g_00698	Prac.g_01150
OG0000136	Syar.g_02874	Prac.g_01106
OG0000137	Syar.g_01273	Prac.g_01069
OG0000138	Syar.g_01486	Prac.g_01049
OG0000139	Syar.g_03245	Prac.g_00835
OG0000140	Syar.g_02344, Syar.g_03246	Prac.g_00834
OG0000141	Syar.g_02129	Prac.g_00764
OG0000142	Syar.g_02418	Prac.g_00736
OG0000143	Syar.g_02422	Prac.g_00732
OG0000144	Syar.g_02441	Prac.g_00719
OG0000145	Syar.g_01494	Prac.g_01508
OG0000146	Syar.g_02549	Prac.g_01506
OG0000147	Syar.g_02550	Prac.g_01505
OG0000148	Syar.g_02658	Prac.g_01459
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Prac.g_01429
OG0000150	Syar.g_02130	Prac.g_01421
OG0000151	Syar.g_02038	Prac.g_01374
OG0000152	Syar.g_02539	Prac.g_01327
OG0000153	Syar.g_03283, Syar.g_02503	Prac.g_01308
OG0000154	Syar.g_01800	Prac.g_01282
OG0000155	Syar.g_01959	Prac.g_00965
OG0000156	Syar.g_01517	Prac.g_00164
OG0000157	Syar.g_01516	Prac.g_00165
OG0000158	Syar.g_00650	Prac.g_00447
OG0000159	Syar.g_02359	Prac.g_00452, Prac.g_00257
OG0000160	Syar.g_02807	Prac.g_00410
OG0000161	Syar.g_02801	Prac.g_00404
OG0000162	Syar.g_02863	Prac.g_00398
OG0000163	Syar.g_01186	Prac.g_00364
OG0000164	Syar.g_03168, Syar.g_02969	Prac.g_00601
OG0000165	Syar.g_02976	Prac.g_00594
OG0000166	Syar.g_01034	Prac.g_00512
OG0000167	Syar.g_00662	Prac.g_00015
OG0000168	Syar.g_00246	Prac.g_00025
OG0000169	Syar.g_00262	Prac.g_00035
OG0000170	Syar.g_00613	Prac.g_00037
OG0000171	Syar.g_00587	Prac.g_00055
OG0000172	Syar.g_00547	Prac.g_00063
OG0000173	Syar.g_00528	Prac.g_00078
OG0000174	Syar.g_00701	Prac.g_00105
OG0000175	Syar.g_00438	Prac.g_00115
OG0000176	Syar.g_00474	Prac.g_01943
OG0000177	Syar.g_00475	Prac.g_01942
OG0000178	Syar.g_00476	Prac.g_01941
OG0000179	Syar.g_00489	Prac.g_01931
