Orthogroup	Syar	Syag
OG0000065	Syar.g_03119	Syag.g_00182, Syag.g_01885
OG0000066	Syar.g_02228	Syag.g_01443
OG0000067	Syar.g_02639	Syag.g_00667
OG0000068	Syar.g_02329, Syar.g_01461	Syag.g_01537
OG0000070	Syar.g_02223	Syag.g_00049
OG0000071	Syar.g_02777	Syag.g_01192
OG0000072	Syar.g_00107	Syag.g_01980
OG0000072	Syar.g_01140	Syag.g_02859
OG0000073	Syar.g_01493	Syag.g_01505
OG0000075	Syar.g_03065, Syar.g_00659	Syag.g_02434
OG0000076	Syar.g_00608	Syag.g_02393
OG0000077	Syar.g_03051	Syag.g_01831
OG0000078	Syar.g_01366, Syar.g_03265	Syag.g_01778
OG0000079	Syar.g_00166	Syag.g_02659, Syag.g_02652
OG0000081	Syar.g_01898	Syag.g_00167
OG0000082	Syar.g_02202	Syag.g_00318
OG0000085	Syar.g_02919	Syag.g_01676
OG0000086	Syar.g_03085	Syag.g_01853
OG0000087	Syar.g_03192, Syar.g_00068	Syag.g_01939
OG0000088	Syar.g_00101	Syag.g_01974
OG0000089	Syar.g_01162	Syag.g_00005
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Syag.g_01454
OG0000091	Syar.g_01891, Syar.g_02426	Syag.g_00418
OG0000092	Syar.g_01960	Syag.g_00242
OG0000093	Syar.g_02623	Syag.g_00649
OG0000094	Syar.g_01789	Syag.g_00881
OG0000095	Syar.g_01932	Syag.g_00974
OG0000097	Syar.g_01706	Syag.g_01065
OG0000098	Syar.g_02343	Syag.g_00578, Syag.g_01445
OG0000099	Syar.g_00715	Syag.g_02536
OG0000100	Syar.g_02477	Syag.g_00704
OG0000101	Syar.g_03154	Syag.g_02773
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Syag.g_02387
OG0000103	Syar.g_00452, Syar.g_00014	Syag.g_02253
OG0000104	Syar.g_00466	Syag.g_02268
OG0000105	Syar.g_00218	Syag.g_02606
OG0000106	Syar.g_01748	Syag.g_00462
OG0000107	Syar.g_00149	Syag.g_02689
OG0000108	Syar.g_01469	Syag.g_01528
OG0000109	Syar.g_03310, Syar.g_01485	Syag.g_01512
OG0000110	Syar.g_02295	Syag.g_00303
OG0000111	Syar.g_01940	Syag.g_00984
OG0000112	Syar.g_02548	Syag.g_00801
OG0000113	Syar.g_02664	Syag.g_00699
OG0000114	Syar.g_01616	Syag.g_00609
OG0000115	Syar.g_02854, Syar.g_01415	Syag.g_01397
OG0000116	Syar.g_01525, Syar.g_02255	Syag.g_01156
OG0000117	Syar.g_01969	Syag.g_01097
OG0000118	Syar.g_02793	Syag.g_01232
OG0000120	Syar.g_00713	Syag.g_02535
OG0000121	Syar.g_02806	Syag.g_01414
OG0000123	Syar.g_01079	Syag.g_02781
OG0000124	Syar.g_00586	Syag.g_02367, Syag.g_02485
OG0000125	Syar.g_00338	Syag.g_02136, Syag.g_02134
OG0000126	Syar.g_00887, Syar.g_00888	Syag.g_02266
OG0000128	Syar.g_00482	Syag.g_02284
OG0000129	Syar.g_00324	Syag.g_02121
OG0000130	Syar.g_03040	Syag.g_01819
OG0000131	Syar.g_00078, Syar.g_02216	Syag.g_01951
OG0000132	Syar.g_00099	Syag.g_01972
OG0000133	Syar.g_02543	Syag.g_00806
OG0000134	Syar.g_02009, Syar.g_01165	Syag.g_00008
OG0000135	Syar.g_00698	Syag.g_02171
OG0000136	Syar.g_02874	Syag.g_00038
OG0000137	Syar.g_01273	Syag.g_01356
OG0000138	Syar.g_01486	Syag.g_01511
OG0000139	Syar.g_03245	Syag.g_01448
OG0000140	Syar.g_02344, Syar.g_03246	Syag.g_01446
OG0000141	Syar.g_02129	Syag.g_00351
OG0000142	Syar.g_02418	Syag.g_00410
OG0000143	Syar.g_02422	Syag.g_00414
OG0000144	Syar.g_02441	Syag.g_00493
OG0000145	Syar.g_03205, Syar.g_01494	Syag.g_01504
OG0000146	Syar.g_02549	Syag.g_00800
OG0000147	Syar.g_02550	Syag.g_00799
OG0000148	Syar.g_02658	Syag.g_00693
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Syag.g_00731
OG0000150	Syar.g_02130	Syag.g_00352
OG0000151	Syar.g_02038	Syag.g_00623
OG0000152	Syar.g_02539	Syag.g_00810
OG0000153	Syar.g_03283, Syar.g_02503	Syag.g_00845
