Orthogroup	Syar	Syag
OG0000552	Syar.g_02683	Syag.g_01469
OG0000553	Syar.g_02679	Syag.g_01464
OG0000554	Syar.g_02352	Syag.g_01453
OG0000555	Syar.g_02336	Syag.g_00075
OG0000556	Syar.g_02332	Syag.g_00257
OG0000557	Syar.g_02328	Syag.g_00267
OG0000558	Syar.g_02326	Syag.g_00269
OG0000559	Syar.g_02322	Syag.g_00273
OG0000560	Syar.g_02320	Syag.g_00276
OG0000561	Syar.g_02319	Syag.g_00277
OG0000562	Syar.g_02318	Syag.g_00278
OG0000563	Syar.g_02317	Syag.g_00279
OG0000564	Syar.g_02316	Syag.g_00280
OG0000565	Syar.g_02312	Syag.g_00284
OG0000566	Syar.g_02308	Syag.g_00288
OG0000567	Syar.g_02304	Syag.g_00292
OG0000568	Syar.g_02302	Syag.g_00295
OG0000569	Syar.g_02301	Syag.g_00296
OG0000570	Syar.g_02300	Syag.g_00297
OG0000571	Syar.g_02298	Syag.g_00301
OG0000572	Syar.g_02201	Syag.g_00251, Syag.g_00320
OG0000573	Syar.g_02191	Syag.g_00329
OG0000574	Syar.g_02190	Syag.g_00330
OG0000575	Syar.g_03180	Syag.g_00335
OG0000576	Syar.g_02187	Syag.g_00337
OG0000577	Syar.g_02186	Syag.g_00338
OG0000578	Syar.g_02185	Syag.g_00339
OG0000579	Syar.g_02184	Syag.g_00340
OG0000580	Syar.g_02183	Syag.g_00341
OG0000581	Syar.g_02175	Syag.g_00348
OG0000582	Syar.g_02131	Syag.g_00353
OG0000583	Syar.g_02132	Syag.g_00354
OG0000584	Syar.g_02133	Syag.g_00355
OG0000585	Syar.g_02170	Syag.g_00357
OG0000586	Syar.g_02171	Syag.g_00358
OG0000587	Syar.g_02173	Syag.g_00360
OG0000588	Syar.g_02275	Syag.g_00371
OG0000589	Syar.g_02261	Syag.g_00375
OG0000590	Syar.g_02260	Syag.g_00376
OG0000591	Syar.g_02246	Syag.g_00383
OG0000592	Syar.g_02245	Syag.g_00384
OG0000593	Syar.g_02414	Syag.g_00406
OG0000594	Syar.g_02415	Syag.g_00407
OG0000595	Syar.g_02416	Syag.g_00408
OG0000596	Syar.g_02421	Syag.g_00413
OG0000597	Syar.g_02424	Syag.g_00416
OG0000598	Syar.g_02425	Syag.g_00417
OG0000599	Syar.g_02428	Syag.g_00424
OG0000600	Syar.g_02429	Syag.g_00425
OG0000601	Syar.g_02430	Syag.g_00426
OG0000602	Syar.g_02435	Syag.g_00431
OG0000603	Syar.g_02436	Syag.g_00432
OG0000604	Syar.g_02438	Syag.g_00434
OG0000605	Syar.g_02440	Syag.g_00522
OG0000606	Syar.g_02443	Syag.g_00550
OG0000607	Syar.g_02446	Syag.g_00553
OG0000608	Syar.g_02447	Syag.g_00554
OG0000609	Syar.g_02470	Syag.g_00556
OG0000610	Syar.g_01917	Syag.g_00580
OG0000611	Syar.g_01914	Syag.g_00583
OG0000612	Syar.g_01913	Syag.g_00584
OG0000613	Syar.g_00712	Syag.g_02533
OG0000614	Syar.g_02012, Syar.g_01344	Syag.g_01004
OG0000615	Syar.g_02603	Syag.g_00630
OG0000616	Syar.g_00454	Syag.g_02255
OG0000617	Syar.g_01576	Syag.g_00915
OG0000618	Syar.g_01575	Syag.g_00914
OG0000619	Syar.g_01574	Syag.g_00913
OG0000620	Syar.g_01569	Syag.g_00906
OG0000621	Syar.g_01568	Syag.g_00905
OG0000622	Syar.g_01566	Syag.g_00904
OG0000623	Syar.g_01565	Syag.g_00903
OG0000624	Syar.g_01564	Syag.g_00901
OG0000625	Syar.g_01563	Syag.g_00900
OG0000626	Syar.g_01562	Syag.g_00899
OG0000627	Syar.g_01868	Syag.g_00756
OG0000628	Syar.g_01869	Syag.g_00757
OG0000629	Syar.g_01872	Syag.g_00761
OG0000630	Syar.g_02586	Syag.g_00765
OG0000631	Syar.g_02579	Syag.g_00772
OG0000632	Syar.g_02578	Syag.g_00773
OG0000633	Syar.g_02576	Syag.g_00774
OG0000634	Syar.g_02635	Syag.g_00663
OG0000635	Syar.g_02636	Syag.g_00664
OG0000636	Syar.g_02638	Syag.g_00666
OG0000637	Syar.g_02640	Syag.g_00668
OG0000638	Syar.g_02641	Syag.g_00669
OG0000639	Syar.g_02642	Syag.g_00670
OG0000640	Syar.g_02643	Syag.g_00671
OG0000641	Syar.g_02648	Syag.g_00675
OG0000642	Syar.g_02649	Syag.g_00676
OG0000643	Syar.g_02650	Syag.g_00677
OG0000644	Syar.g_02651	Syag.g_00678
OG0000645	Syar.g_02652	Syag.g_00680
OG0000646	Syar.g_02655	Syag.g_00683
OG0000647	Syar.g_02657	Syag.g_00685
OG0000648	Syar.g_02659	Syag.g_00694
OG0000649	Syar.g_02660	Syag.g_00695
OG0000650	Syar.g_02661	Syag.g_00696
OG0000651	Syar.g_02662	Syag.g_00697
OG0000652	Syar.g_02663	Syag.g_00698
OG0000653	Syar.g_02665	Syag.g_00700
OG0000654	Syar.g_02666	Syag.g_00701
OG0000655	Syar.g_02667	Syag.g_00702
OG0000656	Syar.g_02479	Syag.g_00705
OG0000657	Syar.g_01812	Syag.g_00719
OG0000658	Syar.g_01815	Syag.g_00721
OG0000659	Syar.g_01816	Syag.g_00722
OG0000660	Syar.g_01820	Syag.g_00726
OG0000661	Syar.g_03175, Syar.g_01822	Syag.g_00728
OG0000662	Syar.g_01829	Syag.g_00730
OG0000663	Syar.g_01832	Syag.g_00733
OG0000664	Syar.g_01837	Syag.g_00734
OG0000665	Syar.g_02774	Syag.g_00456
OG0000666	Syar.g_01241	Syag.g_00445
OG0000667	Syar.g_02346	Syag.g_00574
OG0000668	Syar.g_01802	Syag.g_00868
OG0000669	Syar.g_01627	Syag.g_00600
OG0000670	Syar.g_01624	Syag.g_00399
OG0000671	Syar.g_01622	Syag.g_00604
OG0000672	Syar.g_01619	Syag.g_00607
OG0000673	Syar.g_01615	Syag.g_00610
OG0000674	Syar.g_01613	Syag.g_00612
OG0000675	Syar.g_01612	Syag.g_00613
OG0000676	Syar.g_01608	Syag.g_00615
OG0000677	Syar.g_01607	Syag.g_00616
OG0000678	Syar.g_02037	Syag.g_00622
OG0000679	Syar.g_02606	Syag.g_00633
OG0000680	Syar.g_02607	Syag.g_00634
OG0000681	Syar.g_02610	Syag.g_00637
OG0000682	Syar.g_02611	Syag.g_00638
OG0000683	Syar.g_02612	Syag.g_00639
OG0000684	Syar.g_02615	Syag.g_00641
OG0000685	Syar.g_02617	Syag.g_00643
OG0000686	Syar.g_02618	Syag.g_00644
OG0000687	Syar.g_02619	Syag.g_00645
OG0000688	Syar.g_02624	Syag.g_00651
OG0000689	Syar.g_02626	Syag.g_00653
OG0000690	Syar.g_02627	Syag.g_00654
OG0000691	Syar.g_02628	Syag.g_00655
OG0000692	Syar.g_02629	Syag.g_00656
OG0000693	Syar.g_02631	Syag.g_00658
OG0000694	Syar.g_02632	Syag.g_00659
OG0000695	Syar.g_02573	Syag.g_00776
OG0000696	Syar.g_02572	Syag.g_00777
OG0000697	Syar.g_02570	Syag.g_00778
OG0000698	Syar.g_02567	Syag.g_00781
OG0000699	Syar.g_02566	Syag.g_00782
OG0000700	Syar.g_02565	Syag.g_00783
OG0000701	Syar.g_02564	Syag.g_00784
OG0000702	Syar.g_02559	Syag.g_00792
OG0000703	Syar.g_02557	Syag.g_00793
OG0000704	Syar.g_02555	Syag.g_00795
OG0000705	Syar.g_02547	Syag.g_00802
OG0000706	Syar.g_02546	Syag.g_00803
OG0000707	Syar.g_02545	Syag.g_00804
OG0000708	Syar.g_02542	Syag.g_00807
OG0000709	Syar.g_02534	Syag.g_00816
OG0000710	Syar.g_02528	Syag.g_00820
OG0000711	Syar.g_02499	Syag.g_00848
OG0000712	Syar.g_02497	Syag.g_00850
OG0000713	Syar.g_02496	Syag.g_00851
OG0000714	Syar.g_02494	Syag.g_00853
OG0000715	Syar.g_02492	Syag.g_00855
OG0000716	Syar.g_02488	Syag.g_00859
OG0000717	Syar.g_02487	Syag.g_00860
OG0000718	Syar.g_02483	Syag.g_00864
OG0000719	Syar.g_01804	Syag.g_00866
OG0000720	Syar.g_01790	Syag.g_00880
OG0000721	Syar.g_01788	Syag.g_00882
OG0000722	Syar.g_01787	Syag.g_00883
OG0000723	Syar.g_01560	Syag.g_00897
OG0000724	Syar.g_01367, Syar.g_02120	Syag.g_00967
OG0000725	Syar.g_01934	Syag.g_00978
OG0000726	Syar.g_01935	Syag.g_00979
OG0000727	Syar.g_01936	Syag.g_00980
OG0000728	Syar.g_01938	Syag.g_00982
OG0000729	Syar.g_00593	Syag.g_02376
OG0000730	Syar.g_01115	Syag.g_02840
OG0000731	Syar.g_01127	Syag.g_02853
OG0000732	Syar.g_00522	Syag.g_02331
OG0000733	Syar.g_02234	Syag.g_00145
OG0000734	Syar.g_03128	Syag.g_01892
OG0000735	Syar.g_01522	Syag.g_01159
OG0000736	Syar.g_01523	Syag.g_01158
OG0000737	Syar.g_01524	Syag.g_01157
OG0000738	Syar.g_01530	Syag.g_01152
OG0000739	Syar.g_01531	Syag.g_01149
OG0000740	Syar.g_01532	Syag.g_01148
OG0000741	Syar.g_01535	Syag.g_01145
OG0000742	Syar.g_01538	Syag.g_01142
OG0000743	Syar.g_01541	Syag.g_01140
OG0000744	Syar.g_01542	Syag.g_01139
OG0000745	Syar.g_01545	Syag.g_01137
OG0000746	Syar.g_01549	Syag.g_01135
OG0000747	Syar.g_01551	Syag.g_01134
OG0000748	Syar.g_01945	Syag.g_01122
OG0000749	Syar.g_01946	Syag.g_01121
OG0000750	Syar.g_01947	Syag.g_01120
OG0000751	Syar.g_01952	Syag.g_01114
OG0000752	Syar.g_01954	Syag.g_01112
OG0000753	Syar.g_01957	Syag.g_01109
OG0000754	Syar.g_01963	Syag.g_01103
OG0000755	Syar.g_01974	Syag.g_01092
OG0000756	Syar.g_01975	Syag.g_01091
OG0000757	Syar.g_01984	Syag.g_01084
OG0000758	Syar.g_01985	Syag.g_01083
OG0000759	Syar.g_01986	Syag.g_01082
OG0000760	Syar.g_01987	Syag.g_01081
OG0000761	Syar.g_01988	Syag.g_01080
OG0000762	Syar.g_01992	Syag.g_01078
OG0000763	Syar.g_01699	Syag.g_01076
OG0000764	Syar.g_01700	Syag.g_01075
OG0000765	Syar.g_01718	Syag.g_01056
OG0000766	Syar.g_01719	Syag.g_01055
OG0000767	Syar.g_01721	Syag.g_01053
OG0000768	Syar.g_01722	Syag.g_01052
OG0000769	Syar.g_01724	Syag.g_01047
OG0000770	Syar.g_01727	Syag.g_01043
OG0000771	Syar.g_01373	Syag.g_00959
OG0000772	Syar.g_00746	Syag.g_02043
OG0000773	Syar.g_02694	Syag.g_01168
OG0000774	Syar.g_02771	Syag.g_01182
OG0000775	Syar.g_02773	Syag.g_01185
OG0000776	Syar.g_01755	Syag.g_01186
OG0000777	Syar.g_01754	Syag.g_01187
OG0000778	Syar.g_01753	Syag.g_01188
OG0000779	Syar.g_02779	Syag.g_01194
OG0000780	Syar.g_02781	Syag.g_01217
OG0000781	Syar.g_02785	Syag.g_01221
OG0000782	Syar.g_02786	Syag.g_01222
OG0000783	Syar.g_02787	Syag.g_01223
OG0000784	Syar.g_02788	Syag.g_01224
OG0000785	Syar.g_02791	Syag.g_01226
OG0000786	Syar.g_02795	Syag.g_01235
OG0000787	Syar.g_02796	Syag.g_01236
OG0000788	Syar.g_02331	Syag.g_00427
OG0000789	Syar.g_02040	Syag.g_00453
OG0000790	Syar.g_01456	Syag.g_01542
OG0000791	Syar.g_01454	Syag.g_01544
OG0000792	Syar.g_01453	Syag.g_01545
OG0000793	Syar.g_01243	Syag.g_01550
OG0000794	Syar.g_01242	Syag.g_01551
OG0000795	Syar.g_01240	Syag.g_01552
OG0000796	Syar.g_01236	Syag.g_01556
OG0000797	Syar.g_01235	Syag.g_01557
OG0000798	Syar.g_00222	Syag.g_02601
OG0000799	Syar.g_02844	Syag.g_01278
OG0000800	Syar.g_02843	Syag.g_01280
OG0000801	Syar.g_02842	Syag.g_01285
OG0000802	Syar.g_02825	Syag.g_01293
OG0000803	Syar.g_02822	Syag.g_01321
OG0000804	Syar.g_02819	Syag.g_01438
OG0000805	Syar.g_02817	Syag.g_01433
OG0000806	Syar.g_02815	Syag.g_01429
OG0000807	Syar.g_02814	Syag.g_01428
OG0000808	Syar.g_02813	Syag.g_01427
OG0000809	Syar.g_02811	Syag.g_01423
OG0000810	Syar.g_02810	Syag.g_01422
OG0000811	Syar.g_02805	Syag.g_01413
OG0000812	Syar.g_02803	Syag.g_01411
OG0000813	Syar.g_02802	Syag.g_01410
OG0000814	Syar.g_02800	Syag.g_01408
OG0000815	Syar.g_02799	Syag.g_01407
OG0000816	Syar.g_02797	Syag.g_01405
OG0000817	Syar.g_02861	Syag.g_01404
OG0000818	Syar.g_01418	Syag.g_01400
OG0000819	Syar.g_01417	Syag.g_01399
OG0000820	Syar.g_01416	Syag.g_01398
OG0000821	Syar.g_01410	Syag.g_01388
OG0000822	Syar.g_01408	Syag.g_01386
OG0000823	Syar.g_01407	Syag.g_01385
OG0000824	Syar.g_01402	Syag.g_01379
OG0000825	Syar.g_01401	Syag.g_01378
OG0000826	Syar.g_01400	Syag.g_01377
OG0000827	Syar.g_01399	Syag.g_01376
OG0000828	Syar.g_01396	Syag.g_01373
OG0000829	Syar.g_01395	Syag.g_01372
OG0000830	Syar.g_01394	Syag.g_01371
OG0000831	Syar.g_01391	Syag.g_01367
OG0000832	Syar.g_01213	Syag.g_01614
OG0000833	Syar.g_02877	Syag.g_01628
OG0000834	Syar.g_02878	Syag.g_01632
OG0000835	Syar.g_02879	Syag.g_01633
OG0000836	Syar.g_02881	Syag.g_01637
OG0000837	Syar.g_02882	Syag.g_01638
OG0000838	Syar.g_02886	Syag.g_01642
OG0000839	Syar.g_02887	Syag.g_01643
OG0000840	Syar.g_02888	Syag.g_01644
OG0000841	Syar.g_02889	Syag.g_01645
OG0000842	Syar.g_02890	Syag.g_01646
OG0000843	Syar.g_02891	Syag.g_01647
OG0000844	Syar.g_02893	Syag.g_01649
OG0000845	Syar.g_02894	Syag.g_01650
OG0000846	Syar.g_02895	Syag.g_01651
OG0000847	Syar.g_02896	Syag.g_01652
OG0000848	Syar.g_02898	Syag.g_01654
OG0000849	Syar.g_02899	Syag.g_01655
OG0000850	Syar.g_02902	Syag.g_01657
OG0000851	Syar.g_02905	Syag.g_01663
OG0000852	Syar.g_02906	Syag.g_01664
OG0000853	Syar.g_02910	Syag.g_01668
OG0000854	Syar.g_02912	Syag.g_01670
OG0000855	Syar.g_02913	Syag.g_01671
OG0000856	Syar.g_02243	Syag.g_00386
OG0000857	Syar.g_02656	Syag.g_00684
OG0000858	Syar.g_02920	Syag.g_01677
OG0000859	Syar.g_02921	Syag.g_01678
OG0000860	Syar.g_02931	Syag.g_01689
OG0000861	Syar.g_02932	Syag.g_01690
OG0000862	Syar.g_02942	Syag.g_01693
OG0000863	Syar.g_02944	Syag.g_01695
OG0000864	Syar.g_02945	Syag.g_01696
OG0000865	Syar.g_02946	Syag.g_01697
OG0000866	Syar.g_02947	Syag.g_01698
OG0000867	Syar.g_02948	Syag.g_01699
OG0000868	Syar.g_02950	Syag.g_01707
OG0000869	Syar.g_02955	Syag.g_01711
OG0000870	Syar.g_02960	Syag.g_01716
OG0000871	Syar.g_02961	Syag.g_01717
OG0000872	Syar.g_02967	Syag.g_01723
OG0000873	Syar.g_02970	Syag.g_01726
OG0000874	Syar.g_02974	Syag.g_01729
OG0000875	Syar.g_02975	Syag.g_01731
OG0000876	Syar.g_01828	Syag.g_01732
OG0000877	Syar.g_02977	Syag.g_01734
OG0000878	Syar.g_02978	Syag.g_01735
OG0000879	Syar.g_02979	Syag.g_02356
OG0000880	Syar.g_02980	Syag.g_01736
OG0000881	Syar.g_02984	Syag.g_01741
OG0000882	Syar.g_02989	Syag.g_01746
OG0000883	Syar.g_02992	Syag.g_01749
OG0000884	Syar.g_02994	Syag.g_01751
OG0000885	Syar.g_02995	Syag.g_01752
OG0000886	Syar.g_02996	Syag.g_01753
OG0000887	Syar.g_02998	Syag.g_01754
OG0000888	Syar.g_03000	Syag.g_01756
OG0000889	Syar.g_03002	Syag.g_01758
OG0000890	Syar.g_03005	Syag.g_01761
OG0000891	Syar.g_03006	Syag.g_01762
OG0000892	Syar.g_03008	Syag.g_01765
OG0000893	Syar.g_00150	Syag.g_02688
OG0000894	Syar.g_00145	Syag.g_02691
OG0000895	Syar.g_00141	Syag.g_02695
OG0000896	Syar.g_00140	Syag.g_02696
OG0000897	Syar.g_00138	Syag.g_02699
OG0000898	Syar.g_00137	Syag.g_02700
OG0000899	Syar.g_00136	Syag.g_02701
OG0000900	Syar.g_00135	Syag.g_02702
OG0000901	Syar.g_00130	Syag.g_02707
OG0000902	Syar.g_01013	Syag.g_02709
OG0000903	Syar.g_01026	Syag.g_02724
OG0000904	Syar.g_01021	Syag.g_02718
OG0000905	Syar.g_01018	Syag.g_02714
OG0000906	Syar.g_01015	Syag.g_02711
OG0000907	Syar.g_01028	Syag.g_02727
OG0000908	Syar.g_01031	Syag.g_02730
OG0000909	Syar.g_01032	Syag.g_02731
OG0000910	Syar.g_01033	Syag.g_02732
OG0000911	Syar.g_01035	Syag.g_02734
OG0000912	Syar.g_01036	Syag.g_02735
OG0000913	Syar.g_01037	Syag.g_02736
OG0000914	Syar.g_01038	Syag.g_02737
OG0000915	Syar.g_01040	Syag.g_02739
OG0000916	Syar.g_01041	Syag.g_02740
OG0000917	Syar.g_01042	Syag.g_02741
OG0000918	Syar.g_01043	Syag.g_02742
OG0000919	Syar.g_01044	Syag.g_02743
OG0000920	Syar.g_01045	Syag.g_02744
OG0000921	Syar.g_01046	Syag.g_02745
OG0000922	Syar.g_01047	Syag.g_02746
OG0000923	Syar.g_01051	Syag.g_02750
OG0000924	Syar.g_01052	Syag.g_02751
OG0000925	Syar.g_01053	Syag.g_02752
OG0000926	Syar.g_01054	Syag.g_02753
OG0000927	Syar.g_01056	Syag.g_02755
OG0000928	Syar.g_01057	Syag.g_02756
OG0000929	Syar.g_01058	Syag.g_02757
OG0000930	Syar.g_01059	Syag.g_02758
OG0000931	Syar.g_01060	Syag.g_02759
OG0000932	Syar.g_01061	Syag.g_02760
OG0000933	Syar.g_01066	Syag.g_02766
OG0000934	Syar.g_01068	Syag.g_02768
OG0000935	Syar.g_01069	Syag.g_02769
OG0000936	Syar.g_01070	Syag.g_02770
OG0000937	Syar.g_01071	Syag.g_02771
OG0000938	Syar.g_01074	Syag.g_02774
OG0000939	Syar.g_01075	Syag.g_02775
OG0000940	Syar.g_01081	Syag.g_02783
OG0000941	Syar.g_01083	Syag.g_02785
OG0000942	Syar.g_01085	Syag.g_02787
OG0000943	Syar.g_01086	Syag.g_02788
OG0000944	Syar.g_01088	Syag.g_02790
OG0000945	Syar.g_01089	Syag.g_02792
OG0000946	Syar.g_01095	Syag.g_02797
OG0000947	Syar.g_01098	Syag.g_02801
OG0000948	Syar.g_01099	Syag.g_02802
OG0000949	Syar.g_00283	Syag.g_02449
OG0000950	Syar.g_00661	Syag.g_02436
OG0000951	Syar.g_00656	Syag.g_02431
OG0000952	Syar.g_00651	Syag.g_02423
OG0000953	Syar.g_00248	Syag.g_02415
OG0000954	Syar.g_00258	Syag.g_02409
OG0000955	Syar.g_00259	Syag.g_02408
OG0000956	Syar.g_00261	Syag.g_02406
OG0000957	Syar.g_00610	Syag.g_02395
OG0000958	Syar.g_00609	Syag.g_02394
OG0000959	Syar.g_00605	Syag.g_02389
OG0000960	Syar.g_00604	Syag.g_02388
OG0000961	Syar.g_00094	Syag.g_02379
OG0000962	Syar.g_00594	Syag.g_02377
OG0000963	Syar.g_00590	Syag.g_02372
OG0000964	Syar.g_00589	Syag.g_02371
OG0000965	Syar.g_00588	Syag.g_02370
OG0000966	Syar.g_00549	Syag.g_02362
OG0000967	Syar.g_00545	Syag.g_02358
OG0000968	Syar.g_00542	Syag.g_02355
OG0000969	Syar.g_00540	Syag.g_02354
OG0000970	Syar.g_00539	Syag.g_02353
OG0000971	Syar.g_00537	Syag.g_02348
OG0000972	Syar.g_00536	Syag.g_02347
OG0000973	Syar.g_00535	Syag.g_02346
OG0000974	Syar.g_00534	Syag.g_02345
OG0000975	Syar.g_00533	Syag.g_02344
OG0000976	Syar.g_00532	Syag.g_02343
OG0000977	Syar.g_00530	Syag.g_02340
OG0000978	Syar.g_00529	Syag.g_02338
OG0000979	Syar.g_00526	Syag.g_02335
OG0000980	Syar.g_00523	Syag.g_02332
OG0000981	Syar.g_00520	Syag.g_02329
OG0000982	Syar.g_00331	Syag.g_02127
OG0000983	Syar.g_00332	Syag.g_02128
OG0000984	Syar.g_00333	Syag.g_02129
OG0000985	Syar.g_00337	Syag.g_02133
OG0000986	Syar.g_00344	Syag.g_02138
OG0000987	Syar.g_00346	Syag.g_02140
OG0000988	Syar.g_00352	Syag.g_02145
OG0000989	Syar.g_00377	Syag.g_02156
OG0000990	Syar.g_00697	Syag.g_02169
OG0000991	Syar.g_00700	Syag.g_02174
OG0000992	Syar.g_00704	Syag.g_02177
OG0000993	Syar.g_00705	Syag.g_02178
OG0000994	Syar.g_00708	Syag.g_02181
OG0000995	Syar.g_03212, Syar.g_00624	Syag.g_02187
OG0000996	Syar.g_00861	Syag.g_02229
OG0000997	Syar.g_00437	Syag.g_02239
OG0000998	Syar.g_00439	Syag.g_02241
OG0000999	Syar.g_00440	Syag.g_02242
OG0001000	Syar.g_00955, Syar.g_00444	Syag.g_02246
OG0001001	Syar.g_00450	Syag.g_02251
OG0001002	Syar.g_00457	Syag.g_02258
OG0001003	Syar.g_00459	Syag.g_02260
OG0001004	Syar.g_00460	Syag.g_02261
OG0001005	Syar.g_00461	Syag.g_02263
OG0001006	Syar.g_00468	Syag.g_02270
OG0001007	Syar.g_00470	Syag.g_02272
OG0001008	Syar.g_03274, Syar.g_01178	Syag.g_00034
OG0001009	Syar.g_00500	Syag.g_02304
OG0001010	Syar.g_00501	Syag.g_02305
OG0001011	Syar.g_00503	Syag.g_02307
OG0001013	Syar.g_00906	Syag.g_02098
OG0001014	Syar.g_00914	Syag.g_02084
OG0001015	Syar.g_00915	Syag.g_02083
OG0001017	Syar.g_03050	Syag.g_01830
OG0001018	Syar.g_03052	Syag.g_01832
OG0001019	Syar.g_03086	Syag.g_01854
OG0001020	Syar.g_03092	Syag.g_01861
OG0001021	Syar.g_03098	Syag.g_01865
OG0001022	Syar.g_03102	Syag.g_01870
OG0001023	Syar.g_03103	Syag.g_01871
OG0001024	Syar.g_02276	Syag.g_01875
OG0001025	Syar.g_03115	Syag.g_01882
OG0001026	Syar.g_03131	Syag.g_01894
OG0001027	Syar.g_00031	Syag.g_01902
OG0001028	Syar.g_00034	Syag.g_01904
OG0001029	Syar.g_00036	Syag.g_01906
OG0001030	Syar.g_00058	Syag.g_01927
OG0001031	Syar.g_00129	Syag.g_02000
OG0001032	Syar.g_01011	Syag.g_02005
OG0001033	Syar.g_00962	Syag.g_02048
OG0001034	Syar.g_03022	Syag.g_01784
OG0001035	Syar.g_00171	Syag.g_02635
OG0001036	Syar.g_00193	Syag.g_02630
OG0001037	Syar.g_00195	Syag.g_02628
OG0001038	Syar.g_00223	Syag.g_02600
OG0001039	Syar.g_00226	Syag.g_02597
OG0001040	Syar.g_00229	Syag.g_02594
OG0001041	Syar.g_00234	Syag.g_02589
OG0001042	Syar.g_00831	Syag.g_02564
OG0001043	Syar.g_00826	Syag.g_02560
OG0001044	Syar.g_01117	Syag.g_02842
OG0001045	Syar.g_01130	Syag.g_02856
OG0001046	Syar.g_02514	Syag.g_00836
OG0001047	Syar.g_01180	Syag.g_00036
OG0001048	Syar.g_01181	Syag.g_00037
OG0001049	Syar.g_02872	Syag.g_00040
OG0001050	Syar.g_02871	Syag.g_00041
OG0001051	Syar.g_02870	Syag.g_00042
OG0001052	Syar.g_01269	Syag.g_01352
OG0001053	Syar.g_01472	Syag.g_01525
OG0001054	Syar.g_01492	Syag.g_01506
OG0001055	Syar.g_01513	Syag.g_01485
OG0001056	Syar.g_02349	Syag.g_01449
OG0001057	Syar.g_02341	Syag.g_01241
OG0001058	Syar.g_02324	Syag.g_00271
OG0001059	Syar.g_00422	Syag.g_00275
OG0001060	Syar.g_02315	Syag.g_00282
OG0001061	Syar.g_02297	Syag.g_00302
OG0001062	Syar.g_02294	Syag.g_00304
OG0001063	Syar.g_02209	Syag.g_00310
OG0001064	Syar.g_02208	Syag.g_00311
OG0001065	Syar.g_02207	Syag.g_00312
OG0001066	Syar.g_02206	Syag.g_00313
OG0001067	Syar.g_02205	Syag.g_00314
OG0001068	Syar.g_02204	Syag.g_00315
OG0001069	Syar.g_02203	Syag.g_00317
OG0001070	Syar.g_02200	Syag.g_00321
OG0001071	Syar.g_02199	Syag.g_00322
OG0001072	Syar.g_02195	Syag.g_00327
OG0001073	Syar.g_02182	Syag.g_00342
OG0001074	Syar.g_02031	Syag.g_00467
OG0001075	Syar.g_02215	Syag.g_00362
OG0001076	Syar.g_02253	Syag.g_00378
OG0001077	Syar.g_02240	Syag.g_00388
OG0001078	Syar.g_02419	Syag.g_00411
OG0001079	Syar.g_02431	Syag.g_00428
OG0001080	Syar.g_02442	Syag.g_00495
OG0001081	Syar.g_02444	Syag.g_00551
OG0001082	Syar.g_02445	Syag.g_00552
OG0001083	Syar.g_02473	Syag.g_00565
OG0001084	Syar.g_02474	Syag.g_00569
OG0001085	Syar.g_01688	Syag.g_00592
OG0001086	Syar.g_01686	Syag.g_00594
OG0001087	Syar.g_02347	Syag.g_01018
OG0001088	Syar.g_00431	Syag.g_01016
OG0001089	Syar.g_01942	Syag.g_00986
OG0001090	Syar.g_01582	Syag.g_00922
OG0001091	Syar.g_01580	Syag.g_00919
OG0001092	Syar.g_01578	Syag.g_00917
OG0001093	Syar.g_01572	Syag.g_00910
OG0001094	Syar.g_02633	Syag.g_00661
OG0001095	Syar.g_02653	Syag.g_00681
OG0001096	Syar.g_02476	Syag.g_00703
OG0001097	Syar.g_01823	Syag.g_00729
OG0001098	Syar.g_01672	Syag.g_00744
OG0001099	Syar.g_00035	Syag.g_01905
OG0001101	Syar.g_01623	Syag.g_00603
OG0001102	Syar.g_01620	Syag.g_00606
OG0001103	Syar.g_01618	Syag.g_00608
OG0001104	Syar.g_02616	Syag.g_00642
OG0001105	Syar.g_02620	Syag.g_00646
OG0001106	Syar.g_02553	Syag.g_00796
OG0001107	Syar.g_02541	Syag.g_00808
OG0001109	Syar.g_02529	Syag.g_00819
OG0001110	Syar.g_02527	Syag.g_00821
OG0001111	Syar.g_02525	Syag.g_00823
OG0001112	Syar.g_02523	Syag.g_00825
OG0001113	Syar.g_02522	Syag.g_00826
OG0001114	Syar.g_02521	Syag.g_00827
OG0001115	Syar.g_02519	Syag.g_00831
OG0001116	Syar.g_02517	Syag.g_00833
OG0001117	Syar.g_02516	Syag.g_00834
OG0001118	Syar.g_02515	Syag.g_00835
OG0001119	Syar.g_02513	Syag.g_00837
OG0001120	Syar.g_02507	Syag.g_00841
OG0001122	Syar.g_01803	Syag.g_00867
OG0001123	Syar.g_01796	Syag.g_00875
OG0001124	Syar.g_01793	Syag.g_00877
OG0001125	Syar.g_01791	Syag.g_00879
OG0001126	Syar.g_01375	Syag.g_00957
OG0001127	Syar.g_01374	Syag.g_00958
OG0001128	Syar.g_01371	Syag.g_00961
OG0001129	Syar.g_01369	Syag.g_00963
OG0001130	Syar.g_01368	Syag.g_00964
OG0001131	Syar.g_02448	Syag.g_00624
OG0001132	Syar.g_00684	Syag.g_00096
OG0001133	Syar.g_02249	Syag.g_00380
OG0001134	Syar.g_02235	Syag.g_02164
OG0001135	Syar.g_02232	Syag.g_00147
OG0001136	Syar.g_01536	Syag.g_01144
