Orthogroup	Syar	Prbl
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Prbl.g_01937, Prbl.g_01006, Prbl.g_02631, Prbl.g_02612
OG0000045	Syar.g_02592	Prbl.g_00609
OG0000046	Syar.g_01102, Syar.g_01105, Syar.g_03233	Prbl.g_01184
OG0000048	Syar.g_00213	Prbl.g_01465
OG0000051	Syar.g_01597	Prbl.g_01677
OG0000052	Syar.g_02742, Syar.g_02751	Prbl.g_00870
OG0000053	Syar.g_01413	Prbl.g_00691
OG0000056	Syar.g_01662	Prbl.g_01599, Prbl.g_01171
OG0000057	Syar.g_00006	Prbl.g_00025
OG0000058	Syar.g_00648	Prbl.g_00890
OG0000059	Syar.g_01024	Prbl.g_00952
OG0000060	Syar.g_01260	Prbl.g_00508
OG0000061	Syar.g_01539	Prbl.g_02084
OG0000062	Syar.g_02911, Syar.g_01439	Prbl.g_00417
OG0000063	Syar.g_00509	Prbl.g_01981
OG0000065	Syar.g_03119	Prbl.g_00552
OG0000066	Syar.g_03187, Syar.g_02228	Prbl.g_00752
OG0000067	Syar.g_02639	Prbl.g_02335
OG0000068	Syar.g_02329, Syar.g_01461	Prbl.g_00502
OG0000070	Syar.g_02223	Prbl.g_00634
OG0000071	Syar.g_02777	Prbl.g_01722
OG0000072	Syar.g_00107, Syar.g_01140	Prbl.g_00276
OG0000073	Syar.g_01493	Prbl.g_00533
OG0000075	Syar.g_03065, Syar.g_00659	Prbl.g_00855
OG0000076	Syar.g_00608	Prbl.g_01285
OG0000077	Syar.g_03051	Prbl.g_00631
OG0000078	Syar.g_01366	Prbl.g_00193
OG0000079	Syar.g_00166	Prbl.g_01505
OG0000081	Syar.g_01898	Prbl.g_01036, Prbl.g_00032
OG0000082	Syar.g_02202	Prbl.g_01783
OG0000085	Syar.g_02919	Prbl.g_00405
OG0000086	Syar.g_03085	Prbl.g_00583
OG0000087	Syar.g_03192, Syar.g_00068	Prbl.g_00810
