Orthogroup	Syak	Syae
OG0000118	Syak.g_00954	Syae.g_02479
OG0000119	Syak.g_00917	Syae.g_00904
OG0000120	Syak.g_01526	Syae.g_01912
OG0000121	Syak.g_01044	Syae.g_02649
OG0000122	Syak.g_00081	Syae.g_00112
OG0000123	Syak.g_01299	Syae.g_02131
OG0000124	Syak.g_01692	Syae.g_01809
OG0000125	Syak.g_01934	Syae.g_01573
OG0000126	Syak.g_01801	Syae.g_01706
OG0000128	Syak.g_01782	Syae.g_01724
OG0000129	Syak.g_01947	Syae.g_01562
OG0000130	Syak.g_02255	Syae.g_01284
OG0000131	Syak.g_02128	Syae.g_01428
OG0000132	Syak.g_02108	Syae.g_01447
OG0000133	Syak.g_00507	Syae.g_00356
OG0000134	Syak.g_01212	Syae.g_02222
OG0000135	Syak.g_01897	Syae.g_01608
OG0000136	Syak.g_01186	Syae.g_00989
OG0000137	Syak.g_01118	Syae.g_02530
OG0000138	Syak.g_02591	Syae.g_02325
OG0000139	Syak.g_02646	Syae.g_02380
OG0000140	Syak.g_02650	Syae.g_02383
OG0000141	Syak.g_02746	Syae.g_00016
OG0000142	Syak.g_00035	Syae.g_00074
OG0000143	Syak.g_00039	Syae.g_00078
OG0000144	Syak.g_00260	Syae.g_00261
OG0000145	Syak.g_02598	Syae.g_02331
OG0000146	Syak.g_00514	Syae.g_00350
OG0000147	Syak.g_00515	Syae.g_00349
OG0000148	Syak.g_00455	Syae.g_00500
OG0000149	Syak.g_00596	Syae.g_00847
OG0000150	Syak.g_02747	Syae.g_00017
OG0000151	Syak.g_00387	Syae.g_00563
OG0000152	Syak.g_00503	Syae.g_00360
OG0000153	Syak.g_00470	Syae.g_00394
OG0000154	Syak.g_00645	Syae.g_00420
OG0000155	Syak.g_00855	Syae.g_00885
OG0000156	Syak.g_00919	Syae.g_00945
OG0000157	Syak.g_00920	Syae.g_00946
OG0000158	Syak.g_01624	Syae.g_01858
OG0000160	Syak.g_01043	Syae.g_02650
OG0000161	Syak.g_01050	Syae.g_02644
OG0000162	Syak.g_01058	Syae.g_02638
OG0000163	Syak.g_02478	Syae.g_01092
OG0000164	Syak.g_02384	Syae.g_01198
OG0000165	Syak.g_02374	Syae.g_01021
OG0000166	Syak.g_01345	Syae.g_02085
OG0000167	Syak.g_01561	Syae.g_01874
OG0000168	Syak.g_01625	Syae.g_01856
OG0000169	Syak.g_01637	Syae.g_01841
OG0000170	Syak.g_01644	Syae.g_01834
OG0000171	Syak.g_01691	Syae.g_01810
OG0000172	Syak.g_01713	Syae.g_01788
OG0000173	Syak.g_01733	Syae.g_01770
OG0000174	Syak.g_01895	Syae.g_01610
OG0000175	Syak.g_01827	Syae.g_01679
OG0000176	Syak.g_01790	Syae.g_01716
OG0000177	Syak.g_01789	Syae.g_01717
OG0000178	Syak.g_01788	Syae.g_01718
OG0000179	Syak.g_01773	Syae.g_01733
OG0000180	Syak.g_01772	Syae.g_01734
OG0000181	Syak.g_01771	Syae.g_01735
OG0000182	Syak.g_01770	Syae.g_01736
OG0000183	Syak.g_01766	Syae.g_01740
OG0000184	Syak.g_01955	Syae.g_01554
OG0000185	Syak.g_01971	Syae.g_01551
OG0000186	Syak.g_02258	Syae.g_01279
OG0000187	Syak.g_02257	Syae.g_01280
OG0000188	Syak.g_02235	Syae.g_01323
OG0000189	Syak.g_02203	Syae.g_01350
OG0000190	Syak.g_01575	Syae.g_01352
OG0000191	Syak.g_02171	Syae.g_01384
OG0000192	Syak.g_02165	Syae.g_01390
OG0000193	Syak.g_02127	Syae.g_01429
OG0000194	Syak.g_02124	Syae.g_01432
OG0000195	Syak.g_02122	Syae.g_01434
OG0000196	Syak.g_02111	Syae.g_01444
OG0000197	Syak.g_02110	Syae.g_01445
OG0000198	Syak.g_02109	Syae.g_01446
OG0000199	Syak.g_02100	Syae.g_01454
OG0000200	Syak.g_02083	Syae.g_01471
OG0000201	Syak.g_02068	Syae.g_01487
OG0000202	Syak.g_02067	Syae.g_01488
OG0000203	Syak.g_02066	Syae.g_01489
OG0000204	Syak.g_02065	Syae.g_01490
