Orthogroup	Syak	Syaf
OG0000053	Syak.g_01068	Syaf.g_02447
OG0000055	Syak.g_00766	Syaf.g_01402
OG0000057	Syak.g_01676	Syaf.g_01665
OG0000058	Syak.g_01530	Syaf.g_00316
OG0000059	Syak.g_01355	Syaf.g_00143
OG0000060	Syak.g_01138	Syaf.g_02515
OG0000060	Syak.g_02572	Syaf.g_02726
OG0000060	Syak.g_00844	Syaf.g_01603
OG0000061	Syak.g_00898	Syaf.g_01288
OG0000062	Syak.g_02434	Syaf.g_01055
OG0000063	Syak.g_01752	Syaf.g_00457
OG0000064	Syak.g_00983	Syaf.g_01063
OG0000064	Syak.g_00126	Syaf.g_02253
OG0000064	Syak.g_00164	Syaf.g_01667
OG0000067	Syak.g_00434	Syaf.g_02049
OG0000068	Syak.g_02565	Syaf.g_02733
OG0000070	Syak.g_01174	Syaf.g_01237
OG0000071	Syak.g_00936	Syaf.g_01254
OG0000072	Syak.g_02099	Syaf.g_00805
OG0000073	Syak.g_02597	Syaf.g_02700
OG0000075	Syak.g_01564	Syaf.g_00353
OG0000076	Syak.g_01650	Syaf.g_00388
OG0000077	Syak.g_02243	Syaf.g_00951
OG0000078	Syak.g_02310	Syaf.g_02782
OG0000079	Syak.g_01417	Syaf.g_00197
OG0000080	Syak.g_01585, Syak.g_01583	Syaf.g_00306
OG0000081	Syak.g_00115	Syaf.g_02776
OG0000082	Syak.g_02711	Syaf.g_02576
OG0000084	Syak.g_01036	Syaf.g_02409
OG0000085	Syak.g_02427	Syaf.g_01048
OG0000086	Syak.g_02219	Syaf.g_00932
OG0000087	Syak.g_02141	Syaf.g_00848
OG0000088	Syak.g_02106	Syaf.g_00811
OG0000089	Syak.g_01215	Syaf.g_02807
OG0000090	Syak.g_02640	Syaf.g_02654
OG0000091	Syak.g_00043	Syaf.g_02302
OG0000093	Syak.g_00416	Syaf.g_02065
OG0000094	Syak.g_00656	Syaf.g_01940
OG0000095	Syak.g_00736	Syaf.g_01442
OG0000097	Syak.g_00816	Syaf.g_01574
OG0000098	Syak.g_00345, Syak.g_02651	Syaf.g_01637
OG0000099	Syak.g_01527	Syaf.g_00312
OG0000100	Syak.g_00622	Syaf.g_02017
OG0000101	Syak.g_01305	Syaf.g_00093
OG0000102	Syak.g_01661	Syaf.g_00393
OG0000103	Syak.g_01812	Syaf.g_00520
OG0000104	Syak.g_01799	Syaf.g_00502
OG0000105	Syak.g_01451	Syaf.g_00235
OG0000106	Syak.g_00096	Syaf.g_01745
OG0000107	Syak.g_01392	Syaf.g_00758
OG0000108	Syak.g_02574	Syaf.g_02721
OG0000109	Syak.g_02590	Syaf.g_02706
OG0000110	Syak.g_02698	Syaf.g_02589
OG0000111	Syak.g_00725	Syaf.g_01451
OG0000112	Syak.g_00512	Syaf.g_01852
OG0000113	Syak.g_00461	Syaf.g_02022
OG0000114	Syak.g_00373, Syak.g_00065	Syaf.g_02103
OG0000115	Syak.g_01066	Syaf.g_02445
OG0000116	Syak.g_00911	Syaf.g_01276
OG0000117	Syak.g_00846	Syaf.g_01605
OG0000118	Syak.g_00954	Syaf.g_02544
OG0000120	Syak.g_01526	Syaf.g_00313
OG0000121	Syak.g_01044	Syaf.g_02419
OG0000123	Syak.g_01299	Syaf.g_00086
OG0000124	Syak.g_01692	Syaf.g_00414
OG0000125	Syak.g_01934	Syaf.g_00640
OG0000126	Syak.g_01801	Syaf.g_00504
OG0000128	Syak.g_01782	Syaf.g_00486
OG0000129	Syak.g_01947	Syaf.g_00651
OG0000130	Syak.g_02255	Syaf.g_00963
OG0000131	Syak.g_02128	Syaf.g_00833
OG0000132	Syak.g_02108	Syaf.g_00813
OG0000133	Syak.g_00507	Syaf.g_01857
OG0000134	Syak.g_01212	Syaf.g_02804
OG0000135	Syak.g_01897	Syaf.g_00605
OG0000136	Syak.g_01186	Syaf.g_01224
OG0000137	Syak.g_01118	Syaf.g_02498
OG0000138	Syak.g_02591	Syaf.g_02705
OG0000139	Syak.g_02646	Syaf.g_02648
OG0000140	Syak.g_02650	Syaf.g_02646
OG0000141	Syak.g_02746	Syaf.g_02375
OG0000142	Syak.g_00035	Syaf.g_02310
OG0000143	Syak.g_00039	Syaf.g_02306
OG0000144	Syak.g_00260	Syaf.g_01735
OG0000145	Syak.g_02598	Syaf.g_02699
OG0000146	Syak.g_00514	Syaf.g_01851
OG0000147	Syak.g_00515	Syaf.g_01850
OG0000148	Syak.g_00455	Syaf.g_02028
OG0000149	Syak.g_00596	Syaf.g_01371
OG0000150	Syak.g_02747	Syaf.g_02645
OG0000151	Syak.g_00387	Syaf.g_02091
OG0000152	Syak.g_00503	Syaf.g_01861
OG0000153	Syak.g_00470	Syaf.g_01904
OG0000154	Syak.g_00645	Syaf.g_01930
OG0000155	Syak.g_00855	Syaf.g_01324
OG0000156	Syak.g_00919	Syaf.g_01270
OG0000157	Syak.g_00920	Syaf.g_01269
OG0000158	Syak.g_01624	Syaf.g_00364
OG0000159	Syak.g_01580	Syaf.g_00311
OG0000160	Syak.g_01043	Syaf.g_02418
OG0000161	Syak.g_01050	Syaf.g_02424
OG0000162	Syak.g_01058	Syaf.g_02431
OG0000163	Syak.g_02478	Syaf.g_01105
OG0000164	Syak.g_02384	Syaf.g_00999
OG0000165	Syak.g_02374	Syaf.g_01197
OG0000166	Syak.g_01345	Syaf.g_00133
OG0000167	Syak.g_01561	Syaf.g_00350
OG0000168	Syak.g_01625	Syaf.g_00365
OG0000169	Syak.g_01637	Syaf.g_00376
OG0000170	Syak.g_01644	Syaf.g_00383
OG0000171	Syak.g_01691	Syaf.g_00413
OG0000172	Syak.g_01713	Syaf.g_00419
OG0000173	Syak.g_01733	Syaf.g_00438
OG0000174	Syak.g_01895	Syaf.g_00603
OG0000175	Syak.g_01827	Syaf.g_00531
OG0000176	Syak.g_01790	Syaf.g_00494
OG0000177	Syak.g_01789	Syaf.g_00493
OG0000178	Syak.g_01788	Syaf.g_00492
OG0000179	Syak.g_01773	Syaf.g_00477
OG0000180	Syak.g_01772	Syaf.g_00476
OG0000181	Syak.g_01771	Syaf.g_00475
OG0000182	Syak.g_01770	Syaf.g_00474
OG0000183	Syak.g_01766	Syaf.g_00470
OG0000184	Syak.g_01955	Syaf.g_00664
OG0000185	Syak.g_01971	Syaf.g_00684
OG0000186	Syak.g_02258	Syaf.g_00968
OG0000187	Syak.g_02257	Syaf.g_00966
OG0000188	Syak.g_02235	Syaf.g_00944
OG0000189	Syak.g_02203	Syaf.g_00916
OG0000190	Syak.g_01575	Syaf.g_00914
OG0000191	Syak.g_02171	Syaf.g_00877
OG0000192	Syak.g_02165	Syaf.g_00871
OG0000193	Syak.g_02127	Syaf.g_00832
OG0000194	Syak.g_02124	Syaf.g_00829
OG0000195	Syak.g_02122	Syaf.g_00827
OG0000196	Syak.g_02111	Syaf.g_00816
OG0000197	Syak.g_02110	Syaf.g_00815
OG0000198	Syak.g_02109	Syaf.g_00814
OG0000199	Syak.g_02100	Syaf.g_00806
OG0000200	Syak.g_02083	Syaf.g_00789
OG0000201	Syak.g_02068	Syaf.g_00771
OG0000202	Syak.g_02067	Syaf.g_00770
OG0000203	Syak.g_02066	Syaf.g_00769
OG0000204	Syak.g_02065	Syaf.g_00768
OG0000205	Syak.g_02058	Syaf.g_00761
OG0000206	Syak.g_02038	Syaf.g_00736
OG0000207	Syak.g_02025	Syaf.g_00735
OG0000208	Syak.g_02024	Syaf.g_00734
OG0000209	Syak.g_01995	Syaf.g_00714
OG0000210	Syak.g_01994	Syaf.g_00713
OG0000211	Syak.g_02300	Syaf.g_02791
OG0000212	Syak.g_02311	Syaf.g_02781
OG0000213	Syak.g_01425	Syaf.g_00210
OG0000214	Syak.g_01442	Syaf.g_00226
OG0000215	Syak.g_01474	Syaf.g_00258
OG0000216	Syak.g_01478	Syaf.g_00262
OG0000217	Syak.g_01482	Syaf.g_00266
OG0000218	Syak.g_01484	Syaf.g_00268
OG0000219	Syak.g_01485	Syaf.g_00269
OG0000220	Syak.g_01486	Syaf.g_00270
OG0000221	Syak.g_01498	Syaf.g_00273
OG0000222	Syak.g_01512	Syaf.g_00287
OG0000223	Syak.g_01531	Syaf.g_00317
OG0000224	Syak.g_01532	Syaf.g_00324
OG0000225	Syak.g_01230	Syaf.g_00007
OG0000226	Syak.g_01226	Syaf.g_00003
OG0000227	Syak.g_01224	Syaf.g_00001
OG0000228	Syak.g_01216	Syaf.g_02808
OG0000229	Syak.g_01191	Syaf.g_01214
OG0000230	Syak.g_01189	Syaf.g_01216
OG0000231	Syak.g_01176	Syaf.g_01236
OG0000232	Syak.g_01156	Syaf.g_02536
OG0000233	Syak.g_01145	Syaf.g_02528
OG0000234	Syak.g_01116	Syaf.g_02497
OG0000235	Syak.g_02573	Syaf.g_02722
OG0000236	Syak.g_02589	Syaf.g_02707
OG0000237	Syak.g_02607	Syaf.g_02690
OG0000238	Syak.g_02612	Syaf.g_02685
OG0000239	Syak.g_02628	Syaf.g_02669
OG0000240	Syak.g_02629	Syaf.g_02668
OG0000241	Syak.g_00027	Syaf.g_02322
OG0000242	Syak.g_02638	Syaf.g_02656
OG0000243	Syak.g_02658	Syaf.g_02634
OG0000244	Syak.g_02665	Syaf.g_02627
OG0000245	Syak.g_02667	Syaf.g_02625
OG0000246	Syak.g_02671	Syaf.g_02621
OG0000247	Syak.g_02681	Syaf.g_02610
OG0000248	Syak.g_02684	Syaf.g_02607
OG0000249	Syak.g_02686	Syaf.g_02605
OG0000250	Syak.g_02694	Syaf.g_02593
OG0000251	Syak.g_02722	Syaf.g_02568
OG0000252	Syak.g_02725	Syaf.g_02565
OG0000253	Syak.g_02727	Syaf.g_02564
OG0000254	Syak.g_02752	Syaf.g_02371
OG0000255	Syak.g_02772	Syaf.g_02352
OG0000256	Syak.g_00020	Syaf.g_02329
OG0000257	Syak.g_00026	Syaf.g_02323
OG0000258	Syak.g_00044	Syaf.g_02301
OG0000259	Syak.g_00334	Syaf.g_02137
