Orthogroup	Syak	Prbc
OG0000153	Syak.g_00470	Prbc.g_02054
OG0000154	Syak.g_00645	Prbc.g_02083
OG0000155	Syak.g_00855	Prbc.g_01424
OG0000156	Syak.g_00919	Prbc.g_00555
OG0000157	Syak.g_00920	Prbc.g_00556
OG0000158	Syak.g_01624	Prbc.g_00228
OG0000160	Syak.g_01043	Prbc.g_00710
OG0000161	Syak.g_01050	Prbc.g_00716
OG0000162	Syak.g_01058	Prbc.g_00722
OG0000163	Syak.g_02478	Prbc.g_00758
OG0000164	Syak.g_02384	Prbc.g_00854
OG0000165	Syak.g_02374	Prbc.g_00862
OG0000166	Syak.g_01345	Prbc.g_00321
OG0000167	Syak.g_01561	Prbc.g_00238
OG0000168	Syak.g_01625	Prbc.g_00227
OG0000169	Syak.g_01637	Prbc.g_00217
OG0000170	Syak.g_01644	Prbc.g_00215
OG0000171	Syak.g_01691	Prbc.g_00194
OG0000172	Syak.g_01713	Prbc.g_00967
OG0000173	Syak.g_01733	Prbc.g_00982
OG0000174	Syak.g_01895	Prbc.g_01013
OG0000175	Syak.g_01827	Prbc.g_01044
OG0000176	Syak.g_01790	Prbc.g_01074
OG0000177	Syak.g_01789	Prbc.g_01075
OG0000178	Syak.g_01788	Prbc.g_01076
OG0000179	Syak.g_01773	Prbc.g_01086
OG0000180	Syak.g_01772	Prbc.g_01087
OG0000181	Syak.g_01771	Prbc.g_01088
OG0000182	Syak.g_01770	Prbc.g_01089
OG0000183	Syak.g_01766	Prbc.g_01093
OG0000184	Syak.g_01955	Prbc.g_01124
OG0000185	Syak.g_01971	Prbc.g_01127
OG0000186	Syak.g_02258	Prbc.g_00509
OG0000187	Syak.g_02257	Prbc.g_00508
OG0000188	Syak.g_02235	Prbc.g_00491
OG0000189	Syak.g_02203	Prbc.g_00477
OG0000190	Syak.g_01575	Prbc.g_00476
OG0000191	Syak.g_02171	Prbc.g_00453
OG0000192	Syak.g_02165	Prbc.g_00449
OG0000193	Syak.g_02127	Prbc.g_00425
OG0000194	Syak.g_02124	Prbc.g_00422
OG0000195	Syak.g_02122	Prbc.g_00420
OG0000196	Syak.g_02111	Prbc.g_00410
OG0000197	Syak.g_02110	Prbc.g_00409
OG0000198	Syak.g_02109	Prbc.g_00408
OG0000199	Syak.g_02100	Prbc.g_00401
OG0000200	Syak.g_02083	Prbc.g_00388
OG0000201	Syak.g_02068	Prbc.g_00379
OG0000202	Syak.g_02067	Prbc.g_00378
OG0000203	Syak.g_02066	Prbc.g_00377
OG0000204	Syak.g_02065	Prbc.g_00376
OG0000205	Syak.g_02058	Prbc.g_00369
OG0000206	Syak.g_02038	Prbc.g_00365
OG0000207	Syak.g_02025	Prbc.g_00363
OG0000208	Syak.g_02024	Prbc.g_00362
OG0000209	Syak.g_01995	Prbc.g_00352
OG0000210	Syak.g_01994	Prbc.g_00351
OG0000211	Syak.g_02017, Syak.g_02300	Prbc.g_00337
OG0000212	Syak.g_02311	Prbc.g_00329
OG0000213	Syak.g_01425	Prbc.g_01153
OG0000214	Syak.g_01442	Prbc.g_01161
OG0000215	Syak.g_01474	Prbc.g_01185
OG0000216	Syak.g_01478	Prbc.g_01186
OG0000217	Syak.g_01482	Prbc.g_01189
OG0000218	Syak.g_01484	Prbc.g_01191
OG0000219	Syak.g_01485	Prbc.g_01192
OG0000220	Syak.g_01486	Prbc.g_01193
OG0000221	Syak.g_01498	Prbc.g_01194
OG0000222	Syak.g_01512	Prbc.g_01202
OG0000223	Syak.g_01531	Prbc.g_01215
OG0000224	Syak.g_01532	Prbc.g_01217
OG0000225	Syak.g_01230	Prbc.g_01257
OG0000226	Syak.g_01226	Prbc.g_01261
