Orthogroup	Syas	Praa
OG0000321	Syas.g_02660	Praa.g_01652
OG0000322	Syas.g_02659	Praa.g_01653
OG0000323	Syas.g_02646	Praa.g_01662
OG0000324	Syas.g_02578	Praa.g_01690
OG0000325	Syas.g_01668	Praa.g_01700
OG0000326	Syas.g_01661	Praa.g_01706
OG0000327	Syas.g_01634	Praa.g_01734
OG0000328	Syas.g_01633	Praa.g_01735
OG0000329	Syas.g_01615	Praa.g_01752
OG0000330	Syas.g_01614	Praa.g_01753
OG0000331	Syas.g_01613	Praa.g_01754
OG0000332	Syas.g_01598	Praa.g_01768
OG0000333	Syas.g_01595	Praa.g_01770
OG0000334	Syas.g_01586	Praa.g_01778
OG0000335	Syas.g_01581	Praa.g_01783
OG0000336	Syas.g_01577	Praa.g_01787
OG0000337	Syas.g_02211	Praa.g_01804
OG0000338	Syas.g_02199	Praa.g_01805
OG0000339	Syas.g_02192	Praa.g_01809
OG0000340	Syas.g_02183	Praa.g_01817
OG0000341	Syas.g_02181	Praa.g_01819
OG0000342	Syas.g_02180	Praa.g_01820
OG0000343	Syas.g_02176	Praa.g_01821
OG0000344	Syas.g_02172	Praa.g_01824
OG0000345	Syas.g_02160	Praa.g_01829
OG0000346	Syas.g_02155	Praa.g_01833
OG0000347	Syas.g_02136	Praa.g_01849
OG0000348	Syas.g_02107	Praa.g_01859
OG0000349	Syas.g_02085	Praa.g_01876
OG0000350	Syas.g_01654	Praa.g_01894
OG0000351	Syas.g_01998	Praa.g_01911
OG0000352	Syas.g_01999	Praa.g_01912
OG0000353	Syas.g_02033	Praa.g_01927
OG0000355	Syas.g_02035	Praa.g_00001
OG0000356	Syas.g_02036	Praa.g_00002
OG0000357	Syas.g_02037	Praa.g_00003
OG0000358	Syas.g_02041	Praa.g_00007
OG0000359	Syas.g_02043	Praa.g_00008
OG0000360	Syas.g_02044	Praa.g_00009
OG0000361	Syas.g_02045	Praa.g_00010
OG0000362	Syas.g_02047	Praa.g_00012
OG0000363	Syas.g_02049	Praa.g_00014
OG0000364	Syas.g_02685	Praa.g_00015
OG0000365	Syas.g_02058	Praa.g_00020
OG0000366	Syas.g_02059	Praa.g_00021
OG0000368	Syas.g_02062	Praa.g_00024
OG0000369	Syas.g_02063	Praa.g_00025
OG0000370	Syas.g_02064	Praa.g_00026
OG0000371	Syas.g_02073	Praa.g_00032
OG0000372	Syas.g_02078	Praa.g_00035
OG0000373	Syas.g_02079	Praa.g_00036
OG0000374	Syas.g_02080	Praa.g_00037
OG0000375	Syas.g_02081	Praa.g_00040
OG0000376	Syas.g_02083	Praa.g_00042
OG0000377	Syas.g_01879	Praa.g_00045
OG0000378	Syas.g_01867	Praa.g_00047
OG0000379	Syas.g_01859	Praa.g_00050
OG0000380	Syas.g_02523	Praa.g_00066
OG0000381	Syas.g_02521	Praa.g_00070
OG0000382	Syas.g_02503	Praa.g_00081
OG0000383	Syas.g_02480	Praa.g_00083
OG0000384	Syas.g_02479	Praa.g_00084
OG0000385	Syas.g_02478	Praa.g_00085
OG0000386	Syas.g_02477	Praa.g_00086
OG0000387	Syas.g_00134	Praa.g_00099
OG0000388	Syas.g_02426	Praa.g_00102
OG0000389	Syas.g_02422	Praa.g_00106
OG0000390	Syas.g_02406	Praa.g_00113
OG0000391	Syas.g_02401	Praa.g_00116
OG0000392	Syas.g_02396	Praa.g_00120
OG0000393	Syas.g_02394	Praa.g_00122
OG0000394	Syas.g_02393	Praa.g_00123
OG0000395	Syas.g_02392	Praa.g_00124
OG0000396	Syas.g_02389	Praa.g_00127
OG0000397	Syas.g_02387	Praa.g_00129
OG0000398	Syas.g_02382	Praa.g_00131
OG0000399	Syas.g_02381	Praa.g_00132
OG0000400	Syas.g_02380	Praa.g_00133
OG0000401	Syas.g_02379	Praa.g_00134
OG0000402	Syas.g_02377	Praa.g_00136
OG0000403	Syas.g_02376	Praa.g_00137
OG0000404	Syas.g_02375	Praa.g_00138
OG0000405	Syas.g_02369	Praa.g_00142
OG0000406	Syas.g_02365	Praa.g_00147
OG0000407	Syas.g_02364	Praa.g_00148
OG0000408	Syas.g_02361	Praa.g_00150
OG0000409	Syas.g_02359	Praa.g_00152
OG0000410	Syas.g_02358	Praa.g_00153
OG0000411	Syas.g_02357	Praa.g_00154
OG0000412	Syas.g_02356	Praa.g_00155
OG0000413	Syas.g_02354	Praa.g_00156
OG0000414	Syas.g_02353	Praa.g_00157
OG0000415	Syas.g_02352	Praa.g_00158
OG0000416	Syas.g_02351	Praa.g_00159
OG0000417	Syas.g_02338	Praa.g_00160
OG0000418	Syas.g_02333	Praa.g_00165
OG0000419	Syas.g_02331	Praa.g_00167
OG0000420	Syas.g_02329	Praa.g_00168
OG0000421	Syas.g_02324	Praa.g_00173
OG0000422	Syas.g_02323	Praa.g_00174
OG0000423	Syas.g_02322	Praa.g_00175
OG0000424	Syas.g_02321	Praa.g_00176
OG0000425	Syas.g_02320	Praa.g_00177
OG0000426	Syas.g_02319	Praa.g_00178
OG0000427	Syas.g_02318	Praa.g_00179
OG0000428	Syas.g_02315	Praa.g_00181
OG0000429	Syas.g_02312	Praa.g_00182
OG0000430	Syas.g_02311	Praa.g_00183
OG0000431	Syas.g_02296	Praa.g_00185
OG0000432	Syas.g_02288	Praa.g_00188
OG0000433	Syas.g_02286	Praa.g_00189
OG0000434	Syas.g_02285	Praa.g_00190
OG0000435	Syas.g_02282	Praa.g_00191
OG0000436	Syas.g_02273	Praa.g_00196
OG0000437	Syas.g_02272	Praa.g_00197
OG0000438	Syas.g_02271	Praa.g_00198
OG0000439	Syas.g_02269	Praa.g_00200
OG0000440	Syas.g_02268	Praa.g_00201
OG0000441	Syas.g_02265	Praa.g_00204
OG0000442	Syas.g_02259	Praa.g_00205
OG0000443	Syas.g_02241	Praa.g_00206
OG0000444	Syas.g_02234	Praa.g_00211
OG0000445	Syas.g_02233	Praa.g_00212
OG0000446	Syas.g_02231	Praa.g_00213
OG0000447	Syas.g_02229	Praa.g_00214
OG0000448	Syas.g_02228	Praa.g_00215
OG0000449	Syas.g_02226	Praa.g_00216
OG0000450	Syas.g_01834	Praa.g_00217
OG0000451	Syas.g_01835	Praa.g_00218
OG0000452	Syas.g_01844	Praa.g_00221
OG0000453	Syas.g_01845	Praa.g_00222
OG0000454	Syas.g_01846	Praa.g_00223
OG0000455	Syas.g_01847	Praa.g_00224
OG0000456	Syas.g_01848	Praa.g_00225
OG0000457	Syas.g_01850	Praa.g_00226
OG0000458	Syas.g_01851	Praa.g_00227
OG0000459	Syas.g_01852	Praa.g_00228
OG0000460	Syas.g_02554	Praa.g_00235
OG0000461	Syas.g_01686	Praa.g_00242
OG0000462	Syas.g_01688	Praa.g_00244
OG0000463	Syas.g_01689	Praa.g_00245
OG0000464	Syas.g_01690	Praa.g_00246
OG0000465	Syas.g_01692	Praa.g_00247
OG0000466	Syas.g_01697	Praa.g_00250
OG0000467	Syas.g_01698	Praa.g_00251
OG0000468	Syas.g_01703	Praa.g_00253
OG0000469	Syas.g_01725	Praa.g_00262
OG0000470	Syas.g_01727	Praa.g_00264
OG0000471	Syas.g_01728	Praa.g_00265
OG0000472	Syas.g_01729	Praa.g_00266
OG0000473	Syas.g_01731	Praa.g_00268
OG0000474	Syas.g_01732	Praa.g_00269
OG0000475	Syas.g_01733	Praa.g_00270
OG0000476	Syas.g_01735	Praa.g_00271
OG0000477	Syas.g_01740	Praa.g_00275
OG0000478	Syas.g_01741	Praa.g_00276
OG0000479	Syas.g_01749	Praa.g_00277
OG0000480	Syas.g_01756	Praa.g_00282
OG0000481	Syas.g_00161, Syas.g_00162	Praa.g_00284
OG0000482	Syas.g_01758	Praa.g_00285
OG0000483	Syas.g_01762	Praa.g_00288
OG0000484	Syas.g_01763	Praa.g_00289
OG0000485	Syas.g_01764	Praa.g_00290
OG0000486	Syas.g_01765	Praa.g_00291
OG0000487	Syas.g_01771	Praa.g_00295
OG0000488	Syas.g_01779	Praa.g_00298
OG0000489	Syas.g_01823	Praa.g_00303
OG0000490	Syas.g_01808	Praa.g_00308
OG0000491	Syas.g_01806	Praa.g_00309
OG0000492	Syas.g_01803	Praa.g_00311
OG0000493	Syas.g_01802	Praa.g_00312
OG0000494	Syas.g_01801	Praa.g_00313
OG0000495	Syas.g_01799	Praa.g_00314
OG0000496	Syas.g_01798	Praa.g_00315
OG0000497	Syas.g_01797	Praa.g_00316
OG0000498	Syas.g_01796	Praa.g_00317
OG0000499	Syas.g_01795	Praa.g_00318
OG0000500	Syas.g_01794	Praa.g_00319
OG0000501	Syas.g_01791	Praa.g_00321
OG0000502	Syas.g_02216	Praa.g_00324
OG0000503	Syas.g_01541	Praa.g_00334
OG0000504	Syas.g_01539	Praa.g_00335
OG0000505	Syas.g_01538	Praa.g_00336
OG0000506	Syas.g_01536	Praa.g_00338
OG0000507	Syas.g_01530	Praa.g_00340
OG0000508	Syas.g_01523	Praa.g_00344
OG0000509	Syas.g_01521	Praa.g_00346
OG0000510	Syas.g_01520	Praa.g_00347
OG0000511	Syas.g_01519	Praa.g_00348
