Orthogroup	Pram	Syaq
OG0000067	Pram.g_00809	Syaq.g_02340
OG0000068	Pram.g_01468	Syaq.g_01763
OG0000070	Pram.g_00385	Syaq.g_00484
OG0000071	Pram.g_01230	Syaq.g_00297
OG0000072	Pram.g_00156	Syaq.g_01397
OG0000073	Pram.g_00437	Syaq.g_01795
OG0000075	Pram.g_01807	Syaq.g_00986
OG0000076	Pram.g_01833	Syaq.g_01028
OG0000077	Pram.g_00063	Syaq.g_01547
OG0000078	Pram.g_00227	Syaq.g_01585
OG0000079	Pram.g_00240	Syaq.g_00721
OG0000081	Pram.g_00469	Syaq.g_01893
OG0000082	Pram.g_01559	Syaq.g_01975
OG0000084	Pram.g_01384	Syaq.g_00367
OG0000085	Pram.g_01265	Syaq.g_01683
OG0000086	Pram.g_00072	Syaq.g_01525
OG0000087	Pram.g_00125	Syaq.g_01438
OG0000088	Pram.g_00151	Syaq.g_01402
OG0000089	Pram.g_00352	Syaq.g_00529
OG0000090	Pram.g_00471	Syaq.g_01838
OG0000091	Pram.g_01068	Syaq.g_02090
OG0000094	Pram.g_00987	Syaq.g_02554
OG0000097	Pram.g_01093	Syaq.g_00167
OG0000098	Pram.g_01478	Syaq.g_02221
OG0000099	Pram.g_01445	Syaq.g_00882
OG0000100	Pram.g_01298	Syaq.g_02371
OG0000101	Pram.g_01770	Syaq.g_00607
OG0000102	Pram.g_01838	Syaq.g_01033
OG0000103	Pram.g_01925	Syaq.g_01170
OG0000104	Pram.g_01934	Syaq.g_01154
OG0000105	Pram.g_00262	Syaq.g_00754
OG0000106	Pram.g_00677	Syaq.g_01863
OG0000108	Pram.g_00416	Syaq.g_01772
OG0000109	Pram.g_00430	Syaq.g_01788
OG0000110	Pram.g_00513	Syaq.g_01962
OG0000111	Pram.g_00793	Syaq.g_02606
OG0000112	Pram.g_00935	Syaq.g_02476
OG0000114	Pram.g_00734	Syaq.g_02269
OG0000115	Pram.g_01201	Syaq.g_00395
OG0000116	Pram.g_01151	Syaq.g_00263
OG0000117	Pram.g_01112	Syaq.g_00203
OG0000118	Pram.g_01242	Syaq.g_00325, Syaq.g_00316
OG0000120	Pram.g_01446	Syaq.g_00883
OG0000121	Pram.g_01376	Syaq.g_00375
OG0000122	Pram.g_01204, Pram.g_01334	Syaq.g_02118
OG0000123	Pram.g_01777	Syaq.g_00599
OG0000124	Pram.g_01850	Syaq.g_01055
OG0000125	Pram.g_01886	Syaq.g_01256
OG0000126	Pram.g_01933	Syaq.g_01156
OG0000128	Pram.g_01949	Syaq.g_01138
OG0000129	Pram.g_00029	Syaq.g_01269
OG0000130	Pram.g_00054	Syaq.g_01559
OG0000131	Pram.g_00130	Syaq.g_01427, Syaq.g_01424
OG0000132	Pram.g_00149	Syaq.g_01404
OG0000133	Pram.g_00310	Syaq.g_02481
OG0000134	Pram.g_00354	Syaq.g_00526
OG0000135	Pram.g_01589	Syaq.g_01227
OG0000136	Pram.g_00376	Syaq.g_00496
OG0000137	Pram.g_00411	Syaq.g_00442
OG0000138	Pram.g_00431	Syaq.g_01789
OG0000139	Pram.g_00475	Syaq.g_01844
OG0000140	Pram.g_00476	Syaq.g_01848
OG0000141	Pram.g_00545	Syaq.g_02010
OG0000142	Pram.g_01075	Syaq.g_02082
OG0000143	Pram.g_01072	Syaq.g_02086
OG0000144	Pram.g_01058	Syaq.g_02152
OG0000145	Pram.g_01534	Syaq.g_01796
OG0000146	Pram.g_00934	Syaq.g_02475
OG0000147	Pram.g_00933	Syaq.g_02474
OG0000148	Pram.g_00826	Syaq.g_02359
OG0000149	Pram.g_00858	Syaq.g_02395
OG0000150	Pram.g_00868	Syaq.g_02011
OG0000151	Pram.g_00744	Syaq.g_02283
OG0000152	Pram.g_00943	Syaq.g_02485
