Orthogroup	Syan	Praf
OG0000218	Syan.g_01999	Praf.g_02302
OG0000219	Syan.g_01998	Praf.g_02303
OG0000220	Syan.g_01997	Praf.g_02304
OG0000221	Syan.g_01994	Praf.g_02314
OG0000222	Syan.g_01981	Praf.g_02323
OG0000223	Syan.g_00228	Praf.g_02347
OG0000224	Syan.g_01959	Praf.g_02358
OG0000225	Syan.g_02997	Praf.g_02030
OG0000226	Syan.g_02990	Praf.g_02026
OG0000227	Syan.g_02988	Praf.g_02024
OG0000228	Syan.g_02315	Praf.g_02016
OG0000229	Syan.g_02396	Praf.g_01989
OG0000230	Syan.g_02398	Praf.g_01987
OG0000231	Syan.g_01333	Praf.g_01963
OG0000232	Syan.g_02801	Praf.g_01952
OG0000233	Syan.g_02876	Praf.g_01938
OG0000234	Syan.g_02844	Praf.g_01905
OG0000235	Syan.g_02765	Praf.g_00594
OG0000236	Syan.g_02749	Praf.g_00610
OG0000237	Syan.g_02731	Praf.g_00627
OG0000238	Syan.g_02726	Praf.g_00631
OG0000239	Syan.g_01187	Praf.g_00647
OG0000240	Syan.g_01186	Praf.g_00648
OG0000241	Syan.g_00822	Praf.g_01177
OG0000242	Syan.g_01168	Praf.g_00658
OG0000243	Syan.g_00840	Praf.g_00681
OG0000244	Syan.g_00848	Praf.g_00685
OG0000245	Syan.g_00850	Praf.g_00688
OG0000246	Syan.g_00854	Praf.g_00692
OG0000247	Syan.g_00866	Praf.g_00703
OG0000248	Syan.g_00869	Praf.g_00706
OG0000249	Syan.g_00871	Praf.g_00708
OG0000250	Syan.g_00878	Praf.g_00714
OG0000251	Syan.g_00961	Praf.g_00739
OG0000252	Syan.g_00966	Praf.g_00742
OG0000253	Syan.g_01000	Praf.g_00749
OG0000254	Syan.g_01026	Praf.g_00768
OG0000255	Syan.g_00978	Praf.g_01662
OG0000256	Syan.g_00001, Syan.g_01135	Praf.g_01676
OG0000257	Syan.g_00827	Praf.g_01685
OG0000258	Syan.g_00803	Praf.g_01708
OG0000259	Syan.g_00772	Praf.g_01736
OG0000260	Syan.g_00769	Praf.g_01739
OG0000261	Syan.g_00765	Praf.g_01742
OG0000262	Syan.g_00760	Praf.g_01748
OG0000263	Syan.g_02618	Praf.g_02570
OG0000264	Syan.g_00540	Praf.g_01218, Praf.g_01219
OG0000266	Syan.g_00330	Praf.g_01313
OG0000267	Syan.g_00470	Praf.g_01436
OG0000268	Syan.g_00471	Praf.g_01435
OG0000269	Syan.g_00695	Praf.g_01525
OG0000270	Syan.g_00692	Praf.g_01528
OG0000271	Syan.g_00684	Praf.g_01536
OG0000272	Syan.g_00683	Praf.g_01537
OG0000273	Syan.g_00654	Praf.g_01585
OG0000274	Syan.g_00653	Praf.g_01586
OG0000275	Syan.g_00373	Praf.g_01590
OG0000276	Syan.g_00380	Praf.g_01596
OG0000277	Syan.g_00381	Praf.g_01597
OG0000278	Syan.g_00384	Praf.g_01600
OG0000279	Syan.g_00398	Praf.g_01608
OG0000280	Syan.g_00518	Praf.g_01614
OG0000282	Syan.g_00739	Praf.g_01463
OG0000283	Syan.g_00491	Praf.g_01426
OG0000284	Syan.g_00497	Praf.g_01420
OG0000285	Syan.g_00533	Praf.g_01006
OG0000286	Syan.g_00564	Praf.g_01393
OG0000287	Syan.g_00593	Praf.g_01073
OG0000288	Syan.g_00364	Praf.g_01338
OG0000289	Syan.g_00350	Praf.g_01325
OG0000290	Syan.g_00293	Praf.g_01277
OG0000291	Syan.g_00291	Praf.g_01275
OG0000292	Syan.g_01703	Praf.g_02776
OG0000293	Syan.g_02709	Praf.g_00826
OG0000294	Syan.g_02708	Praf.g_00827
OG0000295	Syan.g_02662	Praf.g_00879
OG0000296	Syan.g_02660	Praf.g_00881
OG0000298	Syan.g_02645	Praf.g_00918
OG0000299	Syan.g_02601	Praf.g_00908
OG0000301	Syan.g_02592	Praf.g_00901
OG0000302	Syan.g_02591	Praf.g_00898
OG0000303	Syan.g_02582	Praf.g_00888
OG0000304	Syan.g_02556	Praf.g_00938
OG0000305	Syan.g_00195	Praf.g_01271
OG0000306	Syan.g_00087	Praf.g_01635
OG0000307	Syan.g_02782	Praf.g_00575
OG0000308	Syan.g_02784	Praf.g_00573
OG0000309	Syan.g_02883	Praf.g_00569
OG0000310	Syan.g_01304	Praf.g_01772
OG0000311	Syan.g_01299	Praf.g_01778, Praf.g_01776
OG0000312	Syan.g_01290	Praf.g_01782
OG0000313	Syan.g_01271	Praf.g_01802
OG0000314	Syan.g_02823	Praf.g_01837
OG0000315	Syan.g_02833	Praf.g_01848
OG0000316	Syan.g_01354	Praf.g_00526
OG0000317	Syan.g_01396	Praf.g_00485
OG0000318	Syan.g_01401	Praf.g_00479
OG0000319	Syan.g_01425	Praf.g_00464
OG0000320	Syan.g_01427	Praf.g_00462
OG0000321	Syan.g_01428	Praf.g_00461
OG0000322	Syan.g_01429	Praf.g_00460
OG0000323	Syan.g_01442	Praf.g_00449
OG0000324	Syan.g_01472	Praf.g_00419
OG0000325	Syan.g_02107	Praf.g_02200
OG0000326	Syan.g_02114	Praf.g_02193
OG0000327	Syan.g_02244	Praf.g_02162
OG0000328	Syan.g_02243	Praf.g_02161
OG0000329	Syan.g_02225	Praf.g_02144
OG0000330	Syan.g_02224	Praf.g_02143
OG0000331	Syan.g_02223	Praf.g_02142
OG0000332	Syan.g_02208	Praf.g_02127
OG0000333	Syan.g_02205	Praf.g_02125
OG0000334	Syan.g_00247, Syan.g_02194	Praf.g_02112
OG0000335	Syan.g_02189	Praf.g_02107
OG0000336	Syan.g_02185	Praf.g_02103
OG0000337	Syan.g_01949	Praf.g_02372
OG0000338	Syan.g_01943	Praf.g_02375
OG0000339	Syan.g_01935, Syan.g_00264	Praf.g_02386
OG0000340	Syan.g_01923	Praf.g_02396
OG0000341	Syan.g_01921	Praf.g_02398
OG0000342	Syan.g_01920	Praf.g_02399
OG0000343	Syan.g_01918	Praf.g_00196
OG0000344	Syan.g_01914	Praf.g_00193
OG0000345	Syan.g_01900	Praf.g_00182
OG0000346	Syan.g_01895	Praf.g_00177
OG0000347	Syan.g_01867	Praf.g_00152
OG0000348	Syan.g_01803	Praf.g_00081
OG0000349	Syan.g_01727	Praf.g_00054
OG0000350	Syan.g_02121	Praf.g_02699
OG0000351	Syan.g_01682	Praf.g_02757
OG0000352	Syan.g_01683	Praf.g_02758
OG0000353	Syan.g_01795	Praf.g_02782
OG0000354	Syan.g_02720	Praf.g_00637
OG0000354	Syan.g_01761	Praf.g_00019
OG0000355	Syan.g_01797	Praf.g_00001
OG0000356	Syan.g_01798	Praf.g_00002
OG0000357	Syan.g_01800	Praf.g_00003
OG0000358	Syan.g_01773	Praf.g_00007
OG0000359	Syan.g_01771	Praf.g_00009
OG0000360	Syan.g_01770	Praf.g_00010
OG0000361	Syan.g_01769	Praf.g_00011
OG0000362	Syan.g_01767	Praf.g_00013
OG0000363	Syan.g_01765	Praf.g_00015
OG0000364	Syan.g_01398	Praf.g_00016
OG0000365	Syan.g_01755	Praf.g_00025
OG0000366	Syan.g_01754	Praf.g_00026
OG0000367	Syan.g_01753	Praf.g_00027
OG0000368	Syan.g_01751	Praf.g_00029
OG0000369	Syan.g_01750	Praf.g_00030
OG0000370	Syan.g_01749	Praf.g_00031
OG0000371	Syan.g_01740	Praf.g_00040
OG0000372	Syan.g_01734	Praf.g_00045
OG0000373	Syan.g_01733	Praf.g_00046
OG0000374	Syan.g_01732	Praf.g_00047
OG0000375	Syan.g_01731	Praf.g_00050
OG0000376	Syan.g_01729	Praf.g_00052
OG0000377	Syan.g_01555	Praf.g_02618
OG0000378	Syan.g_01543	Praf.g_02605
OG0000379	Syan.g_01539	Praf.g_02601
OG0000380	Syan.g_02905	Praf.g_00325
OG0000381	Syan.g_02908	Praf.g_00320
OG0000382	Syan.g_02925	Praf.g_00304
OG0000383	Syan.g_02936	Praf.g_00302
OG0000384	Syan.g_02937	Praf.g_00301
OG0000385	Syan.g_02938	Praf.g_00300
OG0000386	Syan.g_02939	Praf.g_00299
OG0000387	Syan.g_00967	Praf.g_00253
OG0000388	Syan.g_02970	Praf.g_00249
OG0000389	Syan.g_02973	Praf.g_00245
OG0000390	Syan.g_02306	Praf.g_00224
OG0000391	Syan.g_02301	Praf.g_00219
OG0000392	Syan.g_02295	Praf.g_00214
OG0000393	Syan.g_02292	Praf.g_00209
OG0000394	Syan.g_02291	Praf.g_00208
OG0000395	Syan.g_02290	Praf.g_00207
OG0000396	Syan.g_02287	Praf.g_02403
OG0000397	Syan.g_02285	Praf.g_02405
OG0000398	Syan.g_02279	Praf.g_02410
OG0000399	Syan.g_02278	Praf.g_02411
OG0000400	Syan.g_02277	Praf.g_02412
OG0000401	Syan.g_02274	Praf.g_02413
OG0000402	Syan.g_02272	Praf.g_02415
OG0000403	Syan.g_02271	Praf.g_02416
OG0000404	Syan.g_02269	Praf.g_02418
OG0000405	Syan.g_03005	Praf.g_02430
OG0000406	Syan.g_03010	Praf.g_02434
OG0000407	Syan.g_03011	Praf.g_02435
OG0000408	Syan.g_03013	Praf.g_02437
OG0000409	Syan.g_03015	Praf.g_02439
OG0000410	Syan.g_03016	Praf.g_02440
OG0000411	Syan.g_03017	Praf.g_02441
OG0000412	Syan.g_03018	Praf.g_02442
OG0000413	Syan.g_03020	Praf.g_02444
OG0000414	Syan.g_03021	Praf.g_02445
OG0000415	Syan.g_03022	Praf.g_02446
OG0000416	Syan.g_03023	Praf.g_02447
OG0000417	Syan.g_03025	Praf.g_02448
OG0000418	Syan.g_03030	Praf.g_02453
OG0000419	Syan.g_03033	Praf.g_02455
OG0000420	Syan.g_03035	Praf.g_02456
OG0000421	Syan.g_03040	Praf.g_02470
OG0000422	Syan.g_03041	Praf.g_02471
OG0000423	Syan.g_03042	Praf.g_02472
OG0000424	Syan.g_03043	Praf.g_02473
OG0000425	Syan.g_03044	Praf.g_02474
OG0000426	Syan.g_03045	Praf.g_02475
OG0000427	Syan.g_03046	Praf.g_02476
OG0000428	Syan.g_03049	Praf.g_01486
OG0000429	Syan.g_03051	Praf.g_02489
OG0000430	Syan.g_03053	Praf.g_02491
OG0000431	Syan.g_03058	Praf.g_02495
OG0000432	Syan.g_03065	Praf.g_02502
OG0000433	Syan.g_03068	Praf.g_02505
OG0000434	Syan.g_03069	Praf.g_02506
OG0000435	Syan.g_03071	Praf.g_02509
OG0000436	Syan.g_03079	Praf.g_02515
OG0000437	Syan.g_03080	Praf.g_02516
OG0000438	Syan.g_03083	Praf.g_02517
OG0000439	Syan.g_03085	Praf.g_02519
OG0000440	Syan.g_03086	Praf.g_02520
OG0000441	Syan.g_03089	Praf.g_02524
OG0000442	Syan.g_03090	Praf.g_02525
OG0000443	Syan.g_03094	Praf.g_02531
OG0000444	Syan.g_03102	Praf.g_02575
OG0000445	Syan.g_03103	Praf.g_02574
OG0000446	Syan.g_03105	Praf.g_02572
OG0000447	Syan.g_03111	Praf.g_02568
OG0000448	Syan.g_03112	Praf.g_02567
OG0000449	Syan.g_03113	Praf.g_02566
OG0000450	Syan.g_01518	Praf.g_02560
OG0000451	Syan.g_01519	Praf.g_02559
OG0000452	Syan.g_01523	Praf.g_02555
OG0000453	Syan.g_01524	Praf.g_02554
OG0000454	Syan.g_01525	Praf.g_02553
OG0000455	Syan.g_01526	Praf.g_02552
OG0000456	Syan.g_01527	Praf.g_02551
OG0000457	Syan.g_01529	Praf.g_02549
OG0000458	Syan.g_01530	Praf.g_02548
OG0000459	Syan.g_01531	Praf.g_02547
OG0000460	Syan.g_02423	Praf.g_00379
OG0000461	Syan.g_02099	Praf.g_02203
OG0000462	Syan.g_02096	Praf.g_02207
OG0000463	Syan.g_02095	Praf.g_02208
OG0000464	Syan.g_02094	Praf.g_02209
OG0000465	Syan.g_02092	Praf.g_02210
OG0000466	Syan.g_02087	Praf.g_02215
OG0000467	Syan.g_02086	Praf.g_02217
OG0000468	Syan.g_02063	Praf.g_02242
OG0000469	Syan.g_02046	Praf.g_02255
OG0000470	Syan.g_02044	Praf.g_02259
OG0000471	Syan.g_02043	Praf.g_02260
OG0000472	Syan.g_02041	Praf.g_02262
OG0000473	Syan.g_02039	Praf.g_02264
OG0000474	Syan.g_02038	Praf.g_02265
OG0000475	Syan.g_02037	Praf.g_02266
OG0000476	Syan.g_02035	Praf.g_02268
OG0000477	Syan.g_02029	Praf.g_02273
OG0000478	Syan.g_02028	Praf.g_02274
OG0000479	Syan.g_02027	Praf.g_02275
OG0000480	Syan.g_02020	Praf.g_02282
OG0000481	Syan.g_00975	Praf.g_02284
OG0000482	Syan.g_02018	Praf.g_02285
OG0000483	Syan.g_02014	Praf.g_02289
OG0000484	Syan.g_02013	Praf.g_02290
OG0000485	Syan.g_02012	Praf.g_02291
OG0000486	Syan.g_02011	Praf.g_02292
OG0000487	Syan.g_02005	Praf.g_02297
OG0000488	Syan.g_02000	Praf.g_02301
OG0000489	Syan.g_01993	Praf.g_02315
OG0000490	Syan.g_01985	Praf.g_02321
OG0000491	Syan.g_01983	Praf.g_02322
OG0000492	Syan.g_01980	Praf.g_02324
OG0000493	Syan.g_01979	Praf.g_02325
OG0000494	Syan.g_01978	Praf.g_02326
OG0000495	Syan.g_01977	Praf.g_02327
OG0000496	Syan.g_01976	Praf.g_02328
OG0000497	Syan.g_01975	Praf.g_02329
OG0000498	Syan.g_01974	Praf.g_02330
OG0000499	Syan.g_01973	Praf.g_02331
OG0000500	Syan.g_01972	Praf.g_02332
OG0000501	Syan.g_01969	Praf.g_02335
OG0000502	Syan.g_01961	Praf.g_02349
OG0000503	Syan.g_02144	Praf.g_02054
OG0000504	Syan.g_02142	Praf.g_02052
OG0000505	Syan.g_02141	Praf.g_02051
OG0000506	Syan.g_02139	Praf.g_02049
OG0000507	Syan.g_02133	Praf.g_02045
OG0000508	Syan.g_02998	Praf.g_02031
OG0000509	Syan.g_02993	Praf.g_02029
OG0000510	Syan.g_02992	Praf.g_02028
OG0000511	Syan.g_02991	Praf.g_02027
OG0000512	Syan.g_02989	Praf.g_02025
OG0000513	Syan.g_02320	Praf.g_02011
OG0000514	Syan.g_02326	Praf.g_02002
OG0000515	Syan.g_02327	Praf.g_02001
OG0000516	Syan.g_02389	Praf.g_01999
OG0000517	Syan.g_02395	Praf.g_01990
OG0000518	Syan.g_01336	Praf.g_01978
OG0000519	Syan.g_01335	Praf.g_01977
OG0000520	Syan.g_01334	Praf.g_01972
OG0000521	Syan.g_02805	Praf.g_01959
OG0000522	Syan.g_02803	Praf.g_01957
OG0000523	Syan.g_02802	Praf.g_01956
OG0000524	Syan.g_02878	Praf.g_01942
OG0000525	Syan.g_02853	Praf.g_01915
OG0000526	Syan.g_02852	Praf.g_01913
OG0000527	Syan.g_02848	Praf.g_01909
OG0000528	Syan.g_02767	Praf.g_00589
OG0000529	Syan.g_02763	Praf.g_00596
OG0000530	Syan.g_02760	Praf.g_00599
OG0000531	Syan.g_02759	Praf.g_00600
