Orthogroup	Praa	Syas
OG0000589	Praa.g_00621	Syas.g_00121
OG0000590	Praa.g_00622	Syas.g_00120
OG0000591	Praa.g_00625	Syas.g_00106
OG0000592	Praa.g_00626	Syas.g_00105
OG0000593	Praa.g_00632	Syas.g_00750
OG0000594	Praa.g_00633	Syas.g_00749
OG0000595	Praa.g_00634	Syas.g_00748
OG0000596	Praa.g_00638	Syas.g_00743
OG0000597	Praa.g_00640	Syas.g_00740
OG0000598	Praa.g_00641	Syas.g_00739
OG0000599	Praa.g_00644	Syas.g_00732
OG0000600	Praa.g_00645	Syas.g_00731
OG0000601	Praa.g_00646	Syas.g_00730
OG0000602	Praa.g_00648	Syas.g_00725
OG0000603	Praa.g_00649	Syas.g_00724
OG0000604	Praa.g_00650	Syas.g_00721
OG0000605	Praa.g_00651	Syas.g_00719
OG0000606	Praa.g_00654	Syas.g_00716
OG0000607	Praa.g_00657	Syas.g_00713
OG0000608	Praa.g_00658	Syas.g_00712
OG0000609	Praa.g_00659	Syas.g_00710
OG0000610	Praa.g_00664	Syas.g_00702
OG0000611	Praa.g_00667	Syas.g_00699
OG0000612	Praa.g_00668	Syas.g_00698
OG0000613	Praa.g_00673	Syas.g_01825
OG0000614	Praa.g_00692	Syas.g_01044
OG0000615	Praa.g_00700	Syas.g_00650
OG0000616	Praa.g_00704	Syas.g_02011
OG0000617	Praa.g_00717	Syas.g_00180
OG0000618	Praa.g_00718	Syas.g_00181
OG0000619	Praa.g_00719	Syas.g_00182
OG0000620	Praa.g_00722	Syas.g_00188
OG0000621	Praa.g_00723	Syas.g_00189
OG0000622	Praa.g_00724	Syas.g_00190
OG0000623	Praa.g_00725	Syas.g_00191
OG0000624	Praa.g_00726	Syas.g_00192
OG0000625	Praa.g_00727	Syas.g_00193
OG0000626	Praa.g_00728	Syas.g_00194
OG0000627	Praa.g_00729	Syas.g_00372
OG0000628	Praa.g_00730	Syas.g_00373
OG0000629	Praa.g_00731	Syas.g_00376
OG0000630	Praa.g_00734	Syas.g_00397
OG0000631	Praa.g_00794	Syas.g_00405
OG0000632	Praa.g_00795	Syas.g_00406
OG0000633	Praa.g_00796	Syas.g_00407
OG0000634	Praa.g_00799	Syas.g_00600
OG0000635	Praa.g_00800	Syas.g_00599
OG0000636	Praa.g_00802	Syas.g_00597
OG0000637	Praa.g_00804	Syas.g_00595
OG0000638	Praa.g_00805	Syas.g_00594
OG0000639	Praa.g_00806	Syas.g_00593
OG0000640	Praa.g_00807	Syas.g_00592
OG0000641	Praa.g_00812	Syas.g_00587
OG0000642	Praa.g_00813	Syas.g_00586
OG0000643	Praa.g_00814	Syas.g_00585
OG0000644	Praa.g_00815	Syas.g_00584
OG0000645	Praa.g_00816	Syas.g_00583
OG0000646	Praa.g_00818	Syas.g_00580
OG0000647	Praa.g_00819	Syas.g_00578
OG0000648	Praa.g_00821	Syas.g_00576
OG0000649	Praa.g_00822	Syas.g_00575
OG0000650	Praa.g_00823	Syas.g_00574
OG0000651	Praa.g_00824	Syas.g_00573
OG0000652	Praa.g_00825	Syas.g_00572
OG0000653	Praa.g_00827	Syas.g_00570
OG0000654	Praa.g_00828	Syas.g_00569
OG0000655	Praa.g_00829	Syas.g_00568
OG0000656	Praa.g_00832	Syas.g_00565
OG0000657	Praa.g_00840	Syas.g_00232
OG0000658	Praa.g_00841	Syas.g_00235
OG0000659	Praa.g_00842	Syas.g_00236
OG0000660	Praa.g_00846	Syas.g_00240
OG0000661	Praa.g_00848	Syas.g_00242
OG0000662	Praa.g_00850	Syas.g_00281
OG0000663	Praa.g_00852	Syas.g_00284
OG0000664	Praa.g_00853	Syas.g_00287
OG0000665	Praa.g_00857	Syas.g_00385
OG0000666	Praa.g_00858	Syas.g_01362
OG0000667	Praa.g_00862	Syas.g_00088
OG0000668	Praa.g_00892	Syas.g_00221
OG0000669	Praa.g_00899	Syas.g_00684
OG0000670	Praa.g_00901	Syas.g_00681
OG0000671	Praa.g_00903	Syas.g_00679
OG0000672	Praa.g_00905	Syas.g_00676
OG0000673	Praa.g_00908	Syas.g_00673
OG0000674	Praa.g_00910	Syas.g_00671
OG0000675	Praa.g_00911	Syas.g_00670
OG0000676	Praa.g_00913	Syas.g_00668
OG0000677	Praa.g_00914	Syas.g_00667
OG0000678	Praa.g_00916	Syas.g_00660
OG0000679	Praa.g_00920	Syas.g_00629
OG0000680	Praa.g_00921	Syas.g_00628
OG0000681	Praa.g_00923	Syas.g_00625
OG0000682	Praa.g_00924	Syas.g_00624
OG0000683	Praa.g_00925	Syas.g_00623
OG0000684	Praa.g_00926	Syas.g_00621
OG0000685	Praa.g_00928	Syas.g_00187
OG0000686	Praa.g_00929	Syas.g_00619
OG0000687	Praa.g_00930	Syas.g_00618
OG0000688	Praa.g_00933	Syas.g_00612
OG0000689	Praa.g_00934	Syas.g_00610
OG0000690	Praa.g_00935	Syas.g_00609
OG0000691	Praa.g_00936	Syas.g_00608
OG0000692	Praa.g_00938	Syas.g_00606
OG0000693	Praa.g_00939	Syas.g_00604
OG0000694	Praa.g_00940	Syas.g_00603
OG0000695	Praa.g_00942	Syas.g_00410
OG0000696	Praa.g_00943	Syas.g_00411
OG0000697	Praa.g_00944	Syas.g_00413
OG0000698	Praa.g_00947	Syas.g_00417
OG0000699	Praa.g_00948	Syas.g_00419
OG0000700	Praa.g_00949	Syas.g_00420
OG0000701	Praa.g_00950	Syas.g_00421
OG0000702	Praa.g_00952	Syas.g_00437
OG0000703	Praa.g_00953	Syas.g_00438
OG0000704	Praa.g_00954	Syas.g_00446
OG0000705	Praa.g_00958	Syas.g_00453
OG0000706	Praa.g_00959	Syas.g_00454
OG0000707	Praa.g_00960	Syas.g_00455
OG0000708	Praa.g_00961	Syas.g_00458
OG0000709	Praa.g_00965	Syas.g_00466
OG0000710	Praa.g_00968	Syas.g_00497
OG0000711	Praa.g_00985	Syas.g_00546
OG0000712	Praa.g_00987	Syas.g_00548
OG0000713	Praa.g_00988	Syas.g_00549
OG0000714	Praa.g_00989	Syas.g_00551
OG0000715	Praa.g_00991	Syas.g_00553
OG0000716	Praa.g_00993	Syas.g_00556
OG0000717	Praa.g_00994	Syas.g_00557
OG0000718	Praa.g_01008	Syas.g_00561
OG0000719	Praa.g_01010	Syas.g_00223
OG0000720	Praa.g_01019	Syas.g_00209
OG0000721	Praa.g_01021	Syas.g_00207
OG0000722	Praa.g_01022	Syas.g_00206
OG0000723	Praa.g_01025	Syas.g_00196
OG0000724	Praa.g_01034	Syas.g_00999
OG0000725	Praa.g_01040	Syas.g_01024
OG0000726	Praa.g_01041	Syas.g_01025
OG0000727	Praa.g_01042	Syas.g_01026
OG0000728	Praa.g_01044	Syas.g_01028
OG0000729	Praa.g_01091	Syas.g_02145
OG0000730	Praa.g_01095	Syas.g_01544
OG0000731	Praa.g_01099	Syas.g_01532
OG0000732	Praa.g_01109	Syas.g_02086
OG0000733	Praa.g_01128	Syas.g_00096
OG0000734	Praa.g_01145	Syas.g_02414
OG0000735	Praa.g_01147	Syas.g_01201
OG0000736	Praa.g_01148	Syas.g_01200
OG0000737	Praa.g_01149	Syas.g_01199
OG0000738	Praa.g_01153	Syas.g_01193
OG0000739	Praa.g_01154	Syas.g_01192
OG0000740	Praa.g_01155	Syas.g_01191
OG0000741	Praa.g_01156	Syas.g_01188
OG0000742	Praa.g_01158	Syas.g_01185
OG0000743	Praa.g_01160	Syas.g_01182
OG0000744	Praa.g_01161	Syas.g_01181
OG0000745	Praa.g_01162	Syas.g_01178
OG0000746	Praa.g_01164	Syas.g_01176
OG0000747	Praa.g_01165	Syas.g_01174
OG0000748	Praa.g_01168	Syas.g_01146
OG0000749	Praa.g_01169	Syas.g_01144
OG0000750	Praa.g_01170	Syas.g_01143
OG0000751	Praa.g_01172	Syas.g_01138
OG0000752	Praa.g_01174	Syas.g_01136
OG0000753	Praa.g_01177	Syas.g_01133
OG0000754	Praa.g_01180	Syas.g_01128
OG0000755	Praa.g_01183	Syas.g_01117
OG0000756	Praa.g_01184	Syas.g_01116
OG0000757	Praa.g_01190	Syas.g_01108
OG0000758	Praa.g_01191	Syas.g_01107
OG0000759	Praa.g_01192	Syas.g_01106
OG0000760	Praa.g_01193	Syas.g_01105
OG0000761	Praa.g_01194	Syas.g_01104
OG0000762	Praa.g_01195	Syas.g_01102
OG0000763	Praa.g_01197	Syas.g_01091
OG0000764	Praa.g_01198	Syas.g_01090
OG0000765	Praa.g_01207	Syas.g_01076
OG0000766	Praa.g_01208	Syas.g_01075
OG0000767	Praa.g_01210	Syas.g_01073
OG0000768	Praa.g_01211	Syas.g_01072
OG0000769	Praa.g_01213	Syas.g_01070
OG0000770	Praa.g_01215	Syas.g_01067
OG0000771	Praa.g_01224	Syas.g_00993
OG0000772	Praa.g_01290	Syas.g_01461
OG0000773	Praa.g_01309	Syas.g_00002
OG0000774	Praa.g_01311	Syas.g_02862
OG0000775	Praa.g_01313	Syas.g_02860
OG0000776	Praa.g_01314	Syas.g_02859
OG0000777	Praa.g_01315	Syas.g_02858
OG0000778	Praa.g_01316	Syas.g_02857
OG0000779	Praa.g_01320	Syas.g_02852
OG0000780	Praa.g_01321	Syas.g_02847
OG0000781	Praa.g_01324	Syas.g_02842
OG0000782	Praa.g_01325	Syas.g_02841
OG0000783	Praa.g_01326	Syas.g_02840
OG0000784	Praa.g_01327	Syas.g_02839
OG0000785	Praa.g_01329	Syas.g_02837
OG0000786	Praa.g_01331	Syas.g_02833
OG0000787	Praa.g_01332	Syas.g_02832
OG0000788	Praa.g_01353	Syas.g_00782
OG0000789	Praa.g_01356	Syas.g_01507
OG0000790	Praa.g_01371	Syas.g_01266
OG0000791	Praa.g_01373	Syas.g_01268
OG0000792	Praa.g_01374	Syas.g_01269
OG0000793	Praa.g_01377	Syas.g_01359
OG0000794	Praa.g_01378	Syas.g_01361
OG0000795	Praa.g_01379	Syas.g_01363
OG0000796	Praa.g_01383	Syas.g_01368
OG0000797	Praa.g_01384	Syas.g_01369
OG0000798	Praa.g_01393	Syas.g_01750
OG0000798	Praa.g_01412	Syas.g_02134
OG0000799	Praa.g_01458	Syas.g_02789
OG0000800	Praa.g_01459	Syas.g_02790
OG0000801	Praa.g_01460	Syas.g_02791
OG0000802	Praa.g_01462	Syas.g_02797
OG0000803	Praa.g_01464	Syas.g_02800
OG0000804	Praa.g_01465	Syas.g_02803
OG0000805	Praa.g_01467	Syas.g_02805
OG0000806	Praa.g_01469	Syas.g_02807
OG0000807	Praa.g_01470	Syas.g_02808
OG0000808	Praa.g_01471	Syas.g_02809
OG0000809	Praa.g_01474	Syas.g_02811
OG0000810	Praa.g_01475	Syas.g_02813
OG0000811	Praa.g_01479	Syas.g_02822
OG0000812	Praa.g_01481	Syas.g_02824
OG0000813	Praa.g_01482	Syas.g_02825
OG0000814	Praa.g_01484	Syas.g_02827
OG0000815	Praa.g_01485	Syas.g_02829
OG0000816	Praa.g_01487	Syas.g_02831
OG0000817	Praa.g_01488	Syas.g_02753
OG0000818	Praa.g_01493	Syas.g_01282
OG0000819	Praa.g_01494	Syas.g_01283
OG0000820	Praa.g_01495	Syas.g_01284
OG0000821	Praa.g_01499	Syas.g_01289
OG0000822	Praa.g_01500	Syas.g_01291
OG0000823	Praa.g_01501	Syas.g_01292
OG0000824	Praa.g_01504	Syas.g_01297
OG0000825	Praa.g_01505	Syas.g_01298
OG0000826	Praa.g_01506	Syas.g_01299
OG0000827	Praa.g_01507	Syas.g_01300
OG0000828	Praa.g_01510	Syas.g_01303
OG0000829	Praa.g_01511	Syas.g_01304
OG0000830	Praa.g_01512	Syas.g_01305
OG0000831	Praa.g_01514	Syas.g_01308
OG0000832	Praa.g_01520	Syas.g_01476
OG0000833	Praa.g_01528	Syas.g_02738
OG0000834	Praa.g_01529	Syas.g_02737
OG0000835	Praa.g_01530	Syas.g_02736
OG0000836	Praa.g_01531	Syas.g_02732
OG0000837	Praa.g_01532	Syas.g_02731
OG0000838	Praa.g_01534	Syas.g_02727
OG0000839	Praa.g_01535	Syas.g_02726
OG0000840	Praa.g_01536	Syas.g_02725
OG0000841	Praa.g_01537	Syas.g_02724
OG0000842	Praa.g_01538	Syas.g_02723
OG0000843	Praa.g_01539	Syas.g_02722
OG0000844	Praa.g_01541	Syas.g_02720
OG0000845	Praa.g_01542	Syas.g_02719
OG0000846	Praa.g_01543	Syas.g_02718
OG0000847	Praa.g_01544	Syas.g_02717
OG0000848	Praa.g_01545	Syas.g_02715
OG0000849	Praa.g_01546	Syas.g_02714
OG0000850	Praa.g_01548	Syas.g_02711
OG0000851	Praa.g_01549	Syas.g_02708
OG0000852	Praa.g_01550	Syas.g_02707
OG0000853	Praa.g_01554	Syas.g_02703
OG0000854	Praa.g_01556	Syas.g_02701
OG0000855	Praa.g_01557	Syas.g_02700
OG0000856	Praa.g_01572	Syas.g_00103
OG0000857	Praa.g_01600	Syas.g_00579
OG0000858	Praa.g_01629	Syas.g_02693
OG0000859	Praa.g_01630	Syas.g_02692
OG0000860	Praa.g_01637	Syas.g_02679
OG0000861	Praa.g_01638	Syas.g_02678
OG0000862	Praa.g_01639	Syas.g_02677
OG0000863	Praa.g_01641	Syas.g_02675
OG0000864	Praa.g_01642	Syas.g_02674
OG0000865	Praa.g_01643	Syas.g_02673
OG0000866	Praa.g_01644	Syas.g_02672
OG0000867	Praa.g_01645	Syas.g_02671
OG0000868	Praa.g_01646	Syas.g_02667
OG0000869	Praa.g_01650	Syas.g_02662
OG0000870	Praa.g_01655	Syas.g_02657
OG0000871	Praa.g_01656	Syas.g_02656
OG0000872	Praa.g_01657	Syas.g_02650
OG0000873	Praa.g_01660	Syas.g_02647
OG0000874	Praa.g_01663	Syas.g_02645
OG0000875	Praa.g_01665	Syas.g_02644
OG0000876	Praa.g_01666	Syas.g_00280
OG0000877	Praa.g_01668	Syas.g_02603
OG0000878	Praa.g_01669	Syas.g_02602
OG0000879	Praa.g_01670	Syas.g_02601
OG0000880	Praa.g_01671	Syas.g_02600
OG0000881	Praa.g_01675	Syas.g_02596
OG0000882	Praa.g_01680	Syas.g_02591
OG0000883	Praa.g_01682	Syas.g_02586
OG0000884	Praa.g_01684	Syas.g_02584
OG0000885	Praa.g_01685	Syas.g_02583
OG0000886	Praa.g_01686	Syas.g_02582
OG0000887	Praa.g_01687	Syas.g_02581
OG0000888	Praa.g_01689	Syas.g_02579
OG0000889	Praa.g_01691	Syas.g_02577
OG0000890	Praa.g_01692	Syas.g_02574
OG0000891	Praa.g_01693	Syas.g_02573
OG0000892	Praa.g_01695	Syas.g_02571
OG0000893	Praa.g_01699	Syas.g_01677
OG0000894	Praa.g_01701	Syas.g_01667
OG0000895	Praa.g_01704	Syas.g_01663
OG0000896	Praa.g_01705	Syas.g_01662
OG0000897	Praa.g_01707	Syas.g_01660
OG0000898	Praa.g_01708	Syas.g_01659
OG0000899	Praa.g_01709	Syas.g_01658
OG0000900	Praa.g_01710	Syas.g_01657
OG0000901	Praa.g_01713	Syas.g_01652
OG0000902	Praa.g_01715	Syas.g_01651
OG0000903	Praa.g_01718	Syas.g_01637
OG0000904	Praa.g_01720	Syas.g_01642
OG0000905	Praa.g_01725	Syas.g_01647
OG0000906	Praa.g_01726	Syas.g_01649
OG0000907	Praa.g_01733	Syas.g_01635
OG0000908	Praa.g_01736	Syas.g_01632
OG0000909	Praa.g_01737	Syas.g_01631
OG0000910	Praa.g_01738	Syas.g_01630
OG0000911	Praa.g_01740	Syas.g_01628
OG0000912	Praa.g_01741	Syas.g_01627
OG0000913	Praa.g_01742	Syas.g_01626
OG0000914	Praa.g_01743	Syas.g_01625
OG0000915	Praa.g_01744	Syas.g_01623
OG0000916	Praa.g_01745	Syas.g_01622
OG0000917	Praa.g_01746	Syas.g_01621
OG0000918	Praa.g_01747	Syas.g_01620
OG0000919	Praa.g_01748	Syas.g_01619
OG0000920	Praa.g_01749	Syas.g_01618
OG0000921	Praa.g_01750	Syas.g_01617
OG0000922	Praa.g_01751	Syas.g_01616
OG0000923	Praa.g_01755	Syas.g_01612
OG0000924	Praa.g_01756	Syas.g_01611
OG0000925	Praa.g_01757	Syas.g_01610
OG0000926	Praa.g_01758	Syas.g_01609
OG0000927	Praa.g_01760	Syas.g_01607
OG0000928	Praa.g_01761	Syas.g_01606
OG0000929	Praa.g_01762	Syas.g_01605
OG0000930	Praa.g_01763	Syas.g_01604
OG0000931	Praa.g_01764	Syas.g_01603
OG0000932	Praa.g_01765	Syas.g_01602
OG0000933	Praa.g_01769	Syas.g_01596
OG0000934	Praa.g_01771	Syas.g_01594
OG0000935	Praa.g_01772	Syas.g_01593
OG0000936	Praa.g_01773	Syas.g_01592
OG0000937	Praa.g_01774	Syas.g_01591
OG0000938	Praa.g_01776	Syas.g_01588
OG0000939	Praa.g_01777	Syas.g_01587
OG0000940	Praa.g_01784	Syas.g_01580
OG0000941	Praa.g_01786	Syas.g_01578
OG0000942	Praa.g_01788	Syas.g_01576
OG0000943	Praa.g_01789	Syas.g_01575
OG0000944	Praa.g_01790	Syas.g_01573
OG0000945	Praa.g_01791	Syas.g_01572
OG0000946	Praa.g_01796	Syas.g_01565
OG0000947	Praa.g_01798	Syas.g_01562
OG0000948	Praa.g_01799	Syas.g_01561
OG0000949	Praa.g_01802	Syas.g_02213
OG0000950	Praa.g_01807	Syas.g_02197
OG0000951	Praa.g_01811	Syas.g_02190
OG0000952	Praa.g_01815	Syas.g_02186
OG0000953	Praa.g_01818	Syas.g_02182
OG0000954	Praa.g_01822	Syas.g_02174
OG0000955	Praa.g_01823	Syas.g_02173
OG0000956	Praa.g_01825	Syas.g_02171
OG0000957	Praa.g_01830	Syas.g_02158
OG0000958	Praa.g_01831	Syas.g_02157
OG0000959	Praa.g_01835	Syas.g_02154
OG0000960	Praa.g_01836	Syas.g_02153
OG0000961	Praa.g_01838	Syas.g_02345
OG0000962	Praa.g_01840	Syas.g_02146
OG0000963	Praa.g_01844	Syas.g_02143
OG0000964	Praa.g_01845	Syas.g_02142
OG0000965	Praa.g_01846	Syas.g_02141
OG0000966	Praa.g_01853	Syas.g_02112
OG0000967	Praa.g_01858	Syas.g_02108
OG0000968	Praa.g_01860	Syas.g_02106
OG0000969	Praa.g_01861	Syas.g_02104
OG0000970	Praa.g_01862	Syas.g_02103
OG0000971	Praa.g_01863	Syas.g_02101
OG0000972	Praa.g_01864	Syas.g_02100
OG0000973	Praa.g_01865	Syas.g_02099
OG0000974	Praa.g_01866	Syas.g_02098
OG0000975	Praa.g_01867	Syas.g_02097
OG0000976	Praa.g_01868	Syas.g_02096
OG0000977	Praa.g_01869	Syas.g_02094
OG0000978	Praa.g_01870	Syas.g_02093
OG0000979	Praa.g_01873	Syas.g_02090
OG0000980	Praa.g_01875	Syas.g_02087
OG0000981	Praa.g_01877	Syas.g_02084
OG0000982	Praa.g_01879	Syas.g_01882
OG0000983	Praa.g_01880	Syas.g_01883
OG0000984	Praa.g_01881	Syas.g_01884
OG0000985	Praa.g_01884	Syas.g_01888
OG0000986	Praa.g_01886	Syas.g_01891
OG0000987	Praa.g_01887	Syas.g_01897
OG0000988	Praa.g_01890	Syas.g_01902
OG0000989	Praa.g_01893	Syas.g_01908
OG0000990	Praa.g_01896	Syas.g_01937
OG0000991	Praa.g_01897	Syas.g_01939
OG0000992	Praa.g_01899	Syas.g_01943
OG0000993	Praa.g_01900	Syas.g_01945
OG0000994	Praa.g_01901	Syas.g_01948
OG0000995	Praa.g_01905	Syas.g_01955
OG0000996	Praa.g_01906	Syas.g_01977
OG0000997	Praa.g_01907	Syas.g_01993
OG0000998	Praa.g_01909	Syas.g_01995
OG0000999	Praa.g_01910	Syas.g_01996
OG0001000	Praa.g_01913	Syas.g_02000
OG0001001	Praa.g_01915	Syas.g_02006
OG0001002	Praa.g_01919	Syas.g_02014
OG0001003	Praa.g_01920	Syas.g_02016
OG0001004	Praa.g_01921	Syas.g_02017
OG0001005	Praa.g_01922	Syas.g_02018
OG0001006	Praa.g_01926	Syas.g_02032
OG0001007	Praa.g_01928	Syas.g_02034
OG0001009	Praa.g_00027	Syas.g_02065
OG0001010	Praa.g_00028	Syas.g_02066
OG0001011	Praa.g_00029	Syas.g_02068
OG0001012	Praa.g_00043	Syas.g_00152
OG0001013	Praa.g_00048	Syas.g_01866
OG0001014	Praa.g_00051	Syas.g_01857
OG0001015	Praa.g_00052	Syas.g_01856
OG0001016	Praa.g_00073	Syas.g_02517
OG0001017	Praa.g_00077	Syas.g_02511
OG0001018	Praa.g_00080	Syas.g_02509
OG0001019	Praa.g_00089	Syas.g_02469
OG0001020	Praa.g_00090	Syas.g_02443
OG0001021	Praa.g_00091	Syas.g_02437
OG0001022	Praa.g_00094	Syas.g_02434
OG0001023	Praa.g_00095	Syas.g_02433
OG0001024	Praa.g_00098	Syas.g_00135
OG0001025	Praa.g_00104	Syas.g_02424
OG0001026	Praa.g_00111	Syas.g_02412
OG0001027	Praa.g_00112	Syas.g_02408
OG0001028	Praa.g_00114	Syas.g_02405
OG0001029	Praa.g_00115	Syas.g_02403
OG0001030	Praa.g_00130	Syas.g_02384
OG0001031	Praa.g_00186	Syas.g_02293
OG0001032	Praa.g_00187	Syas.g_02290
OG0001033	Praa.g_00208	Syas.g_02239
OG0001034	Praa.g_00236	Syas.g_02556
OG0001035	Praa.g_00254	Syas.g_01704
OG0001036	Praa.g_00259	Syas.g_01709
OG0001037	Praa.g_00260	Syas.g_01711
OG0001038	Praa.g_00278	Syas.g_01751
OG0001039	Praa.g_00281	Syas.g_01754
OG0001041	Praa.g_00287	Syas.g_01761
OG0001042	Praa.g_00304	Syas.g_01821
OG0001043	Praa.g_00305	Syas.g_01817
OG0001044	Praa.g_00333	Syas.g_01542
OG0001045	Praa.g_00341	Syas.g_01529
OG0001046	Praa.g_00378	Syas.g_00532
OG0001047	Praa.g_00438	Syas.g_01494
OG0001048	Praa.g_00439	Syas.g_01493
OG0001049	Praa.g_00441	Syas.g_02742
OG0001050	Praa.g_00442	Syas.g_02743
OG0001051	Praa.g_00443	Syas.g_02744
OG0001052	Praa.g_00471	Syas.g_01337
OG0001053	Praa.g_00483	Syas.g_01250
OG0001054	Praa.g_00498	Syas.g_01231
OG0001055	Praa.g_00517	Syas.g_01210
OG0001056	Praa.g_00536	Syas.g_00068
OG0001057	Praa.g_00541	Syas.g_00763
OG0001058	Praa.g_00550	Syas.g_00787
OG0001059	Praa.g_00554	Syas.g_00791
OG0001060	Praa.g_00561	Syas.g_00797
OG0001061	Praa.g_00574	Syas.g_00816
OG0001062	Praa.g_00576	Syas.g_00819
OG0001063	Praa.g_00578	Syas.g_00830
OG0001064	Praa.g_00579	Syas.g_00831
OG0001065	Praa.g_00580	Syas.g_00832
OG0001066	Praa.g_00581	Syas.g_00833
OG0001067	Praa.g_00582	Syas.g_00834
OG0001068	Praa.g_00583	Syas.g_00835
OG0001069	Praa.g_00584	Syas.g_00836
OG0001070	Praa.g_00587	Syas.g_00840
OG0001071	Praa.g_00588	Syas.g_00841
OG0001072	Praa.g_00590	Syas.g_00844
OG0001073	Praa.g_00604	Syas.g_00855
OG0001074	Praa.g_00615	Syas.g_00157
OG0001075	Praa.g_00616	Syas.g_00163
OG0001076	Praa.g_00624	Syas.g_00113
OG0001077	Praa.g_00628	Syas.g_00101
OG0001078	Praa.g_00636	Syas.g_00745
OG0001079	Praa.g_00647	Syas.g_00729
OG0001080	Praa.g_00653	Syas.g_00717
OG0001081	Praa.g_00655	Syas.g_00715
OG0001082	Praa.g_00656	Syas.g_00714
OG0001083	Praa.g_00661	Syas.g_00707
OG0001084	Praa.g_00662	Syas.g_00706
OG0001085	Praa.g_00670	Syas.g_00693
OG0001086	Praa.g_00671	Syas.g_00691
OG0001087	Praa.g_00688	Syas.g_00071
OG0001088	Praa.g_00689	Syas.g_01060
OG0001089	Praa.g_00697	Syas.g_01039
OG0001090	Praa.g_00712	Syas.g_00980
OG0001091	Praa.g_00714	Syas.g_00979
OG0001092	Praa.g_00715	Syas.g_00178
OG0001093	Praa.g_00720	Syas.g_00184
OG0001095	Praa.g_00817	Syas.g_00582
OG0001097	Praa.g_00849	Syas.g_00243
OG0001098	Praa.g_00864	Syas.g_00880
OG0001099	Praa.g_00896	Syas.g_02404
OG0001100	Praa.g_00900	Syas.g_00682
OG0001101	Praa.g_00902	Syas.g_00680
OG0001102	Praa.g_00904	Syas.g_00677
OG0001103	Praa.g_00906	Syas.g_00675
OG0001104	Praa.g_00927	Syas.g_00620
OG0001105	Praa.g_00931	Syas.g_00617
OG0001106	Praa.g_00955	Syas.g_00447
OG0001107	Praa.g_00962	Syas.g_00459
OG0001108	Praa.g_00966	Syas.g_00494
OG0001109	Praa.g_00967	Syas.g_00496
OG0001110	Praa.g_00969	Syas.g_00498
OG0001111	Praa.g_00970	Syas.g_00500
OG0001112	Praa.g_00971	Syas.g_00503
OG0001113	Praa.g_00972	Syas.g_00504
OG0001114	Praa.g_00973	Syas.g_00505
OG0001115	Praa.g_00975	Syas.g_00527
OG0001116	Praa.g_00976	Syas.g_00529
OG0001117	Praa.g_00977	Syas.g_00530
OG0001118	Praa.g_00978	Syas.g_00531
OG0001119	Praa.g_00979	Syas.g_00533
OG0001120	Praa.g_00981	Syas.g_00539
OG0001122	Praa.g_01011	Syas.g_00222
OG0001123	Praa.g_01015	Syas.g_00214
OG0001124	Praa.g_01017	Syas.g_00212
OG0001125	Praa.g_01018	Syas.g_00210
OG0001126	Praa.g_01028	Syas.g_00991
OG0001127	Praa.g_01029	Syas.g_00992
OG0001128	Praa.g_01031	Syas.g_00995
OG0001129	Praa.g_01032	Syas.g_00997
OG0001130	Praa.g_01033	Syas.g_00998
OG0001131	Praa.g_01070	Syas.g_01401
OG0001132	Praa.g_01080	Syas.g_00525
OG0001133	Praa.g_01115	Syas.g_00109
OG0001136	Praa.g_01157	Syas.g_01187
OG0001138	Praa.g_01185	Syas.g_01114
OG0001139	Praa.g_01186	Syas.g_01112
OG0001140	Praa.g_01187	Syas.g_01111
OG0001141	Praa.g_01188	Syas.g_01110
OG0001142	Praa.g_01189	Syas.g_01109
OG0001143	Praa.g_01196	Syas.g_01092
OG0001144	Praa.g_01201	Syas.g_01084
OG0001145	Praa.g_01310	Syas.g_02867
OG0001146	Praa.g_01322	Syas.g_02846
OG0001147	Praa.g_01352	Syas.g_01329
OG0001148	Praa.g_01368	Syas.g_01263
OG0001149	Praa.g_01369	Syas.g_01264
OG0001150	Praa.g_01370	Syas.g_01265
OG0001151	Praa.g_01381	Syas.g_01366
OG0001152	Praa.g_01382	Syas.g_01367
OG0001153	Praa.g_01508	Syas.g_01301
OG0001154	Praa.g_01509	Syas.g_01302
OG0001155	Praa.g_01521	Syas.g_01478
OG0001156	Praa.g_01524	Syas.g_01489
OG0001157	Praa.g_01525	Syas.g_01490
OG0001158	Praa.g_01526	Syas.g_01491
OG0001159	Praa.g_01527	Syas.g_01492
OG0001160	Praa.g_01552	Syas.g_02705
OG0001161	Praa.g_01565	Syas.g_02030
OG0001162	Praa.g_01576	Syas.g_02473
OG0001163	Praa.g_01627	Syas.g_02697
OG0001164	Praa.g_01631	Syas.g_02691
OG0001165	Praa.g_01634	Syas.g_02686
OG0001166	Praa.g_01654	Syas.g_02658
OG0001167	Praa.g_01672	Syas.g_01046
OG0001168	Praa.g_01674	Syas.g_02597
OG0001169	Praa.g_01676	Syas.g_02595
OG0001170	Praa.g_01678	Syas.g_02593
OG0001171	Praa.g_01688	Syas.g_02580
OG0001172	Praa.g_01702	Syas.g_01665
OG0001173	Praa.g_01703	Syas.g_01664
OG0001174	Praa.g_01711	Syas.g_01656
OG0001175	Praa.g_01712	Syas.g_01655
OG0001176	Praa.g_01719	Syas.g_01638
OG0001177	Praa.g_01722	Syas.g_01640
