Orthogroup	Praa	Syas
OG0000198	Praa.g_00163	Syas.g_02335
OG0000199	Praa.g_00170	Syas.g_02327
OG0000200	Praa.g_00184	Syas.g_02298
OG0000201	Praa.g_00192	Syas.g_02279
OG0000202	Praa.g_00193	Syas.g_02278
OG0000203	Praa.g_00194	Syas.g_02277
OG0000204	Praa.g_00195	Syas.g_02276
OG0000205	Praa.g_00202	Syas.g_02267
OG0000206	Praa.g_00207	Syas.g_02240
OG0000207	Praa.g_00209	Syas.g_02237
OG0000208	Praa.g_00210	Syas.g_02236
OG0000209	Praa.g_00219	Syas.g_01837
OG0000210	Praa.g_00220	Syas.g_01838
OG0000211	Praa.g_00233	Syas.g_02552
OG0000212	Praa.g_00240	Syas.g_02562
OG0000213	Praa.g_00257	Syas.g_01707
OG0000214	Praa.g_00267	Syas.g_01730
OG0000215	Praa.g_00292	Syas.g_01766
OG0000216	Praa.g_00294	Syas.g_01770
OG0000217	Praa.g_00297	Syas.g_01778
OG0000218	Praa.g_00299	Syas.g_01780
OG0000219	Praa.g_00300	Syas.g_01783
OG0000220	Praa.g_00301	Syas.g_01784
OG0000221	Praa.g_00302	Syas.g_01785
OG0000222	Praa.g_00310	Syas.g_01804
OG0000223	Praa.g_00323	Syas.g_02221
OG0000224	Praa.g_00325	Syas.g_02215
OG0000225	Praa.g_00345	Syas.g_01522
OG0000226	Praa.g_00349	Syas.g_01518
OG0000227	Praa.g_00351	Syas.g_01516
OG0000228	Praa.g_00354	Syas.g_01513
OG0000229	Praa.g_00436	Syas.g_01497
OG0000230	Praa.g_00437	Syas.g_01495
OG0000231	Praa.g_00448	Syas.g_02749
OG0000232	Praa.g_00457	Syas.g_01276
OG0000233	Praa.g_00463	Syas.g_01352
OG0000234	Praa.g_00476	Syas.g_01331
OG0000235	Praa.g_00479	Syas.g_01254
OG0000236	Praa.g_00493	Syas.g_01237
OG0000237	Praa.g_00506	Syas.g_01220
OG0000238	Praa.g_00512	Syas.g_01215
OG0000239	Praa.g_00525	Syas.g_00012
OG0000240	Praa.g_00526	Syas.g_00013
OG0000241	Praa.g_00530	Syas.g_00754
OG0000242	Praa.g_00532	Syas.g_00059
OG0000243	Praa.g_00544	Syas.g_00777
OG0000244	Praa.g_00547	Syas.g_00784
OG0000245	Praa.g_00549	Syas.g_00786
OG0000246	Praa.g_00553	Syas.g_00790
OG0000247	Praa.g_00563	Syas.g_00802
OG0000248	Praa.g_00565	Syas.g_00805
OG0000249	Praa.g_00567	Syas.g_00807
OG0000250	Praa.g_00572	Syas.g_00814
OG0000251	Praa.g_00591	Syas.g_00845
OG0000252	Praa.g_00594	Syas.g_00950
OG0000253	Praa.g_00595	Syas.g_00846
OG0000254	Praa.g_00611	Syas.g_00869
OG0000255	Praa.g_00617	Syas.g_00132, Syas.g_01062
OG0000256	Praa.g_00627	Syas.g_00104
OG0000257	Praa.g_00630	Syas.g_00757
OG0000258	Praa.g_00643	Syas.g_00733
OG0000259	Praa.g_00660	Syas.g_01006, Syas.g_00708
OG0000260	Praa.g_00663	Syas.g_00705
OG0000261	Praa.g_00665	Syas.g_00701
OG0000262	Praa.g_00669	Syas.g_00695
OG0000263	Praa.g_00681	Syas.g_01103
OG0000264	Praa.g_00691	Syas.g_02588
OG0000266	Praa.g_00721	Syas.g_00186
OG0000267	Praa.g_00732	Syas.g_00377
OG0000268	Praa.g_00733	Syas.g_00390
OG0000269	Praa.g_00798	Syas.g_00601
OG0000270	Praa.g_00801	Syas.g_00598
OG0000271	Praa.g_00809	Syas.g_00590
OG0000272	Praa.g_00810, Praa.g_00811	Syas.g_00589
OG0000273	Praa.g_00834	Syas.g_00563
OG0000274	Praa.g_00835	Syas.g_00562
OG0000275	Praa.g_00838	Syas.g_00230
