Orthogroup	Praz	Prai
OG0000248	Praz.g_01764	Prai.g_00593
OG0000249	Praz.g_01762	Prai.g_00595
OG0000250	Praz.g_01757	Prai.g_00600
OG0000251	Praz.g_01739	Prai.g_00619
OG0000252	Praz.g_01736	Prai.g_00622
OG0000253	Praz.g_01735	Prai.g_00623
OG0000254	Praz.g_01719	Prai.g_00639
OG0000255	Praz.g_01713	Prai.g_00645
OG0000256	Praz.g_01703	Prai.g_00656
OG0000257	Praz.g_01700	Prai.g_00659
OG0000258	Praz.g_01687	Prai.g_00672
OG0000259	Praz.g_01670	Prai.g_00689
OG0000260	Praz.g_01667	Prai.g_00692
OG0000261	Praz.g_01665	Prai.g_00694
OG0000262	Praz.g_01661	Prai.g_00698
OG0000263	Praz.g_01649	Prai.g_00710
OG0000264	Praz.g_01639	Prai.g_00720
OG0000265	Praz.g_01607	Prai.g_00748
OG0000266	Praz.g_01597	Prai.g_00758
OG0000267	Praz.g_01586	Prai.g_00769
OG0000268	Praz.g_01585	Prai.g_00770
OG0000269	Praz.g_01517	Prai.g_00853
OG0000270	Praz.g_01514	Prai.g_00850
OG0000271	Praz.g_01506	Prai.g_00842
OG0000272	Praz.g_01505	Prai.g_00840, Prai.g_00841
OG0000273	Praz.g_01482	Prai.g_00817
OG0000274	Praz.g_01481	Prai.g_00816
OG0000275	Praz.g_01478	Prai.g_00741, Prai.g_00813
OG0000276	Praz.g_01473	Prai.g_00808
OG0000277	Praz.g_01472	Prai.g_00807
OG0000278	Praz.g_01469	Prai.g_00804
OG0000279	Praz.g_01462	Prai.g_00797
OG0000280	Praz.g_01461	Prai.g_00796
OG0000281	Praz.g_01456	Prai.g_00791
OG0000282	Praz.g_01406	Prai.g_01044
OG0000283	Praz.g_01373	Prai.g_01012
OG0000284	Praz.g_01368	Prai.g_01007
OG0000285	Praz.g_01363	Prai.g_01002
OG0000286	Praz.g_01351	Prai.g_00990
OG0000287	Praz.g_01334	Prai.g_00973
OG0000288	Praz.g_01304	Prai.g_00944
OG0000289	Praz.g_01292	Prai.g_00934
OG0000290	Praz.g_01279, Praz.g_00063	Prai.g_00921
OG0000291	Praz.g_00065	Prai.g_00919
OG0000292	Praz.g_00114	Prai.g_01107
OG0000293	Praz.g_00001	Prai.g_01163
OG0000294	Praz.g_00763	Prai.g_01164
OG0000295	Praz.g_00742	Prai.g_01183
OG0000296	Praz.g_00740	Prai.g_01185
OG0000297	Praz.g_00732	Prai.g_01193
OG0000298	Praz.g_00731	Prai.g_01194
OG0000299	Praz.g_00714	Prai.g_01213
OG0000300	Praz.g_00711	Prai.g_01216
OG0000301	Praz.g_00710	Prai.g_01217
OG0000302	Praz.g_00708	Prai.g_01219
OG0000303	Praz.g_00701	Prai.g_01226
OG0000304	Praz.g_00697	Prai.g_01230
OG0000305	Praz.g_01147	Prai.g_01362
OG0000306	Praz.g_01144	Prai.g_01365
OG0000307	Praz.g_01130	Prai.g_01379
OG0000308	Praz.g_01129	Prai.g_01380
OG0000309	Praz.g_01125	Prai.g_01384
OG0000310	Praz.g_01056	Prai.g_01448
OG0000311	Praz.g_01054	Prai.g_01450
OG0000312	Praz.g_01051	Prai.g_01453
OG0000313	Praz.g_01037	Prai.g_01467
OG0000314	Praz.g_01014	Prai.g_01489
OG0000315	Praz.g_01004	Prai.g_01499
OG0000316	Praz.g_00984	Prai.g_01519
OG0000317	Praz.g_00879	Prai.g_01636
OG0000318	Praz.g_00876	Prai.g_01639
OG0000319	Praz.g_00863	Prai.g_01652
OG0000320	Praz.g_00861	Prai.g_01654
OG0000321	Praz.g_00860	Prai.g_01655
