Orthogroup	Syal	Prai
OG0000391	Syal.g_00840	Prai.g_00116
OG0000392	Syal.g_00846	Prai.g_00120
OG0000393	Syal.g_00849	Prai.g_00122
OG0000394	Syal.g_00850	Prai.g_00123
OG0000395	Syal.g_00851	Prai.g_00124
OG0000396	Syal.g_00854	Prai.g_00127
OG0000397	Syal.g_00857	Prai.g_00129
OG0000398	Syal.g_00862	Prai.g_00131
OG0000399	Syal.g_00863	Prai.g_00132
OG0000400	Syal.g_00864	Prai.g_00133
OG0000401	Syal.g_00865	Prai.g_00134
OG0000402	Syal.g_00867	Prai.g_00136
OG0000403	Syal.g_00868	Prai.g_00137
OG0000404	Syal.g_00870	Prai.g_00138
OG0000405	Syal.g_00883	Prai.g_00142
OG0000406	Syal.g_00888	Prai.g_00158
OG0000407	Syal.g_00889	Prai.g_00159
OG0000408	Syal.g_00891	Prai.g_00161
OG0000409	Syal.g_00893	Prai.g_00163
OG0000410	Syal.g_00894	Prai.g_00164
OG0000411	Syal.g_00895	Prai.g_00165
OG0000412	Syal.g_00896	Prai.g_00166
OG0000413	Syal.g_00898	Prai.g_00167
OG0000414	Syal.g_00899	Prai.g_01288, Prai.g_00168
OG0000415	Syal.g_00900	Prai.g_00169
OG0000416	Syal.g_00901	Prai.g_00170
OG0000417	Syal.g_00902	Prai.g_00171
OG0000418	Syal.g_00907	Prai.g_00176
OG0000419	Syal.g_00909	Prai.g_00178
OG0000420	Syal.g_00911	Prai.g_00179
OG0000421	Syal.g_00916	Prai.g_00184
OG0000422	Syal.g_00917	Prai.g_00185
OG0000423	Syal.g_00918	Prai.g_00186
OG0000424	Syal.g_00919	Prai.g_00187
OG0000425	Syal.g_00920	Prai.g_00188
OG0000426	Syal.g_00921	Prai.g_00189
OG0000427	Syal.g_00922	Prai.g_00190
OG0000428	Syal.g_00925	Prai.g_00192
OG0000429	Syal.g_00929	Prai.g_00193
OG0000430	Syal.g_00931	Prai.g_00194
OG0000431	Syal.g_00934	Prai.g_00196
OG0000432	Syal.g_00940	Prai.g_00199
OG0000433	Syal.g_00943	Prai.g_00200
OG0000434	Syal.g_00944	Prai.g_00201
OG0000435	Syal.g_00946	Prai.g_00202
OG0000436	Syal.g_00953	Prai.g_00207
OG0000437	Syal.g_00954	Prai.g_00208
OG0000438	Syal.g_00955	Prai.g_00209
OG0000439	Syal.g_00957	Prai.g_00211
OG0000440	Syal.g_00958	Prai.g_00212
OG0000441	Syal.g_00962	Prai.g_00215
OG0000442	Syal.g_00964	Prai.g_00216
OG0000443	Syal.g_00966	Prai.g_00217
OG0000444	Syal.g_00978	Prai.g_00222
OG0000445	Syal.g_00979	Prai.g_00223
OG0000446	Syal.g_00981	Prai.g_00224
OG0000447	Syal.g_00989	Prai.g_00225
OG0000448	Syal.g_00990	Prai.g_00226
OG0000449	Syal.g_00991	Prai.g_00227
OG0000450	Syal.g_00997	Prai.g_00228
OG0000451	Syal.g_00998	Prai.g_00229
OG0000452	Syal.g_01002	Prai.g_00232
OG0000453	Syal.g_01003	Prai.g_00233
OG0000454	Syal.g_01004	Prai.g_00234
OG0000455	Syal.g_01005	Prai.g_00235
OG0000456	Syal.g_01006	Prai.g_00236
OG0000457	Syal.g_01008	Prai.g_00237
OG0000458	Syal.g_01009	Prai.g_00238
OG0000459	Syal.g_01010	Prai.g_00239
OG0000460	Syal.g_00686	Prai.g_00246
OG0000461	Syal.g_01199	Prai.g_00255
OG0000462	Syal.g_01202	Prai.g_00257
OG0000463	Syal.g_01203	Prai.g_00258
OG0000464	Syal.g_01204	Prai.g_00259
OG0000465	Syal.g_01205	Prai.g_00260
