Orthogroup	Syal	Prae
OG0000585	Syal.g_02731	Prae.g_00586
OG0000586	Syal.g_02730	Prae.g_00587
OG0000587	Syal.g_02728	Prae.g_00588
OG0000588	Syal.g_02717	Prae.g_00592
OG0000589	Syal.g_02714	Prae.g_00595
OG0000590	Syal.g_02713	Prae.g_00596
OG0000591	Syal.g_02707	Prae.g_00599
OG0000592	Syal.g_02706	Prae.g_00600
OG0000593	Syal.g_02640	Prae.g_00606
OG0000594	Syal.g_02639	Prae.g_00607
OG0000595	Syal.g_02638	Prae.g_00608
OG0000596	Syal.g_02633	Prae.g_00612
OG0000597	Syal.g_02630	Prae.g_00614
OG0000598	Syal.g_02629	Prae.g_00615
OG0000599	Syal.g_02622	Prae.g_00618
OG0000600	Syal.g_02621	Prae.g_00619
OG0000601	Syal.g_02620	Prae.g_00620
OG0000602	Syal.g_02615	Prae.g_00622
OG0000603	Syal.g_02614	Prae.g_00623
OG0000604	Syal.g_02612	Prae.g_00624
OG0000605	Syal.g_02516	Prae.g_00625
OG0000606	Syal.g_02174	Prae.g_00628
OG0000607	Syal.g_02177	Prae.g_00631
OG0000608	Syal.g_02178	Prae.g_00632
OG0000609	Syal.g_02180	Prae.g_00633
OG0000610	Syal.g_02198	Prae.g_00638
OG0000611	Syal.g_02201	Prae.g_00641
OG0000612	Syal.g_02202	Prae.g_00642
OG0000613	Syal.g_01325	Prae.g_00647
OG0000614	Syal.g_01794	Prae.g_00666
OG0000615	Syal.g_02256	Prae.g_00674
OG0000616	Syal.g_00079	Prae.g_00678
OG0000617	Syal.g_01866	Prae.g_00717
OG0000618	Syal.g_01867	Prae.g_00718
OG0000619	Syal.g_02417	Prae.g_00719
OG0000620	Syal.g_02422	Prae.g_00722
OG0000621	Syal.g_02423	Prae.g_00723
OG0000622	Syal.g_02424	Prae.g_00724
OG0000623	Syal.g_02425	Prae.g_00725
OG0000624	Syal.g_02427	Prae.g_00726
OG0000625	Syal.g_02428	Prae.g_00727
OG0000626	Syal.g_02429	Prae.g_00728
OG0000627	Syal.g_02048	Prae.g_00729
OG0000628	Syal.g_02047	Prae.g_00730
OG0000629	Syal.g_02044	Prae.g_00731
OG0000630	Syal.g_02040	Prae.g_00734
OG0000631	Syal.g_02031	Prae.g_00797
OG0000632	Syal.g_02030	Prae.g_00798
OG0000633	Syal.g_02029	Prae.g_00799
OG0000634	Syal.g_02410	Prae.g_00802
OG0000635	Syal.g_02411	Prae.g_00803
OG0000636	Syal.g_02413	Prae.g_00805
OG0000637	Syal.g_02415	Prae.g_00807
OG0000638	Syal.g_02416	Prae.g_00808
OG0000639	Syal.g_01868	Prae.g_00809
OG0000640	Syal.g_01869	Prae.g_00810
OG0000641	Syal.g_01873	Prae.g_00814
OG0000642	Syal.g_01874	Prae.g_00815
OG0000643	Syal.g_01875	Prae.g_00816
OG0000644	Syal.g_01876	Prae.g_00817
OG0000645	Syal.g_01878	Prae.g_00818
OG0000646	Syal.g_01881	Prae.g_00820
OG0000647	Syal.g_01883	Prae.g_00821
OG0000648	Syal.g_02438	Prae.g_00823
OG0000649	Syal.g_02439	Prae.g_00824
OG0000650	Syal.g_02440	Prae.g_00825
OG0000651	Syal.g_02441	Prae.g_00826
OG0000652	Syal.g_02442	Prae.g_00827
OG0000653	Syal.g_02444	Prae.g_00829
OG0000654	Syal.g_02445	Prae.g_00830
OG0000655	Syal.g_02446	Prae.g_00831
OG0000656	Syal.g_02449	Prae.g_00834
OG0000657	Syal.g_02460	Prae.g_00841
OG0000658	Syal.g_02465	Prae.g_00842
OG0000659	Syal.g_02466	Prae.g_00843
OG0000660	Syal.g_02470	Prae.g_00847
OG0000661	Syal.g_02472	Prae.g_00849
OG0000662	Syal.g_02474	Prae.g_00851
OG0000663	Syal.g_02477	Prae.g_00853
OG0000664	Syal.g_02478	Prae.g_00854
OG0000665	Syal.g_02593	Prae.g_00858
OG0000666	Syal.g_02605	Prae.g_00859
OG0000667	Syal.g_02192	Prae.g_00863
OG0000668	Syal.g_01920	Prae.g_00892
OG0000669	Syal.g_02295	Prae.g_00900
OG0000670	Syal.g_02956	Prae.g_00902
OG0000671	Syal.g_02291	Prae.g_00904
OG0000672	Syal.g_02288	Prae.g_00906
OG0000673	Syal.g_02285	Prae.g_00909
OG0000674	Syal.g_02283	Prae.g_00911
OG0000675	Syal.g_02282	Prae.g_00912
OG0000676	Syal.g_02272	Prae.g_00914
OG0000677	Syal.g_02271	Prae.g_00915
OG0000678	Syal.g_02264	Prae.g_00917
OG0000679	Syal.g_02252	Prae.g_00921
OG0000680	Syal.g_02251	Prae.g_00922
OG0000681	Syal.g_02248	Prae.g_00924
OG0000682	Syal.g_02247	Prae.g_00925
OG0000683	Syal.g_02246	Prae.g_00926
OG0000684	Syal.g_02242	Prae.g_00927
OG0000685	Syal.g_02240	Prae.g_00929
OG0000686	Syal.g_02239	Prae.g_00930
OG0000687	Syal.g_02237	Prae.g_00931
OG0000688	Syal.g_02225	Prae.g_00934
OG0000689	Syal.g_02223	Prae.g_00935
OG0000690	Syal.g_02222	Prae.g_00936
OG0000691	Syal.g_02221	Prae.g_00937
OG0000692	Syal.g_02220	Prae.g_00938
OG0000693	Syal.g_02218	Prae.g_00939
OG0000694	Syal.g_02217	Prae.g_00940
OG0000695	Syal.g_02027	Prae.g_00942
OG0000696	Syal.g_02026	Prae.g_00943
OG0000697	Syal.g_02025	Prae.g_00944
OG0000698	Syal.g_02022	Prae.g_00947
OG0000699	Syal.g_02021	Prae.g_00948
OG0000700	Syal.g_02020	Prae.g_00949
OG0000701	Syal.g_02019	Prae.g_00950
OG0000702	Syal.g_02011	Prae.g_00952
OG0000703	Syal.g_02010	Prae.g_00953
OG0000704	Syal.g_02008	Prae.g_00954
OG0000705	Syal.g_01999	Prae.g_00958
OG0000706	Syal.g_01998	Prae.g_00959
OG0000707	Syal.g_01997	Prae.g_00960
OG0000708	Syal.g_01994	Prae.g_00961
OG0000709	Syal.g_01986	Prae.g_00965
OG0000710	Syal.g_01982	Prae.g_00968
OG0000711	Syal.g_01954	Prae.g_00985
OG0000712	Syal.g_01952	Prae.g_00987
OG0000713	Syal.g_01951	Prae.g_00988
OG0000714	Syal.g_01948	Prae.g_00989
OG0000715	Syal.g_01934	Prae.g_00991
OG0000716	Syal.g_01930	Prae.g_00993
OG0000717	Syal.g_01929	Prae.g_00994
OG0000718	Syal.g_01925	Prae.g_01009
OG0000719	Syal.g_01922	Prae.g_01011
OG0000720	Syal.g_01908	Prae.g_01020
OG0000721	Syal.g_01906	Prae.g_01022
OG0000722	Syal.g_01905	Prae.g_01023
OG0000723	Syal.g_02433	Prae.g_01026
OG0000724	Syal.g_01829	Prae.g_01035
OG0000725	Syal.g_01820	Prae.g_01041
OG0000726	Syal.g_01819	Prae.g_01042
OG0000727	Syal.g_01818	Prae.g_01043
OG0000728	Syal.g_01816	Prae.g_01045
OG0000729	Syal.g_01510	Prae.g_01092
OG0000730	Syal.g_00345	Prae.g_01096
OG0000731	Syal.g_00356	Prae.g_01100
OG0000732	Syal.g_00149	Prae.g_01109
OG0000733	Syal.g_01105	Prae.g_01131
OG0000734	Syal.g_00828	Prae.g_01148
OG0000735	Syal.g_01627	Prae.g_01150
OG0000736	Syal.g_01628	Prae.g_01151
OG0000737	Syal.g_01629	Prae.g_01152
OG0000738	Syal.g_01634	Prae.g_01156
OG0000739	Syal.g_01645	Prae.g_01157
OG0000740	Syal.g_01646	Prae.g_01158
OG0000741	Syal.g_01649	Prae.g_01159
OG0000742	Syal.g_01652	Prae.g_01162
OG0000743	Syal.g_01654	Prae.g_01164
OG0000744	Syal.g_01655	Prae.g_01165
OG0000745	Syal.g_01657	Prae.g_01166
OG0000746	Syal.g_01659	Prae.g_01168
OG0000747	Syal.g_01660	Prae.g_01169
OG0000748	Syal.g_01674	Prae.g_01172
OG0000749	Syal.g_01675	Prae.g_01173
OG0000750	Syal.g_01676	Prae.g_01174
OG0000751	Syal.g_01688	Prae.g_01176
OG0000752	Syal.g_01690	Prae.g_01178
OG0000753	Syal.g_01693	Prae.g_01181
OG0000754	Syal.g_01698	Prae.g_01184
OG0000755	Syal.g_01707	Prae.g_01187
OG0000756	Syal.g_01708	Prae.g_01188
OG0000757	Syal.g_01715	Prae.g_01194
OG0000758	Syal.g_01716	Prae.g_01195
OG0000759	Syal.g_01717	Prae.g_01196
OG0000760	Syal.g_01718	Prae.g_01197
OG0000761	Syal.g_01719	Prae.g_01198
OG0000762	Syal.g_01721	Prae.g_01199
OG0000763	Syal.g_01723	Prae.g_01201
OG0000764	Syal.g_01724	Prae.g_01202
OG0000765	Syal.g_01768	Prae.g_01211
OG0000766	Syal.g_01767	Prae.g_01212
OG0000767	Syal.g_01765	Prae.g_01214
OG0000768	Syal.g_01764	Prae.g_01215
OG0000769	Syal.g_01762	Prae.g_01217
OG0000770	Syal.g_01758	Prae.g_01219
OG0000771	Syal.g_01835	Prae.g_01434
OG0000772	Syal.g_01641	Prae.g_01293
OG0000773	Syal.g_01618	Prae.g_01319
OG0000774	Syal.g_01610	Prae.g_01321
OG0000775	Syal.g_01608	Prae.g_01324
OG0000776	Syal.g_01607	Prae.g_01325
OG0000777	Syal.g_01606	Prae.g_01326
OG0000778	Syal.g_01605	Prae.g_01327
OG0000779	Syal.g_01599	Prae.g_01331
OG0000780	Syal.g_01594	Prae.g_01332
OG0000781	Syal.g_01590	Prae.g_01335
OG0000782	Syal.g_01589	Prae.g_01336
OG0000783	Syal.g_01588	Prae.g_01337
OG0000784	Syal.g_01587	Prae.g_01338
OG0000785	Syal.g_01585	Prae.g_01340
OG0000786	Syal.g_01579	Prae.g_01342
OG0000787	Syal.g_01578	Prae.g_01343
OG0000788	Syal.g_02619	Prae.g_01355
OG0000789	Syal.g_02598	Prae.g_01358
OG0000790	Syal.g_02883	Prae.g_01373
OG0000791	Syal.g_02882	Prae.g_01375
OG0000792	Syal.g_02881	Prae.g_01376
OG0000793	Syal.g_02876	Prae.g_01379
OG0000794	Syal.g_02875	Prae.g_01380
OG0000795	Syal.g_02874	Prae.g_01381
OG0000796	Syal.g_02870	Prae.g_01385
OG0000797	Syal.g_02869	Prae.g_01386
OG0000798	Syal.g_01260, Syal.g_01372	Prae.g_01420
OG0000799	Syal.g_01547	Prae.g_01441
OG0000800	Syal.g_01542	Prae.g_01442
OG0000801	Syal.g_01541	Prae.g_01443
OG0000802	Syal.g_01536	Prae.g_01445
OG0000803	Syal.g_00040	Prae.g_01447
OG0000804	Syal.g_00036	Prae.g_01448
OG0000805	Syal.g_00030	Prae.g_01450
OG0000806	Syal.g_00028	Prae.g_01452
OG0000807	Syal.g_00026	Prae.g_01453
OG0000808	Syal.g_00025	Prae.g_01454
OG0000809	Syal.g_00022	Prae.g_01457
OG0000810	Syal.g_00021	Prae.g_01458
OG0000811	Syal.g_00380	Prae.g_01462
OG0000812	Syal.g_00382	Prae.g_01464
OG0000813	Syal.g_00383	Prae.g_01465
OG0000814	Syal.g_00385	Prae.g_01467
OG0000815	Syal.g_00391	Prae.g_01468
OG0000816	Syal.g_00393	Prae.g_01470
OG0000817	Syal.g_00394	Prae.g_01471
OG0000818	Syal.g_00401	Prae.g_01476
OG0000819	Syal.g_00402	Prae.g_01477
OG0000820	Syal.g_00403	Prae.g_01478
OG0000821	Syal.g_00409	Prae.g_01482
OG0000822	Syal.g_00411	Prae.g_01483
OG0000823	Syal.g_00412	Prae.g_01484
OG0000824	Syal.g_00417	Prae.g_01487
OG0000825	Syal.g_00418	Prae.g_01488
OG0000826	Syal.g_00419	Prae.g_01489
OG0000827	Syal.g_00420	Prae.g_01490
OG0000828	Syal.g_00423	Prae.g_01493
OG0000829	Syal.g_00424	Prae.g_01494
OG0000830	Syal.g_00425	Prae.g_01495
OG0000831	Syal.g_00427	Prae.g_01497
OG0000832	Syal.g_02967	Prae.g_01503
OG0000833	Syal.g_02976	Prae.g_01511
OG0000834	Syal.g_02979	Prae.g_01512
OG0000835	Syal.g_02980	Prae.g_01513
OG0000836	Syal.g_02983	Prae.g_01514
OG0000837	Syal.g_02984	Prae.g_01515
OG0000838	Syal.g_02988	Prae.g_01517
OG0000839	Syal.g_02989	Prae.g_01518
OG0000840	Syal.g_02990	Prae.g_01519
OG0000841	Syal.g_02991	Prae.g_01520
OG0000842	Syal.g_02992	Prae.g_01521
OG0000843	Syal.g_02993	Prae.g_01522
OG0000844	Syal.g_02995	Prae.g_01523
OG0000845	Syal.g_02996	Prae.g_01524
OG0000846	Syal.g_02997	Prae.g_01525
OG0000847	Syal.g_02998	Prae.g_01526
OG0000848	Syal.g_03000	Prae.g_01527
OG0000849	Syal.g_03001	Prae.g_01528
OG0000850	Syal.g_03008	Prae.g_01530
OG0000851	Syal.g_00561	Prae.g_01531
OG0000852	Syal.g_00562	Prae.g_01532
OG0000853	Syal.g_00566	Prae.g_01536
OG0000854	Syal.g_00568	Prae.g_01538
OG0000855	Syal.g_00569	Prae.g_01539
OG0000856	Syal.g_02704	Prae.g_01554
OG0000857	Syal.g_01882	Prae.g_01582
OG0000858	Syal.g_00576	Prae.g_01617
OG0000859	Syal.g_00577	Prae.g_01618
OG0000860	Syal.g_00589	Prae.g_01625
OG0000861	Syal.g_00590	Prae.g_01626
OG0000862	Syal.g_00591	Prae.g_01627
OG0000863	Syal.g_00594	Prae.g_01629
OG0000864	Syal.g_00595	Prae.g_01630
OG0000865	Syal.g_00596	Prae.g_01631
OG0000866	Syal.g_00597	Prae.g_01632
OG0000867	Syal.g_00598	Prae.g_01633
OG0000868	Syal.g_00604	Prae.g_01634
OG0000869	Syal.g_00609	Prae.g_01638
OG0000870	Syal.g_00614	Prae.g_01643
OG0000871	Syal.g_00615	Prae.g_01644
OG0000872	Syal.g_00621	Prae.g_01645
OG0000873	Syal.g_00624	Prae.g_01648
OG0000874	Syal.g_00627	Prae.g_01651
OG0000875	Syal.g_00629	Prae.g_01652
OG0000876	Syal.g_00631	Prae.g_01653
OG0000877	Syal.g_00633	Prae.g_01655
OG0000878	Syal.g_00634	Prae.g_01656
OG0000879	Syal.g_00635	Prae.g_01657
OG0000880	Syal.g_00636	Prae.g_01658
OG0000881	Syal.g_00641	Prae.g_01662
OG0000882	Syal.g_00646	Prae.g_01667
OG0000883	Syal.g_00648	Prae.g_01668
OG0000884	Syal.g_00650	Prae.g_01670
OG0000885	Syal.g_00651	Prae.g_01671
OG0000886	Syal.g_00652	Prae.g_01672
OG0000887	Syal.g_00653	Prae.g_01673
OG0000888	Syal.g_00655	Prae.g_01675
OG0000889	Syal.g_00657	Prae.g_01677
OG0000890	Syal.g_00663	Prae.g_01678
OG0000891	Syal.g_00664	Prae.g_01679
OG0000892	Syal.g_00668	Prae.g_01681
OG0000893	Syal.g_00193	Prae.g_01686
OG0000894	Syal.g_00196	Prae.g_01688
OG0000895	Syal.g_00200	Prae.g_01691
OG0000896	Syal.g_00201	Prae.g_01692
OG0000897	Syal.g_00203	Prae.g_01694
OG0000898	Syal.g_00204	Prae.g_01695
OG0000899	Syal.g_00205	Prae.g_01696
OG0000900	Syal.g_00206	Prae.g_01697
OG0000901	Syal.g_00211	Prae.g_01700
OG0000902	Syal.g_00213	Prae.g_01702
OG0000903	Syal.g_00227	Prae.g_01705
OG0000904	Syal.g_00222	Prae.g_01707
OG0000905	Syal.g_00217	Prae.g_01712
OG0000906	Syal.g_00215	Prae.g_01713
OG0000907	Syal.g_00229	Prae.g_01716
OG0000908	Syal.g_00232	Prae.g_01719
OG0000909	Syal.g_00233	Prae.g_01720
OG0000910	Syal.g_00234	Prae.g_01721
OG0000911	Syal.g_00237	Prae.g_01723
OG0000912	Syal.g_00238	Prae.g_01724
OG0000913	Syal.g_00239	Prae.g_01725
OG0000914	Syal.g_00240	Prae.g_01726
OG0000915	Syal.g_00241	Prae.g_01727
OG0000916	Syal.g_00242	Prae.g_01728
OG0000917	Syal.g_00243	Prae.g_01729
OG0000918	Syal.g_00244	Prae.g_01730
OG0000919	Syal.g_00245	Prae.g_01731
OG0000920	Syal.g_00246	Prae.g_01732
OG0000921	Syal.g_00247	Prae.g_01733
OG0000922	Syal.g_00248	Prae.g_01734
OG0000923	Syal.g_00252	Prae.g_01738
OG0000924	Syal.g_00253	Prae.g_01739
OG0000925	Syal.g_00254	Prae.g_01740
OG0000926	Syal.g_00255	Prae.g_01741
OG0000927	Syal.g_00257	Prae.g_01743
OG0000928	Syal.g_00258	Prae.g_01744
OG0000929	Syal.g_00259	Prae.g_01745
OG0000930	Syal.g_00260	Prae.g_01746
OG0000931	Syal.g_00261	Prae.g_01747
OG0000932	Syal.g_00262	Prae.g_01748
OG0000933	Syal.g_00268	Prae.g_01752
OG0000934	Syal.g_00270	Prae.g_01754
OG0000935	Syal.g_00271	Prae.g_01755
OG0000936	Syal.g_00272	Prae.g_01756
OG0000937	Syal.g_00273	Prae.g_01757
OG0000938	Syal.g_00276	Prae.g_01759
OG0000939	Syal.g_00277	Prae.g_01760
OG0000940	Syal.g_00285	Prae.g_01768
OG0000941	Syal.g_00287	Prae.g_01770
OG0000942	Syal.g_00289	Prae.g_01772
OG0000943	Syal.g_00290	Prae.g_01773
OG0000944	Syal.g_00292	Prae.g_01774
OG0000945	Syal.g_00294	Prae.g_01775
OG0000946	Syal.g_00301	Prae.g_01779
OG0000947	Syal.g_00304	Prae.g_01781
OG0000948	Syal.g_00305	Prae.g_01782
OG0000949	Syal.g_01341	Prae.g_01785
OG0000950	Syal.g_01348	Prae.g_01790
OG0000951	Syal.g_01353	Prae.g_01794
OG0000952	Syal.g_01363	Prae.g_01798
OG0000953	Syal.g_01435	Prae.g_01801
OG0000954	Syal.g_01443	Prae.g_01805
OG0000955	Syal.g_01444	Prae.g_01806
OG0000956	Syal.g_01446	Prae.g_01808
OG0000957	Syal.g_01457	Prae.g_01813
OG0000958	Syal.g_01458	Prae.g_01814
OG0000959	Syal.g_01482	Prae.g_01818
OG0000960	Syal.g_01483	Prae.g_01819
OG0000961	Syal.g_01507	Prae.g_01821
OG0000962	Syal.g_01509	Prae.g_01823
OG0000963	Syal.g_01514	Prae.g_01827
OG0000964	Syal.g_01515	Prae.g_01828
OG0000965	Syal.g_01516	Prae.g_01829
OG0000966	Syal.g_00176	Prae.g_01836
OG0000967	Syal.g_00171	Prae.g_01840
OG0000968	Syal.g_00169	Prae.g_01842
OG0000969	Syal.g_00167	Prae.g_01843
OG0000970	Syal.g_00166	Prae.g_01844
OG0000971	Syal.g_00164	Prae.g_01845
OG0000972	Syal.g_00163	Prae.g_01846
OG0000973	Syal.g_00162	Prae.g_01847
OG0000974	Syal.g_00161	Prae.g_01848
OG0000975	Syal.g_00160	Prae.g_01849
OG0000976	Syal.g_00159	Prae.g_01850
OG0000977	Syal.g_00157	Prae.g_01851
OG0000978	Syal.g_00156	Prae.g_01852
OG0000979	Syal.g_00153	Prae.g_01855
OG0000980	Syal.g_00150	Prae.g_01857
OG0000981	Syal.g_00147	Prae.g_01859
OG0000982	Syal.g_01068	Prae.g_01861
OG0000983	Syal.g_01069	Prae.g_01862
OG0000984	Syal.g_01070	Prae.g_01863
OG0000985	Syal.g_01074	Prae.g_01866
OG0000986	Syal.g_01076	Prae.g_01868
OG0000987	Syal.g_01080	Prae.g_01869
OG0000988	Syal.g_01086	Prae.g_01872
OG0000989	Syal.g_01098	Prae.g_01876
OG0000990	Syal.g_01118	Prae.g_01879
OG0000991	Syal.g_01120	Prae.g_01880
OG0000992	Syal.g_01122	Prae.g_01882
OG0000993	Syal.g_01123	Prae.g_01883
OG0000994	Syal.g_01127	Prae.g_01884
OG0000995	Syal.g_01132	Prae.g_01888
OG0000996	Syal.g_01162	Prae.g_01889
OG0000997	Syal.g_01171	Prae.g_01890
OG0000998	Syal.g_01173	Prae.g_01892
OG0000999	Syal.g_01174	Prae.g_01893
OG0001000	Syal.g_01177	Prae.g_01896
OG0001001	Syal.g_01182	Prae.g_01898
OG0001002	Syal.g_00082	Prae.g_01902
OG0001003	Syal.g_00084	Prae.g_01903
OG0001004	Syal.g_00085	Prae.g_01904
OG0001005	Syal.g_00087	Prae.g_01905
OG0001006	Syal.g_00094	Prae.g_01909
OG0001007	Syal.g_00096	Prae.g_01911
OG0001008	Syal.g_00524	Prae.g_00411
OG0001009	Syal.g_00129	Prae.g_00027
OG0001010	Syal.g_00130	Prae.g_00028
OG0001011	Syal.g_00131	Prae.g_00029
OG0001012	Syal.g_01064	Prae.g_00045
OG0001013	Syal.g_01026	Prae.g_00050
OG0001014	Syal.g_01022	Prae.g_00053
OG0001015	Syal.g_01021	Prae.g_00054
OG0001016	Syal.g_00756	Prae.g_00073
OG0001017	Syal.g_00762	Prae.g_00077
OG0001018	Syal.g_00764	Prae.g_00080
OG0001019	Syal.g_00785	Prae.g_00089
OG0001020	Syal.g_00796	Prae.g_00090
OG0001021	Syal.g_00800	Prae.g_00091
OG0001022	Syal.g_00805	Prae.g_00094
OG0001023	Syal.g_00806	Prae.g_00095
OG0001024	Syal.g_00810	Prae.g_00098
OG0001025	Syal.g_00817	Prae.g_00104
OG0001026	Syal.g_00830	Prae.g_00110
OG0001027	Syal.g_00834	Prae.g_00111
OG0001028	Syal.g_00836	Prae.g_00113
OG0001029	Syal.g_00838	Prae.g_00115
OG0001030	Syal.g_00860	Prae.g_00130
OG0001031	Syal.g_00936	Prae.g_00189
OG0001032	Syal.g_00938	Prae.g_00190
OG0001033	Syal.g_00972	Prae.g_00211
OG0001034	Syal.g_00684	Prae.g_00239
OG0001035	Syal.g_01226	Prae.g_00257
OG0001036	Syal.g_01231	Prae.g_00262
OG0001037	Syal.g_01233	Prae.g_00263
OG0001038	Syal.g_01261	Prae.g_00279
OG0001039	Syal.g_01264	Prae.g_00282
OG0001040	Syal.g_01267	Prae.g_00284
OG0001041	Syal.g_01272	Prae.g_00288
OG0001042	Syal.g_01300	Prae.g_00305
OG0001043	Syal.g_01304	Prae.g_00306
OG0001044	Syal.g_00346	Prae.g_00334
OG0001045	Syal.g_00359	Prae.g_00342
OG0001046	Syal.g_01967	Prae.g_00379
OG0001047	Syal.g_00522	Prae.g_00413
OG0001048	Syal.g_00521	Prae.g_00414
OG0001049	Syal.g_00518	Prae.g_00416
OG0001050	Syal.g_00517	Prae.g_00417
OG0001051	Syal.g_00516	Prae.g_00418
OG0001052	Syal.g_00467	Prae.g_00445
OG0001053	Syal.g_02900	Prae.g_00457
OG0001054	Syal.g_02919	Prae.g_00472
OG0001055	Syal.g_02940	Prae.g_00491
OG0001056	Syal.g_02833	Prae.g_00511
OG0001057	Syal.g_01574	Prae.g_00516
OG0001058	Syal.g_02812	Prae.g_00524
OG0001059	Syal.g_02808	Prae.g_00528
OG0001060	Syal.g_02801	Prae.g_00535
OG0001061	Syal.g_02783	Prae.g_00548
OG0001062	Syal.g_02781	Prae.g_00550
OG0001063	Syal.g_02776	Prae.g_00552
OG0001064	Syal.g_02775	Prae.g_00553
OG0001065	Syal.g_02774	Prae.g_00554
OG0001066	Syal.g_02773	Prae.g_00555
OG0001067	Syal.g_02772	Prae.g_00556
OG0001068	Syal.g_02771	Prae.g_00557
OG0001069	Syal.g_02770	Prae.g_00558
OG0001070	Syal.g_02766	Prae.g_00561
OG0001071	Syal.g_02765	Prae.g_00562
OG0001072	Syal.g_02761	Prae.g_00564
OG0001073	Syal.g_02746	Prae.g_00578
OG0001074	Syal.g_02575	Prae.g_00589
OG0001075	Syal.g_02726	Prae.g_00590
OG0001076	Syal.g_02712	Prae.g_00598
OG0001077	Syal.g_02702	Prae.g_00602
OG0001078	Syal.g_02635	Prae.g_00610
OG0001079	Syal.g_02618	Prae.g_00621
OG0001080	Syal.g_02514	Prae.g_00627
OG0001081	Syal.g_02175	Prae.g_00629
OG0001082	Syal.g_02176	Prae.g_00630
OG0001083	Syal.g_02184	Prae.g_00635
OG0001084	Syal.g_02187	Prae.g_00636
OG0001085	Syal.g_02206	Prae.g_00644
OG0001086	Syal.g_02208	Prae.g_00645
OG0001087	Syal.g_01782	Prae.g_00662
OG0001088	Syal.g_01785	Prae.g_00663
OG0001089	Syal.g_01811	Prae.g_00671
OG0001090	Syal.g_01859	Prae.g_00712
OG0001091	Syal.g_01862	Prae.g_00714
OG0001092	Syal.g_01864	Prae.g_00715
OG0001093	Syal.g_02419	Prae.g_00720
OG0001094	Syal.g_02216	Prae.g_00800
OG0001095	Syal.g_01879	Prae.g_00819
OG0001096	Syal.g_02447	Prae.g_00832
OG0001097	Syal.g_02473	Prae.g_00850
OG0001098	Syal.g_02083	Prae.g_00865
OG0001099	Syal.g_00837	Prae.g_00897
OG0001100	Syal.g_02293	Prae.g_00901
OG0001101	Syal.g_02292	Prae.g_00903
OG0001102	Syal.g_02289	Prae.g_00905
OG0001103	Syal.g_02287	Prae.g_00907
OG0001104	Syal.g_02241	Prae.g_00928
OG0001105	Syal.g_02236	Prae.g_00932
OG0001106	Syal.g_02007	Prae.g_00955
OG0001107	Syal.g_01993	Prae.g_00962
OG0001108	Syal.g_01985	Prae.g_00966
OG0001109	Syal.g_01983	Prae.g_00967
OG0001110	Syal.g_01981	Prae.g_00969
OG0001111	Syal.g_01979	Prae.g_00970
OG0001112	Syal.g_01977	Prae.g_00971
OG0001113	Syal.g_02244	Prae.g_00972
OG0001114	Syal.g_01976	Prae.g_00973
OG0001115	Syal.g_01972	Prae.g_00975
OG0001116	Syal.g_01970	Prae.g_00976
OG0001117	Syal.g_01969	Prae.g_00977
OG0001118	Syal.g_01968	Prae.g_00978
OG0001119	Syal.g_01966	Prae.g_00979
OG0001120	Syal.g_01962	Prae.g_00981
OG0001121	Syal.g_02960	Prae.g_01128, Prae.g_00984
OG0001122	Syal.g_01921	Prae.g_01012
OG0001123	Syal.g_01913	Prae.g_01016
OG0001124	Syal.g_01911	Prae.g_01018
OG0001125	Syal.g_01909	Prae.g_01019
OG0001126	Syal.g_01837	Prae.g_01029
OG0001127	Syal.g_01836	Prae.g_01030
OG0001128	Syal.g_01833	Prae.g_01032
OG0001129	Syal.g_01831	Prae.g_01033
OG0001130	Syal.g_01830	Prae.g_01034
OG0001131	Syal.g_02260	Prae.g_01072
OG0001132	Syal.g_02553	Prae.g_01081
OG0001133	Syal.g_02710	Prae.g_01115
OG0001134	Syal.g_02506	Prae.g_01130
OG0001135	Syal.g_02505	Prae.g_01133
OG0001136	Syal.g_01650	Prae.g_01160
OG0001137	Syal.g_01673	Prae.g_01171
OG0001138	Syal.g_01709	Prae.g_01189
OG0001139	Syal.g_01711	Prae.g_01190
OG0001140	Syal.g_01712	Prae.g_01191
OG0001141	Syal.g_01713	Prae.g_01192
OG0001142	Syal.g_01714	Prae.g_01193
OG0001143	Syal.g_01722	Prae.g_01200
OG0001144	Syal.g_01736	Prae.g_01205
OG0001145	Syal.g_01614	Prae.g_01320
OG0001146	Syal.g_01593	Prae.g_01333
OG0001147	Syal.g_00458	Prae.g_01354
OG0001148	Syal.g_02886	Prae.g_01370
OG0001149	Syal.g_02885	Prae.g_01371
OG0001150	Syal.g_02884	Prae.g_01372
OG0001151	Syal.g_02872	Prae.g_01383
OG0001152	Syal.g_02871	Prae.g_01384
OG0001153	Syal.g_00421	Prae.g_01491
OG0001154	Syal.g_00422	Prae.g_01492
OG0001155	Syal.g_02969	Prae.g_01504
OG0001156	Syal.g_02972	Prae.g_01507
OG0001157	Syal.g_02973	Prae.g_01508
OG0001158	Syal.g_02974	Prae.g_01509
OG0001159	Syal.g_02975	Prae.g_01510
OG0001160	Syal.g_00564	Prae.g_01534
OG0001161	Syal.g_01104	Prae.g_01547
OG0001162	Syal.g_01577	Prae.g_01558
OG0001163	Syal.g_00573	Prae.g_01615
OG0001164	Syal.g_00579	Prae.g_01619
OG0001165	Syal.g_00584	Prae.g_01622
