Orthogroup	Syal	Prae
OG0000273	Syal.g_02454	Prae.g_00836
OG0000274	Syal.g_02455	Prae.g_00837
OG0000275	Syal.g_02458	Prae.g_00839
OG0000276	Syal.g_02467	Prae.g_00844
OG0000277	Syal.g_02468	Prae.g_00845
OG0000278	Syal.g_02471	Prae.g_00848
OG0000279	Syal.g_02479	Prae.g_00855
OG0000280	Syal.g_02493	Prae.g_00856
OG0000281	Syal.g_02190	Prae.g_00861
OG0000282	Syal.g_02284	Prae.g_00910
OG0000283	Syal.g_02028, Syal.g_02131	Prae.g_00941
OG0000284	Syal.g_02023	Prae.g_00946
OG0000285	Syal.g_02012	Prae.g_00951
OG0000286	Syal.g_01992	Prae.g_00963
OG0000287	Syal.g_01965	Prae.g_00980
OG0000288	Syal.g_01919	Prae.g_01013
OG0000289	Syal.g_01904	Prae.g_01024
OG0000290	Syal.g_01826	Prae.g_01037
OG0000291	Syal.g_01824	Prae.g_01039
OG0000292	Syal.g_00089	Prae.g_01090
OG0000293	Syal.g_01631	Prae.g_01154
OG0000294	Syal.g_01632	Prae.g_01155
OG0000295	Syal.g_01687	Prae.g_01175
OG0000296	Syal.g_01689	Prae.g_01177
OG0000297	Syal.g_01702	Prae.g_01185
OG0000298	Syal.g_01703	Prae.g_01186
OG0000299	Syal.g_01732	Prae.g_01203
OG0000300	Syal.g_01738	Prae.g_01206
OG0000301	Syal.g_01739	Prae.g_01207
OG0000302	Syal.g_01740	Prae.g_01209
OG0000303	Syal.g_01763	Prae.g_01216
OG0000304	Syal.g_01756	Prae.g_01220
OG0000305	Syal.g_01821	Prae.g_01360
OG0000306	Syal.g_02579	Prae.g_01363
OG0000307	Syal.g_02880	Prae.g_01377
OG0000308	Syal.g_02878	Prae.g_01378
OG0000309	Syal.g_02873	Prae.g_01382
OG0000310	Syal.g_01537	Prae.g_01444
OG0000311	Syal.g_00061	Prae.g_01446
OG0000312	Syal.g_00031	Prae.g_01449
OG0000313	Syal.g_00381	Prae.g_01463
OG0000314	Syal.g_00416	Prae.g_01486
OG0000315	Syal.g_00426	Prae.g_01496
OG0000316	Syal.g_02987	Prae.g_01516
OG0000317	Syal.g_00583	Prae.g_01621
OG0000318	Syal.g_00588	Prae.g_01624
OG0000319	Syal.g_00608	Prae.g_01637
OG0000320	Syal.g_00610	Prae.g_01639
OG0000321	Syal.g_00611	Prae.g_01640
OG0000322	Syal.g_00612	Prae.g_01641
OG0000323	Syal.g_00626	Prae.g_01650
OG0000324	Syal.g_00656	Prae.g_01676
OG0000325	Syal.g_00195	Prae.g_01687
OG0000326	Syal.g_00202	Prae.g_01693
OG0000327	Syal.g_00230	Prae.g_01717
OG0000328	Syal.g_00231	Prae.g_01718
OG0000329	Syal.g_00249	Prae.g_01735
OG0000330	Syal.g_00250	Prae.g_01736
OG0000331	Syal.g_00251	Prae.g_01737
OG0000332	Syal.g_00266	Prae.g_01751
OG0000333	Syal.g_00269	Prae.g_01753
OG0000334	Syal.g_00279	Prae.g_01761
OG0000335	Syal.g_00284	Prae.g_01767
OG0000336	Syal.g_00288	Prae.g_01771
OG0000337	Syal.g_01343	Prae.g_01787
OG0000338	Syal.g_01345	Prae.g_01788
OG0000339	Syal.g_01351	Prae.g_01792
