Orthogroup	Prbd	Pram
OG0000057	Prbd.g_00546	Pram.g_00792
OG0000058	Prbd.g_01733	Pram.g_01447
OG0000059	Prbd.g_01439	Pram.g_01719
OG0000061	Prbd.g_00468	Pram.g_01140
OG0000062	Prbd.g_01610	Pram.g_01293
OG0000065	Prbd.g_01137	Pram.g_00091
OG0000066	Prbd.g_00703	Pram.g_01558
OG0000067	Prbd.g_00102	Pram.g_00809
OG0000068	Prbd.g_01764	Pram.g_01468
OG0000069	Prbd.g_01575	Pram.g_00391
OG0000070	Prbd.g_00792	Pram.g_00385
OG0000071	Prbd.g_01801	Pram.g_01230
OG0000072	Prbd.g_01069	Pram.g_00156
OG0000073	Prbd.g_00743	Pram.g_01426, Pram.g_00437
OG0000074	Prbd.g_00562	Pram.g_00772, Pram.g_00715, Pram.g_00684
OG0000075	Prbd.g_01359	Pram.g_01807
OG0000076	Prbd.g_01335	Pram.g_01833
OG0000077	Prbd.g_01166	Pram.g_00063
OG0000078	Prbd.g_01000	Pram.g_00227
OG0000079	Prbd.g_00987	Pram.g_00240
OG0000080	Prbd.g_01731	Pram.g_01408
OG0000081	Prbd.g_00711	Pram.g_00469
OG0000082	Prbd.g_00658	Pram.g_01559
OG0000084	Prbd.g_01693	Pram.g_01384
OG0000085	Prbd.g_01532	Pram.g_01265
OG0000086	Prbd.g_01156	Pram.g_00072
OG0000087	Prbd.g_01104, Prbd.g_01103	Pram.g_00125
OG0000088	Prbd.g_01074	Pram.g_00151
OG0000089	Prbd.g_00883	Pram.g_00352
OG0000090	Prbd.g_00709	Pram.g_00471
OG0000091	Prbd.g_00602	Pram.g_01068
OG0000092	Prbd.g_00211	Pram.g_00739
OG0000093	Prbd.g_00232	Pram.g_01038
OG0000094	Prbd.g_00321	Pram.g_00987
OG0000095	Prbd.g_00340	Pram.g_00888
OG0000096	Prbd.g_01840, Prbd.g_00409, Prbd.g_01870	Pram.g_01505, Pram.g_00621
OG0000097	Prbd.g_00509	Pram.g_01093
OG0000098	Prbd.g_01782	Pram.g_01478
OG0000099	Prbd.g_01734	Pram.g_01445
OG0000100	Prbd.g_01614	Pram.g_01298
OG0000101	Prbd.g_01391	Pram.g_01770
OG0000102	Prbd.g_01330	Pram.g_01838
OG0000103	Prbd.g_01250	Pram.g_01925
OG0000104	Prbd.g_01241	Pram.g_01934
OG0000105	Prbd.g_00965	Pram.g_00262
OG0000106	Prbd.g_00868	Pram.g_00677
OG0000107	Prbd.g_00852	Pram.g_01696
OG0000108	Prbd.g_00762	Pram.g_00416
OG0000109	Prbd.g_00748	Pram.g_00430
OG0000110	Prbd.g_00668	Pram.g_00513
OG0000111	Prbd.g_00545	Pram.g_00793
OG0000112	Prbd.g_00066	Pram.g_00935
OG0000113	Prbd.g_00124	Pram.g_00832
OG0000114	Prbd.g_00206	Pram.g_00734
OG0000115	Prbd.g_00401	Pram.g_01201
OG0000116	Prbd.g_00458	Pram.g_01151
OG0000117	Prbd.g_01895	Pram.g_01112
OG0000118	Prbd.g_01789	Pram.g_01242
OG0000119	Prbd.g_01768	Pram.g_01283
OG0000120	Prbd.g_01737	Pram.g_01446
OG0000121	Prbd.g_01687	Pram.g_01376
OG0000122	Prbd.g_01649	Pram.g_01204, Pram.g_01334
OG0000123	Prbd.g_01384	Pram.g_01777
OG0000124	Prbd.g_01318	Pram.g_01850
OG0000125	Prbd.g_01281	Pram.g_01886
OG0000126	Prbd.g_01242	Pram.g_01933
OG0000128	Prbd.g_01226	Pram.g_01949
OG0000129	Prbd.g_01194	Pram.g_00029
OG0000130	Prbd.g_01175	Pram.g_00054
OG0000131	Prbd.g_01095	Pram.g_00130
OG0000132	Prbd.g_01076	Pram.g_00149
OG0000133	Prbd.g_00917	Pram.g_00310
OG0000134	Prbd.g_00882	Pram.g_00354
OG0000135	Prbd.g_00855	Pram.g_01589
OG0000136	Prbd.g_01722, Prbd.g_00801	Pram.g_00376
OG0000137	Prbd.g_00767	Pram.g_00411
OG0000138	Prbd.g_00747	Pram.g_00431
OG0000139	Prbd.g_00705	Pram.g_00475
OG0000140	Prbd.g_00704	Pram.g_00476
OG0000141	Prbd.g_00637	Pram.g_00545
OG0000142	Prbd.g_00609	Pram.g_01075
OG0000143	Prbd.g_00605	Pram.g_01072
OG0000144	Prbd.g_00592	Pram.g_01058
OG0000145	Prbd.g_00062	Pram.g_01534
OG0000146	Prbd.g_00067	Pram.g_00934
OG0000147	Prbd.g_00068	Pram.g_00933
