Orthogroup	Prad	Syar
OG0000097	Prad.g_01454	Syar.g_01706, Syar.g_00364
OG0000098	Prad.g_00612	Syar.g_02343
OG0000099	Prad.g_00566	Syar.g_00715
OG0000100	Prad.g_00440	Syar.g_02477
OG0000101	Prad.g_00807	Syar.g_01073, Syar.g_03154
OG0000102	Prad.g_01626	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Prad.g_01548	Syar.g_00452, Syar.g_00014
OG0000104	Prad.g_01540	Syar.g_00466
OG0000105	Prad.g_01717	Syar.g_00218
OG0000106	Prad.g_00739	Syar.g_01748
OG0000107	Prad.g_00724	Syar.g_00149
OG0000108	Prad.g_00027	Syar.g_01469
OG0000109	Prad.g_00013	Syar.g_03310, Syar.g_01485
OG0000110	Prad.g_01364	Syar.g_02295
OG0000111	Prad.g_01273	Syar.g_01940
OG0000112	Prad.g_01109	Syar.g_02548, Syar.g_03195
OG0000113	Prad.g_01168	Syar.g_02664
OG0000114	Prad.g_00245	Syar.g_01616
OG0000115	Prad.g_00641	Syar.g_02854, Syar.g_01415
OG0000116	Prad.g_01506	Syar.g_01525, Syar.g_02255
OG0000117	Prad.g_01214	Syar.g_01969
OG0000118	Prad.g_00616	Syar.g_02793
OG0000120	Prad.g_00564	Syar.g_00713
OG0000121	Prad.g_00513	Syar.g_02806
OG0000123	Prad.g_00800	Syar.g_01079
OG0000124	Prad.g_01616	Syar.g_00586
OG0000125	Prad.g_01580	Syar.g_00338
OG0000126	Prad.g_01541	Syar.g_00887, Syar.g_00888
OG0000128	Prad.g_01975	Syar.g_00482
OG0000129	Prad.g_01943	Syar.g_00324
OG0000130	Prad.g_01924	Syar.g_03040
OG0000131	Prad.g_01846	Syar.g_00078
OG0000132	Prad.g_01827	Syar.g_00099
OG0000133	Prad.g_01669	Syar.g_02543
OG0000134	Prad.g_00754	Syar.g_02009, Syar.g_01165
OG0000135	Prad.g_00727	Syar.g_00698
OG0000136	Prad.g_00066	Syar.g_02874
OG0000137	Prad.g_00032	Syar.g_01273
OG0000138	Prad.g_00012	Syar.g_01486
OG0000139	Prad.g_00092	Syar.g_03245
OG0000140	Prad.g_00091	Syar.g_02344, Syar.g_03246
OG0000141	Prad.g_01396	Syar.g_02129
OG0000142	Prad.g_01424	Syar.g_02418
OG0000143	Prad.g_01428	Syar.g_02422
OG0000144	Prad.g_01226	Syar.g_02441
OG0000145	Prad.g_01107	Syar.g_01494
OG0000146	Prad.g_01110	Syar.g_02549
OG0000147	Prad.g_01111	Syar.g_02550
OG0000148	Prad.g_01162	Syar.g_02658
OG0000149	Prad.g_00301	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Prad.g_00293	Syar.g_02130
OG0000151	Prad.g_00235	Syar.g_02038
OG0000152	Prad.g_00186	Syar.g_02539
OG0000153	Prad.g_00167	Syar.g_03283, Syar.g_02503
OG0000154	Prad.g_00139	Syar.g_01800
OG0000155	Prad.g_01476	Syar.g_01959
OG0000156	Prad.g_00359	Syar.g_01517
OG0000157	Prad.g_00360	Syar.g_01516
OG0000158	Prad.g_00567	Syar.g_00650
OG0000159	Prad.g_00563	Syar.g_02359
OG0000160	Prad.g_00514	Syar.g_02807
OG0000161	Prad.g_00508	Syar.g_02801
OG0000162	Prad.g_00502	Syar.g_02863
OG0000163	Prad.g_00467	Syar.g_01186
OG0000164	Prad.g_00917	Syar.g_03168, Syar.g_02969
OG0000165	Prad.g_00910	Syar.g_02976
OG0000166	Prad.g_00843	Syar.g_01034
OG0000167	Prad.g_00777	Syar.g_00662
OG0000168	Prad.g_00767	Syar.g_00246
OG0000169	Prad.g_01637	Syar.g_00262
OG0000170	Prad.g_01635	Syar.g_00613
OG0000171	Prad.g_01617	Syar.g_00587
OG0000172	Prad.g_01609	Syar.g_00547
OG0000173	Prad.g_01594	Syar.g_00528
OG0000174	Prad.g_01566	Syar.g_00701
OG0000175	Prad.g_01556	Syar.g_00438
OG0000176	Prad.g_01532	Syar.g_00474
OG0000177	Prad.g_01531	Syar.g_00475
OG0000178	Prad.g_01530	Syar.g_00476
OG0000179	Prad.g_01970	Syar.g_00489
OG0000180	Prad.g_01969	Syar.g_00490
OG0000181	Prad.g_01968	Syar.g_00491
OG0000182	Prad.g_01967	Syar.g_00492
OG0000183	Prad.g_01963	Syar.g_00496
OG0000184	Prad.g_01940	Syar.g_00897
OG0000185	Prad.g_01937	Syar.g_00909
OG0000186	Prad.g_01929	Syar.g_03036
OG0000187	Prad.g_01928	Syar.g_03038
OG0000188	Prad.g_01911	Syar.g_03058
OG0000189	Prad.g_01897	Syar.g_03104
OG0000190	Prad.g_01896	Syar.g_03107, Syar.g_02374
OG0000191	Prad.g_01876	Syar.g_00039
OG0000192	Prad.g_01872	Syar.g_00046
OG0000193	Prad.g_01845	Syar.g_00079
OG0000194	Prad.g_01842	Syar.g_00082, Syar.g_03236
OG0000195	Prad.g_01840	Syar.g_00023, Syar.g_00084
OG0000196	Prad.g_01830	Syar.g_00096
OG0000197	Prad.g_01829	Syar.g_00097
OG0000198	Prad.g_01828	Syar.g_00098
OG0000199	Prad.g_01821	Syar.g_00106
OG0000200	Prad.g_01807	Syar.g_00124
OG0000201	Prad.g_01799	Syar.g_01000
OG0000202	Prad.g_01798	Syar.g_00021, Syar.g_00998
OG0000203	Prad.g_01797	Syar.g_00997, Syar.g_00020
OG0000204	Prad.g_01796	Syar.g_00996
OG0000205	Prad.g_01789	Syar.g_00988
OG0000206	Prad.g_01784	Syar.g_00963
OG0000207	Prad.g_01782	Syar.g_00957
OG0000208	Prad.g_01781	Syar.g_00956
OG0000209	Prad.g_01772	Syar.g_00936, Syar.g_03261
OG0000210	Prad.g_01771	Syar.g_03260, Syar.g_00935
OG0000211	Prad.g_01758	Syar.g_03026
OG0000212	Prad.g_01751	Syar.g_03017
OG0000213	Prad.g_01734	Syar.g_00187
OG0000214	Prad.g_01724	Syar.g_00209
OG0000215	Prad.g_01699	Syar.g_00239
OG0000216	Prad.g_01697	Syar.g_00244
OG0000217	Prad.g_01694	Syar.g_00854
OG0000218	Prad.g_01692	Syar.g_00852
OG0000219	Prad.g_01691	Syar.g_00851
OG0000220	Prad.g_01690	Syar.g_00850, Syar.g_02026
OG0000221	Prad.g_01689	Syar.g_00834
OG0000222	Prad.g_01681	Syar.g_02119, Syar.g_00728
OG0000223	Prad.g_01668	Syar.g_00649
OG0000224	Prad.g_01666	Syar.g_00273
OG0000225	Prad.g_01645	Syar.g_01142
OG0000226	Prad.g_00761	Syar.g_01146
OG0000227	Prad.g_00759	Syar.g_01148
OG0000228	Prad.g_00756	Syar.g_01161
OG0000229	Prad.g_00666	Syar.g_01177, Syar.g_03273
OG0000230	Prad.g_00069	Syar.g_01179
OG0000231	Prad.g_00058	Syar.g_02865, Syar.g_03151
OG0000232	Prad.g_00049	Syar.g_01424
OG0000233	Prad.g_00043	Syar.g_03183, Syar.g_01247
OG0000234	Prad.g_00031	Syar.g_01275
OG0000235	Prad.g_00028	Syar.g_01468
OG0000236	Prad.g_00014	Syar.g_01484, Syar.g_03311
OG0000237	Prad.g_00123	Syar.g_01503
OG0000238	Prad.g_00117	Syar.g_01508
OG0000239	Prad.g_00104	Syar.g_03277, Syar.g_02687
OG0000240	Prad.g_00103	Syar.g_02686, Syar.g_03278
OG0000241	Prad.g_00099	Syar.g_02410
OG0000242	Prad.g_00097	Syar.g_01926
OG0000243	Prad.g_01333	Syar.g_02335
OG0000244	Prad.g_01336	Syar.g_02327
OG0000245	Prad.g_01338	Syar.g_02325, Syar.g_03238
OG0000246	Prad.g_01342	Syar.g_02321
OG0000247	Prad.g_01352	Syar.g_02310
OG0000248	Prad.g_01354	Syar.g_02307, Syar.g_03293
OG0000249	Prad.g_01356	Syar.g_02305
OG0000250	Prad.g_01361	Syar.g_02299
OG0000251	Prad.g_01380	Syar.g_03207, Syar.g_02194
OG0000252	Prad.g_01383	Syar.g_02189, Syar.g_03263
OG0000253	Prad.g_01384	Syar.g_02028
OG0000254	Prad.g_01400	Syar.g_02169
OG0000255	Prad.g_01406	Syar.g_02224, Syar.g_00011
OG0000256	Prad.g_01416	Syar.g_02244
OG0000257	Prad.g_01419	Syar.g_02407, Syar.g_01762
OG0000258	Prad.g_01432	Syar.g_00010, Syar.g_02427
OG0000259	Prad.g_01234	Syar.g_02472
OG0000260	Prad.g_01237	Syar.g_03220, Syar.g_02475
OG0000261	Prad.g_01239	Syar.g_01916
OG0000262	Prad.g_01243	Syar.g_01690
OG0000263	Prad.g_01255	Syar.g_01991
OG0000264	Prad.g_01265	Syar.g_02135, Syar.g_03267
OG0000266	Prad.g_01059	Syar.g_01570
OG0000267	Prad.g_01070	Syar.g_01873
OG0000268	Prad.g_01071	Syar.g_02589
OG0000269	Prad.g_01141	Syar.g_02634
OG0000270	Prad.g_01144	Syar.g_00744, Syar.g_02637
OG0000271	Prad.g_01152	Syar.g_02645
OG0000272	Prad.g_01153	Syar.g_02646
OG0000273	Prad.g_01176	Syar.g_00008
OG0000274	Prad.g_01177	Syar.g_02482, Syar.g_00009
OG0000275	Prad.g_01180	Syar.g_01810
OG0000276	Prad.g_01185	Syar.g_01817
OG0000277	Prad.g_00308	Syar.g_03242, Syar.g_01818
OG0000278	Prad.g_00305	Syar.g_01821, Syar.g_03174
OG0000279	Prad.g_00298	Syar.g_01838
OG0000280	Prad.g_00297	Syar.g_02067, Syar.g_00734
OG0000281	Prad.g_00292	Syar.g_02218
OG0000282	Prad.g_00243	Syar.g_03255, Syar.g_01614
