Orthogroup	Prad	Syat
OG0000110	Prad.g_01364	Syat.g_00049
OG0000111	Prad.g_01273	Syat.g_00816
OG0000112	Prad.g_01109	Syat.g_00593
OG0000113	Prad.g_01168	Syat.g_00509
OG0000114	Prad.g_00245	Syat.g_00426
OG0000115	Prad.g_00641	Syat.g_01328
OG0000116	Prad.g_01506	Syat.g_02641
OG0000117	Prad.g_01214	Syat.g_00224
OG0000118	Prad.g_00616	Syat.g_01168
OG0000119	Prad.g_00598	Syat.g_00309
OG0000120	Prad.g_00564	Syat.g_02132
OG0000121	Prad.g_00513	Syat.g_01223
OG0000123	Prad.g_00800	Syat.g_01653
OG0000124	Prad.g_01616	Syat.g_02231
OG0000125	Prad.g_01580	Syat.g_02684
OG0000126	Prad.g_01541	Syat.g_00976
OG0000128	Prad.g_01975	Syat.g_02331
OG0000129	Prad.g_01943	Syat.g_02693, Syat.g_02694
OG0000130	Prad.g_01924	Syat.g_01469
OG0000131	Prad.g_01846	Syat.g_02898
OG0000132	Prad.g_01827	Syat.g_02864
OG0000133	Prad.g_01669	Syat.g_00588
OG0000134	Prad.g_00754	Syat.g_02956
OG0000135	Prad.g_00727	Syat.g_02501
OG0000136	Prad.g_00066	Syat.g_01292
OG0000137	Prad.g_00032	Syat.g_01371
OG0000138	Prad.g_00012	Syat.g_03188
OG0000140	Prad.g_00091	Syat.g_03280
OG0000141	Prad.g_01396	Syat.g_03398
OG0000142	Prad.g_01424	Syat.g_00117
OG0000143	Prad.g_01428	Syat.g_00130
OG0000144	Prad.g_01226	Syat.g_00369
OG0000145	Prad.g_01107	Syat.g_03202
OG0000146	Prad.g_01110	Syat.g_00594
OG0000147	Prad.g_01111	Syat.g_00595
OG0000148	Prad.g_01162	Syat.g_00503
OG0000149	Prad.g_00301	Syat.g_00747
OG0000150	Prad.g_00293	Syat.g_03399
OG0000151	Prad.g_00235	Syat.g_00801, Syat.g_00440
OG0000152	Prad.g_00186	Syat.g_00578
OG0000153	Prad.g_00167	Syat.g_00542
OG0000154	Prad.g_00139	Syat.g_00708
OG0000155	Prad.g_01476	Syat.g_00287
OG0000156	Prad.g_00359	Syat.g_03228
OG0000157	Prad.g_00360	Syat.g_02012, Syat.g_03227
OG0000158	Prad.g_00567	Syat.g_02163
OG0000159	Prad.g_00563	Syat.g_01187
OG0000160	Prad.g_00514	Syat.g_01224
OG0000161	Prad.g_00508	Syat.g_01180
OG0000162	Prad.g_00502	Syat.g_01281
OG0000163	Prad.g_00467	Syat.g_02979
OG0000164	Prad.g_00917	Syat.g_03040
OG0000165	Prad.g_00910	Syat.g_03033
OG0000166	Prad.g_00843	Syat.g_01822
OG0000167	Prad.g_00777	Syat.g_02148
OG0000168	Prad.g_00767	Syat.g_02164
OG0000169	Prad.g_01637	Syat.g_02192
OG0000170	Prad.g_01635	Syat.g_02201
OG0000171	Prad.g_01617	Syat.g_02230
OG0000172	Prad.g_01609	Syat.g_02260
OG0000173	Prad.g_01594	Syat.g_02284
OG0000174	Prad.g_01566	Syat.g_02504
OG0000175	Prad.g_01556	Syat.g_02416
OG0000176	Prad.g_01532	Syat.g_02372
OG0000177	Prad.g_01531	Syat.g_02338
OG0000178	Prad.g_01530	Syat.g_02337
OG0000179	Prad.g_01970	Syat.g_02322
OG0000180	Prad.g_01969	Syat.g_02321
OG0000181	Prad.g_01968	Syat.g_02320
OG0000182	Prad.g_01967	Syat.g_02319
OG0000183	Prad.g_01963	Syat.g_02315
OG0000184	Prad.g_01940	Syat.g_02704
OG0000185	Prad.g_01937	Syat.g_02719
OG0000186	Prad.g_01929	Syat.g_01463
OG0000187	Prad.g_01928	Syat.g_01467
