Orthogroup	Prbf	Prbk
OG0000105	Prbf.g_01783	Prbk.g_01862
OG0000106	Prbf.g_01813	Prbk.g_01078
OG0000107	Prbf.g_01814	Prbk.g_01080
OG0000108	Prbf.g_01824	Prbk.g_02684
OG0000109	Prbf.g_01833	Prbk.g_01890
OG0000110	Prbf.g_01850	Prbk.g_01871
OG0000111	Prbf.g_00999	Prbk.g_00740
OG0000112	Prbf.g_01000	Prbk.g_00739
OG0000113	Prbf.g_01050	Prbk.g_02370
OG0000114	Prbf.g_01247	Prbk.g_02466
OG0000115	Prbf.g_01117	Prbk.g_02324
OG0000116	Prbf.g_01113	Prbk.g_02316
OG0000117	Prbf.g_01167	Prbk.g_00059
OG0000118	Prbf.g_00873	Prbk.g_02271
OG0000119	Prbf.g_00785	Prbk.g_02197
OG0000120	Prbf.g_00924	Prbk.g_00144
OG0000121	Prbf.g_00947	Prbk.g_00138
OG0000122	Prbf.g_00967	Prbk.g_00185
OG0000123	Prbf.g_01915	Prbk.g_00121
OG0000124	Prbf.g_00253	Prbk.g_00066
OG0000125	Prbf.g_00013	Prbk.g_01169
OG0000126	Prbf.g_00095	Prbk.g_02052
OG0000127	Prbf.g_00145	Prbk.g_00243
OG0000128	Prbf.g_00158	Prbk.g_00260
OG0000129	Prbf.g_00194	Prbk.g_01212
OG0000130	Prbf.g_00696	Prbk.g_00913
OG0000131	Prbf.g_00657	Prbk.g_01417
OG0000132	Prbf.g_00654	Prbk.g_01414
OG0000133	Prbf.g_00600	Prbk.g_00987
OG0000134	Prbf.g_00564	Prbk.g_00950
OG0000135	Prbf.g_00562	Prbk.g_00948
OG0000136	Prbf.g_00512	Prbk.g_00528
OG0000137	Prbf.g_00477	Prbk.g_01540
OG0000138	Prbf.g_00443	Prbk.g_02168
OG0000139	Prbf.g_00412	Prbk.g_02252
OG0000140	Prbf.g_00392	Prbk.g_02279
OG0000141	Prbf.g_00391	Prbk.g_02280
OG0000142	Prbf.g_00389	Prbk.g_02282
OG0000143	Prbf.g_00388	Prbk.g_02283
OG0000144	Prbf.g_00386	Prbk.g_02285
