Orthogroup	Syaq	Syae
OG0000034	Syaq.g_00312, Syaq.g_01431	Syae.g_00975, Syae.g_01424
OG0000035	Syaq.g_00372	Syae.g_02653
OG0000037	Syaq.g_01483	Syae.g_01367
OG0000038	Syaq.g_01260	Syae.g_01571
OG0000039	Syaq.g_01241	Syae.g_02495
OG0000041	Syaq.g_02688	Syae.g_00802
OG0000042	Syaq.g_00200, Syaq.g_01044	Syae.g_01821
OG0000043	Syaq.g_01920	Syae.g_00117
OG0000048	Syaq.g_00749	Syae.g_01982
OG0000052	Syaq.g_00969	Syae.g_01886
OG0000053	Syaq.g_00397	Syae.g_02629
OG0000054	Syaq.g_02005	Syae.g_00014
OG0000055	Syaq.g_02700	Syae.g_00817
OG0000057	Syaq.g_02605	Syae.g_00782
OG0000058	Syaq.g_00944	Syae.g_01905
OG0000059	Syaq.g_00657	Syae.g_02074
OG0000060	Syaq.g_00456	Syae.g_02514
OG0000060	Syaq.g_01770	Syae.g_02306
OG0000060	Syaq.g_00201	Syae.g_00649
OG0000061	Syaq.g_00249	Syae.g_00921
OG0000062	Syaq.g_01690	Syae.g_01145
OG0000063	Syaq.g_01110	Syae.g_01752
OG0000064	Syaq.g_02138	Syae.g_01631
OG0000065	Syaq.g_01908	Syae.g_00722
OG0000066	Syaq.g_01851	Syae.g_02386
OG0000067	Syaq.g_02340	Syae.g_00521
OG0000068	Syaq.g_01763	Syae.g_02299
OG0000070	Syaq.g_00484	Syae.g_00979
OG0000071	Syaq.g_00297	Syae.g_00961
OG0000072	Syaq.g_01397	Syae.g_01455
OG0000073	Syaq.g_01795	Syae.g_02330
OG0000075	Syaq.g_00986	Syae.g_01871
OG0000076	Syaq.g_01028	Syae.g_01829
OG0000077	Syaq.g_01547	Syae.g_01297
OG0000078	Syaq.g_01585	Syae.g_02243
OG0000079	Syaq.g_00721	Syae.g_02011
OG0000081	Syaq.g_01893	Syae.g_02261
OG0000082	Syaq.g_01975	Syae.g_02447
OG0000084	Syaq.g_00367	Syae.g_02656
OG0000085	Syaq.g_01683	Syae.g_01152
OG0000086	Syaq.g_01525	Syae.g_01333
OG0000087	Syaq.g_01438	Syae.g_01414
OG0000088	Syaq.g_01402	Syae.g_01449
OG0000089	Syaq.g_00529	Syae.g_02219
OG0000090	Syaq.g_01838	Syae.g_02374
OG0000091	Syaq.g_02090	Syae.g_00082
OG0000093	Syaq.g_02323	Syae.g_00537
OG0000094	Syaq.g_00056	Syae.g_00430
OG0000095	Syaq.g_02679	Syae.g_00793
OG0000097	Syaq.g_00167	Syae.g_00683
OG0000098	Syaq.g_02221	Syae.g_02058
OG0000098	Syaq.g_01849	Syae.g_02384
OG0000099	Syaq.g_00882	Syae.g_01913
OG0000100	Syaq.g_02371	Syae.g_00489
OG0000101	Syaq.g_00607	Syae.g_02125
OG0000102	Syaq.g_01033	Syae.g_01824
OG0000103	Syaq.g_01170	Syae.g_01694
OG0000104	Syaq.g_01154	Syae.g_01708
OG0000105	Syaq.g_00754	Syae.g_01977
OG0000106	Syaq.g_01863	Syae.g_00272
OG0000107	Syaq.g_00694	Syae.g_02032
OG0000108	Syaq.g_01772	Syae.g_02309
OG0000109	Syaq.g_01788	Syae.g_02324
OG0000110	Syaq.g_01962	Syae.g_02435
OG0000111	Syaq.g_02606	Syae.g_00783
OG0000112	Syaq.g_02476	Syae.g_00351
OG0000114	Syaq.g_02269	Syae.g_00575
OG0000115	Syaq.g_00395	Syae.g_02631
OG0000116	Syaq.g_00263	Syae.g_00939
OG0000117	Syaq.g_00203	Syae.g_00647
OG0000118	Syaq.g_00325, Syaq.g_00316	Syae.g_02479
OG0000120	Syaq.g_00883	Syae.g_01912
OG0000121	Syaq.g_00375	Syae.g_02649
OG0000122	Syaq.g_02118	Syae.g_00112
OG0000123	Syaq.g_00599	Syae.g_02131
OG0000124	Syaq.g_01055	Syae.g_01809
OG0000125	Syaq.g_01256	Syae.g_01573
OG0000126	Syaq.g_01156	Syae.g_01706
OG0000128	Syaq.g_01138	Syae.g_01724
OG0000129	Syaq.g_01269	Syae.g_01562
OG0000130	Syaq.g_01559	Syae.g_01284
OG0000131	Syaq.g_01427, Syaq.g_01424	Syae.g_01428
OG0000132	Syaq.g_01404	Syae.g_01447
OG0000133	Syaq.g_02481	Syae.g_00356
OG0000134	Syaq.g_00526	Syae.g_02222
OG0000135	Syaq.g_01227	Syae.g_01608
OG0000136	Syaq.g_00496	Syae.g_00989
OG0000137	Syaq.g_00442	Syae.g_02530
OG0000138	Syaq.g_01789	Syae.g_02325
OG0000139	Syaq.g_01844	Syae.g_02380
OG0000140	Syaq.g_01848	Syae.g_02383
OG0000141	Syaq.g_02010	Syae.g_00016
OG0000142	Syaq.g_02082	Syae.g_00074
OG0000143	Syaq.g_02086	Syae.g_00078
OG0000144	Syaq.g_02152	Syae.g_00261
OG0000145	Syaq.g_01796	Syae.g_02331
OG0000146	Syaq.g_02475	Syae.g_00350
OG0000147	Syaq.g_02474	Syae.g_00349
OG0000148	Syaq.g_02359	Syae.g_00500
OG0000149	Syaq.g_02395	Syae.g_00847
OG0000150	Syaq.g_02011	Syae.g_00017
OG0000151	Syaq.g_02283	Syae.g_00563
OG0000152	Syaq.g_02485	Syae.g_00360
OG0000153	Syaq.g_02518	Syae.g_00394
OG0000154	Syaq.g_00066	Syae.g_00420
OG0000155	Syaq.g_00212	Syae.g_00885
OG0000156	Syaq.g_00281	Syae.g_00945
OG0000157	Syaq.g_00282	Syae.g_00946
OG0000158	Syaq.g_01003	Syae.g_01858
OG0000160	Syaq.g_00374	Syae.g_02650
OG0000161	Syaq.g_00382	Syae.g_02644
OG0000162	Syaq.g_00389	Syae.g_02638
OG0000163	Syaq.g_01730	Syae.g_01092
OG0000164	Syaq.g_01642	Syae.g_01198
OG0000165	Syaq.g_01630	Syae.g_01021
OG0000166	Syaq.g_00647	Syae.g_02085
OG0000167	Syaq.g_00983	Syae.g_01874
OG0000168	Syaq.g_01004	Syae.g_01856
OG0000169	Syaq.g_01016	Syae.g_01841
OG0000170	Syaq.g_01023	Syae.g_01834
OG0000171	Syaq.g_01052	Syae.g_01810
OG0000172	Syaq.g_01074	Syae.g_01788
OG0000173	Syaq.g_01092	Syae.g_01770
OG0000174	Syaq.g_01224	Syae.g_01610
OG0000175	Syaq.g_01183	Syae.g_01679
OG0000176	Syaq.g_01146	Syae.g_01716
OG0000177	Syaq.g_01145	Syae.g_01717
OG0000178	Syaq.g_01144	Syae.g_01718
OG0000179	Syaq.g_01129	Syae.g_01733
OG0000180	Syaq.g_01128	Syae.g_01734
OG0000181	Syaq.g_01127	Syae.g_01735
OG0000182	Syaq.g_01126	Syae.g_01736
OG0000183	Syaq.g_01122	Syae.g_01740
