Orthogroup	Syaq	Praw
OG0000063	Syaq.g_01110	Praw.g_01395
OG0000065	Syaq.g_01908, Syaq.g_01487	Praw.g_01328
OG0000066	Syaq.g_01851	Praw.g_00609
OG0000067	Syaq.g_02340	Praw.g_01697
OG0000068	Syaq.g_01763	Praw.g_01016
OG0000070	Syaq.g_00484	Praw.g_00697
OG0000071	Syaq.g_00297	Praw.g_00981
OG0000072	Syaq.g_01397	Praw.g_01264
OG0000073	Syaq.g_01795	Praw.g_00649
OG0000075	Syaq.g_00986	Praw.g_00064
OG0000076	Syaq.g_01028	Praw.g_00039
OG0000077	Syaq.g_01547	Praw.g_01356
OG0000078	Syaq.g_01585	Praw.g_01196
OG0000081	Syaq.g_01893	Praw.g_00617
OG0000082	Syaq.g_01975	Praw.g_01932
OG0000084	Syaq.g_00367	Praw.g_01087
OG0000085	Syaq.g_01683	Praw.g_00508
OG0000086	Syaq.g_01525	Praw.g_01346
OG0000087	Syaq.g_01438	Praw.g_01296
OG0000088	Syaq.g_01402	Praw.g_01269
OG0000089	Syaq.g_00529	Praw.g_00776
OG0000090	Syaq.g_01838	Praw.g_00615
OG0000091	Syaq.g_02090	Praw.g_01880
OG0000094	Syaq.g_00056, Syaq.g_02554	Praw.g_01486
OG0000097	Syaq.g_00167	Praw.g_00275
OG0000098	Syaq.g_02221	Praw.g_00997
OG0000099	Syaq.g_00882	Praw.g_01051
OG0000100	Syaq.g_02371	Praw.g_00411
OG0000101	Syaq.g_00607	Praw.g_00096
OG0000102	Syaq.g_01033	Praw.g_00034
OG0000103	Syaq.g_01170	Praw.g_01148
OG0000104	Syaq.g_01154	Praw.g_01140
OG0000105	Syaq.g_00754	Praw.g_00860
OG0000106	Syaq.g_01863	Praw.g_00762
OG0000108	Syaq.g_01772	Praw.g_00667
OG0000109	Syaq.g_01788	Praw.g_00654
OG0000110	Syaq.g_01962	Praw.g_01922
OG0000111	Syaq.g_02606	Praw.g_01823
OG0000112	Syaq.g_02476	Praw.g_01732
OG0000114	Syaq.g_02269	Praw.g_01597
OG0000115	Syaq.g_00395	Praw.g_00178
OG0000116	Syaq.g_00263	Praw.g_00224
OG0000117	Syaq.g_00203	Praw.g_00926
OG0000118	Syaq.g_00325, Syaq.g_00316	Praw.g_00993
OG0000120	Syaq.g_00883	Praw.g_01050
OG0000121	Syaq.g_00375	Praw.g_01078
OG0000122	Syaq.g_02118	Praw.g_00377
OG0000123	Syaq.g_00599	Praw.g_00089
OG0000124	Syaq.g_01055	Praw.g_00023
OG0000125	Syaq.g_01256	Praw.g_01180
OG0000126	Syaq.g_01156	Praw.g_01141
OG0000128	Syaq.g_01138	Praw.g_01125
OG0000129	Syaq.g_01269	Praw.g_01384
OG0000130	Syaq.g_01559	Praw.g_01365
OG0000131	Syaq.g_01427, Syaq.g_01424	Praw.g_01290
OG0000132	Syaq.g_01404	Praw.g_01271
OG0000133	Syaq.g_02481	Praw.g_00812
OG0000134	Syaq.g_00526	Praw.g_00775
OG0000135	Syaq.g_01227	Praw.g_00751
OG0000136	Syaq.g_00496	Praw.g_00706
OG0000137	Syaq.g_00442	Praw.g_00672
OG0000138	Syaq.g_01789	Praw.g_00653
OG0000139	Syaq.g_01844	Praw.g_00611
OG0000140	Syaq.g_01848	Praw.g_00610
OG0000141	Syaq.g_02010	Praw.g_00143
OG0000142	Syaq.g_02082	Praw.g_01887
OG0000143	Syaq.g_02086	Praw.g_01883
OG0000144	Syaq.g_02152	Praw.g_01870
OG0000145	Syaq.g_01796	Praw.g_01745
OG0000146	Syaq.g_02475	Praw.g_01731
OG0000147	Syaq.g_02474	Praw.g_01730
OG0000148	Syaq.g_02359	Praw.g_01681
OG0000149	Syaq.g_02395	Praw.g_01652
