Orthogroup	Syaq	Prbe
OG0000042	Syaq.g_00200, Syaq.g_01044	Prbe.g_00766
OG0000045	Syaq.g_02047	Prbe.g_01593
OG0000046	Syaq.g_00570, Syaq.g_00573	Prbe.g_01880
OG0000048	Syaq.g_00749	Prbe.g_00906, Prbe.g_01825
OG0000052	Syaq.g_00969	Prbe.g_00333
OG0000053	Syaq.g_00397	Prbe.g_01040, Prbe.g_00290
OG0000054	Syaq.g_02005	Prbe.g_00527
OG0000055	Syaq.g_02700	Prbe.g_01598
OG0000057	Syaq.g_02605	Prbe.g_01206
OG0000058	Syaq.g_00944	Prbe.g_00351
OG0000059	Syaq.g_00657	Prbe.g_01094
OG0000061	Syaq.g_00249	Prbe.g_01549
OG0000062	Syaq.g_01690	Prbe.g_00226
OG0000063	Syaq.g_01110	Prbe.g_00021
OG0000064	Syaq.g_02138	Prbe.g_00172
OG0000065	Syaq.g_01908, Syaq.g_01487	Prbe.g_01649
OG0000066	Syaq.g_01851	Prbe.g_00596, Prbe.g_01114
OG0000067	Syaq.g_02340	Prbe.g_01222
OG0000068	Syaq.g_01763	Prbe.g_00373
OG0000070	Syaq.g_00484	Prbe.g_01948
OG0000071	Syaq.g_00297	Prbe.g_00893
OG0000072	Syaq.g_01397	Prbe.g_01719
OG0000073	Syaq.g_01795	Prbe.g_00633
OG0000075	Syaq.g_00986	Prbe.g_00800
OG0000076	Syaq.g_01028	Prbe.g_00774
OG0000077	Syaq.g_01547	Prbe.g_00183
OG0000078	Syaq.g_01585	Prbe.g_01792
OG0000079	Syaq.g_00721	Prbe.g_01805
OG0000081	Syaq.g_01893	Prbe.g_00604
OG0000082	Syaq.g_01975	Prbe.g_00549, Prbe.g_00996
OG0000084	Syaq.g_00367	Prbe.g_00314
OG0000085	Syaq.g_01683	Prbe.g_00993, Prbe.g_00007
OG0000086	Syaq.g_01525	Prbe.g_00192
OG0000087	Syaq.g_01438	Prbe.g_01683
OG0000088	Syaq.g_01402	Prbe.g_01714
OG0000089	Syaq.g_00529	Prbe.g_01915
OG0000090	Syaq.g_01838	Prbe.g_00602
OG0000091	Syaq.g_02090	Prbe.g_01477
OG0000094	Syaq.g_02554	Prbe.g_01399
OG0000097	Syaq.g_00167	Prbe.g_01503
OG0000098	Syaq.g_02221	Prbe.g_00397
OG0000099	Syaq.g_00882	Prbe.g_00350
OG0000100	Syaq.g_02371	Prbe.g_00232
OG0000101	Syaq.g_00607	Prbe.g_00836
OG0000102	Syaq.g_01033	Prbe.g_00769
OG0000103	Syaq.g_01170	Prbe.g_01195
OG0000104	Syaq.g_01154	Prbe.g_01061
OG0000105	Syaq.g_00754	Prbe.g_01828
OG0000106	Syaq.g_01863	Prbe.g_00740
OG0000108	Syaq.g_01772	Prbe.g_00653
OG0000109	Syaq.g_01788	Prbe.g_00639
OG0000110	Syaq.g_01962	Prbe.g_00560
OG0000111	Syaq.g_02606	Prbe.g_01207
OG0000112	Syaq.g_02476	Prbe.g_00487
OG0000114	Syaq.g_02269	Prbe.g_00417
OG0000115	Syaq.g_00395	Prbe.g_01618
OG0000116	Syaq.g_00263	Prbe.g_01560
OG0000117	Syaq.g_00203	Prbe.g_01522
OG0000118	Syaq.g_00325, Syaq.g_00316	Prbe.g_00880
OG0000120	Syaq.g_00883	Prbe.g_00353
OG0000121	Syaq.g_00375	Prbe.g_00309
OG0000122	Syaq.g_02118	Prbe.g_01625, Prbe.g_00268
OG0000123	Syaq.g_00599	Prbe.g_00829
OG0000124	Syaq.g_01055	Prbe.g_00745
OG0000125	Syaq.g_01256	Prbe.g_01158
OG0000126	Syaq.g_01156	Prbe.g_01060
OG0000128	Syaq.g_01138	Prbe.g_01076
OG0000129	Syaq.g_01269	Prbe.g_00145
OG0000130	Syaq.g_01559	Prbe.g_00174
OG0000131	Syaq.g_01427, Syaq.g_01424	Prbe.g_01692
OG0000132	Syaq.g_01404	Prbe.g_01712
OG0000133	Syaq.g_02481	Prbe.g_01875
OG0000134	Syaq.g_00526	Prbe.g_01917
OG0000135	Syaq.g_01227	Prbe.g_00911
OG0000136	Syaq.g_00496	Prbe.g_01939
OG0000137	Syaq.g_00442	Prbe.g_00658
OG0000138	Syaq.g_01789	Prbe.g_00638
OG0000139	Syaq.g_01844	Prbe.g_00598
OG0000140	Syaq.g_01848	Prbe.g_00597
OG0000141	Syaq.g_02010	Prbe.g_00526
OG0000142	Syaq.g_02082	Prbe.g_01485
OG0000143	Syaq.g_02086	Prbe.g_01481
OG0000144	Syaq.g_02152	Prbe.g_01467
OG0000145	Syaq.g_01796	Prbe.g_00909
OG0000146	Syaq.g_02475	Prbe.g_00488
OG0000147	Syaq.g_02474	Prbe.g_00489
