Orthogroup	Syan	Prar
OG0000190	Syan.g_00971	Prar.g_00231
OG0000191	Syan.g_02300	Prar.g_00211
OG0000192	Syan.g_02294	Prar.g_00207
OG0000193	Syan.g_03009	Prar.g_00181
OG0000194	Syan.g_03012	Prar.g_00178
OG0000195	Syan.g_03014	Prar.g_00176
OG0000196	Syan.g_03026	Prar.g_00166
OG0000197	Syan.g_03027	Prar.g_00165
OG0000198	Syan.g_03028	Prar.g_00164
OG0000199	Syan.g_03037	Prar.g_00157
OG0000200	Syan.g_03055	Prar.g_00143
OG0000201	Syan.g_03074	Prar.g_00135
OG0000202	Syan.g_03075	Prar.g_00134
OG0000203	Syan.g_03076	Prar.g_00133
OG0000204	Syan.g_03077	Prar.g_00132
OG0000205	Syan.g_03087	Prar.g_00125
OG0000206	Syan.g_03095	Prar.g_00120
OG0000207	Syan.g_03100	Prar.g_00118
OG0000208	Syan.g_03101	Prar.g_00117
OG0000209	Syan.g_01521	Prar.g_00108
OG0000210	Syan.g_01522	Prar.g_00107
OG0000211	Syan.g_02416	Prar.g_00094
OG0000212	Syan.g_01508, Syan.g_02438	Prar.g_00087
OG0000213	Syan.g_02059	Prar.g_00330
OG0000214	Syan.g_02040	Prar.g_00320
OG0000215	Syan.g_02010	Prar.g_00295
OG0000216	Syan.g_02006	Prar.g_00293
OG0000217	Syan.g_02001	Prar.g_01154, Prar.g_00290
OG0000218	Syan.g_01999	Prar.g_00288
OG0000219	Syan.g_01998	Prar.g_00287
OG0000220	Syan.g_01997	Prar.g_00286
OG0000221	Syan.g_01994	Prar.g_00285
OG0000222	Syan.g_01981	Prar.g_00277
OG0000223	Syan.g_00228	Prar.g_00264
OG0000224	Syan.g_01959	Prar.g_00262
OG0000225	Syan.g_02997	Prar.g_00406
OG0000226	Syan.g_02990	Prar.g_00410
OG0000227	Syan.g_02988	Prar.g_00412
OG0000228	Syan.g_02315	Prar.g_00415
OG0000229	Syan.g_02396	Prar.g_00484
OG0000230	Syan.g_02398	Prar.g_00486
OG0000231	Syan.g_01333	Prar.g_00497
OG0000232	Syan.g_02801	Prar.g_00506
OG0000233	Syan.g_02876	Prar.g_00512
OG0000234	Syan.g_02844	Prar.g_00526
OG0000235	Syan.g_02765	Prar.g_00529
OG0000236	Syan.g_02749	Prar.g_00543
OG0000237	Syan.g_02731	Prar.g_01337
OG0000238	Syan.g_02726	Prar.g_01343
OG0000239	Syan.g_01187	Prar.g_01355
OG0000240	Syan.g_01186	Prar.g_01356
OG0000241	Syan.g_00822	Prar.g_01360
OG0000242	Syan.g_01168	Prar.g_01362
OG0000243	Syan.g_00840	Prar.g_01373
OG0000244	Syan.g_00848	Prar.g_01376
OG0000245	Syan.g_00850	Prar.g_01378
OG0000246	Syan.g_00854	Prar.g_01382
OG0000247	Syan.g_00866	Prar.g_01392
OG0000248	Syan.g_00869	Prar.g_01394
OG0000249	Syan.g_00871	Prar.g_01396
OG0000250	Syan.g_00878	Prar.g_01401
OG0000251	Syan.g_00961	Prar.g_01420
OG0000252	Syan.g_00966	Prar.g_01424
OG0000253	Syan.g_01000	Prar.g_01425
OG0000254	Syan.g_01026	Prar.g_01441
OG0000255	Syan.g_00978	Prar.g_01447
OG0000256	Syan.g_00001, Syan.g_01135	Prar.g_01457
OG0000257	Syan.g_00827	Prar.g_01460
OG0000258	Syan.g_00803	Prar.g_01473
OG0000259	Syan.g_00772	Prar.g_01490
OG0000260	Syan.g_00769	Prar.g_01493
OG0000261	Syan.g_00765	Prar.g_01495
OG0000262	Syan.g_00760	Prar.g_01499
OG0000263	Syan.g_02618	Prar.g_01511
OG0000264	Syan.g_00540	Prar.g_01521
OG0000266	Syan.g_00330	Prar.g_01609
OG0000267	Syan.g_00470	Prar.g_01620
OG0000268	Syan.g_00471	Prar.g_01621
OG0000269	Syan.g_00695	Prar.g_01679
OG0000270	Syan.g_00692	Prar.g_01682
OG0000271	Syan.g_00684	Prar.g_01690
OG0000272	Syan.g_00683	Prar.g_01691
OG0000273	Syan.g_00654	Prar.g_01714
OG0000274	Syan.g_00653	Prar.g_01715
OG0000275	Syan.g_00373	Prar.g_01717
OG0000276	Syan.g_00380	Prar.g_01722
OG0000277	Syan.g_00381	Prar.g_01723
OG0000278	Syan.g_00384	Prar.g_01726
OG0000279	Syan.g_00398	Prar.g_01733
OG0000280	Syan.g_00518	Prar.g_01734
