Orthogroup	Syan	Prar
OG0000577	Syan.g_01008	Prar.g_01430
OG0000578	Syan.g_01009	Prar.g_01431
OG0000579	Syan.g_01010	Prar.g_01432
OG0000580	Syan.g_01011	Prar.g_01433
OG0000581	Syan.g_01018	Prar.g_01435
OG0000582	Syan.g_01030	Prar.g_01438
OG0000583	Syan.g_01029	Prar.g_01439
OG0000584	Syan.g_01028	Prar.g_01440
OG0000585	Syan.g_01024	Prar.g_01442
OG0000586	Syan.g_01022	Prar.g_01443
OG0000587	Syan.g_01020	Prar.g_01444
OG0000588	Syan.g_00215	Prar.g_01448
OG0000589	Syan.g_00016	Prar.g_01451
OG0000590	Syan.g_00015	Prar.g_01452
OG0000591	Syan.g_00003	Prar.g_01455
OG0000592	Syan.g_00002	Prar.g_01456
OG0000593	Syan.g_00820	Prar.g_01462
OG0000594	Syan.g_00819	Prar.g_01463
OG0000595	Syan.g_00818	Prar.g_01464
OG0000596	Syan.g_00813	Prar.g_01468
OG0000597	Syan.g_00810	Prar.g_01470
OG0000598	Syan.g_00809	Prar.g_01471
OG0000599	Syan.g_00802	Prar.g_01474
OG0000600	Syan.g_00801	Prar.g_01475
OG0000601	Syan.g_00800	Prar.g_01476
OG0000602	Syan.g_00796	Prar.g_01478
OG0000603	Syan.g_00795	Prar.g_01479
OG0000604	Syan.g_00792	Prar.g_01480
OG0000605	Syan.g_00783	Prar.g_01481
OG0000606	Syan.g_00780	Prar.g_01484
OG0000607	Syan.g_00777	Prar.g_01487
OG0000608	Syan.g_00776	Prar.g_01488
OG0000609	Syan.g_00774	Prar.g_01489
OG0000610	Syan.g_00766	Prar.g_01494
OG0000611	Syan.g_00763	Prar.g_01497
OG0000612	Syan.g_00762	Prar.g_01498
OG0000613	Syan.g_01965	Prar.g_01503
OG0000614	Syan.g_00184	Prar.g_01522
OG0000615	Syan.g_00728	Prar.g_01530
OG0000616	Syan.g_01694	Prar.g_01534
OG0000617	Syan.g_00324	Prar.g_01605
OG0000618	Syan.g_00325	Prar.g_01606
OG0000619	Syan.g_00326	Prar.g_01607
OG0000620	Syan.g_00331	Prar.g_01610
OG0000621	Syan.g_00332	Prar.g_01611
OG0000622	Syan.g_00334	Prar.g_01612
OG0000623	Syan.g_00335	Prar.g_01613
OG0000624	Syan.g_00337	Prar.g_01614
OG0000625	Syan.g_00338	Prar.g_01615
OG0000626	Syan.g_00339	Prar.g_01616
OG0000627	Syan.g_00465	Prar.g_01617
OG0000628	Syan.g_00466	Prar.g_01618
OG0000629	Syan.g_00469	Prar.g_01619
OG0000630	Syan.g_00474	Prar.g_01622
OG0000631	Syan.g_00484	Prar.g_01675
OG0000632	Syan.g_00485	Prar.g_01676
OG0000633	Syan.g_00489	Prar.g_01677
OG0000634	Syan.g_00694	Prar.g_01680
OG0000635	Syan.g_00693	Prar.g_01681
OG0000636	Syan.g_00691	Prar.g_01683
OG0000637	Syan.g_00689	Prar.g_01685
OG0000638	Syan.g_00688	Prar.g_01686
OG0000639	Syan.g_00687	Prar.g_01687
OG0000640	Syan.g_00686	Prar.g_01688
OG0000641	Syan.g_00682	Prar.g_01692
OG0000642	Syan.g_00681	Prar.g_01693
OG0000643	Syan.g_00679	Prar.g_01694
OG0000644	Syan.g_00678	Prar.g_01695
OG0000645	Syan.g_00676	Prar.g_01696
OG0000646	Syan.g_00673	Prar.g_01698
OG0000647	Syan.g_00671	Prar.g_01699
OG0000648	Syan.g_00669	Prar.g_01701
OG0000649	Syan.g_00668	Prar.g_01702
OG0000650	Syan.g_00667	Prar.g_01703
OG0000651	Syan.g_00666	Prar.g_01704
OG0000652	Syan.g_00665	Prar.g_01705
OG0000653	Syan.g_00663	Prar.g_01707
OG0000654	Syan.g_00661	Prar.g_01708
OG0000655	Syan.g_00660	Prar.g_01709
OG0000656	Syan.g_00656	Prar.g_01712
OG0000657	Syan.g_00375	Prar.g_01719
OG0000658	Syan.g_00378	Prar.g_01720
OG0000659	Syan.g_00379	Prar.g_01721
OG0000660	Syan.g_00383	Prar.g_01725
OG0000661	Syan.g_00385	Prar.g_01727
OG0000662	Syan.g_00392	Prar.g_01729
OG0000663	Syan.g_00395	Prar.g_01731
OG0000664	Syan.g_00397	Prar.g_01732
OG0000665	Syan.g_00788	Prar.g_01736
OG0000666	Syan.g_02100	Prar.g_01737
OG0000667	Syan.g_00044	Prar.g_01742
OG0000668	Syan.g_00365	Prar.g_01759
OG0000669	Syan.g_00751	Prar.g_01767
OG0000670	Syan.g_00748	Prar.g_01769
OG0000671	Syan.g_00746	Prar.g_01771
OG0000672	Syan.g_00743	Prar.g_01774
OG0000673	Syan.g_00740	Prar.g_01777
OG0000674	Syan.g_00738	Prar.g_01779
OG0000675	Syan.g_00737	Prar.g_01780
OG0000676	Syan.g_00735	Prar.g_01782
OG0000677	Syan.g_00734	Prar.g_01783
OG0000678	Syan.g_00732	Prar.g_01785
OG0000679	Syan.g_00724	Prar.g_01789
OG0000680	Syan.g_00723	Prar.g_01790
OG0000681	Syan.g_00720	Prar.g_01792
OG0000682	Syan.g_00719	Prar.g_01793
OG0000683	Syan.g_00718	Prar.g_01794
OG0000684	Syan.g_00715	Prar.g_01795
OG0000685	Syan.g_00713	Prar.g_01797
OG0000686	Syan.g_00712	Prar.g_01798
OG0000687	Syan.g_00711	Prar.g_01799
OG0000688	Syan.g_00706	Prar.g_01802
OG0000689	Syan.g_00704	Prar.g_01803
OG0000690	Syan.g_00703	Prar.g_01804
OG0000691	Syan.g_00702	Prar.g_01805
OG0000692	Syan.g_00700	Prar.g_01807
OG0000693	Syan.g_00698	Prar.g_01808
OG0000694	Syan.g_00697	Prar.g_01809
OG0000695	Syan.g_00492	Prar.g_01811
OG0000696	Syan.g_00493	Prar.g_01812
OG0000697	Syan.g_00495	Prar.g_01813
OG0000698	Syan.g_00498	Prar.g_01816
OG0000699	Syan.g_00500	Prar.g_01817
OG0000700	Syan.g_00501	Prar.g_01818
OG0000701	Syan.g_00502	Prar.g_01819
OG0000702	Syan.g_00534	Prar.g_01821
OG0000703	Syan.g_00546	Prar.g_01822
OG0000704	Syan.g_00550	Prar.g_01823
OG0000705	Syan.g_00557	Prar.g_01827
OG0000706	Syan.g_00558	Prar.g_01828
OG0000707	Syan.g_00559	Prar.g_01829
OG0000708	Syan.g_00562	Prar.g_01830
OG0000709	Syan.g_00570	Prar.g_01834
OG0000710	Syan.g_00574	Prar.g_01837
OG0000711	Syan.g_00607	Prar.g_01853
OG0000712	Syan.g_00609	Prar.g_01855
OG0000713	Syan.g_00610	Prar.g_01856
OG0000714	Syan.g_00624	Prar.g_01857
OG0000715	Syan.g_00626	Prar.g_01859
OG0000716	Syan.g_00630	Prar.g_01861
OG0000717	Syan.g_00631	Prar.g_01862
OG0000718	Syan.g_00651	Prar.g_01873
OG0000719	Syan.g_00367	Prar.g_01875
OG0000720	Syan.g_00354	Prar.g_01884
OG0000721	Syan.g_00352	Prar.g_01886
OG0000722	Syan.g_00351	Prar.g_01887
OG0000723	Syan.g_00341	Prar.g_01890
OG0000724	Syan.g_00299	Prar.g_01899
OG0000725	Syan.g_00194	Prar.g_01905
OG0000726	Syan.g_00193	Prar.g_01906
OG0000727	Syan.g_00192	Prar.g_01907
OG0000728	Syan.g_00190	Prar.g_01909
OG0000729	Syan.g_01885	Prar.g_01955
OG0000730	Syan.g_02147	Prar.g_01324
OG0000731	Syan.g_02135	Prar.g_01320
OG0000732	Syan.g_01726	Prar.g_01314
OG0000733	Syan.g_01147	Prar.g_01295
OG0000734	Syan.g_02982	Prar.g_01278
OG0000735	Syan.g_02713	Prar.g_01276
OG0000736	Syan.g_02712	Prar.g_01275
OG0000737	Syan.g_02711	Prar.g_01274
OG0000738	Syan.g_02705	Prar.g_01270
OG0000739	Syan.g_02704	Prar.g_01269
OG0000740	Syan.g_02703	Prar.g_01268
OG0000741	Syan.g_02700	Prar.g_01267
OG0000742	Syan.g_02697	Prar.g_01264
OG0000743	Syan.g_02694	Prar.g_01262
OG0000744	Syan.g_02693	Prar.g_01261
OG0000745	Syan.g_02690	Prar.g_01260
OG0000746	Syan.g_02687	Prar.g_01258
OG0000747	Syan.g_02685	Prar.g_01257
OG0000748	Syan.g_02669	Prar.g_01254
OG0000749	Syan.g_02668	Prar.g_01253
OG0000750	Syan.g_02667	Prar.g_01252
OG0000751	Syan.g_02661	Prar.g_01250
OG0000752	Syan.g_02659	Prar.g_01248
OG0000753	Syan.g_02656	Prar.g_01245
OG0000754	Syan.g_02650	Prar.g_01242
OG0000755	Syan.g_02641	Prar.g_01239
OG0000756	Syan.g_02640	Prar.g_01238
OG0000757	Syan.g_02623	Prar.g_01232
OG0000758	Syan.g_02622	Prar.g_01231
OG0000759	Syan.g_02621	Prar.g_01230
OG0000760	Syan.g_02620	Prar.g_01229
OG0000761	Syan.g_02619	Prar.g_01228
OG0000762	Syan.g_02617	Prar.g_01227
OG0000763	Syan.g_02615	Prar.g_01225
OG0000764	Syan.g_02614	Prar.g_01224
OG0000765	Syan.g_02587	Prar.g_01215
OG0000766	Syan.g_02586	Prar.g_01214
OG0000767	Syan.g_02584	Prar.g_01212
OG0000768	Syan.g_02583	Prar.g_01211
OG0000769	Syan.g_02581	Prar.g_01209
OG0000770	Syan.g_02561	Prar.g_01207
OG0000771	Syan.g_00305	Prar.g_00376
OG0000772	Syan.g_00436	Prar.g_00976
OG0000773	Syan.g_01199	Prar.g_00964
OG0000774	Syan.g_01205	Prar.g_00962
OG0000775	Syan.g_01207	Prar.g_00960
OG0000776	Syan.g_01208	Prar.g_00959
OG0000777	Syan.g_01209	Prar.g_00958
OG0000778	Syan.g_01210	Prar.g_00957
OG0000779	Syan.g_01215	Prar.g_00953
OG0000780	Syan.g_01218	Prar.g_00952
OG0000781	Syan.g_01222	Prar.g_00949
OG0000782	Syan.g_01223	Prar.g_00948
OG0000783	Syan.g_01224	Prar.g_00947
OG0000784	Syan.g_01225	Prar.g_00946
OG0000785	Syan.g_01228	Prar.g_00944
OG0000786	Syan.g_01243	Prar.g_00942
OG0000787	Syan.g_01244	Prar.g_00941
OG0000788	Syan.g_00843	Prar.g_00924
OG0000789	Syan.g_00075	Prar.g_00921
OG0000790	Syan.g_02778	Prar.g_00906
OG0000791	Syan.g_02780	Prar.g_00904
OG0000792	Syan.g_02781	Prar.g_00903
OG0000793	Syan.g_02879	Prar.g_00900
OG0000794	Syan.g_02881	Prar.g_00899
OG0000795	Syan.g_02882	Prar.g_00898
OG0000796	Syan.g_02886	Prar.g_00894
OG0000797	Syan.g_02888	Prar.g_00893
OG0000798	Syan.g_02026	Prar.g_00866
OG0000799	Syan.g_01310	Prar.g_00357
OG0000800	Syan.g_01308	Prar.g_00356
OG0000801	Syan.g_01307	Prar.g_00355
OG0000802	Syan.g_01303	Prar.g_00353
OG0000803	Syan.g_01294	Prar.g_00351
OG0000804	Syan.g_01291	Prar.g_00350
OG0000805	Syan.g_01289	Prar.g_00348
OG0000806	Syan.g_01287	Prar.g_00346
OG0000807	Syan.g_01286	Prar.g_00345
OG0000808	Syan.g_01285	Prar.g_00344
OG0000809	Syan.g_01281	Prar.g_00341
OG0000810	Syan.g_01280	Prar.g_00340
OG0000811	Syan.g_01272	Prar.g_00336
OG0000812	Syan.g_01270	Prar.g_00842
OG0000813	Syan.g_01269	Prar.g_00841
OG0000814	Syan.g_01267	Prar.g_00839
OG0000815	Syan.g_01249	Prar.g_00838
OG0000816	Syan.g_01247	Prar.g_00836
OG0000817	Syan.g_01328	Prar.g_00835
OG0000818	Syan.g_02807	Prar.g_00830
OG0000819	Syan.g_02808	Prar.g_00829
OG0000820	Syan.g_02809	Prar.g_00828
OG0000821	Syan.g_02815	Prar.g_00824
OG0000822	Syan.g_02817	Prar.g_00823
OG0000823	Syan.g_02818	Prar.g_00822
OG0000824	Syan.g_02824	Prar.g_00819
OG0000825	Syan.g_02825	Prar.g_00818
OG0000826	Syan.g_02826	Prar.g_00817
OG0000827	Syan.g_02827	Prar.g_00816
OG0000828	Syan.g_02830	Prar.g_00813
OG0000829	Syan.g_02831	Prar.g_00812
OG0000830	Syan.g_02832	Prar.g_00811
OG0000831	Syan.g_02834	Prar.g_00809
OG0000832	Syan.g_02408	Prar.g_00803
OG0000833	Syan.g_01343	Prar.g_00795
OG0000834	Syan.g_01345	Prar.g_00794
OG0000835	Syan.g_01346	Prar.g_00793
OG0000836	Syan.g_01349	Prar.g_00792
OG0000837	Syan.g_01351	Prar.g_00791
OG0000838	Syan.g_01355	Prar.g_00789
OG0000839	Syan.g_01356	Prar.g_00788
OG0000840	Syan.g_01357	Prar.g_00787
OG0000841	Syan.g_01358	Prar.g_00786
OG0000842	Syan.g_01359	Prar.g_00785
OG0000843	Syan.g_01360	Prar.g_00784
OG0000844	Syan.g_01362	Prar.g_00783
OG0000845	Syan.g_01363	Prar.g_00782
OG0000846	Syan.g_01364	Prar.g_00781
OG0000847	Syan.g_01365	Prar.g_00780
OG0000848	Syan.g_01367	Prar.g_00779
OG0000849	Syan.g_01368	Prar.g_00778
OG0000850	Syan.g_01371	Prar.g_00776
OG0000851	Syan.g_01374	Prar.g_00775
OG0000852	Syan.g_01375	Prar.g_00774
OG0000853	Syan.g_01379	Prar.g_00770
OG0000854	Syan.g_01381	Prar.g_00768
OG0000855	Syan.g_01382	Prar.g_00767
OG0000856	Syan.g_01136	Prar.g_00753
OG0000857	Syan.g_00672	Prar.g_00725
OG0000858	Syan.g_01389	Prar.g_01149
OG0000859	Syan.g_01390	Prar.g_01148
OG0000860	Syan.g_01402	Prar.g_01141
OG0000861	Syan.g_01403	Prar.g_01140
OG0000862	Syan.g_01412	Prar.g_01139
OG0000863	Syan.g_01414	Prar.g_01137
OG0000864	Syan.g_00969	Prar.g_01136
OG0000865	Syan.g_01415	Prar.g_01135
OG0000866	Syan.g_01416	Prar.g_01134
OG0000867	Syan.g_01417	Prar.g_01133
OG0000868	Syan.g_01421	Prar.g_01132
OG0000869	Syan.g_01426	Prar.g_01128
OG0000870	Syan.g_01431	Prar.g_01123
OG0000871	Syan.g_01432	Prar.g_01122
OG0000872	Syan.g_01438	Prar.g_01121
OG0000873	Syan.g_01441	Prar.g_01965
OG0000874	Syan.g_01443	Prar.g_01968
OG0000875	Syan.g_01445	Prar.g_01969
OG0000876	Syan.g_00391	Prar.g_01970
OG0000877	Syan.g_01449	Prar.g_01963
OG0000878	Syan.g_01450	Prar.g_01962
OG0000879	Syan.g_01451	Prar.g_01961
OG0000880	Syan.g_01452	Prar.g_01960
OG0000881	Syan.g_01457	Prar.g_00595, Prar.g_01956
OG0000882	Syan.g_01462	Prar.g_00600
OG0000883	Syan.g_01464	Prar.g_00601
OG0000884	Syan.g_01466	Prar.g_00603
OG0000885	Syan.g_01467	Prar.g_00604
OG0000886	Syan.g_01468	Prar.g_00605
OG0000887	Syan.g_01469	Prar.g_00606
OG0000888	Syan.g_01471	Prar.g_00608
OG0000889	Syan.g_01473	Prar.g_00610
OG0000890	Syan.g_01476	Prar.g_00611
OG0000891	Syan.g_01477	Prar.g_00612
OG0000892	Syan.g_01480	Prar.g_01119
OG0000893	Syan.g_02103	Prar.g_01114
OG0000894	Syan.g_02108	Prar.g_01112
OG0000895	Syan.g_02112	Prar.g_01109
OG0000896	Syan.g_02113	Prar.g_01108
OG0000897	Syan.g_02115	Prar.g_01106
OG0000898	Syan.g_02116	Prar.g_01105
OG0000899	Syan.g_02117	Prar.g_01104
OG0000900	Syan.g_02118	Prar.g_01103
OG0000901	Syan.g_02123	Prar.g_01100
OG0000902	Syan.g_02125	Prar.g_01098
OG0000903	Syan.g_02252	Prar.g_01095
OG0000904	Syan.g_02258	Prar.g_01093
OG0000905	Syan.g_02129	Prar.g_01088
OG0000906	Syan.g_02127	Prar.g_01087
OG0000907	Syan.g_02245	Prar.g_01069
OG0000908	Syan.g_02242	Prar.g_01066
OG0000909	Syan.g_02241	Prar.g_01065
OG0000910	Syan.g_02240	Prar.g_01064
OG0000911	Syan.g_02238	Prar.g_01062
OG0000912	Syan.g_02237	Prar.g_01061
OG0000913	Syan.g_02236	Prar.g_01060
OG0000914	Syan.g_02235	Prar.g_01059
OG0000915	Syan.g_02233	Prar.g_01058
OG0000916	Syan.g_02232	Prar.g_01057
OG0000917	Syan.g_02231	Prar.g_01056
OG0000918	Syan.g_02230	Prar.g_01055
OG0000919	Syan.g_02229	Prar.g_01054
OG0000920	Syan.g_02228	Prar.g_01053
OG0000921	Syan.g_02227	Prar.g_01052
OG0000922	Syan.g_02226	Prar.g_01051
OG0000923	Syan.g_02222	Prar.g_01047
OG0000924	Syan.g_02221	Prar.g_01046
OG0000925	Syan.g_02220	Prar.g_01045
OG0000926	Syan.g_02219	Prar.g_01044
OG0000927	Syan.g_02217	Prar.g_01042
OG0000928	Syan.g_02216	Prar.g_01041
OG0000929	Syan.g_02215	Prar.g_01040
OG0000930	Syan.g_02214	Prar.g_01039
OG0000931	Syan.g_02213	Prar.g_01038
OG0000932	Syan.g_02212	Prar.g_01037
OG0000933	Syan.g_02206	Prar.g_01033
OG0000934	Syan.g_02204	Prar.g_01031
OG0000935	Syan.g_02203	Prar.g_01030
OG0000936	Syan.g_02202	Prar.g_01029
OG0000937	Syan.g_02201	Prar.g_01028
OG0000938	Syan.g_02198	Prar.g_01026
OG0000939	Syan.g_02197	Prar.g_01025
OG0000940	Syan.g_02188	Prar.g_01019
OG0000941	Syan.g_02186	Prar.g_01017
OG0000942	Syan.g_02184	Prar.g_01015
OG0000943	Syan.g_02183	Prar.g_01014
OG0000944	Syan.g_02181	Prar.g_01013
OG0000945	Syan.g_02180	Prar.g_01012
OG0000946	Syan.g_02167	Prar.g_00617
OG0000947	Syan.g_02164	Prar.g_00619
OG0000948	Syan.g_02163	Prar.g_00620
OG0000949	Syan.g_01951	Prar.g_00623
OG0000950	Syan.g_01940	Prar.g_00628
OG0000951	Syan.g_01932	Prar.g_00632
OG0000952	Syan.g_01927	Prar.g_00636
OG0000953	Syan.g_01922	Prar.g_00639
OG0000954	Syan.g_01916	Prar.g_00643
OG0000955	Syan.g_01915	Prar.g_00644
OG0000956	Syan.g_01913	Prar.g_00646
OG0000957	Syan.g_01898	Prar.g_00651
OG0000958	Syan.g_01897	Prar.g_00652
OG0000959	Syan.g_01893	Prar.g_00656
OG0000960	Syan.g_01892	Prar.g_00657
OG0000961	Syan.g_03024	Prar.g_00659
OG0000962	Syan.g_01887	Prar.g_00661
OG0000963	Syan.g_01881	Prar.g_00664
OG0000964	Syan.g_01880	Prar.g_00665
OG0000965	Syan.g_01879	Prar.g_00666
OG0000966	Syan.g_01812	Prar.g_00673
OG0000967	Syan.g_01804	Prar.g_00677
OG0000968	Syan.g_01706	Prar.g_00679
OG0000969	Syan.g_01708	Prar.g_00680
OG0000970	Syan.g_01709	Prar.g_00681
OG0000971	Syan.g_01711	Prar.g_00682
OG0000972	Syan.g_01712	Prar.g_00683
OG0000973	Syan.g_01713	Prar.g_00684
OG0000974	Syan.g_01714	Prar.g_00685
OG0000975	Syan.g_01715	Prar.g_00686
OG0000976	Syan.g_01716	Prar.g_00687
OG0000977	Syan.g_01718	Prar.g_00688
OG0000978	Syan.g_01719	Prar.g_00689
OG0000979	Syan.g_01722	Prar.g_00692
OG0000980	Syan.g_01725	Prar.g_00694
OG0000981	Syan.g_01728	Prar.g_00696
OG0000982	Syan.g_01566	Prar.g_00698
OG0000983	Syan.g_01567	Prar.g_00699
OG0000984	Syan.g_01568	Prar.g_00700
OG0000985	Syan.g_01572	Prar.g_00703
OG0000986	Syan.g_01574	Prar.g_00705
OG0000987	Syan.g_01576	Prar.g_00706
OG0000988	Syan.g_01581	Prar.g_00709
OG0000989	Syan.g_01587	Prar.g_00073
OG0000990	Syan.g_01615	Prar.g_00070
OG0000991	Syan.g_01618	Prar.g_00069
OG0000992	Syan.g_01622	Prar.g_00067
OG0000993	Syan.g_01623	Prar.g_00066
OG0000994	Syan.g_01625	Prar.g_00065
OG0000995	Syan.g_01629	Prar.g_00061
OG0000996	Syan.g_01653	Prar.g_00060
OG0000997	Syan.g_01677	Prar.g_00059
OG0000998	Syan.g_01679	Prar.g_00057
OG0000999	Syan.g_01680	Prar.g_00056
OG0001000	Syan.g_01684	Prar.g_00053
OG0001001	Syan.g_01690	Prar.g_00051
OG0001002	Syan.g_01697	Prar.g_00047
OG0001003	Syan.g_01699	Prar.g_00046
OG0001004	Syan.g_01700	Prar.g_00045
OG0001005	Syan.g_01701	Prar.g_00044
OG0001006	Syan.g_01794	Prar.g_00040
OG0001007	Syan.g_01796	Prar.g_00038
OG0001008	Syan.g_02397	Prar.g_00485
OG0001009	Syan.g_01748	Prar.g_00011
OG0001010	Syan.g_01747	Prar.g_00010
OG0001011	Syan.g_01745	Prar.g_00009
OG0001012	Syan.g_00281	Prar.g_00577
OG0001013	Syan.g_01542	Prar.g_00571
OG0001014	Syan.g_01535	Prar.g_00568
OG0001015	Syan.g_01534	Prar.g_00567
OG0001016	Syan.g_02912	Prar.g_00255
OG0001017	Syan.g_02918	Prar.g_00251
OG0001018	Syan.g_02920	Prar.g_00248
OG0001019	Syan.g_02947	Prar.g_00239
OG0001020	Syan.g_02951	Prar.g_00238
OG0001021	Syan.g_02958	Prar.g_00237
OG0001022	Syan.g_02964	Prar.g_00234
OG0001023	Syan.g_02965	Prar.g_00233
OG0001024	Syan.g_00968	Prar.g_00230
OG0001025	Syan.g_02971	Prar.g_00224
OG0001026	Syan.g_02984	Prar.g_00217
OG0001027	Syan.g_02308	Prar.g_00216
OG0001028	Syan.g_02305	Prar.g_00214
OG0001029	Syan.g_02303	Prar.g_00213
OG0001030	Syan.g_02281	Prar.g_00198
OG0001031	Syan.g_03060	Prar.g_00141
OG0001032	Syan.g_03063	Prar.g_00140
OG0001033	Syan.g_00970	Prar.g_00119
OG0001034	Syan.g_02425	Prar.g_00091
OG0001035	Syan.g_02062	Prar.g_00333
OG0001036	Syan.g_02056	Prar.g_00328
OG0001037	Syan.g_02054	Prar.g_00327
OG0001038	Syan.g_02025	Prar.g_00309
OG0001039	Syan.g_02022	Prar.g_00306
OG0001040	Syan.g_02019	Prar.g_00304
OG0001041	Syan.g_02015	Prar.g_00300
OG0001042	Syan.g_01992	Prar.g_00283
OG0001043	Syan.g_01988	Prar.g_00282
OG0001044	Syan.g_02145	Prar.g_00393
OG0001045	Syan.g_02132	Prar.g_00402
OG0001046	Syan.g_00591	Prar.g_00440
OG0001047	Syan.g_02399	Prar.g_00487
OG0001048	Syan.g_02400	Prar.g_00488
OG0001049	Syan.g_01340	Prar.g_00490
OG0001050	Syan.g_01339	Prar.g_00491
OG0001051	Syan.g_01338	Prar.g_00492
OG0001052	Syan.g_02850	Prar.g_00521
OG0001053	Syan.g_02761	Prar.g_00533
OG0001054	Syan.g_02742	Prar.g_01329
OG0001055	Syan.g_02721	Prar.g_01347
OG0001056	Syan.g_01161	Prar.g_01366
OG0001057	Syan.g_00832	Prar.g_01371
OG0001058	Syan.g_00851	Prar.g_01379
OG0001059	Syan.g_00855	Prar.g_01383
OG0001060	Syan.g_00861	Prar.g_01390
OG0001061	Syan.g_00880	Prar.g_01403
OG0001063	Syan.g_00945	Prar.g_01407
OG0001064	Syan.g_00946	Prar.g_01408
OG0001065	Syan.g_00947	Prar.g_01409
OG0001066	Syan.g_00948	Prar.g_01410
OG0001067	Syan.g_00949	Prar.g_01411
OG0001068	Syan.g_00950	Prar.g_01412
OG0001069	Syan.g_00951	Prar.g_01413
OG0001070	Syan.g_00955	Prar.g_01416
OG0001071	Syan.g_00956	Prar.g_01417
OG0001072	Syan.g_00960	Prar.g_01419
OG0001073	Syan.g_01012	Prar.g_01434
OG0001074	Syan.g_00202	Prar.g_01445
OG0001075	Syan.g_00200	Prar.g_01446
OG0001076	Syan.g_00012	Prar.g_01454
OG0001077	Syan.g_01140	Prar.g_01458
OG0001078	Syan.g_00815	Prar.g_01466
OG0001079	Syan.g_00799	Prar.g_01477
OG0001080	Syan.g_00781	Prar.g_01483
OG0001081	Syan.g_00779	Prar.g_01485
OG0001082	Syan.g_00778	Prar.g_01486
OG0001083	Syan.g_00771	Prar.g_01491
OG0001084	Syan.g_00770	Prar.g_01492
OG0001086	Syan.g_00757	Prar.g_01501
OG0001087	Syan.g_01159	Prar.g_01518
OG0001088	Syan.g_02688	Prar.g_01519
OG0001089	Syan.g_00185	Prar.g_01527
OG0001090	Syan.g_00317	Prar.g_01600
OG0001091	Syan.g_00320	Prar.g_01602
OG0001092	Syan.g_00322	Prar.g_01603
OG0001093	Syan.g_00328	Prar.g_01608
OG0001094	Syan.g_00696	Prar.g_01678
OG0001095	Syan.g_00675	Prar.g_01697
OG0001096	Syan.g_00659	Prar.g_01710
OG0001097	Syan.g_00386	Prar.g_01728
OG0001099	Syan.g_02304	Prar.g_01764
OG0001100	Syan.g_00749	Prar.g_01768
OG0001101	Syan.g_00747	Prar.g_01770
OG0001102	Syan.g_00744	Prar.g_01773
OG0001103	Syan.g_00742	Prar.g_01775
OG0001104	Syan.g_00714	Prar.g_01796
OG0001106	Syan.g_00551	Prar.g_01824
OG0001107	Syan.g_00563	Prar.g_01831
OG0001108	Syan.g_00571	Prar.g_01835
OG0001109	Syan.g_00573	Prar.g_01836
OG0001110	Syan.g_00575	Prar.g_01838
OG0001111	Syan.g_00577	Prar.g_01839
OG0001112	Syan.g_00579	Prar.g_01840
OG0001113	Syan.g_00580	Prar.g_01841
OG0001114	Syan.g_00581	Prar.g_01842
OG0001115	Syan.g_00586	Prar.g_01844
OG0001116	Syan.g_00588	Prar.g_01845
OG0001117	Syan.g_00589	Prar.g_01846
OG0001118	Syan.g_00590	Prar.g_01847
OG0001119	Syan.g_00592	Prar.g_01848
OG0001120	Syan.g_00597	Prar.g_01850
OG0001122	Syan.g_00366	Prar.g_01876
OG0001123	Syan.g_00359	Prar.g_01880
OG0001124	Syan.g_00357	Prar.g_01882
OG0001125	Syan.g_00355	Prar.g_01883
OG0001126	Syan.g_00307	Prar.g_01893
OG0001127	Syan.g_00306	Prar.g_01894
OG0001128	Syan.g_00303	Prar.g_01896
OG0001129	Syan.g_00301	Prar.g_01897
OG0001130	Syan.g_00300	Prar.g_01898
OG0001131	Syan.g_00079	Prar.g_01935
OG0001132	Syan.g_00100	Prar.g_01944
OG0001133	Syan.g_00006	Prar.g_01309
OG0001134	Syan.g_01146	Prar.g_01296
OG0001135	Syan.g_02542, Syan.g_01150	Prar.g_01293
OG0001136	Syan.g_02699	Prar.g_01266
OG0001137	Syan.g_02670	Prar.g_01255
OG0001138	Syan.g_02638	Prar.g_01237
OG0001139	Syan.g_02636	Prar.g_01236
OG0001140	Syan.g_02635	Prar.g_01235
OG0001141	Syan.g_02625	Prar.g_01234
OG0001142	Syan.g_02624	Prar.g_01233
OG0001143	Syan.g_02616	Prar.g_01226
OG0001144	Syan.g_02596	Prar.g_01221
OG0001145	Syan.g_01200	Prar.g_00963
OG0001146	Syan.g_01219	Prar.g_00951
OG0001147	Syan.g_02842	Prar.g_00925
OG0001148	Syan.g_02775	Prar.g_00909
OG0001149	Syan.g_02776	Prar.g_00908
OG0001150	Syan.g_02777	Prar.g_00907
OG0001151	Syan.g_02884	Prar.g_00896
OG0001152	Syan.g_02885	Prar.g_00895
OG0001153	Syan.g_02828	Prar.g_00815
OG0001154	Syan.g_02829	Prar.g_00814
OG0001156	Syan.g_02404	Prar.g_00799
OG0001157	Syan.g_02403	Prar.g_00798
OG0001158	Syan.g_02402	Prar.g_00797
OG0001159	Syan.g_02401	Prar.g_00796
OG0001160	Syan.g_01377	Prar.g_00772
OG0001161	Syan.g_01594	Prar.g_00760
OG0001162	Syan.g_02943	Prar.g_00749
OG0001163	Syan.g_01385	Prar.g_01151
