Orthogroup	Prba	Syak
OG0000281	Prba.g_01443	Syak.g_00339
OG0000282	Prba.g_01393	Syak.g_00375
OG0000283	Prba.g_01360	Syak.g_00541
OG0000284	Prba.g_01355	Syak.g_00536
OG0000285	Prba.g_01350	Syak.g_00523
OG0000286	Prba.g_01338	Syak.g_00504
OG0000287	Prba.g_01321	Syak.g_00477
OG0000288	Prba.g_01291	Syak.g_00644
OG0000289	Prba.g_01280	Syak.g_00659
OG0000290	Prba.g_01267	Syak.g_00738
OG0000291	Prba.g_01265	Syak.g_00734, Syak.g_00737
OG0000292	Prba.g_01216	Syak.g_01802
OG0000293	Prba.g_00073	Syak.g_00910
OG0000294	Prba.g_00072	Syak.g_00909
OG0000295	Prba.g_00051	Syak.g_00863
OG0000296	Prba.g_00049	Syak.g_00861
OG0000297	Prba.g_00041	Syak.g_00848
OG0000298	Prba.g_00040	Syak.g_00847
OG0000299	Prba.g_00023	Syak.g_00820
OG0000300	Prba.g_00020	Syak.g_00813
OG0000301	Prba.g_00019	Syak.g_00812
OG0000302	Prba.g_00017	Syak.g_00811
OG0000303	Prba.g_00010	Syak.g_00674
OG0000304	Prba.g_00006	Syak.g_00680
OG0000305	Prba.g_00204	Syak.g_00732
OG0000306	Prba.g_00201	Syak.g_00094
OG0000307	Prba.g_00187	Syak.g_02556
OG0000308	Prba.g_00186	Syak.g_02554
OG0000309	Prba.g_00182	Syak.g_02549
OG0000310	Prba.g_00112	Syak.g_00994
OG0000311	Prba.g_00110	Syak.g_00999
OG0000312	Prba.g_00107	Syak.g_01028
OG0000313	Prba.g_00709	Syak.g_01046
OG0000314	Prba.g_00686	Syak.g_01079
OG0000315	Prba.g_00351, Prba.g_00676	Syak.g_01090
OG0000316	Prba.g_00331	Syak.g_02462
OG0000317	Prba.g_00228	Syak.g_02419
OG0000318	Prba.g_00619	Syak.g_02415
OG0000319	Prba.g_00606	Syak.g_02399
OG0000320	Prba.g_00604	Syak.g_02397
OG0000321	Prba.g_00603	Syak.g_02396
OG0000322	Prba.g_00602	Syak.g_02395
OG0000323	Prba.g_00593	Syak.g_02380
OG0000324	Prba.g_00567	Syak.g_02347
OG0000325	Prba.g_00358	Syak.g_01391
OG0000326	Prba.g_00364	Syak.g_01384
OG0000327	Prba.g_00388	Syak.g_01350
OG0000328	Prba.g_00389	Syak.g_01349
OG0000329	Prba.g_00406	Syak.g_01331
OG0000330	Prba.g_00407	Syak.g_01330
OG0000331	Prba.g_00408	Syak.g_01329
OG0000332	Prba.g_00422	Syak.g_01314
OG0000333	Prba.g_00424	Syak.g_01311
OG0000334	Prba.g_00432	Syak.g_01302
OG0000335	Prba.g_00437	Syak.g_01298
OG0000336	Prba.g_01050	Syak.g_01294
OG0000337	Prba.g_01067	Syak.g_01555
OG0000338	Prba.g_01068	Syak.g_01558
OG0000339	Prba.g_01072	Syak.g_01566
OG0000340	Prba.g_00752	Syak.g_01626
OG0000341	Prba.g_00754	Syak.g_01628
OG0000342	Prba.g_00755	Syak.g_01629
OG0000343	Prba.g_00756	Syak.g_01631
OG0000344	Prba.g_00759	Syak.g_01635
OG0000345	Prba.g_00764	Syak.g_01645
OG0000346	Prba.g_00769	Syak.g_01651
OG0000347	Prba.g_00785	Syak.g_01694
OG0000348	Prba.g_00795	Syak.g_01717
OG0000349	Prba.g_00812	Syak.g_01740
OG0000350	Prba.g_00831	Syak.g_01377
OG0000351	Prba.g_00848, Prba.g_01776	Syak.g_01823
OG0000352	Prba.g_01777	Syak.g_01822
OG0000353	Prba.g_01792	Syak.g_01796
OG0000355	Prba.g_01794	Syak.g_01793
OG0000356	Prba.g_01795	Syak.g_01792
OG0000357	Prba.g_01796	Syak.g_01791
OG0000358	Prba.g_01800	Syak.g_01787
OG0000359	Prba.g_01801	Syak.g_01785
OG0000360	Prba.g_01802	Syak.g_01784
OG0000361	Prba.g_01803	Syak.g_01783
OG0000362	Prba.g_01805	Syak.g_01781
OG0000363	Prba.g_01807	Syak.g_01779
OG0000364	Prba.g_01808	Syak.g_01778
OG0000365	Prba.g_01813	Syak.g_01769
OG0000366	Prba.g_01814	Syak.g_01768
OG0000367	Prba.g_01815	Syak.g_01767
OG0000368	Prba.g_01817	Syak.g_01765
OG0000369	Prba.g_01818	Syak.g_01764
OG0000370	Prba.g_01819	Syak.g_01763
OG0000371	Prba.g_01825	Syak.g_01753
OG0000372	Prba.g_01828	Syak.g_01748
OG0000373	Prba.g_01829	Syak.g_01747
OG0000374	Prba.g_01830	Syak.g_01746
OG0000375	Prba.g_01834	Syak.g_01744
OG0000376	Prba.g_01836	Syak.g_01742
OG0000377	Prba.g_01839	Syak.g_01948
OG0000378	Prba.g_01841	Syak.g_01968
OG0000379	Prba.g_01844	Syak.g_01972
OG0000380	Prba.g_01854	Syak.g_02256
OG0000381	Prba.g_01858	Syak.g_02254
OG0000382	Prba.g_01869	Syak.g_02236
OG0000383	Prba.g_01871	Syak.g_02229
OG0000384	Prba.g_01872	Syak.g_02228
OG0000385	Prba.g_01873	Syak.g_02227
OG0000386	Prba.g_01874	Syak.g_02226
OG0000387	Prba.g_01887	Syak.g_02200
OG0000388	Prba.g_01890	Syak.g_02196
OG0000389	Prba.g_01894	Syak.g_02193, Syak.g_02345
OG0000390	Prba.g_01901	Syak.g_02177
OG0000391	Prba.g_01904	Syak.g_02172
OG0000392	Prba.g_01908	Syak.g_02166
OG0000393	Prba.g_01910	Syak.g_02163
OG0000394	Prba.g_01911	Syak.g_02162
OG0000395	Prba.g_01912	Syak.g_02161
OG0000396	Prba.g_01915	Syak.g_02158
OG0000397	Prba.g_01917	Syak.g_02156
OG0000398	Prba.g_01919	Syak.g_02151
OG0000399	Prba.g_01920	Syak.g_02150
OG0000400	Prba.g_01921	Syak.g_02149
OG0000401	Prba.g_01922	Syak.g_02148
OG0000402	Prba.g_01924	Syak.g_02146
OG0000403	Prba.g_01925	Syak.g_02145
OG0000404	Prba.g_01926	Syak.g_02143
