Orthogroup	Pral	Syab
OG0000130	Pral.g_00978	Syab.g_02434
OG0000131	Pral.g_00900	Syab.g_02564
OG0000132	Pral.g_00880	Syab.g_02584
OG0000133	Pral.g_00717	Syab.g_01387
OG0000134	Pral.g_00674	Syab.g_00554
OG0000135	Pral.g_01034	Syab.g_02815
OG0000136	Pral.g_00653	Syab.g_00588
OG0000137	Pral.g_00617	Syab.g_00697
OG0000138	Pral.g_00595	Syab.g_02113
OG0000139	Pral.g_00553	Syab.g_02035
OG0000140	Pral.g_00552	Syab.g_02033
OG0000141	Pral.g_00481	Syab.g_01931
OG0000142	Pral.g_01436	Syab.g_01524, Syab.g_01873
OG0000143	Pral.g_01440	Syab.g_01870
OG0000144	Pral.g_01453	Syab.g_01757
OG0000145	Pral.g_01037	Syab.g_02120
OG0000146	Pral.g_01636	Syab.g_01393
OG0000147	Pral.g_01637	Syab.g_01394
OG0000148	Pral.g_01505	Syab.g_01682, Syab.g_01683
OG0000149	Pral.g_01535	Syab.g_01720
OG0000150	Pral.g_01545	Syab.g_01930
OG0000151	Pral.g_01789	Syab.g_01612
OG0000152	Pral.g_01627	Syab.g_01383
OG0000153	Pral.g_01578	Syab.g_01343
OG0000154	Pral.g_01595	Syab.g_01317
OG0000155	Pral.g_01390	Syab.g_01009
OG0000156	Pral.g_01292	Syab.g_00933
OG0000157	Pral.g_01291	Syab.g_00932
OG0000158	Pral.g_00287	Syab.g_00161
OG0000159	Pral.g_01263	Syab.g_00148
OG0000160	Pral.g_01160	Syab.g_00774
OG0000161	Pral.g_01154	Syab.g_00766
OG0000162	Pral.g_01148	Syab.g_00755
OG0000163	Pral.g_01106	Syab.g_02173
OG0000164	Pral.g_00131	Syab.g_02307
OG0000165	Pral.g_00138	Syab.g_02316
OG0000166	Pral.g_00206	Syab.g_00407
OG0000167	Pral.g_00277	Syab.g_00205
OG0000168	Pral.g_00288	Syab.g_00136
OG0000169	Pral.g_00298	Syab.g_00125
OG0000170	Pral.g_00301	Syab.g_00118
OG0000171	Pral.g_00321	Syab.g_00089
OG0000172	Pral.g_00328	Syab.g_00080
OG0000173	Pral.g_00343	Syab.g_00061
OG0000174	Pral.g_00375	Syab.g_02819
OG0000175	Pral.g_00387	Syab.g_02876
OG0000176	Pral.g_00414	Syab.g_00004
OG0000177	Pral.g_00415	Syab.g_00005
OG0000178	Pral.g_00416	Syab.g_00006
OG0000179	Pral.g_01028	Syab.g_00022
OG0000180	Pral.g_01027	Syab.g_00023
OG0000181	Pral.g_01026	Syab.g_00024
OG0000182	Pral.g_01025	Syab.g_00025
OG0000183	Pral.g_01021	Syab.g_00029
OG0000184	Pral.g_00996	Syab.g_02738
OG0000185	Pral.g_00993	Syab.g_02715
OG0000186	Pral.g_00984	Syab.g_02430
OG0000187	Pral.g_00983	Syab.g_02431
OG0000188	Pral.g_00965	Syab.g_02454
OG0000189	Pral.g_00951	Syab.g_02487
OG0000190	Pral.g_00950	Syab.g_00190, Syab.g_00139
OG0000191	Pral.g_00928	Syab.g_02522
