Orthogroup	Syao	Pran
OG0000116	Syao.g_00137	Pran.g_00070
OG0000117	Syao.g_00169	Pran.g_01466
OG0000118	Syao.g_01475	Pran.g_00864
OG0000120	Syao.g_02009	Pran.g_00752
OG0000121	Syao.g_01489	Pran.g_00731
OG0000122	Syao.g_01247	Pran.g_00693
OG0000123	Syao.g_01832	Pran.g_01112
OG0000124	Syao.g_02179	Pran.g_01176
OG0000125	Syao.g_02444	Pran.g_01212
OG0000126	Syao.g_02198	Pran.g_01252
OG0000128	Syao.g_02149	Pran.g_01268
OG0000129	Syao.g_02434	Pran.g_00381
OG0000130	Syao.g_02617	Pran.g_00363
OG0000131	Syao.g_02480	Pran.g_00288
OG0000132	Syao.g_02501	Pran.g_00268
OG0000133	Syao.g_00678	Pran.g_01872
OG0000134	Syao.g_01719	Pran.g_01838
OG0000135	Syao.g_00147	Pran.g_01812
OG0000136	Syao.g_01614, Syao.g_01613	Pran.g_01739
OG0000137	Syao.g_02682	Pran.g_01703
OG0000138	Syao.g_00108	Pran.g_01683
OG0000139	Syao.g_02005	Pran.g_01641
OG0000140	Syao.g_01373, Syao.g_01372	Pran.g_01640
OG0000141	Syao.g_01202	Pran.g_01571
OG0000142	Syao.g_00894	Pran.g_01543
OG0000143	Syao.g_00898	Pran.g_01539
OG0000145	Syao.g_00102	Pran.g_01400
OG0000146	Syao.g_00684, Syao.g_00304	Pran.g_01377
OG0000147	Syao.g_00305, Syao.g_00685	Pran.g_01376
OG0000148	Syao.g_00776	Pran.g_01327
OG0000149	Syao.g_00534	Pran.g_01297
OG0000150	Syao.g_01203	Pran.g_01289
OG0000151	Syao.g_00975	Pran.g_00439
OG0000152	Syao.g_00674	Pran.g_00487
OG0000153	Syao.g_00818, Syao.g_01176	Pran.g_00506
OG0000154	Syao.g_00447	Pran.g_00542
OG0000155	Syao.g_00178	Pran.g_00040
OG0000156	Syao.g_00151	Pran.g_00887
OG0000157	Syao.g_00152	Pran.g_00886
OG0000158	Syao.g_02267	Pran.g_00822
OG0000159	Syao.g_02276	Pran.g_00808
OG0000160	Syao.g_01488	Pran.g_00732
OG0000161	Syao.g_01494	Pran.g_00726
OG0000162	Syao.g_01515	Pran.g_00720
OG0000163	Syao.g_01745	Pran.g_00686
OG0000164	Syao.g_01663	Pran.g_00994
OG0000165	Syao.g_01655	Pran.g_01001
OG0000166	Syao.g_01790	Pran.g_01069, Pran.g_01068
OG0000167	Syao.g_01960	Pran.g_01135
OG0000168	Syao.g_02128	Pran.g_01144
OG0000169	Syao.g_02139	Pran.g_01154
OG0000170	Syao.g_02148	Pran.g_01156
OG0000171	Syao.g_02181	Pran.g_01175
OG0000172	Syao.g_02170	Pran.g_01184
OG0000173	Syao.g_02212	Pran.g_01199
OG0000174	Syao.g_02364, Syao.g_02355	Pran.g_01226
OG0000175	Syao.g_02327, Syao.g_00308	Pran.g_01236
OG0000176	Syao.g_02165	Pran.g_01261
OG0000177	Syao.g_02156	Pran.g_01262
OG0000178	Syao.g_02155	Pran.g_01263
OG0000179	Syao.g_02250	Pran.g_00408
OG0000180	Syao.g_02249	Pran.g_00407
OG0000181	Syao.g_02248	Pran.g_00406
OG0000182	Syao.g_02247	Pran.g_00405
OG0000183	Syao.g_02243	Pran.g_00401
OG0000184	Syao.g_02423	Pran.g_00379
OG0000185	Syao.g_02410	Pran.g_00376
OG0000186	Syao.g_02613	Pran.g_00368
OG0000187	Syao.g_02615	Pran.g_00367
OG0000188	Syao.g_02637	Pran.g_00350
OG0000189	Syao.g_02672	Pran.g_00337
OG0000190	Syao.g_01015	Pran.g_00336
OG0000191	Syao.g_02573	Pran.g_00316
OG0000192	Syao.g_02579	Pran.g_00312
OG0000193	Syao.g_02481	Pran.g_00287
OG0000194	Syao.g_02484	Pran.g_00283
OG0000195	Syao.g_02486	Pran.g_00281
OG0000196	Syao.g_02498	Pran.g_00271
OG0000197	Syao.g_02499	Pran.g_00270
OG0000198	Syao.g_02500	Pran.g_00269
OG0000199	Syao.g_02508	Pran.g_00262
OG0000200	Syao.g_02524	Pran.g_00248
OG0000201	Syao.g_02540	Pran.g_00240
OG0000202	Syao.g_02454	Pran.g_00239
OG0000203	Syao.g_02455	Pran.g_00238
OG0000204	Syao.g_02456	Pran.g_00237
OG0000205	Syao.g_02464	Pran.g_00230
OG0000206	Syao.g_02469	Pran.g_00225
OG0000207	Syao.g_02471	Pran.g_00223
OG0000208	Syao.g_02472	Pran.g_00222
OG0000209	Syao.g_02394	Pran.g_00213
OG0000210	Syao.g_02395	Pran.g_00212
OG0000211	Syao.g_01700	Pran.g_00199
OG0000212	Syao.g_01710	Pran.g_00193
OG0000213	Syao.g_02098	Pran.g_01935
OG0000214	Syao.g_02081	Pran.g_01926
OG0000215	Syao.g_02050	Pran.g_01902
OG0000216	Syao.g_02045	Pran.g_01900
OG0000217	Syao.g_02041	Pran.g_01897
OG0000218	Syao.g_02039	Pran.g_01895
OG0000219	Syao.g_02038	Pran.g_01894
OG0000220	Syao.g_02037	Pran.g_01893
OG0000221	Syao.g_02034	Pran.g_01892
OG0000222	Syao.g_02023	Pran.g_01884
OG0000223	Syao.g_00291	Pran.g_01871
OG0000224	Syao.g_01973	Pran.g_01869
OG0000225	Syao.g_01751	Pran.g_01849
OG0000226	Syao.g_01758	Pran.g_01845
OG0000227	Syao.g_01760	Pran.g_01843
OG0000228	Syao.g_01715	Pran.g_01840
OG0000229	Syao.g_01736	Pran.g_01744
OG0000230	Syao.g_01738	Pran.g_01742
OG0000231	Syao.g_01513	Pran.g_01728
OG0000232	Syao.g_00057	Pran.g_01720
OG0000233	Syao.g_02698	Pran.g_01715
OG0000234	Syao.g_02680	Pran.g_01702
OG0000235	Syao.g_00029	Pran.g_01699
OG0000236	Syao.g_00111	Pran.g_01685
OG0000237	Syao.g_00166	Pran.g_01672
OG0000238	Syao.g_00161	Pran.g_01666
OG0000239	Syao.g_01398	Pran.g_01653
OG0000240	Syao.g_01399	Pran.g_01652
OG0000241	Syao.g_00887	Pran.g_01648
OG0000242	Syao.g_01410	Pran.g_01646
OG0000243	Syao.g_00873	Pran.g_01635
OG0000244	Syao.g_00865	Pran.g_01632
OG0000245	Syao.g_00863	Pran.g_01630
OG0000246	Syao.g_00859	Pran.g_01626
OG0000247	Syao.g_00847	Pran.g_01616
OG0000248	Syao.g_00844	Pran.g_01613
OG0000249	Syao.g_00842	Pran.g_01611
OG0000250	Syao.g_00835	Pran.g_01606
OG0000251	Syao.g_01026	Pran.g_01587
OG0000252	Syao.g_01020	Pran.g_01584
OG0000253	Syao.g_01003	Pran.g_01583
OG0000254	Syao.g_01053	Pran.g_01567
OG0000255	Syao.g_01009	Pran.g_01561
OG0000256	Syao.g_01328	Pran.g_01551
OG0000257	Syao.g_00884	Pran.g_01548
OG0000258	Syao.g_00907	Pran.g_01535
OG0000259	Syao.g_00933, Syao.g_00932	Pran.g_01518
OG0000260	Syao.g_00936	Pran.g_01515
OG0000261	Syao.g_00941	Pran.g_01513
OG0000262	Syao.g_00946	Pran.g_01509
OG0000263	Syao.g_00247	Pran.g_01497
OG0000264	Syao.g_00699	Pran.g_01487
OG0000265	Syao.g_00049	Pran.g_01460
OG0000266	Syao.g_00480	Pran.g_01450
OG0000267	Syao.g_00589	Pran.g_01439
OG0000268	Syao.g_00588	Pran.g_01438
OG0000269	Syao.g_00751	Pran.g_01348
OG0000270	Syao.g_00754	Pran.g_01345
OG0000271	Syao.g_00762	Pran.g_01337
OG0000272	Syao.g_00763	Pran.g_01336
OG0000273	Syao.g_00791	Pran.g_01313
OG0000274	Syao.g_00792	Pran.g_01312
OG0000275	Syao.g_00438	Pran.g_01310
OG0000276	Syao.g_00558	Pran.g_01305
OG0000277	Syao.g_00557	Pran.g_01304
OG0000278	Syao.g_00554	Pran.g_01301
OG0000279	Syao.g_00529	Pran.g_01294
OG0000280	Syao.g_00608	Pran.g_01293
OG0000281	Syao.g_01377	Pran.g_01287
OG0000282	Syao.g_00967	Pran.g_00431
OG0000283	Syao.g_00640	Pran.g_00464
