Orthogroup	Prbl	Praw
OG0000139	Prbl.g_02091	Praw.g_00240
OG0000140	Prbl.g_01102	Praw.g_00291
OG0000141	Prbl.g_00937	Praw.g_00904
OG0000142	Prbl.g_01736	Praw.g_00993
OG0000143	Prbl.g_00502	Praw.g_01016
OG0000144	Prbl.g_00258	Praw.g_01096
OG0000145	Prbl.g_00241	Praw.g_01079, Praw.g_01080
OG0000146	Prbl.g_00709	Praw.g_00374
OG0000147	Prbl.g_00418	Praw.g_00414
OG0000148	Prbl.g_00417	Praw.g_00415
OG0000149	Prbl.g_00399	Praw.g_00513
OG0000150	Prbl.g_00350	Praw.g_00551
OG0000151	Prbl.g_00347	Praw.g_00554
OG0000152	Prbl.g_02620	Praw.g_01921
OG0000153	Prbl.g_00957	Praw.g_00137
OG0000154	Prbl.g_00994	Praw.g_00101
OG0000155	Prbl.g_01141	Praw.g_00083
OG0000156	Prbl.g_00841	Praw.g_00055
OG0000157	Prbl.g_02053	Praw.g_00022
OG0000158	Prbl.g_02147	Praw.g_01153
OG0000160	Prbl.g_02120	Praw.g_01135
OG0000161	Prbl.g_02119	Praw.g_01134
OG0000162	Prbl.g_02117	Praw.g_01132
OG0000163	Prbl.g_02116	Praw.g_01131
OG0000164	Prbl.g_02115	Praw.g_01130
OG0000165	Prbl.g_02114	Praw.g_01129
OG0000166	Prbl.g_02112	Praw.g_01128
OG0000167	Prbl.g_02111	Praw.g_01127
OG0000168	Prbl.g_02110	Praw.g_01126
OG0000169	Prbl.g_02108	Praw.g_01124
OG0000170	Prbl.g_01955	Praw.g_01414
OG0000171	Prbl.g_01956	Praw.g_01413
OG0000172	Prbl.g_01961	Praw.g_01412
OG0000173	Prbl.g_01962	Praw.g_01411
OG0000174	Prbl.g_01963	Praw.g_01410
OG0000175	Prbl.g_01964	Praw.g_01409
OG0000176	Prbl.g_01965	Praw.g_01408
OG0000177	Prbl.g_01966	Praw.g_01407
OG0000178	Prbl.g_01967	Praw.g_01406
OG0000179	Prbl.g_01969	Praw.g_01404
OG0000180	Prbl.g_01970	Praw.g_01403
OG0000181	Prbl.g_01971	Praw.g_01402
OG0000182	Prbl.g_01972	Praw.g_01401
OG0000183	Prbl.g_01973	Praw.g_01400
OG0000184	Prbl.g_01975	Praw.g_01399
OG0000185	Prbl.g_01980	Praw.g_01396
OG0000186	Prbl.g_01985	Praw.g_01393
OG0000187	Prbl.g_01986	Praw.g_01392
OG0000188	Prbl.g_01987	Praw.g_01391
OG0000189	Prbl.g_01988	Praw.g_01388
OG0000190	Prbl.g_01990	Praw.g_01386
