Orthogroup	Syaq	Prat
OG0000277	Syaq.g_02388	Prat.g_00998
OG0000278	Syaq.g_02391	Prat.g_00995
OG0000279	Syaq.g_02401	Prat.g_00988
OG0000280	Syaq.g_02410	Prat.g_00987
OG0000281	Syaq.g_02224	Prat.g_00980
OG0000282	Syaq.g_02271	Prat.g_00718
OG0000283	Syaq.g_02445	Prat.g_00868
OG0000284	Syaq.g_02450	Prat.g_00873
OG0000285	Syaq.g_02466	Prat.g_00879
OG0000286	Syaq.g_02484	Prat.g_00895
OG0000287	Syaq.g_02511	Prat.g_00912
OG0000288	Syaq.g_00067	Prat.g_00933
OG0000289	Syaq.g_00053	Prat.g_00948
OG0000290	Syaq.g_02682	Prat.g_00962
OG0000291	Syaq.g_02680	Prat.g_00964
OG0000292	Syaq.g_01157	Prat.g_01208
OG0000293	Syaq.g_00262	Prat.g_01165
OG0000294	Syaq.g_00261	Prat.g_01164
OG0000295	Syaq.g_00220	Prat.g_01142
OG0000296	Syaq.g_00218	Prat.g_01140
OG0000297	Syaq.g_00205	Prat.g_01131
OG0000298	Syaq.g_00204	Prat.g_01130
OG0000299	Syaq.g_00171	Prat.g_01112
OG0000300	Syaq.g_00164	Prat.g_01108
OG0000301	Syaq.g_00163	Prat.g_01107
OG0000302	Syaq.g_00162	Prat.g_01105
OG0000303	Syaq.g_00152	Prat.g_01099
OG0000304	Syaq.g_00146	Prat.g_00595
OG0000305	Syaq.g_02677	Prat.g_01200
OG0000306	Syaq.g_01861	Prat.g_00976
OG0000307	Syaq.g_01754	Prat.g_01300
OG0000308	Syaq.g_01752	Prat.g_01301
OG0000309	Syaq.g_01747	Prat.g_01305
OG0000310	Syaq.g_00347	Prat.g_01336
OG0000311	Syaq.g_00352	Prat.g_01338
OG0000312	Syaq.g_00359	Prat.g_01341
OG0000313	Syaq.g_00379	Prat.g_01357
OG0000314	Syaq.g_00408	Prat.g_01382
OG0000315	Syaq.g_00418	Prat.g_01392
OG0000316	Syaq.g_01716	Prat.g_01420
OG0000317	Syaq.g_01675	Prat.g_01589
OG0000318	Syaq.g_01672	Prat.g_01593
OG0000319	Syaq.g_01657	Prat.g_01605
OG0000320	Syaq.g_01655	Prat.g_01607
OG0000321	Syaq.g_01654	Prat.g_01608
OG0000322	Syaq.g_01653	Prat.g_01609
OG0000323	Syaq.g_01638	Prat.g_01618
OG0000324	Syaq.g_01605	Prat.g_01647
OG0000325	Syaq.g_00693	Prat.g_01657
OG0000326	Syaq.g_00686	Prat.g_01664
OG0000327	Syaq.g_00652	Prat.g_01685
OG0000328	Syaq.g_00651	Prat.g_01686
OG0000329	Syaq.g_00633	Prat.g_01703
OG0000330	Syaq.g_00632	Prat.g_01704
OG0000331	Syaq.g_00631	Prat.g_01705
OG0000332	Syaq.g_00616	Prat.g_01718
OG0000333	Syaq.g_00613	Prat.g_01720
OG0000334	Syaq.g_00603	Prat.g_01729
OG0000335	Syaq.g_00598	Prat.g_01734
OG0000336	Syaq.g_00594	Prat.g_01738
OG0000337	Syaq.g_00975	Prat.g_01756
OG0000338	Syaq.g_00981	Prat.g_01757
OG0000339	Syaq.g_00988	Prat.g_01762
OG0000340	Syaq.g_01005	Prat.g_01771
OG0000341	Syaq.g_01007	Prat.g_01773
OG0000342	Syaq.g_01008	Prat.g_01775
OG0000343	Syaq.g_01010	Prat.g_01776
OG0000344	Syaq.g_01014	Prat.g_01779
OG0000345	Syaq.g_01024	Prat.g_01785
OG0000346	Syaq.g_01029	Prat.g_01789
OG0000347	Syaq.g_01057	Prat.g_01806
OG0000348	Syaq.g_01070	Prat.g_01814
OG0000349	Syaq.g_01099	Prat.g_01832
OG0000350	Syaq.g_00679	Prat.g_01853
OG0000351	Syaq.g_01179	Prat.g_01873
OG0000352	Syaq.g_01178	Prat.g_01874
OG0000353	Syaq.g_01151	Prat.g_01892
OG0000354	Syaq.g_01816, Syaq.g_01131	Prat.g_00845
OG0000355	Syaq.g_01149	Prat.g_00001
OG0000356	Syaq.g_01148	Prat.g_00002
OG0000357	Syaq.g_01147	Prat.g_00003
OG0000358	Syaq.g_01143	Prat.g_00007
OG0000359	Syaq.g_01141	Prat.g_00008
OG0000360	Syaq.g_01140	Prat.g_00009
OG0000361	Syaq.g_01139	Prat.g_00010
OG0000362	Syaq.g_01137	Prat.g_00013
OG0000363	Syaq.g_01135	Prat.g_00015
OG0000364	Syaq.g_01134	Prat.g_00016
OG0000365	Syaq.g_01125	Prat.g_00021
OG0000366	Syaq.g_01124	Prat.g_00022
OG0000367	Syaq.g_01123	Prat.g_00023
OG0000368	Syaq.g_01121	Prat.g_00025
OG0000369	Syaq.g_01120	Prat.g_00026
OG0000370	Syaq.g_01119	Prat.g_00027
OG0000371	Syaq.g_01111	Prat.g_00034
OG0000372	Syaq.g_01106	Prat.g_00036
OG0000373	Syaq.g_01105	Prat.g_00037
OG0000374	Syaq.g_01104	Prat.g_00038
OG0000375	Syaq.g_01103	Prat.g_00042
OG0000376	Syaq.g_01101	Prat.g_00044
OG0000377	Syaq.g_01270	Prat.g_00048
OG0000378	Syaq.g_01286	Prat.g_00052
OG0000379	Syaq.g_01291	Prat.g_00055
OG0000380	Syaq.g_01560	Prat.g_00062
OG0000381	Syaq.g_01558	Prat.g_00067
OG0000382	Syaq.g_01540	Prat.g_00079
OG0000383	Syaq.g_01535	Prat.g_00081
OG0000384	Syaq.g_01534	Prat.g_00082
OG0000385	Syaq.g_01533	Prat.g_00083
OG0000386	Syaq.g_01532	Prat.g_00084
OG0000387	Syaq.g_01495	Prat.g_00096
OG0000388	Syaq.g_01491	Prat.g_00100
OG0000389	Syaq.g_01488	Prat.g_00103
OG0000390	Syaq.g_01473	Prat.g_00112
OG0000391	Syaq.g_01468	Prat.g_00115
OG0000392	Syaq.g_01463	Prat.g_00118
OG0000393	Syaq.g_01460	Prat.g_00122
OG0000394	Syaq.g_01459	Prat.g_00123
OG0000395	Syaq.g_01458	Prat.g_00124
OG0000396	Syaq.g_01455	Prat.g_00126
OG0000397	Syaq.g_01453	Prat.g_00128
OG0000398	Syaq.g_01448	Prat.g_00131
OG0000399	Syaq.g_01447	Prat.g_00132
OG0000400	Syaq.g_01446	Prat.g_00133
OG0000401	Syaq.g_01445	Prat.g_00134
OG0000402	Syaq.g_01443	Prat.g_00601
OG0000403	Syaq.g_01442	Prat.g_00136
OG0000404	Syaq.g_01440	Prat.g_00137
OG0000405	Syaq.g_01429	Prat.g_00141
OG0000406	Syaq.g_01422	Prat.g_00146
OG0000407	Syaq.g_01421	Prat.g_00147
OG0000408	Syaq.g_01419	Prat.g_00149
OG0000409	Syaq.g_01417	Prat.g_00151
OG0000410	Syaq.g_01416	Prat.g_00152
OG0000411	Syaq.g_01415	Prat.g_00153
OG0000412	Syaq.g_01414	Prat.g_00154
OG0000413	Syaq.g_01412	Prat.g_00156
OG0000414	Syaq.g_01411	Prat.g_00157
OG0000415	Syaq.g_01410	Prat.g_00158
OG0000416	Syaq.g_01409	Prat.g_00159
OG0000417	Syaq.g_01408	Prat.g_00160
OG0000418	Syaq.g_01403	Prat.g_00165
OG0000419	Syaq.g_01401	Prat.g_00167
OG0000420	Syaq.g_01400	Prat.g_00169
OG0000421	Syaq.g_01395	Prat.g_00174
OG0000422	Syaq.g_01394	Prat.g_00175
OG0000423	Syaq.g_01393	Prat.g_00176
OG0000424	Syaq.g_01392	Prat.g_00177
OG0000425	Syaq.g_01391	Prat.g_00178
OG0000426	Syaq.g_01390	Prat.g_00179
OG0000427	Syaq.g_01389	Prat.g_00180
OG0000428	Syaq.g_01386	Prat.g_00182
OG0000429	Syaq.g_01384	Prat.g_00183
OG0000430	Syaq.g_01383	Prat.g_00184
OG0000431	Syaq.g_01380	Prat.g_00186
OG0000432	Syaq.g_01374	Prat.g_00190
OG0000433	Syaq.g_01369	Prat.g_00191
OG0000434	Syaq.g_01368	Prat.g_00192
OG0000435	Syaq.g_01367	Prat.g_00193
OG0000436	Syaq.g_01361	Prat.g_00198
OG0000437	Syaq.g_01360	Prat.g_00199
OG0000438	Syaq.g_01359	Prat.g_00200
OG0000439	Syaq.g_01357	Prat.g_00202
OG0000440	Syaq.g_01356	Prat.g_00203
OG0000441	Syaq.g_01352	Prat.g_00206
OG0000442	Syaq.g_01350	Prat.g_00207
OG0000443	Syaq.g_01347	Prat.g_00208
OG0000444	Syaq.g_01333	Prat.g_00213
OG0000445	Syaq.g_01332	Prat.g_00214
OG0000446	Syaq.g_01330	Prat.g_00215
OG0000447	Syaq.g_01328	Prat.g_00216
OG0000448	Syaq.g_01327	Prat.g_00217
OG0000449	Syaq.g_01320	Prat.g_00218
OG0000450	Syaq.g_01313	Prat.g_00219
OG0000451	Syaq.g_01312	Prat.g_00220
OG0000452	Syaq.g_01308	Prat.g_00223
OG0000453	Syaq.g_01307	Prat.g_00224
OG0000454	Syaq.g_01306	Prat.g_00225
OG0000455	Syaq.g_01305	Prat.g_00226
OG0000456	Syaq.g_01304	Prat.g_00227
OG0000457	Syaq.g_01302	Prat.g_00229
OG0000458	Syaq.g_01299	Prat.g_00230
OG0000459	Syaq.g_01298	Prat.g_00231
OG0000460	Syaq.g_01577	Prat.g_00240
OG0000461	Syaq.g_00707	Prat.g_00249
OG0000462	Syaq.g_00710	Prat.g_00250
OG0000463	Syaq.g_00711	Prat.g_00251
OG0000464	Syaq.g_00712	Prat.g_00252
OG0000465	Syaq.g_00714	Prat.g_00253
OG0000466	Syaq.g_00718	Prat.g_00256
OG0000467	Syaq.g_00720	Prat.g_00257
OG0000468	Syaq.g_00725	Prat.g_00260
OG0000469	Syaq.g_00739	Prat.g_00269
OG0000470	Syaq.g_00741	Prat.g_00271
OG0000471	Syaq.g_00742	Prat.g_00272
OG0000472	Syaq.g_00744	Prat.g_00273
OG0000473	Syaq.g_00746	Prat.g_00275
OG0000474	Syaq.g_00747	Prat.g_00276
OG0000475	Syaq.g_00748	Prat.g_00277
OG0000476	Syaq.g_00750	Prat.g_00279
OG0000477	Syaq.g_00756	Prat.g_00282
OG0000478	Syaq.g_00757	Prat.g_00283
OG0000479	Syaq.g_00759	Prat.g_00284
OG0000480	Syaq.g_00766	Prat.g_00290
OG0000481	Syaq.g_00768	Prat.g_00292
OG0000482	Syaq.g_00769	Prat.g_00293
OG0000483	Syaq.g_00773	Prat.g_00296
OG0000484	Syaq.g_00774	Prat.g_00297
OG0000485	Syaq.g_00775	Prat.g_00298
OG0000486	Syaq.g_00776	Prat.g_00299
OG0000487	Syaq.g_00782	Prat.g_00303
OG0000488	Syaq.g_00845	Prat.g_00306
OG0000489	Syaq.g_00857	Prat.g_00311
OG0000490	Syaq.g_00864	Prat.g_00315
OG0000491	Syaq.g_00865	Prat.g_00316
OG0000492	Syaq.g_00869	Prat.g_00318
OG0000493	Syaq.g_00870	Prat.g_00319
OG0000494	Syaq.g_00871	Prat.g_00320
OG0000495	Syaq.g_00872	Prat.g_00321
OG0000496	Syaq.g_00873	Prat.g_00322
OG0000497	Syaq.g_00874	Prat.g_00323
OG0000498	Syaq.g_00875	Prat.g_00324
OG0000499	Syaq.g_00876	Prat.g_00325
OG0000500	Syaq.g_00877	Prat.g_00326
OG0000501	Syaq.g_00880	Prat.g_00328
OG0000502	Syaq.g_00953	Prat.g_00331
OG0000503	Syaq.g_00559	Prat.g_00348
OG0000504	Syaq.g_00557	Prat.g_00350
OG0000505	Syaq.g_00556	Prat.g_00351
OG0000506	Syaq.g_00554	Prat.g_00352
OG0000507	Syaq.g_00548	Prat.g_00355
OG0000508	Syaq.g_00544	Prat.g_00359
OG0000509	Syaq.g_00542	Prat.g_00361
OG0000510	Syaq.g_00538	Prat.g_00362
OG0000511	Syaq.g_00537	Prat.g_00363
OG0000512	Syaq.g_00535	Prat.g_00365
OG0000513	Syaq.g_00525	Prat.g_00373
OG0000514	Syaq.g_00514	Prat.g_00390
OG0000515	Syaq.g_00513	Prat.g_00391
OG0000516	Syaq.g_00509	Prat.g_00392
OG0000517	Syaq.g_00502	Prat.g_00395
OG0000518	Syaq.g_00490	Prat.g_00407
OG0000519	Syaq.g_00489	Prat.g_00408
OG0000520	Syaq.g_00488	Prat.g_00410
OG0000521	Syaq.g_00477	Prat.g_00415
OG0000522	Syaq.g_00475	Prat.g_00417
OG0000523	Syaq.g_00474	Prat.g_00418
OG0000524	Syaq.g_00469	Prat.g_00424
OG0000525	Syaq.g_00450	Prat.g_00428
OG0000526	Syaq.g_00448	Prat.g_00429
OG0000527	Syaq.g_00444	Prat.g_00432
OG0000528	Syaq.g_01768	Prat.g_00438
OG0000529	Syaq.g_01773	Prat.g_00441
OG0000530	Syaq.g_01776	Prat.g_00444
OG0000531	Syaq.g_01777	Prat.g_00445
OG0000532	Syaq.g_01780	Prat.g_00447
OG0000533	Syaq.g_01782	Prat.g_00448
OG0000534	Syaq.g_01783	Prat.g_00449
OG0000535	Syaq.g_01784	Prat.g_00450
OG0000536	Syaq.g_01785	Prat.g_00451
OG0000537	Syaq.g_01786	Prat.g_00453
OG0000538	Syaq.g_01798	Prat.g_00463
OG0000539	Syaq.g_01799	Prat.g_00464
OG0000540	Syaq.g_01800	Prat.g_00465
OG0000541	Syaq.g_01801	Prat.g_00466
OG0000542	Syaq.g_01804	Prat.g_00468
OG0000543	Syaq.g_01806	Prat.g_00470
OG0000544	Syaq.g_01807, Syaq.g_02567	Prat.g_00471
OG0000545	Syaq.g_01809	Prat.g_00473
OG0000546	Syaq.g_01811	Prat.g_00476
OG0000547	Syaq.g_01813	Prat.g_00478
OG0000548	Syaq.g_01814	Prat.g_00479
OG0000549	Syaq.g_01819	Prat.g_00482
OG0000550	Syaq.g_01824	Prat.g_00486
OG0000551	Syaq.g_01829	Prat.g_00489
OG0000552	Syaq.g_01830	Prat.g_00490
OG0000553	Syaq.g_01834	Prat.g_00491
OG0000554	Syaq.g_01839	Prat.g_00496
OG0000555	Syaq.g_01857	Prat.g_00503
OG0000556	Syaq.g_01925	Prat.g_00505
OG0000557	Syaq.g_01927	Prat.g_00506
OG0000558	Syaq.g_01929	Prat.g_00508
OG0000559	Syaq.g_01933	Prat.g_00512
OG0000560	Syaq.g_01936	Prat.g_00516
OG0000561	Syaq.g_01937	Prat.g_00517
OG0000562	Syaq.g_01938	Prat.g_00518
OG0000563	Syaq.g_01939	Prat.g_00519
OG0000564	Syaq.g_01940	Prat.g_00520
OG0000565	Syaq.g_01943	Prat.g_00523
