Orthogroup	Prbg	Prap
OG0000020	Prbg.g_00050	Prap.g_01439
OG0000021	Prbg.g_01632	Prap.g_01797
OG0000023	Prbg.g_00686	Prap.g_00216
OG0000024	Prbg.g_00086	Prap.g_01403
OG0000025	Prbg.g_01055	Prap.g_00667
OG0000026	Prbg.g_00730	Prap.g_01903
OG0000028	Prbg.g_00591	Prap.g_00121
OG0000029	Prbg.g_00174	Prap.g_01312
OG0000031	Prbg.g_00408	Prap.g_00611
OG0000032	Prbg.g_00550	Prap.g_00080
OG0000033	Prbg.g_01544	Prap.g_00514
OG0000034	Prbg.g_00816	Prap.g_00897
OG0000034	Prbg.g_00569	Prap.g_00099
OG0000035	Prbg.g_00025	Prap.g_00017
OG0000036	Prbg.g_01639	Prap.g_01790
OG0000036	Prbg.g_00304	Prap.g_01183
OG0000037	Prbg.g_00706	Prap.g_00236
OG0000037	Prbg.g_00342	Prap.g_01145
OG0000038	Prbg.g_00682	Prap.g_00212
OG0000039	Prbg.g_00944	Prap.g_01004
OG0000040	Prbg.g_00013	Prap.g_00029
OG0000041	Prbg.g_01614	Prap.g_01815
OG0000041	Prbg.g_01608	Prap.g_01821
OG0000042	Prbg.g_01151	Prap.g_00791
OG0000043	Prbg.g_01251	Prap.g_00691
OG0000044	Prbg.g_01486	Prap.g_00456
OG0000045	Prbg.g_00551	Prap.g_00081
OG0000046	Prbg.g_01642	Prap.g_01787
OG0000046	Prbg.g_00716	Prap.g_01917
OG0000047	Prbg.g_01847	Prap.g_01580
OG0000048	Prbg.g_01855	Prap.g_01572
OG0000050	Prbg.g_00842	Prap.g_00923
OG0000051	Prbg.g_00935	Prap.g_01013
OG0000052	Prbg.g_00388	Prap.g_00591
OG0000053	Prbg.g_00256	Prap.g_01230
OG0000054	Prbg.g_00359	Prap.g_01128
OG0000055	Prbg.g_01182	Prap.g_00760
OG0000056	Prbg.g_01542	Prap.g_00512
OG0000057	Prbg.g_01019	Prap.g_01475
OG0000058	Prbg.g_00194	Prap.g_01292
OG0000059	Prbg.g_01143	Prap.g_00799
OG0000062	Prbg.g_00749	Prap.g_01883
OG0000063	Prbg.g_01459	Prap.g_00429
OG0000065	Prbg.g_00477	Prap.g_00561
OG0000066	Prbg.g_00549	Prap.g_00079
OG0000067	Prbg.g_00415	Prap.g_00619
OG0000068	Prbg.g_01785	Prap.g_01642
OG0000069	Prbg.g_00630	Prap.g_00160
OG0000071	Prbg.g_00778	Prap.g_00043
OG0000072	Prbg.g_00100	Prap.g_01389
OG0000073	Prbg.g_01386	Prap.g_00356
OG0000074	Prbg.g_01133	Prap.g_00809
OG0000075	Prbg.g_01166	Prap.g_00776
OG0000076	Prbg.g_01234	Prap.g_00708
OG0000077	Prbg.g_01566	Prap.g_01863
OG0000078	Prbg.g_00552	Prap.g_00082
OG0000079	Prbg.g_00676	Prap.g_00206
OG0000080	Prbg.g_00414	Prap.g_00618
OG0000081	Prbg.g_01819	Prap.g_01608
OG0000082	Prbg.g_00419	Prap.g_00623
OG0000083	Prbg.g_00770	Prap.g_00051
OG0000084	Prbg.g_00773	Prap.g_00048
OG0000085	Prbg.g_00851	Prap.g_00932
OG0000087	Prbg.g_00822	Prap.g_00903
OG0000088	Prbg.g_00887	Prap.g_01061
OG0000089	Prbg.g_00896	Prap.g_01052
OG0000090	Prbg.g_00913	Prap.g_01035
OG0000091	Prbg.g_00947	Prap.g_01001
OG0000092	Prbg.g_00948	Prap.g_01000
OG0000093	Prbg.g_00962	Prap.g_00986
OG0000094	Prbg.g_00981	Prap.g_00967
OG0000095	Prbg.g_00986	Prap.g_00962
OG0000096	Prbg.g_01034	Prap.g_01460
OG0000097	Prbg.g_00053	Prap.g_01436
OG0000098	Prbg.g_00064	Prap.g_01425
OG0000099	Prbg.g_00074	Prap.g_01415
OG0000100	Prbg.g_00077	Prap.g_01412
OG0000101	Prbg.g_00139	Prap.g_01347
OG0000102	Prbg.g_00459	Prap.g_00543
OG0000103	Prbg.g_00195	Prap.g_01291
OG0000104	Prbg.g_00199	Prap.g_01287
OG0000105	Prbg.g_00219	Prap.g_01267
OG0000106	Prbg.g_00249	Prap.g_01237
OG0000107	Prbg.g_00250	Prap.g_01236
OG0000108	Prbg.g_00260	Prap.g_01226
OG0000109	Prbg.g_00270	Prap.g_01217
OG0000110	Prbg.g_00287	Prap.g_01200
OG0000111	Prbg.g_01405	Prap.g_00375
OG0000112	Prbg.g_01404	Prap.g_00374
OG0000113	Prbg.g_01354	Prap.g_00324
OG0000114	Prbg.g_01157	Prap.g_00785
OG0000115	Prbg.g_01287	Prap.g_00257
OG0000116	Prbg.g_01291	Prap.g_00261
OG0000117	Prbg.g_01237	Prap.g_00705
OG0000118	Prbg.g_01531	Prap.g_00501
OG0000119	Prbg.g_00752	Prap.g_01880
OG0000120	Prbg.g_01480	Prap.g_00450
OG0000121	Prbg.g_01457	Prap.g_00427
OG0000122	Prbg.g_01437	Prap.g_00407
OG0000123	Prbg.g_00352	Prap.g_01135
OG0000124	Prbg.g_00687	Prap.g_00217
OG0000125	Prbg.g_00490	Prap.g_00574
OG0000126	Prbg.g_00529	Prap.g_00059
OG0000127	Prbg.g_00579	Prap.g_00109
OG0000128	Prbg.g_00592	Prap.g_00122
OG0000129	Prbg.g_00628	Prap.g_00158
OG0000130	Prbg.g_01647	Prap.g_01782
OG0000131	Prbg.g_01686	Prap.g_01742
OG0000132	Prbg.g_01689	Prap.g_01739
OG0000133	Prbg.g_01743	Prap.g_01685
OG0000134	Prbg.g_01779	Prap.g_01648, Prap.g_01649
OG0000135	Prbg.g_01781	Prap.g_01646
OG0000136	Prbg.g_01831	Prap.g_01596
OG0000137	Prbg.g_01865	Prap.g_01562
OG0000138	Prbg.g_01900	Prap.g_01528
OG0000139	Prbg.g_01931	Prap.g_01497
OG0000140	Prbg.g_00768	Prap.g_00053
OG0000141	Prbg.g_00769	Prap.g_00052
OG0000142	Prbg.g_00771	Prap.g_00050
OG0000143	Prbg.g_00772	Prap.g_00049
OG0000144	Prbg.g_00774	Prap.g_00047
OG0000145	Prbg.g_00775	Prap.g_00046
OG0000146	Prbg.g_00776	Prap.g_00045
OG0000147	Prbg.g_00777	Prap.g_00044
OG0000148	Prbg.g_00779	Prap.g_00042
OG0000149	Prbg.g_00860	Prap.g_00941
OG0000150	Prbg.g_00859	Prap.g_00940
OG0000151	Prbg.g_00858	Prap.g_00939
OG0000152	Prbg.g_00857	Prap.g_00938
OG0000153	Prbg.g_00856	Prap.g_00937
OG0000154	Prbg.g_00855	Prap.g_00936
OG0000155	Prbg.g_00854	Prap.g_00935
OG0000156	Prbg.g_00853	Prap.g_00934
OG0000157	Prbg.g_00852	Prap.g_00933
OG0000158	Prbg.g_00850	Prap.g_00931
OG0000159	Prbg.g_00849	Prap.g_00930
OG0000160	Prbg.g_00848	Prap.g_00929
OG0000161	Prbg.g_00847	Prap.g_00928
OG0000162	Prbg.g_00846	Prap.g_00927
OG0000163	Prbg.g_00844	Prap.g_00925
OG0000164	Prbg.g_00841	Prap.g_00922
OG0000165	Prbg.g_00838	Prap.g_00919
OG0000166	Prbg.g_00837	Prap.g_00918
OG0000167	Prbg.g_00836	Prap.g_00917
OG0000168	Prbg.g_00834	Prap.g_00915
OG0000169	Prbg.g_00832	Prap.g_00913
OG0000170	Prbg.g_00830	Prap.g_00911
OG0000171	Prbg.g_00829	Prap.g_00910
OG0000172	Prbg.g_00828	Prap.g_00909
OG0000173	Prbg.g_00825	Prap.g_00906
OG0000174	Prbg.g_00824	Prap.g_00905
OG0000175	Prbg.g_00823	Prap.g_00904
OG0000176	Prbg.g_00821	Prap.g_00902
OG0000177	Prbg.g_00820	Prap.g_00901
OG0000178	Prbg.g_00818	Prap.g_00899
OG0000179	Prbg.g_00806	Prap.g_00887
OG0000180	Prbg.g_00805	Prap.g_00886
OG0000181	Prbg.g_00804	Prap.g_00885
OG0000182	Prbg.g_00800	Prap.g_00881
OG0000183	Prbg.g_00799	Prap.g_00880
OG0000184	Prbg.g_00796	Prap.g_00877
OG0000185	Prbg.g_00792	Prap.g_01100
OG0000186	Prbg.g_00791	Prap.g_01099
OG0000187	Prbg.g_00017	Prap.g_00025
OG0000188	Prbg.g_00790	Prap.g_01098
OG0000189	Prbg.g_00789	Prap.g_01097
OG0000190	Prbg.g_00788	Prap.g_01096
OG0000191	Prbg.g_00787	Prap.g_01095
OG0000192	Prbg.g_00786	Prap.g_01094
OG0000193	Prbg.g_00785	Prap.g_01093
OG0000194	Prbg.g_00784	Prap.g_01092
OG0000195	Prbg.g_00782	Prap.g_01090
OG0000196	Prbg.g_00781	Prap.g_01089
OG0000197	Prbg.g_00780	Prap.g_01088
OG0000198	Prbg.g_00861	Prap.g_01087
OG0000199	Prbg.g_00864	Prap.g_01084
OG0000200	Prbg.g_00865	Prap.g_01083
OG0000201	Prbg.g_00866	Prap.g_01082
OG0000202	Prbg.g_00868	Prap.g_01080
OG0000203	Prbg.g_00869	Prap.g_01079
OG0000204	Prbg.g_00870	Prap.g_01078
OG0000205	Prbg.g_00872	Prap.g_01076
OG0000206	Prbg.g_00873	Prap.g_01075
OG0000207	Prbg.g_00874	Prap.g_01074
OG0000208	Prbg.g_00875	Prap.g_01073
OG0000209	Prbg.g_00876	Prap.g_01072
OG0000210	Prbg.g_00877	Prap.g_01071
OG0000211	Prbg.g_00879	Prap.g_01069
OG0000212	Prbg.g_00880	Prap.g_01068
OG0000213	Prbg.g_00881	Prap.g_01067
OG0000214	Prbg.g_00885	Prap.g_01063
OG0000215	Prbg.g_00886	Prap.g_01062
OG0000216	Prbg.g_00888	Prap.g_01060
OG0000217	Prbg.g_00889	Prap.g_01059
OG0000218	Prbg.g_00890	Prap.g_01058
OG0000219	Prbg.g_00891	Prap.g_01057
OG0000220	Prbg.g_00894	Prap.g_01054
OG0000221	Prbg.g_00897	Prap.g_01051
OG0000222	Prbg.g_00898	Prap.g_01050
OG0000223	Prbg.g_00899	Prap.g_01049
OG0000224	Prbg.g_00901	Prap.g_01047
OG0000225	Prbg.g_00903	Prap.g_01045
OG0000226	Prbg.g_00905	Prap.g_01043
OG0000227	Prbg.g_00906	Prap.g_01042
OG0000228	Prbg.g_00907	Prap.g_01041
OG0000229	Prbg.g_00908	Prap.g_01040
OG0000230	Prbg.g_00909	Prap.g_01039
OG0000231	Prbg.g_01349	Prap.g_00319
OG0000232	Prbg.g_00911	Prap.g_01037
OG0000233	Prbg.g_00914	Prap.g_01034
OG0000234	Prbg.g_00916	Prap.g_01032
OG0000235	Prbg.g_00922	Prap.g_01026
OG0000236	Prbg.g_00923	Prap.g_01025
OG0000237	Prbg.g_00924	Prap.g_01024
OG0000238	Prbg.g_00925	Prap.g_01023
OG0000239	Prbg.g_00926	Prap.g_01022
OG0000240	Prbg.g_00928	Prap.g_01020
OG0000241	Prbg.g_00929	Prap.g_01019
OG0000242	Prbg.g_00930	Prap.g_01018
OG0000243	Prbg.g_00931	Prap.g_01017
OG0000244	Prbg.g_00932	Prap.g_01016
OG0000245	Prbg.g_00934	Prap.g_01014
OG0000246	Prbg.g_00936	Prap.g_01012
OG0000247	Prbg.g_00937	Prap.g_01011
OG0000248	Prbg.g_00938	Prap.g_01010
OG0000249	Prbg.g_00939	Prap.g_01009
OG0000250	Prbg.g_00940	Prap.g_01008
OG0000251	Prbg.g_00941	Prap.g_01007
OG0000252	Prbg.g_00942	Prap.g_01006
OG0000253	Prbg.g_00943	Prap.g_01005
OG0000254	Prbg.g_00945	Prap.g_01003
OG0000255	Prbg.g_00946	Prap.g_01002
OG0000256	Prbg.g_00949	Prap.g_00999
OG0000257	Prbg.g_00951	Prap.g_00997
OG0000258	Prbg.g_00952	Prap.g_00996
OG0000259	Prbg.g_00953	Prap.g_00995
OG0000260	Prbg.g_00954	Prap.g_00994
OG0000261	Prbg.g_00955	Prap.g_00993
OG0000262	Prbg.g_00956	Prap.g_00992
OG0000263	Prbg.g_00957	Prap.g_00991
