Orthogroup	Prax	Prbd
OG0000151	Prax.g_00571	Prbd.g_00216
OG0000152	Prax.g_01129	Prbd.g_00264
OG0000153	Prax.g_01148	Prbd.g_00283
OG0000154	Prax.g_01178	Prbd.g_00314
OG0000155	Prax.g_00220	Prbd.g_00488
OG0000156	Prax.g_01910	Prbd.g_01812
OG0000157	Prax.g_01909	Prbd.g_01811
OG0000158	Prax.g_01780	Prbd.g_01736
OG0000159	Prax.g_01824	Prbd.g_01735
OG0000160	Prax.g_01727	Prbd.g_01688
OG0000161	Prax.g_01721	Prbd.g_01682
OG0000162	Prax.g_01715	Prbd.g_01676
OG0000163	Prax.g_01681	Prbd.g_01642
OG0000164	Prax.g_01535	Prbd.g_01501
OG0000165	Prax.g_01528	Prbd.g_01494
OG0000166	Prax.g_01302	Prbd.g_01427
OG0000167	Prax.g_01368	Prbd.g_01361
OG0000168	Prax.g_01378	Prbd.g_01351
OG0000169	Prax.g_01388	Prbd.g_01341
OG0000170	Prax.g_01390	Prbd.g_01339
OG0000171	Prax.g_01409	Prbd.g_01319
OG0000172	Prax.g_01418	Prbd.g_01310
OG0000173	Prax.g_01433	Prbd.g_01295
OG0000174	Prax.g_01460	Prbd.g_01268
OG0000175	Prax.g_01470	Prbd.g_01258
OG0000176	Prax.g_01494	Prbd.g_01233
OG0000177	Prax.g_01495	Prbd.g_01232
OG0000178	Prax.g_01496	Prbd.g_01231
OG0000179	Prax.g_00297	Prbd.g_01221
OG0000180	Prax.g_00296	Prbd.g_01220
OG0000181	Prax.g_00295	Prbd.g_01219
OG0000182	Prax.g_00294	Prbd.g_01218
OG0000183	Prax.g_00290	Prbd.g_01214
OG0000184	Prax.g_00621	Prbd.g_01191
OG0000185	Prax.g_00624	Prbd.g_01188
OG0000186	Prax.g_00635	Prbd.g_01180
OG0000187	Prax.g_00636	Prbd.g_01179
OG0000188	Prax.g_00653	Prbd.g_01162
OG0000189	Prax.g_01122	Prbd.g_01148
OG0000190	Prax.g_01121	Prbd.g_01147
OG0000191	Prax.g_01101	Prbd.g_01126
OG0000192	Prax.g_01097	Prbd.g_01122
OG0000193	Prax.g_01072	Prbd.g_01094
OG0000194	Prax.g_01069	Prbd.g_01091
OG0000195	Prax.g_01067	Prbd.g_01089
OG0000196	Prax.g_01057	Prbd.g_01079
OG0000197	Prax.g_01056	Prbd.g_01078
OG0000198	Prax.g_01055	Prbd.g_01077
OG0000199	Prax.g_01048	Prbd.g_01070
OG0000200	Prax.g_01034	Prbd.g_01056
OG0000201	Prax.g_01026	Prbd.g_01048
OG0000202	Prax.g_01025	Prbd.g_01047
OG0000203	Prax.g_01024	Prbd.g_01046
OG0000204	Prax.g_01023	Prbd.g_01045
OG0000205	Prax.g_01016	Prbd.g_01038
OG0000206	Prax.g_01011	Prbd.g_01033
OG0000207	Prax.g_01009	Prbd.g_01031
OG0000208	Prax.g_01008	Prbd.g_01030
OG0000209	Prax.g_00999	Prbd.g_01021
OG0000210	Prax.g_00998	Prbd.g_01020
OG0000211	Prax.g_00985	Prbd.g_01006
OG0000212	Prax.g_00978	Prbd.g_00999
OG0000213	Prax.g_00918	Prbd.g_00982
OG0000214	Prax.g_00908	Prbd.g_00972
OG0000215	Prax.g_00883	Prbd.g_00947
OG0000216	Prax.g_00881	Prbd.g_00945
OG0000217	Prax.g_00878	Prbd.g_00942
OG0000218	Prax.g_00876	Prbd.g_00940
OG0000219	Prax.g_00875	Prbd.g_00939
OG0000220	Prax.g_00874	Prbd.g_00938
OG0000221	Prax.g_00873	Prbd.g_00937
OG0000222	Prax.g_00865	Prbd.g_00929
OG0000223	Prax.g_00850	Prbd.g_00916
OG0000224	Prax.g_00848	Prbd.g_00914
OG0000225	Prax.g_00827	Prbd.g_00893
OG0000226	Prax.g_00823	Prbd.g_00889
OG0000227	Prax.g_00821	Prbd.g_00887
OG0000228	Prax.g_00818	Prbd.g_00884
OG0000229	Prax.g_00764	Prbd.g_00806
OG0000230	Prax.g_00762	Prbd.g_00804
OG0000231	Prax.g_00751	Prbd.g_00793
