Orthogroup	Syar	Prae
OG0000562	Syar.g_02318	Prae.g_00531
OG0000563	Syar.g_02317	Prae.g_00532
OG0000564	Syar.g_02316	Prae.g_00533
OG0000565	Syar.g_02312	Prae.g_00536
OG0000566	Syar.g_02308	Prae.g_00538
OG0000567	Syar.g_02304	Prae.g_00542
OG0000568	Syar.g_02302	Prae.g_00543
OG0000569	Syar.g_02301	Prae.g_00544
OG0000570	Syar.g_02300	Prae.g_00545
OG0000571	Syar.g_02298	Prae.g_00547
OG0000572	Syar.g_02201	Prae.g_00560
OG0000573	Syar.g_02191	Prae.g_00566
OG0000574	Syar.g_02190	Prae.g_00567
OG0000575	Syar.g_03180	Prae.g_00571
OG0000576	Syar.g_02187	Prae.g_00573
OG0000577	Syar.g_02186	Prae.g_00574
OG0000578	Syar.g_02185	Prae.g_00575
OG0000579	Syar.g_02184	Prae.g_00576
OG0000580	Syar.g_02183	Prae.g_00577
OG0000581	Syar.g_02175	Prae.g_00579
OG0000582	Syar.g_02131	Prae.g_00582
OG0000583	Syar.g_02132	Prae.g_00583
OG0000584	Syar.g_02133	Prae.g_00584
OG0000585	Syar.g_02170	Prae.g_00586
OG0000586	Syar.g_02171	Prae.g_00587
OG0000587	Syar.g_02173	Prae.g_00588
OG0000588	Syar.g_02275	Prae.g_00592
OG0000589	Syar.g_02261	Prae.g_00595
OG0000590	Syar.g_02260	Prae.g_00596
OG0000591	Syar.g_02246	Prae.g_00599
OG0000592	Syar.g_02245	Prae.g_00600
OG0000593	Syar.g_02414	Prae.g_00606
OG0000594	Syar.g_02415	Prae.g_00607
OG0000595	Syar.g_02416	Prae.g_00608
OG0000596	Syar.g_02421	Prae.g_00612
OG0000597	Syar.g_02424	Prae.g_00614
OG0000598	Syar.g_02425	Prae.g_00615
OG0000599	Syar.g_02428	Prae.g_00618
OG0000600	Syar.g_02429	Prae.g_00619
OG0000601	Syar.g_02430	Prae.g_00620
OG0000602	Syar.g_02435	Prae.g_00622
OG0000603	Syar.g_02436	Prae.g_00623
OG0000604	Syar.g_02438	Prae.g_00624
OG0000605	Syar.g_02440	Prae.g_00625
OG0000606	Syar.g_02443	Prae.g_00628
OG0000607	Syar.g_02446	Prae.g_00631
OG0000608	Syar.g_02447	Prae.g_00632
OG0000609	Syar.g_02470	Prae.g_00633
OG0000610	Syar.g_01917	Prae.g_00638
OG0000611	Syar.g_01914	Prae.g_00641
OG0000612	Syar.g_01913	Prae.g_00642
OG0000613	Syar.g_00712	Prae.g_00647
OG0000614	Syar.g_02012, Syar.g_01344	Prae.g_00666
OG0000615	Syar.g_02603	Prae.g_00674
OG0000616	Syar.g_00454	Prae.g_00678
OG0000617	Syar.g_01576	Prae.g_00717
OG0000618	Syar.g_01575	Prae.g_00718
OG0000619	Syar.g_01574	Prae.g_00719
OG0000620	Syar.g_01569	Prae.g_00722
OG0000621	Syar.g_01568	Prae.g_00723
OG0000622	Syar.g_01566	Prae.g_00724
OG0000623	Syar.g_01565	Prae.g_00725
OG0000624	Syar.g_01564	Prae.g_00726
OG0000625	Syar.g_01563	Prae.g_00727
OG0000626	Syar.g_01562	Prae.g_00728
OG0000627	Syar.g_01868	Prae.g_00729
OG0000628	Syar.g_01869	Prae.g_00730
OG0000629	Syar.g_01872	Prae.g_00731
OG0000630	Syar.g_02586	Prae.g_00734
OG0000631	Syar.g_02579	Prae.g_00797
OG0000632	Syar.g_02578	Prae.g_00798
OG0000633	Syar.g_02576	Prae.g_00799
OG0000634	Syar.g_02635	Prae.g_00802
OG0000635	Syar.g_02636	Prae.g_00803
OG0000636	Syar.g_02638	Prae.g_00805
OG0000637	Syar.g_02640	Prae.g_00807
OG0000638	Syar.g_02641	Prae.g_00808
OG0000639	Syar.g_02642	Prae.g_00809
OG0000640	Syar.g_02643	Prae.g_00810
OG0000641	Syar.g_02648	Prae.g_00814
OG0000642	Syar.g_02649	Prae.g_00815
OG0000643	Syar.g_02650	Prae.g_00816
OG0000644	Syar.g_02651	Prae.g_00817
OG0000645	Syar.g_02652	Prae.g_00818
OG0000646	Syar.g_02655	Prae.g_00820
OG0000647	Syar.g_02657	Prae.g_00821
OG0000648	Syar.g_02659	Prae.g_00823
OG0000649	Syar.g_02660	Prae.g_00824
OG0000650	Syar.g_02661	Prae.g_00825
OG0000651	Syar.g_02662	Prae.g_00826
OG0000652	Syar.g_02663	Prae.g_00827
OG0000653	Syar.g_02665	Prae.g_00829
OG0000654	Syar.g_02666	Prae.g_00830
OG0000655	Syar.g_02667	Prae.g_00831
OG0000656	Syar.g_02479	Prae.g_00834
OG0000657	Syar.g_01812	Prae.g_00841
OG0000658	Syar.g_01815	Prae.g_00842
OG0000659	Syar.g_01816	Prae.g_00843
OG0000660	Syar.g_01820	Prae.g_00847
OG0000661	Syar.g_03175, Syar.g_01822	Prae.g_00849
OG0000662	Syar.g_01829	Prae.g_00851
OG0000663	Syar.g_01832	Prae.g_00853
OG0000664	Syar.g_01837	Prae.g_00854
OG0000665	Syar.g_02774	Prae.g_00858
OG0000666	Syar.g_01241	Prae.g_00859
OG0000667	Syar.g_02346	Prae.g_00863
OG0000668	Syar.g_01802	Prae.g_00892
OG0000669	Syar.g_01627	Prae.g_00900
OG0000670	Syar.g_01624	Prae.g_00902
OG0000671	Syar.g_01622	Prae.g_00904
OG0000672	Syar.g_01619	Prae.g_00906
OG0000673	Syar.g_01615	Prae.g_00909
OG0000674	Syar.g_01613	Prae.g_00911
OG0000675	Syar.g_01612	Prae.g_00912
OG0000676	Syar.g_01608	Prae.g_00914
OG0000677	Syar.g_01607	Prae.g_00915
OG0000678	Syar.g_02037	Prae.g_00917
OG0000679	Syar.g_02606	Prae.g_00921
OG0000680	Syar.g_02607	Prae.g_00922
OG0000681	Syar.g_02610	Prae.g_00924
OG0000682	Syar.g_02611	Prae.g_00925
OG0000683	Syar.g_02612	Prae.g_00926
OG0000684	Syar.g_02615	Prae.g_00927
OG0000685	Syar.g_02617	Prae.g_00929
OG0000686	Syar.g_02618	Prae.g_00930
OG0000687	Syar.g_02619	Prae.g_00931
OG0000688	Syar.g_02624	Prae.g_00934
OG0000689	Syar.g_02626	Prae.g_00935
OG0000690	Syar.g_02627	Prae.g_00936
OG0000691	Syar.g_02628	Prae.g_00937
OG0000692	Syar.g_02629	Prae.g_00938
OG0000693	Syar.g_02631	Prae.g_00939
OG0000694	Syar.g_02632	Prae.g_00940
OG0000695	Syar.g_02573	Prae.g_00942
OG0000696	Syar.g_02572	Prae.g_00943
OG0000697	Syar.g_02570	Prae.g_00944
OG0000698	Syar.g_02567	Prae.g_00947
OG0000699	Syar.g_02566	Prae.g_00948
OG0000700	Syar.g_02565	Prae.g_00949
OG0000701	Syar.g_02564	Prae.g_00950
OG0000702	Syar.g_02559	Prae.g_00952
OG0000703	Syar.g_02557	Prae.g_00953
OG0000704	Syar.g_02555	Prae.g_00954
OG0000705	Syar.g_02547	Prae.g_00958
OG0000706	Syar.g_02546	Prae.g_00959
OG0000707	Syar.g_02545	Prae.g_00960
OG0000708	Syar.g_02542	Prae.g_00961
OG0000709	Syar.g_02534	Prae.g_00965
OG0000710	Syar.g_02528	Prae.g_00968
OG0000711	Syar.g_02499	Prae.g_00985
OG0000712	Syar.g_02497	Prae.g_00987
OG0000713	Syar.g_02496	Prae.g_00988
OG0000714	Syar.g_02494	Prae.g_00989
OG0000715	Syar.g_02492	Prae.g_00991
OG0000716	Syar.g_02488	Prae.g_00993
OG0000717	Syar.g_02487	Prae.g_00994
OG0000718	Syar.g_02483	Prae.g_01009
OG0000719	Syar.g_01804	Prae.g_01011
OG0000720	Syar.g_01790	Prae.g_01020
OG0000721	Syar.g_01788	Prae.g_01022
OG0000722	Syar.g_01787	Prae.g_01023
OG0000723	Syar.g_01560	Prae.g_01026
OG0000724	Syar.g_01367, Syar.g_02120	Prae.g_01035
OG0000725	Syar.g_01934	Prae.g_01041
OG0000726	Syar.g_01935	Prae.g_01042
OG0000727	Syar.g_01936	Prae.g_01043
OG0000728	Syar.g_01938	Prae.g_01045
OG0000729	Syar.g_00593	Prae.g_01092
OG0000730	Syar.g_01115	Prae.g_01096
OG0000731	Syar.g_01127	Prae.g_01100
OG0000732	Syar.g_00522	Prae.g_01109
OG0000733	Syar.g_02234	Prae.g_01131
OG0000734	Syar.g_03128	Prae.g_01148
OG0000735	Syar.g_01522	Prae.g_01150
OG0000736	Syar.g_01523	Prae.g_01151
OG0000737	Syar.g_01524	Prae.g_01152
OG0000738	Syar.g_01530	Prae.g_01156
OG0000739	Syar.g_01531	Prae.g_01157
OG0000740	Syar.g_01532	Prae.g_01158
OG0000741	Syar.g_01535	Prae.g_01159
OG0000742	Syar.g_01538	Prae.g_01162
OG0000743	Syar.g_01541	Prae.g_01164
OG0000744	Syar.g_01542	Prae.g_01165
OG0000745	Syar.g_01545	Prae.g_01166
OG0000746	Syar.g_01549	Prae.g_01168
OG0000747	Syar.g_01551	Prae.g_01169
OG0000748	Syar.g_01945	Prae.g_01172
OG0000749	Syar.g_01946	Prae.g_01173
OG0000750	Syar.g_01947	Prae.g_01174
OG0000751	Syar.g_01952	Prae.g_01176
OG0000752	Syar.g_01954	Prae.g_01178
OG0000753	Syar.g_01957	Prae.g_01181
OG0000754	Syar.g_01963	Prae.g_01184
OG0000755	Syar.g_01974	Prae.g_01187
OG0000756	Syar.g_01975	Prae.g_01188
OG0000757	Syar.g_01984	Prae.g_01194
OG0000758	Syar.g_01985	Prae.g_01195
OG0000759	Syar.g_01986	Prae.g_01196
OG0000760	Syar.g_01987	Prae.g_01197
OG0000761	Syar.g_01988	Prae.g_01198
OG0000762	Syar.g_01992	Prae.g_01199
OG0000763	Syar.g_01699	Prae.g_01201
OG0000764	Syar.g_01700	Prae.g_01202
OG0000765	Syar.g_01718	Prae.g_01211
OG0000766	Syar.g_01719	Prae.g_01212
OG0000767	Syar.g_01721	Prae.g_01214
OG0000768	Syar.g_01722	Prae.g_01215
OG0000769	Syar.g_01724	Prae.g_01217
OG0000770	Syar.g_01727	Prae.g_01219
OG0000771	Syar.g_01373	Prae.g_01434
OG0000772	Syar.g_00746	Prae.g_01293
OG0000773	Syar.g_02694	Prae.g_01319
OG0000774	Syar.g_02771	Prae.g_01321
OG0000775	Syar.g_02773	Prae.g_01324
OG0000776	Syar.g_01755	Prae.g_01325
OG0000777	Syar.g_01754	Prae.g_01326
OG0000778	Syar.g_01753	Prae.g_01327
OG0000779	Syar.g_02779	Prae.g_01331
OG0000780	Syar.g_02781	Prae.g_01332
OG0000781	Syar.g_02785	Prae.g_01335
OG0000782	Syar.g_02786	Prae.g_01336
OG0000783	Syar.g_02787	Prae.g_01337
OG0000784	Syar.g_02788	Prae.g_01338
OG0000785	Syar.g_02791	Prae.g_01340
OG0000786	Syar.g_02795	Prae.g_01342
OG0000787	Syar.g_02796	Prae.g_01343
OG0000788	Syar.g_02331	Prae.g_01355
OG0000789	Syar.g_02040	Prae.g_01358
OG0000790	Syar.g_01456	Prae.g_01373
OG0000791	Syar.g_01454	Prae.g_01375
OG0000792	Syar.g_01453	Prae.g_01376
OG0000793	Syar.g_01243	Prae.g_01379
OG0000794	Syar.g_01242	Prae.g_01380
OG0000795	Syar.g_01240	Prae.g_01381
OG0000796	Syar.g_01236	Prae.g_01385
OG0000797	Syar.g_01235	Prae.g_01386
OG0000798	Syar.g_00222, Syar.g_02701	Prae.g_01420
OG0000799	Syar.g_02844	Prae.g_01441
OG0000800	Syar.g_02843	Prae.g_01442
OG0000801	Syar.g_02842	Prae.g_01443
OG0000802	Syar.g_02825	Prae.g_01445
OG0000803	Syar.g_02822	Prae.g_01447
OG0000804	Syar.g_02819	Prae.g_01448
OG0000805	Syar.g_02817	Prae.g_01450
OG0000806	Syar.g_02815	Prae.g_01452
OG0000807	Syar.g_02814	Prae.g_01453
OG0000808	Syar.g_02813	Prae.g_01454
OG0000809	Syar.g_02811	Prae.g_01457
OG0000810	Syar.g_02810	Prae.g_01458
OG0000811	Syar.g_02805	Prae.g_01462
OG0000812	Syar.g_02803	Prae.g_01464
OG0000813	Syar.g_02802	Prae.g_01465
OG0000814	Syar.g_02800	Prae.g_01467
OG0000815	Syar.g_02799	Prae.g_01468
OG0000816	Syar.g_02797	Prae.g_01470
OG0000817	Syar.g_02861	Prae.g_01471
OG0000818	Syar.g_01418	Prae.g_01476
OG0000819	Syar.g_01417	Prae.g_01477
OG0000820	Syar.g_01416	Prae.g_01478
OG0000821	Syar.g_01410	Prae.g_01482
OG0000822	Syar.g_01408	Prae.g_01483
OG0000823	Syar.g_00017, Syar.g_01407	Prae.g_01484
OG0000824	Syar.g_01402	Prae.g_01487
OG0000825	Syar.g_01401	Prae.g_01488
OG0000826	Syar.g_01400	Prae.g_01489
OG0000827	Syar.g_01399	Prae.g_01490
OG0000828	Syar.g_01396	Prae.g_01493
OG0000829	Syar.g_01395	Prae.g_01494
OG0000830	Syar.g_01394	Prae.g_01495
OG0000831	Syar.g_01391	Prae.g_01497
OG0000832	Syar.g_01213	Prae.g_01503
OG0000833	Syar.g_02877	Prae.g_01511
OG0000834	Syar.g_02878	Prae.g_01512
OG0000835	Syar.g_02879	Prae.g_01513
OG0000836	Syar.g_02881	Prae.g_01514
OG0000837	Syar.g_02882	Prae.g_01515
OG0000838	Syar.g_02886	Prae.g_01517
OG0000839	Syar.g_02887	Prae.g_01518
OG0000840	Syar.g_02888	Prae.g_01519
OG0000841	Syar.g_02889	Prae.g_01520
OG0000842	Syar.g_02890	Prae.g_01521
OG0000843	Syar.g_02891	Prae.g_01522
OG0000844	Syar.g_02893	Prae.g_01523
OG0000845	Syar.g_02894	Prae.g_01524
OG0000846	Syar.g_02895	Prae.g_01525
OG0000847	Syar.g_02896	Prae.g_01526
OG0000848	Syar.g_02898	Prae.g_01527
OG0000849	Syar.g_02899	Prae.g_01528
OG0000850	Syar.g_02902	Prae.g_01530
OG0000851	Syar.g_02905	Prae.g_01531
OG0000852	Syar.g_02906	Prae.g_01532
OG0000853	Syar.g_02910	Prae.g_01536
OG0000854	Syar.g_02912	Prae.g_01538
OG0000855	Syar.g_02913	Prae.g_01539
OG0000856	Syar.g_02243	Prae.g_01554
OG0000857	Syar.g_02656	Prae.g_01582
OG0000858	Syar.g_02920	Prae.g_01617
OG0000859	Syar.g_02921	Prae.g_01618
OG0000860	Syar.g_02931	Prae.g_01625
OG0000861	Syar.g_02932	Prae.g_01626
OG0000862	Syar.g_02942	Prae.g_01627
OG0000863	Syar.g_02944	Prae.g_01629
OG0000864	Syar.g_02945	Prae.g_01630
OG0000865	Syar.g_02946	Prae.g_01631
OG0000866	Syar.g_02947	Prae.g_01632
OG0000867	Syar.g_02948	Prae.g_01633
OG0000868	Syar.g_02950	Prae.g_01634
OG0000869	Syar.g_02955	Prae.g_01638
OG0000870	Syar.g_02960	Prae.g_01643
OG0000871	Syar.g_02961	Prae.g_01644
OG0000872	Syar.g_02967	Prae.g_01645
OG0000873	Syar.g_02970	Prae.g_01648
OG0000874	Syar.g_02974	Prae.g_01651
OG0000875	Syar.g_02975	Prae.g_01652
OG0000876	Syar.g_01828	Prae.g_01653
OG0000877	Syar.g_02977	Prae.g_01655
OG0000878	Syar.g_02978	Prae.g_01656
OG0000879	Syar.g_02979	Prae.g_01657
OG0000880	Syar.g_02980	Prae.g_01658
OG0000881	Syar.g_02984	Prae.g_01662
OG0000882	Syar.g_02989	Prae.g_01667
OG0000883	Syar.g_02992	Prae.g_01668
OG0000884	Syar.g_02994	Prae.g_01670
OG0000885	Syar.g_02995	Prae.g_01671
OG0000886	Syar.g_02996	Prae.g_01672
OG0000887	Syar.g_02998	Prae.g_01673
OG0000888	Syar.g_03000	Prae.g_01675
OG0000889	Syar.g_03002	Prae.g_01677
OG0000890	Syar.g_03005	Prae.g_01678
OG0000891	Syar.g_03006	Prae.g_01679
OG0000892	Syar.g_03008	Prae.g_01681
OG0000893	Syar.g_00150	Prae.g_01686
OG0000894	Syar.g_00145	Prae.g_01688
OG0000895	Syar.g_00141	Prae.g_01691
OG0000896	Syar.g_00140	Prae.g_01692
OG0000897	Syar.g_00138	Prae.g_01694
OG0000898	Syar.g_00137	Prae.g_01695
OG0000899	Syar.g_00136	Prae.g_01696
OG0000900	Syar.g_00135	Prae.g_01697
OG0000901	Syar.g_00130	Prae.g_01700
OG0000902	Syar.g_01013	Prae.g_01702
OG0000903	Syar.g_01026	Prae.g_01705
OG0000904	Syar.g_01021	Prae.g_01707
OG0000905	Syar.g_01018	Prae.g_01712
OG0000906	Syar.g_01015	Prae.g_01713
OG0000907	Syar.g_01028	Prae.g_01716
OG0000908	Syar.g_01031	Prae.g_01719
OG0000909	Syar.g_01032	Prae.g_01720
OG0000910	Syar.g_01033	Prae.g_01721
OG0000911	Syar.g_01035	Prae.g_01723
OG0000912	Syar.g_01036	Prae.g_01724
OG0000913	Syar.g_01037	Prae.g_01725
OG0000914	Syar.g_01038	Prae.g_01726
OG0000915	Syar.g_01040	Prae.g_01727
OG0000916	Syar.g_01041	Prae.g_01728
OG0000917	Syar.g_01042	Prae.g_01729
OG0000918	Syar.g_01043	Prae.g_01730
OG0000919	Syar.g_01044	Prae.g_01731
OG0000920	Syar.g_01045	Prae.g_01732
OG0000921	Syar.g_01046	Prae.g_01733
OG0000922	Syar.g_01047	Prae.g_01734
OG0000923	Syar.g_01051	Prae.g_01738
OG0000924	Syar.g_01052	Prae.g_01739
OG0000925	Syar.g_01053	Prae.g_01740
OG0000926	Syar.g_01054	Prae.g_01741
OG0000927	Syar.g_01056	Prae.g_01743
OG0000928	Syar.g_01057	Prae.g_01744
OG0000929	Syar.g_01058	Prae.g_01745
OG0000930	Syar.g_01059	Prae.g_01746
OG0000931	Syar.g_01060	Prae.g_01747
OG0000932	Syar.g_01061	Prae.g_01748
OG0000933	Syar.g_01066	Prae.g_01752
OG0000934	Syar.g_01068	Prae.g_01754
OG0000935	Syar.g_01069	Prae.g_01755
OG0000936	Syar.g_01070	Prae.g_01756
OG0000937	Syar.g_01071	Prae.g_01757
OG0000938	Syar.g_01074	Prae.g_01759
OG0000939	Syar.g_01075	Prae.g_01760
OG0000940	Syar.g_01081	Prae.g_01768
OG0000941	Syar.g_01083	Prae.g_01770
OG0000942	Syar.g_01085	Prae.g_01772
OG0000943	Syar.g_01086	Prae.g_01773
OG0000944	Syar.g_01088	Prae.g_01774
OG0000945	Syar.g_01089	Prae.g_01775
OG0000946	Syar.g_01095	Prae.g_01779
OG0000947	Syar.g_01098	Prae.g_01781
OG0000948	Syar.g_01099	Prae.g_01782
OG0000949	Syar.g_00283	Prae.g_01785
OG0000950	Syar.g_00661	Prae.g_01790
OG0000951	Syar.g_00656	Prae.g_01794
OG0000952	Syar.g_00651	Prae.g_01798
OG0000953	Syar.g_00248	Prae.g_01801
OG0000954	Syar.g_00258	Prae.g_01805
OG0000955	Syar.g_00259	Prae.g_01806
OG0000956	Syar.g_00261	Prae.g_01808
OG0000957	Syar.g_00610	Prae.g_01813
OG0000958	Syar.g_00609	Prae.g_01814
OG0000959	Syar.g_00605	Prae.g_01818
OG0000960	Syar.g_00604	Prae.g_01819
OG0000961	Syar.g_00094	Prae.g_01821
OG0000962	Syar.g_00594	Prae.g_01823
OG0000963	Syar.g_00590	Prae.g_01827
OG0000964	Syar.g_00589	Prae.g_01828
OG0000965	Syar.g_00588	Prae.g_01829
OG0000966	Syar.g_00549	Prae.g_01836
OG0000967	Syar.g_00545	Prae.g_01840
OG0000968	Syar.g_00542	Prae.g_01842
OG0000969	Syar.g_00540	Prae.g_01843
OG0000970	Syar.g_00539	Prae.g_01844
OG0000971	Syar.g_00537	Prae.g_01845
OG0000972	Syar.g_00536	Prae.g_01846
OG0000973	Syar.g_00535	Prae.g_01847
OG0000974	Syar.g_00534	Prae.g_01848
OG0000975	Syar.g_00533	Prae.g_01849
OG0000976	Syar.g_00532	Prae.g_01850
OG0000977	Syar.g_00530	Prae.g_01851
OG0000978	Syar.g_00529	Prae.g_01852
OG0000979	Syar.g_00526	Prae.g_01855
OG0000980	Syar.g_00523	Prae.g_01857
OG0000981	Syar.g_00520	Prae.g_01859
OG0000982	Syar.g_00331	Prae.g_01861
OG0000983	Syar.g_00332	Prae.g_01862
OG0000984	Syar.g_00333	Prae.g_01863
OG0000985	Syar.g_00337	Prae.g_01866
OG0000986	Syar.g_00344	Prae.g_01868
OG0000987	Syar.g_00346	Prae.g_01869
OG0000988	Syar.g_00352	Prae.g_01872
OG0000989	Syar.g_00377	Prae.g_01876
OG0000990	Syar.g_00697	Prae.g_01879
OG0000991	Syar.g_00700	Prae.g_01880
OG0000992	Syar.g_00704	Prae.g_01882
OG0000993	Syar.g_00705	Prae.g_01883
OG0000994	Syar.g_00708	Prae.g_01884
OG0000995	Syar.g_03212, Syar.g_00624	Prae.g_01888
OG0000996	Syar.g_00861	Prae.g_01889
OG0000997	Syar.g_00437	Prae.g_01890
OG0000998	Syar.g_00439	Prae.g_01892
OG0000999	Syar.g_00440	Prae.g_01893
OG0001000	Syar.g_00955, Syar.g_00444	Prae.g_01896
OG0001001	Syar.g_00450	Prae.g_01898
OG0001002	Syar.g_00457	Prae.g_01902
OG0001003	Syar.g_00459	Prae.g_01903
OG0001004	Syar.g_00460	Prae.g_01904
OG0001005	Syar.g_00461	Prae.g_01905
OG0001006	Syar.g_00468	Prae.g_01909
OG0001007	Syar.g_00470	Prae.g_01911
OG0001008	Syar.g_01178, Syar.g_03274	Prae.g_00411
OG0001009	Syar.g_00500	Prae.g_00027
OG0001010	Syar.g_00501	Prae.g_00028
OG0001011	Syar.g_00503	Prae.g_00029
OG0001013	Syar.g_00906	Prae.g_00050
OG0001014	Syar.g_00914	Prae.g_00053
OG0001015	Syar.g_00915	Prae.g_00054
OG0001017	Syar.g_03050	Prae.g_00077
OG0001018	Syar.g_03052	Prae.g_00080
OG0001019	Syar.g_03086	Prae.g_00089
OG0001020	Syar.g_03092	Prae.g_00090
OG0001021	Syar.g_03098	Prae.g_00091
OG0001022	Syar.g_03102	Prae.g_00094
OG0001023	Syar.g_03103	Prae.g_00095
OG0001024	Syar.g_02276	Prae.g_00098
OG0001025	Syar.g_03115	Prae.g_00104
OG0001026	Syar.g_03131	Prae.g_00110
OG0001027	Syar.g_00031	Prae.g_00111
OG0001028	Syar.g_00034	Prae.g_00113
OG0001029	Syar.g_00036	Prae.g_00115
OG0001030	Syar.g_00058	Prae.g_00130
OG0001031	Syar.g_00129	Prae.g_00189
OG0001032	Syar.g_01011	Prae.g_00190
OG0001033	Syar.g_00962	Prae.g_00211
OG0001034	Syar.g_03022	Prae.g_00239
OG0001035	Syar.g_00171	Prae.g_00257
OG0001036	Syar.g_00193	Prae.g_00262
OG0001037	Syar.g_00195	Prae.g_00263
OG0001038	Syar.g_00223	Prae.g_00279
OG0001039	Syar.g_00226	Prae.g_00282
OG0001040	Syar.g_00229	Prae.g_00284
OG0001041	Syar.g_00234	Prae.g_00288
OG0001042	Syar.g_00831	Prae.g_00305
OG0001043	Syar.g_00826	Prae.g_00306
OG0001044	Syar.g_01117	Prae.g_00334
OG0001045	Syar.g_01130	Prae.g_00342
OG0001046	Syar.g_02514	Prae.g_00379
OG0001047	Syar.g_01180	Prae.g_00413
OG0001048	Syar.g_01181	Prae.g_00414
OG0001049	Syar.g_02872	Prae.g_00416
OG0001050	Syar.g_02871	Prae.g_00417
OG0001051	Syar.g_02870	Prae.g_00418
OG0001052	Syar.g_01269	Prae.g_00445
OG0001053	Syar.g_01472	Prae.g_00457
OG0001054	Syar.g_01492	Prae.g_00472
OG0001055	Syar.g_01513	Prae.g_00491
OG0001056	Syar.g_02349	Prae.g_00511
OG0001057	Syar.g_02341	Prae.g_00516
OG0001058	Syar.g_02324	Prae.g_00524
OG0001059	Syar.g_00422	Prae.g_00528
OG0001060	Syar.g_02315	Prae.g_00535
OG0001061	Syar.g_02297	Prae.g_00548
OG0001062	Syar.g_02294	Prae.g_00550
OG0001063	Syar.g_02209	Prae.g_00552
OG0001064	Syar.g_02208	Prae.g_00553
OG0001065	Syar.g_02207	Prae.g_00554
OG0001066	Syar.g_02206	Prae.g_00555
OG0001067	Syar.g_02205	Prae.g_00556
OG0001068	Syar.g_02204	Prae.g_00557
OG0001069	Syar.g_02203	Prae.g_00558
OG0001070	Syar.g_02200	Prae.g_00561
OG0001071	Syar.g_02199	Prae.g_00562
OG0001072	Syar.g_02195	Prae.g_00564
OG0001073	Syar.g_02182	Prae.g_00578
OG0001074	Syar.g_02031	Prae.g_00589
OG0001075	Syar.g_02215	Prae.g_00590
OG0001076	Syar.g_02253	Prae.g_00598
OG0001077	Syar.g_02240	Prae.g_00602
OG0001078	Syar.g_02419	Prae.g_00610
OG0001079	Syar.g_02431	Prae.g_00621
OG0001080	Syar.g_02442	Prae.g_00627
OG0001081	Syar.g_02444	Prae.g_00629
OG0001082	Syar.g_02445	Prae.g_00630
OG0001083	Syar.g_02473	Prae.g_00635
OG0001084	Syar.g_02474	Prae.g_00636
OG0001085	Syar.g_01688	Prae.g_00644
OG0001086	Syar.g_01686	Prae.g_00645
OG0001087	Syar.g_02347	Prae.g_00662
OG0001088	Syar.g_00431	Prae.g_00663
OG0001089	Syar.g_01942	Prae.g_00671
OG0001090	Syar.g_01582	Prae.g_00712
OG0001091	Syar.g_01580	Prae.g_00714
OG0001092	Syar.g_01578	Prae.g_00715
OG0001093	Syar.g_01572	Prae.g_00720
OG0001094	Syar.g_02633	Prae.g_00800
OG0001095	Syar.g_02653	Prae.g_00819
OG0001096	Syar.g_02476	Prae.g_00832
OG0001097	Syar.g_01823	Prae.g_00850
OG0001098	Syar.g_01672	Prae.g_00865
OG0001099	Syar.g_00035	Prae.g_00897
OG0001100	Syar.g_01625	Prae.g_00901
OG0001101	Syar.g_01623	Prae.g_00903
OG0001102	Syar.g_01620	Prae.g_00905
OG0001103	Syar.g_01618	Prae.g_00907
OG0001104	Syar.g_02616	Prae.g_00928
OG0001105	Syar.g_02620	Prae.g_00932
OG0001106	Syar.g_02553	Prae.g_00955
OG0001107	Syar.g_02541	Prae.g_00962
OG0001109	Syar.g_02529	Prae.g_00967
OG0001110	Syar.g_02527	Prae.g_00969
OG0001111	Syar.g_02525	Prae.g_00970
OG0001112	Syar.g_02523	Prae.g_00971
OG0001113	Syar.g_02522	Prae.g_00972
OG0001114	Syar.g_02521	Prae.g_00973
OG0001115	Syar.g_02519	Prae.g_00975
OG0001116	Syar.g_02517	Prae.g_00976
OG0001117	Syar.g_02516	Prae.g_00977
OG0001118	Syar.g_02515	Prae.g_00978
OG0001119	Syar.g_02513	Prae.g_00979
OG0001120	Syar.g_02507	Prae.g_00981
OG0001122	Syar.g_01803	Prae.g_01012
OG0001123	Syar.g_01796	Prae.g_01016
OG0001124	Syar.g_01793	Prae.g_01018
OG0001125	Syar.g_01791	Prae.g_01019
OG0001126	Syar.g_01375	Prae.g_01029
OG0001127	Syar.g_01374	Prae.g_01030
OG0001128	Syar.g_01371	Prae.g_01032
OG0001129	Syar.g_01369	Prae.g_01033
OG0001130	Syar.g_01368	Prae.g_01034
OG0001131	Syar.g_02448	Prae.g_01072
OG0001132	Syar.g_00684	Prae.g_01081
OG0001133	Syar.g_02249	Prae.g_01115
OG0001134	Syar.g_02235	Prae.g_01130
OG0001135	Syar.g_02232	Prae.g_01133
OG0001136	Syar.g_01536	Prae.g_01160
OG0001137	Syar.g_01944	Prae.g_01171
OG0001138	Syar.g_01977	Prae.g_01189
OG0001139	Syar.g_01980	Prae.g_01190
OG0001140	Syar.g_01981	Prae.g_01191
OG0001141	Syar.g_01982	Prae.g_01192
OG0001142	Syar.g_01983	Prae.g_01193
OG0001143	Syar.g_01698	Prae.g_01200
OG0001144	Syar.g_01707	Prae.g_01205
