Orthogroup	Syar	Prae
OG0000205	Syar.g_00988	Prae.g_00205
OG0000206	Syar.g_00963	Prae.g_00210
OG0000207	Syar.g_00957	Prae.g_00212
OG0000208	Syar.g_00956	Prae.g_00213
OG0000209	Syar.g_00936, Syar.g_03261	Prae.g_00222
OG0000210	Syar.g_00935, Syar.g_03260	Prae.g_00223
OG0000211	Syar.g_03026	Prae.g_00236
OG0000212	Syar.g_03017	Prae.g_00243
OG0000213	Syar.g_00187	Prae.g_00260
OG0000214	Syar.g_00209	Prae.g_00270
OG0000215	Syar.g_00239	Prae.g_00293
OG0000216	Syar.g_00244	Prae.g_00295
OG0000217	Syar.g_00854	Prae.g_00298
OG0000218	Syar.g_00852	Prae.g_00300
OG0000219	Syar.g_00851	Prae.g_00301
OG0000220	Syar.g_00850, Syar.g_02026	Prae.g_00302
OG0000221	Syar.g_00834	Prae.g_00303
OG0000222	Syar.g_02119, Syar.g_00728	Prae.g_00311
OG0000223	Syar.g_00649	Prae.g_00324
OG0000224	Syar.g_00762, Syar.g_00273	Prae.g_00326
OG0000225	Syar.g_01142	Prae.g_00345
OG0000226	Syar.g_01146	Prae.g_00349
OG0000227	Syar.g_01148	Prae.g_00351
OG0000228	Syar.g_01161	Prae.g_00354
OG0000229	Syar.g_01177, Syar.g_03273	Prae.g_00410
OG0000230	Syar.g_01179, Syar.g_03275	Prae.g_00412
OG0000231	Syar.g_02865, Syar.g_03151	Prae.g_00423
OG0000232	Syar.g_01424	Prae.g_00432
OG0000233	Syar.g_03183, Syar.g_01247	Prae.g_00437
OG0000234	Syar.g_01275	Prae.g_00450
OG0000235	Syar.g_01468	Prae.g_00453
OG0000236	Syar.g_03311, Syar.g_01484	Prae.g_00467
OG0000237	Syar.g_01503	Prae.g_00480
OG0000238	Syar.g_01508	Prae.g_00486
OG0000239	Syar.g_03277, Syar.g_02687	Prae.g_00499
OG0000240	Syar.g_03278, Syar.g_02686	Prae.g_00500
OG0000241	Syar.g_02410	Prae.g_00504
OG0000242	Syar.g_01926	Prae.g_00506
OG0000243	Syar.g_02335	Prae.g_00518
OG0000244	Syar.g_02327	Prae.g_00521
OG0000245	Syar.g_02325, Syar.g_03238	Prae.g_00523
OG0000246	Syar.g_02321	Prae.g_00527
OG0000247	Syar.g_02310	Prae.g_00537
OG0000248	Syar.g_02307, Syar.g_03293	Prae.g_00539
OG0000249	Syar.g_02305	Prae.g_00541
OG0000250	Syar.g_02299, Syar.g_03194	Prae.g_00546
OG0000251	Syar.g_03207, Syar.g_02194	Prae.g_00565
OG0000252	Syar.g_02189, Syar.g_03263	Prae.g_00568
OG0000253	Syar.g_02028, Syar.g_03229	Prae.g_00569
OG0000254	Syar.g_02169	Prae.g_00585
OG0000255	Syar.g_00011, Syar.g_02224	Prae.g_00591
OG0000256	Syar.g_02244	Prae.g_00601
OG0000257	Syar.g_02407, Syar.g_01762	Prae.g_00604
OG0000258	Syar.g_02427, Syar.g_00010	Prae.g_00617
OG0000259	Syar.g_02472	Prae.g_00634
OG0000260	Syar.g_03220, Syar.g_02475	Prae.g_00637
OG0000261	Syar.g_01916	Prae.g_00639
OG0000262	Syar.g_01690	Prae.g_00643
OG0000263	Syar.g_01991	Prae.g_00655
OG0000264	Syar.g_02135, Syar.g_03267	Prae.g_00665
OG0000266	Syar.g_01570	Prae.g_00721
OG0000267	Syar.g_01873	Prae.g_00732
OG0000268	Syar.g_02589	Prae.g_00733
OG0000269	Syar.g_02634	Prae.g_00801
OG0000270	Syar.g_00744, Syar.g_02637	Prae.g_00804
OG0000271	Syar.g_02645	Prae.g_00812
OG0000272	Syar.g_02646	Prae.g_00813
OG0000273	Syar.g_02481, Syar.g_00008	Prae.g_00836
OG0000274	Syar.g_00009, Syar.g_02482	Prae.g_00837
OG0000275	Syar.g_01810	Prae.g_00839
OG0000276	Syar.g_01817	Prae.g_00844
OG0000277	Syar.g_01818, Syar.g_03242	Prae.g_00845
OG0000278	Syar.g_01821, Syar.g_03174	Prae.g_00848
OG0000279	Syar.g_01838	Prae.g_00855
OG0000280	Syar.g_02067, Syar.g_00734	Prae.g_00856
OG0000281	Syar.g_02218	Prae.g_00861
OG0000282	Syar.g_01614, Syar.g_03255	Prae.g_00910
OG0000283	Syar.g_02574	Prae.g_00941
OG0000284	Syar.g_03258, Syar.g_02568	Prae.g_00946
OG0000285	Syar.g_02560	Prae.g_00951
OG0000286	Syar.g_02540	Prae.g_00963
OG0000287	Syar.g_02512	Prae.g_00980
OG0000288	Syar.g_01801	Prae.g_01013
OG0000289	Syar.g_03305, Syar.g_01786	Prae.g_01024
OG0000290	Syar.g_01928	Prae.g_01037
OG0000291	Syar.g_01930	Prae.g_01039
OG0000292	Syar.g_00463	Prae.g_01090
OG0000293	Syar.g_03297, Syar.g_01526	Prae.g_01154
OG0000294	Syar.g_01527, Syar.g_03296	Prae.g_01155
OG0000295	Syar.g_01951, Syar.g_03208	Prae.g_01175
OG0000296	Syar.g_01953	Prae.g_01177
OG0000297	Syar.g_01967, Syar.g_03216	Prae.g_01185
OG0000298	Syar.g_01968, Syar.g_03215	Prae.g_01186
OG0000299	Syar.g_01704	Prae.g_01203
OG0000300	Syar.g_01646, Syar.g_01711	Prae.g_01206
OG0000301	Syar.g_01712	Prae.g_01207
OG0000302	Syar.g_01713	Prae.g_01209
OG0000303	Syar.g_03136, Syar.g_01723	Prae.g_01216
OG0000304	Syar.g_01728	Prae.g_01220
OG0000305	Syar.g_01933, Syar.g_03163	Prae.g_01360
OG0000306	Syar.g_01884, Syar.g_03140	Prae.g_01363
OG0000307	Syar.g_01452, Syar.g_03153	Prae.g_01377
OG0000308	Syar.g_01450	Prae.g_01378
OG0000309	Syar.g_01239	Prae.g_01382
OG0000310	Syar.g_02826	Prae.g_01444
OG0000311	Syar.g_02823	Prae.g_01446
OG0000312	Syar.g_00015, Syar.g_02818	Prae.g_01449
OG0000313	Syar.g_02804	Prae.g_01463
OG0000314	Syar.g_01403	Prae.g_01486
OG0000315	Syar.g_01393	Prae.g_01496
OG0000316	Syar.g_02885	Prae.g_01516
OG0000317	Syar.g_02926	Prae.g_01621
OG0000318	Syar.g_02930	Prae.g_01624
OG0000319	Syar.g_02954	Prae.g_01637
OG0000320	Syar.g_02956	Prae.g_01639
OG0000321	Syar.g_02957	Prae.g_01640
OG0000322	Syar.g_02958	Prae.g_01641
OG0000323	Syar.g_02973	Prae.g_01650
OG0000324	Syar.g_00350, Syar.g_03001	Prae.g_01676
OG0000325	Syar.g_03291, Syar.g_00148	Prae.g_01687
OG0000326	Syar.g_00139, Syar.g_03134	Prae.g_01693
OG0000327	Syar.g_01029	Prae.g_01717
OG0000328	Syar.g_01030	Prae.g_01718
OG0000329	Syar.g_03189, Syar.g_01048	Prae.g_01735
OG0000330	Syar.g_03190, Syar.g_01049	Prae.g_01736
OG0000331	Syar.g_01050, Syar.g_03191	Prae.g_01737
OG0000332	Syar.g_01064, Syar.g_03299	Prae.g_01751
OG0000333	Syar.g_01067	Prae.g_01753
OG0000334	Syar.g_01076	Prae.g_01761
OG0000335	Syar.g_01080	Prae.g_01767
OG0000336	Syar.g_01084	Prae.g_01771
OG0000337	Syar.g_00285	Prae.g_01787
OG0000338	Syar.g_03225, Syar.g_00287	Prae.g_01788
OG0000339	Syar.g_00658	Prae.g_01792
OG0000340	Syar.g_00247	Prae.g_01800
OG0000341	Syar.g_00249	Prae.g_01802
OG0000342	Syar.g_00250	Prae.g_01803
OG0000343	Syar.g_00256	Prae.g_01804
OG0000344	Syar.g_00260	Prae.g_01807
OG0000345	Syar.g_00612	Prae.g_01812
OG0000346	Syar.g_00607	Prae.g_01816
OG0000347	Syar.g_00558	Prae.g_01832
OG0000348	Syar.g_00544	Prae.g_01841
OG0000349	Syar.g_00521	Prae.g_01858
OG0000350	Syar.g_00132	Prae.g_01877
OG0000351	Syar.g_00442	Prae.g_01894
OG0000352	Syar.g_00443	Prae.g_01895
OG0000353	Syar.g_00469	Prae.g_01910
OG0000354	Syar.g_00487	Prae.g_00689
OG0000355	Syar.g_00471	Prae.g_00001
OG0000356	Syar.g_00472	Prae.g_00002
OG0000357	Syar.g_00473	Prae.g_00003
OG0000358	Syar.g_00477	Prae.g_00007
OG0000359	Syar.g_00479	Prae.g_00008
OG0000360	Syar.g_00480	Prae.g_00009
