Orthogroup	Prbk	Syaj
OG0000093	Prbk.g_02444	Syaj.g_01042
OG0000095	Prbk.g_00056	Syaj.g_00427
OG0000097	Prbk.g_00189	Syaj.g_00589
OG0000098	Prbk.g_01199	Syaj.g_02671
OG0000099	Prbk.g_00476	Syaj.g_02503
OG0000100	Prbk.g_01360, Prbk.g_02498	Syaj.g_00987
OG0000101	Prbk.g_00944	Syaj.g_02738
OG0000102	Prbk.g_01484	Syaj.g_02411
OG0000103	Prbk.g_02260	Syaj.g_02243
OG0000104	Prbk.g_02274	Syaj.g_02258
OG0000105	Prbk.g_00409	Syaj.g_02573
OG0000106	Prbk.g_00925	Syaj.g_01130
OG0000107	Prbk.g_01902	Syaj.g_02637
OG0000108	Prbk.g_02061	Syaj.g_00072
OG0000109	Prbk.g_02077	Syaj.g_00087
OG0000110	Prbk.g_01110	Syaj.g_00215
OG0000111	Prbk.g_01766	Syaj.g_00437
OG0000112	Prbk.g_02332	Syaj.g_00907
OG0000113	Prbk.g_02493	Syaj.g_00992
OG0000114	Prbk.g_02396	Syaj.g_00741
OG0000115	Prbk.g_01234	Syaj.g_01402
OG0000116	Prbk.g_01034	Syaj.g_00289
OG0000117	Prbk.g_01496	Syaj.g_00637
OG0000118	Prbk.g_01169	Syaj.g_00267
OG0000119	Prbk.g_01746, Prbk.g_01786	Syaj.g_00317
OG0000120	Prbk.g_00477	Syaj.g_02502
OG0000121	Prbk.g_00267, Prbk.g_00261	Syaj.g_01383
OG0000122	Prbk.g_02664	Syaj.g_01250
OG0000123	Prbk.g_00805	Syaj.g_02745
OG0000124	Prbk.g_01539	Syaj.g_02388
OG0000125	Prbk.g_02168	Syaj.g_02117
OG0000126	Prbk.g_02272	Syaj.g_02256
OG0000127	Prbk.g_01101, Prbk.g_01852	Syaj.g_00538
OG0000128	Prbk.g_02290	Syaj.g_02274
OG0000129	Prbk.g_02156	Syaj.g_02106
OG0000130	Prbk.g_01320	Syaj.g_01818
OG0000131	Prbk.g_00751	Syaj.g_01964
OG0000132	Prbk.g_00771	Syaj.g_01984, Syaj.g_00688
OG0000133	Prbk.g_00472	Syaj.g_00902
OG0000134	Prbk.g_00361	Syaj.g_02832
OG0000135	Prbk.g_02209	Syaj.g_02167
OG0000136	Prbk.g_00323	Syaj.g_01550
OG0000137	Prbk.g_02113	Syaj.g_01444
OG0000138	Prbk.g_02078	Syaj.g_00088
OG0000139	Prbk.g_01086	Syaj.g_00150
OG0000140	Prbk.g_01092	Syaj.g_00153
OG0000141	Prbk.g_01154	Syaj.g_01340
OG0000142	Prbk.g_02631	Syaj.g_01283
OG0000143	Prbk.g_02635	Syaj.g_01279
OG0000144	Prbk.g_00739	Syaj.g_01151
OG0000145	Prbk.g_01863	Syaj.g_00094
OG0000146	Prbk.g_02333	Syaj.g_00908
OG0000147	Prbk.g_02334	Syaj.g_00909
OG0000148	Prbk.g_02487	Syaj.g_01003
OG0000149	Prbk.g_02544	Syaj.g_00369
OG0000150	Prbk.g_02567	Syaj.g_01339, Syaj.g_00154
OG0000151	Prbk.g_02417	Syaj.g_01074
OG0000152	Prbk.g_02324	Syaj.g_00898
OG0000153	Prbk.g_02297	Syaj.g_00842
OG0000154	Prbk.g_00584	Syaj.g_00814
OG0000155	Prbk.g_00099	Syaj.g_00338
OG0000156	Prbk.g_00164	Syaj.g_00282
OG0000157	Prbk.g_00163	Syaj.g_00281
OG0000158	Prbk.g_00526	Syaj.g_02445
OG0000160	Prbk.g_00260	Syaj.g_01382
OG0000161	Prbk.g_00274	Syaj.g_01389
OG0000162	Prbk.g_00280	Syaj.g_01395
OG0000163	Prbk.g_02002	Syaj.g_01639
OG0000164	Prbk.g_01432	Syaj.g_01758
OG0000165	Prbk.g_01423	Syaj.g_01582
OG0000166	Prbk.g_00982	Syaj.g_02698
OG0000167	Prbk.g_00512	Syaj.g_02460
OG0000168	Prbk.g_00527	Syaj.g_02444
OG0000169	Prbk.g_00220	Syaj.g_02431, Syaj.g_02429
OG0000170	Prbk.g_00232	Syaj.g_02422
OG0000171	Prbk.g_01538	Syaj.g_02389
OG0000172	Prbk.g_01573	Syaj.g_02365
OG0000173	Prbk.g_01594	Syaj.g_02321
OG0000174	Prbk.g_02211	Syaj.g_02169
OG0000175	Prbk.g_02249	Syaj.g_02229
OG0000176	Prbk.g_02282	Syaj.g_02266
OG0000177	Prbk.g_02283	Syaj.g_02267
OG0000178	Prbk.g_02284	Syaj.g_02268
OG0000179	Prbk.g_01633	Syaj.g_02283
OG0000180	Prbk.g_01632	Syaj.g_02284
OG0000181	Prbk.g_01631	Syaj.g_02285
OG0000182	Prbk.g_01630	Syaj.g_02286
OG0000183	Prbk.g_01626	Syaj.g_02290
OG0000184	Prbk.g_02148	Syaj.g_02098
OG0000185	Prbk.g_02126	Syaj.g_02087
OG0000186	Prbk.g_01326	Syaj.g_01812
OG0000187	Prbk.g_01324	Syaj.g_01814
OG0000188	Prbk.g_01303	Syaj.g_01837
OG0000189	Prbk.g_00024	Syaj.g_01874
OG0000190	Prbk.g_00022	Syaj.g_01876
OG0000191	Prbk.g_00197	Syaj.g_01910
OG0000192	Prbk.g_00206	Syaj.g_01919
OG0000193	Prbk.g_00752	Syaj.g_01965
OG0000194	Prbk.g_00755	Syaj.g_01968
OG0000195	Prbk.g_00757	Syaj.g_01971
OG0000196	Prbk.g_00768	Syaj.g_01981
OG0000197	Prbk.g_00769	Syaj.g_01982
OG0000198	Prbk.g_00770	Syaj.g_01983
OG0000199	Prbk.g_00777	Syaj.g_01991
OG0000200	Prbk.g_01280	Syaj.g_02008
OG0000201	Prbk.g_01261	Syaj.g_02024
OG0000202	Prbk.g_01260	Syaj.g_02025
OG0000203	Prbk.g_01259	Syaj.g_02026
OG0000204	Prbk.g_01258	Syaj.g_02027
OG0000205	Prbk.g_01251	Syaj.g_02035
OG0000206	Prbk.g_00632	Syaj.g_02043
OG0000207	Prbk.g_00686	Syaj.g_02045
OG0000208	Prbk.g_00685	Syaj.g_02046
OG0000209	Prbk.g_00658	Syaj.g_02070
OG0000210	Prbk.g_00657	Syaj.g_02071
OG0000211	Prbk.g_01368	Syaj.g_02856
OG0000212	Prbk.g_01514	Syaj.g_02881
OG0000213	Prbk.g_00374	Syaj.g_02601
OG0000214	Prbk.g_00401	Syaj.g_02582
OG0000215	Prbk.g_00431	Syaj.g_02551
OG0000216	Prbk.g_00434	Syaj.g_02547
OG0000217	Prbk.g_00438	Syaj.g_02543
OG0000218	Prbk.g_00442	Syaj.g_02541
OG0000219	Prbk.g_00443	Syaj.g_02540
OG0000220	Prbk.g_00444	Syaj.g_02539
OG0000221	Prbk.g_00449	Syaj.g_02530
OG0000222	Prbk.g_00458	Syaj.g_02516
OG0000223	Prbk.g_00481	Syaj.g_02494
OG0000224	Prbk.g_00492	Syaj.g_02487
OG0000225	Prbk.g_00889	Syaj.g_02821
OG0000226	Prbk.g_00893	Syaj.g_02825
OG0000227	Prbk.g_00895	Syaj.g_02827
OG0000228	Prbk.g_00365	Syaj.g_02828
OG0000229	Prbk.g_00328	Syaj.g_01555
OG0000230	Prbk.g_00326	Syaj.g_01553
