Orthogroup	Prbk	Syae
OG0000054	Prbk.g_01153	Syae.g_00014
OG0000057	Prbk.g_01765	Syae.g_00782
OG0000058	Prbk.g_00479	Syae.g_01227
OG0000059	Prbk.g_00533	Syae.g_02074
OG0000060	Prbk.g_02058	Syae.g_02306
OG0000061	Prbk.g_01019	Syae.g_00921
OG0000062	Prbk.g_00931	Syae.g_01145
OG0000063	Prbk.g_01613	Syae.g_01752
OG0000065	Prbk.g_00011	Syae.g_00722, Syae.g_01363
OG0000066	Prbk.g_01094	Syae.g_02386
OG0000067	Prbk.g_02468	Syae.g_00521
OG0000068	Prbk.g_02052	Syae.g_02299
OG0000070	Prbk.g_00310	Syae.g_00979
OG0000071	Prbk.g_01183	Syae.g_00961
OG0000072	Prbk.g_00778	Syae.g_01455
OG0000073	Prbk.g_01862	Syae.g_02330
OG0000075	Prbk.g_00514	Syae.g_01871
OG0000076	Prbk.g_00237	Syae.g_01829
OG0000077	Prbk.g_01308	Syae.g_01297
OG0000078	Prbk.g_01515	Syae.g_02243
OG0000079	Prbk.g_01000	Syae.g_02011
OG0000081	Prbk.g_01772	Syae.g_02261
OG0000082	Prbk.g_01122	Syae.g_02447
OG0000084	Prbk.g_00255	Syae.g_02656
OG0000085	Prbk.g_00919	Syae.g_01152
OG0000086	Prbk.g_01295	Syae.g_01333
OG0000087	Prbk.g_00559	Syae.g_01414
OG0000088	Prbk.g_01836, Prbk.g_00773	Syae.g_01449
OG0000089	Prbk.g_00364	Syae.g_02219
OG0000090	Prbk.g_01080	Syae.g_02374
OG0000091	Prbk.g_02639	Syae.g_00082
OG0000093	Prbk.g_02444	Syae.g_00537
OG0000095	Prbk.g_00056	Syae.g_00793
OG0000097	Prbk.g_00189	Syae.g_00683
OG0000098	Prbk.g_01199	Syae.g_02058
OG0000099	Prbk.g_00476	Syae.g_01913
OG0000100	Prbk.g_01360, Prbk.g_02498	Syae.g_00489
OG0000101	Prbk.g_00944	Syae.g_02125
OG0000102	Prbk.g_01484	Syae.g_01824
OG0000103	Prbk.g_02260	Syae.g_01694
OG0000104	Prbk.g_02274	Syae.g_01708
OG0000105	Prbk.g_00409	Syae.g_01977
OG0000106	Prbk.g_00925	Syae.g_00272
OG0000107	Prbk.g_01902	Syae.g_02032
OG0000108	Prbk.g_02061	Syae.g_02309
OG0000109	Prbk.g_02077	Syae.g_02324
OG0000110	Prbk.g_01110	Syae.g_02435
OG0000111	Prbk.g_01766	Syae.g_00783
OG0000112	Prbk.g_02332	Syae.g_00351
OG0000113	Prbk.g_02493	Syae.g_00494
OG0000114	Prbk.g_02396	Syae.g_00575
OG0000115	Prbk.g_01234	Syae.g_02631
OG0000116	Prbk.g_01034	Syae.g_00939
OG0000117	Prbk.g_01496	Syae.g_00647
OG0000118	Prbk.g_01169	Syae.g_02479
OG0000119	Prbk.g_01746, Prbk.g_01786	Syae.g_00904
OG0000120	Prbk.g_00477	Syae.g_01912
OG0000121	Prbk.g_00267, Prbk.g_00261	Syae.g_02649
OG0000122	Prbk.g_02664	Syae.g_00112
OG0000123	Prbk.g_00805	Syae.g_02131
OG0000124	Prbk.g_01539	Syae.g_01809
OG0000125	Prbk.g_02168	Syae.g_01573
OG0000126	Prbk.g_02272	Syae.g_01706
OG0000127	Prbk.g_01101, Prbk.g_01852	Syae.g_00720
OG0000128	Prbk.g_02290	Syae.g_01724
OG0000129	Prbk.g_02156	Syae.g_01562
OG0000130	Prbk.g_01320	Syae.g_01284
OG0000131	Prbk.g_00751	Syae.g_01428
OG0000132	Prbk.g_00771	Syae.g_01447
OG0000133	Prbk.g_00472	Syae.g_00356
OG0000134	Prbk.g_00361	Syae.g_02222
OG0000135	Prbk.g_02209	Syae.g_01608
OG0000136	Prbk.g_00323	Syae.g_00989
OG0000137	Prbk.g_02113	Syae.g_02530
OG0000138	Prbk.g_02078	Syae.g_02325
OG0000139	Prbk.g_01086	Syae.g_02380
OG0000140	Prbk.g_01092	Syae.g_02383
OG0000141	Prbk.g_01154	Syae.g_00016
OG0000142	Prbk.g_02631	Syae.g_00074
OG0000143	Prbk.g_02635	Syae.g_00078
OG0000144	Prbk.g_00739	Syae.g_00261
OG0000145	Prbk.g_01863	Syae.g_02331
OG0000146	Prbk.g_02333	Syae.g_00350
OG0000147	Prbk.g_02334	Syae.g_00349
OG0000148	Prbk.g_02487	Syae.g_00500
OG0000149	Prbk.g_02544	Syae.g_00847
OG0000150	Prbk.g_02567	Syae.g_00017
OG0000151	Prbk.g_02417	Syae.g_00563
OG0000152	Prbk.g_02324	Syae.g_00360
OG0000153	Prbk.g_02297	Syae.g_00394
OG0000154	Prbk.g_00584	Syae.g_00420
OG0000155	Prbk.g_00099	Syae.g_00885
OG0000156	Prbk.g_00164	Syae.g_00945
OG0000157	Prbk.g_00163	Syae.g_00946
OG0000158	Prbk.g_00526	Syae.g_01858
OG0000160	Prbk.g_00260	Syae.g_02650
OG0000161	Prbk.g_00274	Syae.g_02644
OG0000162	Prbk.g_00280	Syae.g_02638
OG0000163	Prbk.g_02002	Syae.g_01092
OG0000164	Prbk.g_01432	Syae.g_01198
OG0000165	Prbk.g_01423	Syae.g_01021
OG0000166	Prbk.g_00982	Syae.g_02085
OG0000167	Prbk.g_00512	Syae.g_01874
OG0000168	Prbk.g_00527	Syae.g_01856
OG0000169	Prbk.g_00220	Syae.g_01841
OG0000170	Prbk.g_00232	Syae.g_01834
OG0000171	Prbk.g_01538	Syae.g_01810
OG0000172	Prbk.g_01573	Syae.g_01788
OG0000173	Prbk.g_01594	Syae.g_01770
OG0000174	Prbk.g_02211	Syae.g_01610
OG0000175	Prbk.g_02249	Syae.g_01679
OG0000176	Prbk.g_02282	Syae.g_01716
OG0000177	Prbk.g_02283	Syae.g_01717
OG0000178	Prbk.g_02284	Syae.g_01718
OG0000179	Prbk.g_01633	Syae.g_01733
OG0000180	Prbk.g_01632	Syae.g_01734
OG0000181	Prbk.g_01631	Syae.g_01735
OG0000182	Prbk.g_01630	Syae.g_01736
OG0000183	Prbk.g_01626	Syae.g_01740
OG0000184	Prbk.g_02148	Syae.g_01554
OG0000185	Prbk.g_02126	Syae.g_01551
OG0000186	Prbk.g_01326	Syae.g_01279
OG0000187	Prbk.g_01324	Syae.g_01280
OG0000188	Prbk.g_01303	Syae.g_01323
OG0000189	Prbk.g_00024	Syae.g_01350
OG0000190	Prbk.g_00022	Syae.g_01352
OG0000191	Prbk.g_00197	Syae.g_01384
OG0000192	Prbk.g_00206	Syae.g_01390
OG0000193	Prbk.g_00752	Syae.g_01429
OG0000194	Prbk.g_00755	Syae.g_01432
OG0000195	Prbk.g_00757	Syae.g_01434
OG0000196	Prbk.g_00768	Syae.g_01444
OG0000197	Prbk.g_00769	Syae.g_01445
OG0000198	Prbk.g_00770	Syae.g_01446
OG0000199	Prbk.g_00777	Syae.g_01454
OG0000200	Prbk.g_01280	Syae.g_01471
OG0000201	Prbk.g_01261	Syae.g_01487
OG0000202	Prbk.g_01260	Syae.g_01488
OG0000203	Prbk.g_01259	Syae.g_01489
OG0000204	Prbk.g_01258	Syae.g_01490
OG0000205	Prbk.g_01251	Syae.g_01497
OG0000206	Prbk.g_00632	Syae.g_01504
OG0000207	Prbk.g_00686	Syae.g_01506
OG0000208	Prbk.g_00685	Syae.g_01507
OG0000209	Prbk.g_00658	Syae.g_01528
OG0000210	Prbk.g_00657	Syae.g_01529
OG0000211	Prbk.g_01368	Syae.g_02234
OG0000212	Prbk.g_01514	Syae.g_02244
OG0000213	Prbk.g_00374	Syae.g_02003
OG0000214	Prbk.g_00401	Syae.g_01986
OG0000215	Prbk.g_00431	Syae.g_01955
OG0000216	Prbk.g_00434	Syae.g_01951
OG0000217	Prbk.g_00438	Syae.g_01947
OG0000218	Prbk.g_00442	Syae.g_01945
OG0000219	Prbk.g_00443	Syae.g_01944
OG0000220	Prbk.g_00444	Syae.g_01943
OG0000221	Prbk.g_00449	Syae.g_01937
OG0000222	Prbk.g_00458	Syae.g_01926
OG0000223	Prbk.g_00481	Syae.g_01904
OG0000224	Prbk.g_00492	Syae.g_01897
OG0000225	Prbk.g_00889	Syae.g_02208
OG0000226	Prbk.g_00893	Syae.g_02212
OG0000227	Prbk.g_00895	Syae.g_02214
OG0000228	Prbk.g_00365	Syae.g_02218
OG0000229	Prbk.g_00328	Syae.g_00994
OG0000230	Prbk.g_00326	Syae.g_00992
OG0000231	Prbk.g_00311	Syae.g_00980
OG0000232	Prbk.g_00295	Syae.g_02496
OG0000233	Prbk.g_02092	Syae.g_02504
OG0000234	Prbk.g_02114	Syae.g_02532
OG0000235	Prbk.g_02060	Syae.g_02308
OG0000236	Prbk.g_02076	Syae.g_02323
OG0000237	Prbk.g_01047	Syae.g_02340
OG0000238	Prbk.g_01051	Syae.g_02345
OG0000239	Prbk.g_01067	Syae.g_02360
OG0000240	Prbk.g_01068	Syae.g_02361
OG0000241	Prbk.g_01965	Syae.g_00065
OG0000242	Prbk.g_01078	Syae.g_02372
OG0000243	Prbk.g_02684	Syae.g_02391
OG0000244	Prbk.g_01897	Syae.g_02399
OG0000245	Prbk.g_01894	Syae.g_02401
OG0000246	Prbk.g_01890	Syae.g_02405
