Orthogroup	Syae	Syas
OG0000217	Syae.g_01947	Syas.g_01778
OG0000218	Syae.g_01945	Syas.g_01780
OG0000219	Syae.g_01944	Syas.g_01783
OG0000220	Syae.g_01943	Syas.g_01784
OG0000221	Syae.g_01937	Syas.g_01785
OG0000222	Syae.g_01926	Syas.g_01804
OG0000223	Syae.g_01904	Syas.g_02221
OG0000224	Syae.g_01897	Syas.g_02215
OG0000225	Syae.g_02208	Syas.g_01522
OG0000226	Syae.g_02212	Syas.g_01518
OG0000227	Syae.g_02214	Syas.g_01516
OG0000228	Syae.g_02218	Syas.g_01513
OG0000229	Syae.g_00994	Syas.g_01497
OG0000230	Syae.g_00992	Syas.g_01495
OG0000231	Syae.g_00980	Syas.g_02749
OG0000232	Syae.g_02496	Syas.g_01276
OG0000233	Syae.g_02504	Syas.g_01352
OG0000234	Syae.g_02532	Syas.g_01331
OG0000235	Syae.g_02308	Syas.g_01254
OG0000236	Syae.g_02323	Syas.g_01237
OG0000237	Syae.g_02340	Syas.g_01220
OG0000238	Syae.g_02345	Syas.g_01215
OG0000239	Syae.g_02360	Syas.g_00012
OG0000240	Syae.g_02361	Syas.g_00013
OG0000241	Syae.g_00065	Syas.g_00754
OG0000242	Syae.g_02372	Syas.g_00059
OG0000243	Syae.g_02391	Syas.g_00777
OG0000244	Syae.g_02399	Syas.g_00784
OG0000245	Syae.g_02401	Syas.g_00786
OG0000246	Syae.g_02405	Syas.g_00790
OG0000247	Syae.g_02416	Syas.g_00802
OG0000248	Syae.g_02419	Syas.g_00805
OG0000249	Syae.g_02421	Syas.g_00807
OG0000251	Syae.g_02455	Syas.g_00845
OG0000252	Syae.g_02458	Syas.g_00950
OG0000253	Syae.g_02459	Syas.g_00846
OG0000254	Syae.g_00021	Syas.g_00869
OG0000255	Syae.g_00041	Syas.g_00132, Syas.g_01062
OG0000256	Syae.g_00058	Syas.g_00104
OG0000257	Syae.g_00064	Syas.g_00757
OG0000258	Syae.g_00083	Syas.g_00733
OG0000259	Syae.g_00608	Syas.g_00708
OG0000260	Syae.g_00603	Syas.g_00705
OG0000261	Syae.g_00600	Syas.g_00701
OG0000262	Syae.g_00595	Syas.g_00695
OG0000263	Syae.g_00671	Syas.g_01103
OG0000264	Syae.g_00761	Syas.g_02588
OG0000266	Syae.g_00457	Syas.g_00186
OG0000267	Syae.g_00304	Syas.g_00377
OG0000268	Syae.g_00308	Syas.g_00390
OG0000269	Syae.g_00526	Syas.g_00601
OG0000270	Syae.g_00523	Syas.g_00598
OG0000271	Syae.g_00515	Syas.g_00590
OG0000272	Syae.g_00514	Syas.g_00589
OG0000274	Syae.g_00826	Syas.g_00562
OG0000275	Syae.g_00832	Syas.g_00230
OG0000276	Syae.g_00839	Syas.g_00237
OG0000278	Syae.g_00843	Syas.g_00241
OG0000279	Syae.g_00851	Syas.g_00288
OG0000280	Syae.g_00877	Syas.g_00889, Syas.g_00481
OG0000281	Syae.g_02057	Syas.g_00970
OG0000282	Syae.g_00573	Syas.g_00672
OG0000283	Syae.g_00321	Syas.g_00409
OG0000284	Syae.g_00327	Syas.g_00416
OG0000285	Syae.g_00340	Syas.g_00436
OG0000286	Syae.g_00359	Syas.g_00460
OG0000287	Syae.g_00387	Syas.g_00534
OG0000288	Syae.g_00419	Syas.g_00220
OG0000289	Syae.g_00433	Syas.g_00205
OG0000290	Syae.g_00796	Syas.g_01016
OG0000291	Syae.g_00794	Syas.g_01018
OG0000292	Syae.g_01705	Syas.g_02020
OG0000293	Syae.g_00938	Syas.g_01197
OG0000295	Syae.g_00893	Syas.g_01139
OG0000296	Syae.g_00891	Syas.g_01137
OG0000298	Syae.g_00646	Syas.g_01123
OG0000299	Syae.g_00680	Syas.g_01087
OG0000300	Syae.g_00686	Syas.g_01082
OG0000301	Syae.g_00687	Syas.g_01081
OG0000302	Syae.g_00691	Syas.g_01080
OG0000303	Syae.g_00700	Syas.g_01071
OG0000304	Syae.g_00706	Syas.g_01066
OG0000305	Syae.g_00791	Syas.g_01023
OG0000306	Syae.g_00277	Syas.g_01929
OG0000307	Syae.g_02290	Syas.g_01270
OG0000308	Syae.g_02288	Syas.g_01272
OG0000309	Syae.g_02283	Syas.g_01364
OG0000310	Syae.g_02687	Syas.g_02796
OG0000311	Syae.g_02682	Syas.g_02799
OG0000312	Syae.g_02664	Syas.g_02804
OG0000313	Syae.g_02647	Syas.g_02823
