Orthogroup	Praa	Praj
OG0000570	Praa.g_00622	Praj.g_00610
OG0000571	Praa.g_00624	Praj.g_00611
OG0000572	Praa.g_00625	Praj.g_00613
OG0000573	Praa.g_00626	Praj.g_00614
OG0000574	Praa.g_00627	Praj.g_00615
OG0000575	Praa.g_00628	Praj.g_00616
OG0000576	Praa.g_00629	Praj.g_00617
OG0000577	Praa.g_00630	Praj.g_00618
OG0000578	Praa.g_00631	Praj.g_00619
OG0000579	Praa.g_00632	Praj.g_00620
OG0000580	Praa.g_00633	Praj.g_00621
OG0000581	Praa.g_00634	Praj.g_00622
OG0000582	Praa.g_00635	Praj.g_00623
OG0000583	Praa.g_00636	Praj.g_00624
OG0000584	Praa.g_00638	Praj.g_00626
OG0000585	Praa.g_00639	Praj.g_00627
OG0000586	Praa.g_00640	Praj.g_00628
OG0000587	Praa.g_00641	Praj.g_00629
OG0000588	Praa.g_00642	Praj.g_00630
OG0000589	Praa.g_00643	Praj.g_00631
OG0000590	Praa.g_00644	Praj.g_00632
OG0000591	Praa.g_00645	Praj.g_00633
OG0000592	Praa.g_00646	Praj.g_00634
OG0000593	Praa.g_00647	Praj.g_00635
OG0000594	Praa.g_00648	Praj.g_00636
OG0000595	Praa.g_00649	Praj.g_00637
OG0000596	Praa.g_00650	Praj.g_00638
OG0000597	Praa.g_00654	Praj.g_00642
OG0000598	Praa.g_00655	Praj.g_00643
OG0000599	Praa.g_00656	Praj.g_00644
OG0000600	Praa.g_00657	Praj.g_00645
OG0000601	Praa.g_00658	Praj.g_00646
OG0000602	Praa.g_00659	Praj.g_00647
OG0000603	Praa.g_00660	Praj.g_00648
OG0000604	Praa.g_00661	Praj.g_00649
OG0000605	Praa.g_00662	Praj.g_00650
OG0000606	Praa.g_00663	Praj.g_00651
OG0000607	Praa.g_00664	Praj.g_00653
OG0000608	Praa.g_00665	Praj.g_00654
OG0000609	Praa.g_00667	Praj.g_00656
OG0000610	Praa.g_00668	Praj.g_00657
OG0000611	Praa.g_00670	Praj.g_00660
OG0000612	Praa.g_00671	Praj.g_00661
OG0000613	Praa.g_00673	Praj.g_00663
OG0000614	Praa.g_00679	Praj.g_00671
OG0000615	Praa.g_00680	Praj.g_00672
OG0000616	Praa.g_00681	Praj.g_00673
OG0000617	Praa.g_00683	Praj.g_00676
OG0000618	Praa.g_00684	Praj.g_00677
OG0000619	Praa.g_00685	Praj.g_00678
OG0000620	Praa.g_00687	Praj.g_00680
OG0000621	Praa.g_00688	Praj.g_00681
OG0000622	Praa.g_00689	Praj.g_00682
OG0000623	Praa.g_00690	Praj.g_00683
OG0000624	Praa.g_00692	Praj.g_00686
OG0000625	Praa.g_00693	Praj.g_00687
OG0000626	Praa.g_00694	Praj.g_00688
OG0000627	Praa.g_00695	Praj.g_01396
OG0000628	Praa.g_00696	Praj.g_00689
OG0000629	Praa.g_00697	Praj.g_00690
OG0000630	Praa.g_00699	Praj.g_00692
OG0000631	Praa.g_00700	Praj.g_00693
OG0000632	Praa.g_00704	Praj.g_02137
OG0000633	Praa.g_00705	Praj.g_01218
OG0000634	Praa.g_00712	Praj.g_00699
OG0000635	Praa.g_00714	Praj.g_00701
OG0000636	Praa.g_00715	Praj.g_00702
OG0000637	Praa.g_00717	Praj.g_00704
OG0000638	Praa.g_00718	Praj.g_00705
OG0000639	Praa.g_00719	Praj.g_00706
OG0000640	Praa.g_00720	Praj.g_00707
OG0000641	Praa.g_00721	Praj.g_00708
OG0000642	Praa.g_00722	Praj.g_00709
OG0000643	Praa.g_00723	Praj.g_00710
OG0000644	Praa.g_00725	Praj.g_00712
OG0000645	Praa.g_00726	Praj.g_00714
OG0000646	Praa.g_00727	Praj.g_00715
OG0000647	Praa.g_00728	Praj.g_00716
OG0000648	Praa.g_00729	Praj.g_00718
OG0000649	Praa.g_00730	Praj.g_00719
OG0000650	Praa.g_00731	Praj.g_00720
OG0000651	Praa.g_00732	Praj.g_00721
OG0000652	Praa.g_00734	Praj.g_00723
OG0000653	Praa.g_00749	Praj.g_00069
OG0000654	Praa.g_00751	Praj.g_00091
OG0000655	Praa.g_00760	Praj.g_01398
OG0000656	Praa.g_00764	Praj.g_01054
OG0000657	Praa.g_00766	Praj.g_00938
OG0000658	Praa.g_00767	Praj.g_00937
OG0000659	Praa.g_00768	Praj.g_00936
OG0000660	Praa.g_00780	Praj.g_00373
OG0000661	Praa.g_00789	Praj.g_00913
OG0000662	Praa.g_00791	Praj.g_00915
OG0000663	Praa.g_00794	Praj.g_00917
OG0000664	Praa.g_00795	Praj.g_00918
OG0000665	Praa.g_00796	Praj.g_00919
OG0000666	Praa.g_00797	Praj.g_00763
OG0000667	Praa.g_00798	Praj.g_00764
OG0000668	Praa.g_00799	Praj.g_00765
OG0000669	Praa.g_00800	Praj.g_00766
OG0000670	Praa.g_00802	Praj.g_00768
OG0000671	Praa.g_00803	Praj.g_00769
OG0000672	Praa.g_00804	Praj.g_00770
OG0000673	Praa.g_00805	Praj.g_00771
OG0000674	Praa.g_00806	Praj.g_00772
OG0000675	Praa.g_00807	Praj.g_00773
OG0000676	Praa.g_00809	Praj.g_00775
OG0000677	Praa.g_00812	Praj.g_00777
OG0000678	Praa.g_00813	Praj.g_00778
OG0000679	Praa.g_00814	Praj.g_00779
OG0000680	Praa.g_00815	Praj.g_00780
OG0000681	Praa.g_00816	Praj.g_00781
OG0000682	Praa.g_00817	Praj.g_00782
OG0000683	Praa.g_00818	Praj.g_00784
OG0000684	Praa.g_00819	Praj.g_00786
OG0000685	Praa.g_00820	Praj.g_00787
OG0000686	Praa.g_00821	Praj.g_00788
OG0000687	Praa.g_00822	Praj.g_00789
OG0000688	Praa.g_00823	Praj.g_00790
OG0000689	Praa.g_00824	Praj.g_00791
OG0000690	Praa.g_00825	Praj.g_00792
OG0000691	Praa.g_00827	Praj.g_00794
OG0000692	Praa.g_00828	Praj.g_00795
OG0000693	Praa.g_00829	Praj.g_00796
OG0000694	Praa.g_00830	Praj.g_00797
OG0000695	Praa.g_00831	Praj.g_00798
OG0000696	Praa.g_00832	Praj.g_00799
OG0000697	Praa.g_00834	Praj.g_00801
OG0000698	Praa.g_00835	Praj.g_00802
OG0000699	Praa.g_00839	Praj.g_00805
OG0000700	Praa.g_00840	Praj.g_00806
OG0000701	Praa.g_00841	Praj.g_00808
OG0000702	Praa.g_00842	Praj.g_00809
OG0000703	Praa.g_00843	Praj.g_00810
OG0000704	Praa.g_00844	Praj.g_00811
OG0000705	Praa.g_00846	Praj.g_00814
OG0000706	Praa.g_00847	Praj.g_00815
OG0000707	Praa.g_00848	Praj.g_00816
OG0000708	Praa.g_00849	Praj.g_00817
OG0000709	Praa.g_00850	Praj.g_00818
OG0000710	Praa.g_00851	Praj.g_00819
OG0000711	Praa.g_00852	Praj.g_00820
OG0000712	Praa.g_00853	Praj.g_00821
OG0000713	Praa.g_00854	Praj.g_00822
OG0000714	Praa.g_00856	Praj.g_00825
OG0000715	Praa.g_00857	Praj.g_00826
OG0000716	Praa.g_00858	Praj.g_00827
OG0000717	Praa.g_00859	Praj.g_00828
OG0000718	Praa.g_00860	Praj.g_00829
OG0000719	Praa.g_00862	Praj.g_00831
OG0000720	Praa.g_00864	Praj.g_00835
OG0000721	Praa.g_00865	Praj.g_00836
OG0000722	Praa.g_00892	Praj.g_00869
OG0000723	Praa.g_00896	Praj.g_00872
OG0000724	Praa.g_00899	Praj.g_00877
OG0000725	Praa.g_00900	Praj.g_00879
OG0000726	Praa.g_00901	Praj.g_00880
OG0000727	Praa.g_00902	Praj.g_00881
OG0000728	Praa.g_00903	Praj.g_00882
OG0000729	Praa.g_00904	Praj.g_00884
OG0000730	Praa.g_00905	Praj.g_00885
OG0000731	Praa.g_00907	Praj.g_00887
OG0000732	Praa.g_00908	Praj.g_00888
OG0000733	Praa.g_00909	Praj.g_00889
OG0000734	Praa.g_00910	Praj.g_00890
OG0000735	Praa.g_00911	Praj.g_00891
OG0000736	Praa.g_00913	Praj.g_00893
OG0000737	Praa.g_00914	Praj.g_00894
OG0000738	Praa.g_00916	Praj.g_00897
OG0000739	Praa.g_00917	Praj.g_00898
OG0000740	Praa.g_00918	Praj.g_00899
OG0000741	Praa.g_00920	Praj.g_00901
OG0000742	Praa.g_00921	Praj.g_00902
OG0000743	Praa.g_00924	Praj.g_00906
OG0000744	Praa.g_00925	Praj.g_00907
OG0000745	Praa.g_00926	Praj.g_00748
OG0000746	Praa.g_00927	Praj.g_00749
OG0000747	Praa.g_00928	Praj.g_00750
OG0000748	Praa.g_00929	Praj.g_00751
OG0000749	Praa.g_00930	Praj.g_00752
OG0000750	Praa.g_00931	Praj.g_00753
OG0000751	Praa.g_00933	Praj.g_00755
OG0000752	Praa.g_00934	Praj.g_00756
OG0000753	Praa.g_00935	Praj.g_00757
OG0000754	Praa.g_00936	Praj.g_00758
OG0000755	Praa.g_00938	Praj.g_00760
OG0000756	Praa.g_00939	Praj.g_00761
OG0000757	Praa.g_00940	Praj.g_00762
OG0000758	Praa.g_00941	Praj.g_00920
OG0000759	Praa.g_00942	Praj.g_00921
OG0000760	Praa.g_00943	Praj.g_00922
OG0000761	Praa.g_00944	Praj.g_00923
OG0000762	Praa.g_00946	Praj.g_00925
OG0000763	Praa.g_00947	Praj.g_00926
OG0000764	Praa.g_00948	Praj.g_00927
OG0000765	Praa.g_00949	Praj.g_00928
OG0000766	Praa.g_00950	Praj.g_00929
OG0000767	Praa.g_00951	Praj.g_00930
OG0000768	Praa.g_00952	Praj.g_00931
OG0000769	Praa.g_00953	Praj.g_00932
OG0000770	Praa.g_00954	Praj.g_00933
OG0000771	Praa.g_00955	Praj.g_00934
OG0000772	Praa.g_00956	Praj.g_00847
OG0000773	Praa.g_00958	Praj.g_00939
OG0000774	Praa.g_00959	Praj.g_00940
OG0000775	Praa.g_00960	Praj.g_00941
OG0000776	Praa.g_00961	Praj.g_00943
OG0000777	Praa.g_00962	Praj.g_00944
OG0000778	Praa.g_00963	Praj.g_00945
OG0000779	Praa.g_00965	Praj.g_00947
OG0000780	Praa.g_00966	Praj.g_00948
OG0000781	Praa.g_00967	Praj.g_00949
OG0000782	Praa.g_00969	Praj.g_00951
OG0000783	Praa.g_00970	Praj.g_00952
OG0000784	Praa.g_00971	Praj.g_00953
OG0000785	Praa.g_00972	Praj.g_00954
OG0000786	Praa.g_00973	Praj.g_00955
OG0000787	Praa.g_00975	Praj.g_00957
OG0000788	Praa.g_00976	Praj.g_00958
OG0000789	Praa.g_00977	Praj.g_00959
OG0000790	Praa.g_00978	Praj.g_00960
OG0000791	Praa.g_00979	Praj.g_00961
OG0000792	Praa.g_00980	Praj.g_00085
OG0000793	Praa.g_00981	Praj.g_00963
OG0000794	Praa.g_00982	Praj.g_00964
OG0000795	Praa.g_00983	Praj.g_00965
OG0000796	Praa.g_00985	Praj.g_00966
OG0000797	Praa.g_00987	Praj.g_00968
OG0000798	Praa.g_00988	Praj.g_00969
OG0000799	Praa.g_00989	Praj.g_00970
OG0000800	Praa.g_00990	Praj.g_00971
OG0000801	Praa.g_00991	Praj.g_00972
OG0000802	Praa.g_00993	Praj.g_00973
OG0000803	Praa.g_00994	Praj.g_00974
OG0000804	Praa.g_01008	Praj.g_00991
OG0000805	Praa.g_01010	Praj.g_00992
OG0000806	Praa.g_01011	Praj.g_00993
OG0000807	Praa.g_01012	Praj.g_00994
OG0000808	Praa.g_01013	Praj.g_00995
OG0000809	Praa.g_01017	Praj.g_00999
OG0000810	Praa.g_01018	Praj.g_01001
OG0000811	Praa.g_01019	Praj.g_01002
OG0000812	Praa.g_01020	Praj.g_00846
OG0000813	Praa.g_01021	Praj.g_01003
OG0000814	Praa.g_01022	Praj.g_01004
OG0000815	Praa.g_01023	Praj.g_01005
OG0000816	Praa.g_01025	Praj.g_01008
OG0000817	Praa.g_01028	Praj.g_01012
OG0000818	Praa.g_01029	Praj.g_01013
OG0000819	Praa.g_01031	Praj.g_01016
OG0000820	Praa.g_01032	Praj.g_01017
OG0000821	Praa.g_01033	Praj.g_01018
OG0000822	Praa.g_01034	Praj.g_01019
OG0000823	Praa.g_01037	Praj.g_01022
OG0000824	Praa.g_01038	Praj.g_01023
OG0000825	Praa.g_01040	Praj.g_00845
OG0000826	Praa.g_01041	Praj.g_00844
OG0000827	Praa.g_01042	Praj.g_00843
OG0000828	Praa.g_01044	Praj.g_00841
OG0000829	Praa.g_01070	Praj.g_00852
OG0000830	Praa.g_01080	Praj.g_01063
OG0000831	Praa.g_01083	Praj.g_01045
OG0000832	Praa.g_01084	Praj.g_01728
OG0000833	Praa.g_01091	Praj.g_02022
OG0000834	Praa.g_01095	Praj.g_00378
OG0000835	Praa.g_01099	Praj.g_00386
OG0000836	Praa.g_01101	Praj.g_01725
OG0000837	Praa.g_01115	Praj.g_01040
OG0000838	Praa.g_01128	Praj.g_01833
OG0000839	Praa.g_01129	Praj.g_01834
OG0000840	Praa.g_01134	Praj.g_01083
OG0000841	Praa.g_01141	Praj.g_01482
OG0000842	Praa.g_01145	Praj.g_01476
OG0000843	Praa.g_01147	Praj.g_01474
OG0000844	Praa.g_01148	Praj.g_01473
OG0000845	Praa.g_01149	Praj.g_01472
OG0000846	Praa.g_01150	Praj.g_01471
OG0000847	Praa.g_01151	Praj.g_01470
OG0000848	Praa.g_01152	Praj.g_01469
OG0000849	Praa.g_01153	Praj.g_01468
OG0000850	Praa.g_01154	Praj.g_01467
OG0000851	Praa.g_01156	Praj.g_01464
OG0000852	Praa.g_01158	Praj.g_01462
OG0000853	Praa.g_01160	Praj.g_01460
OG0000854	Praa.g_01161	Praj.g_01459
OG0000855	Praa.g_01162	Praj.g_01458
OG0000856	Praa.g_01163	Praj.g_01457
OG0000857	Praa.g_01164	Praj.g_01456
OG0000858	Praa.g_01166	Praj.g_01453
OG0000859	Praa.g_01167	Praj.g_01452
OG0000860	Praa.g_01168	Praj.g_01451
OG0000861	Praa.g_01169	Praj.g_01450
OG0000862	Praa.g_01170	Praj.g_01449
OG0000863	Praa.g_01171	Praj.g_01447
OG0000864	Praa.g_01172	Praj.g_01446
OG0000865	Praa.g_01173	Praj.g_01445
OG0000866	Praa.g_01174	Praj.g_01444
OG0000867	Praa.g_01177	Praj.g_01442
OG0000868	Praa.g_01179	Praj.g_01440
OG0000869	Praa.g_01180	Praj.g_01438
OG0000870	Praa.g_01181	Praj.g_01437
OG0000871	Praa.g_01182	Praj.g_01436
OG0000872	Praa.g_01183	Praj.g_01434
OG0000873	Praa.g_01184	Praj.g_01433
OG0000874	Praa.g_01185	Praj.g_01432
OG0000875	Praa.g_01186	Praj.g_01430
OG0000876	Praa.g_01188	Praj.g_01428
OG0000877	Praa.g_01189	Praj.g_01427
OG0000878	Praa.g_01190	Praj.g_01426
OG0000879	Praa.g_01191	Praj.g_01425
OG0000880	Praa.g_01192	Praj.g_01424
OG0000881	Praa.g_01193	Praj.g_01423
OG0000882	Praa.g_01194	Praj.g_01422
OG0000883	Praa.g_01195	Praj.g_01421
OG0000884	Praa.g_01196	Praj.g_01420
OG0000885	Praa.g_01197	Praj.g_01419
OG0000886	Praa.g_01198	Praj.g_01418
OG0000887	Praa.g_01199	Praj.g_01417
OG0000888	Praa.g_01200	Praj.g_01416
OG0000889	Praa.g_01201	Praj.g_01415
OG0000890	Praa.g_01202	Praj.g_01414
OG0000891	Praa.g_01203	Praj.g_01413
OG0000892	Praa.g_01204	Praj.g_01411
OG0000893	Praa.g_01205	Praj.g_01410
OG0000894	Praa.g_01207	Praj.g_01409
OG0000895	Praa.g_01208	Praj.g_01408
OG0000896	Praa.g_01210	Praj.g_01407
OG0000897	Praa.g_01211	Praj.g_01406
OG0000898	Praa.g_01212	Praj.g_01405
OG0000899	Praa.g_01213	Praj.g_01404
OG0000900	Praa.g_01215	Praj.g_01403
OG0000901	Praa.g_01290	Praj.g_01246
OG0000902	Praa.g_01307	Praj.g_01517
OG0000903	Praa.g_01308	Praj.g_01518
OG0000904	Praa.g_01309	Praj.g_01519
OG0000905	Praa.g_01310	Praj.g_01520
OG0000906	Praa.g_01311	Praj.g_01522
OG0000907	Praa.g_01313	Praj.g_01523
OG0000908	Praa.g_01314	Praj.g_01524
OG0000909	Praa.g_01315	Praj.g_01525
OG0000910	Praa.g_01316	Praj.g_01526
OG0000911	Praa.g_01317	Praj.g_01527
OG0000912	Praa.g_01320	Praj.g_01530
OG0000913	Praa.g_01321	Praj.g_01531
OG0000914	Praa.g_01322	Praj.g_01532
OG0000915	Praa.g_01324	Praj.g_01534
OG0000916	Praa.g_01325	Praj.g_01535
OG0000917	Praa.g_01326	Praj.g_01536
OG0000918	Praa.g_01327	Praj.g_01537
OG0000919	Praa.g_01328	Praj.g_01538
OG0000920	Praa.g_01329	Praj.g_01539
OG0000921	Praa.g_01331	Praj.g_01542
OG0000922	Praa.g_01332	Praj.g_01543
OG0000923	Praa.g_01348	Praj.g_01546
OG0000924	Praa.g_01349	Praj.g_01547
OG0000925	Praa.g_01352	Praj.g_01550
OG0000926	Praa.g_01353	Praj.g_00732
OG0000927	Praa.g_01354	Praj.g_01484
OG0000928	Praa.g_01356	Praj.g_01011
OG0000929	Praa.g_01358	Praj.g_01734
OG0000930	Praa.g_01360	Praj.g_01573
OG0000931	Praa.g_01361	Praj.g_00833
OG0000932	Praa.g_01364	Praj.g_01160
OG0000933	Praa.g_01368	Praj.g_01577
OG0000934	Praa.g_01369	Praj.g_01578
OG0000935	Praa.g_01370	Praj.g_01579
OG0000936	Praa.g_01371	Praj.g_01580
OG0000937	Praa.g_01372	Praj.g_01581
OG0000938	Praa.g_01373	Praj.g_01582
OG0000939	Praa.g_01374	Praj.g_01583
OG0000940	Praa.g_01375	Praj.g_01584
OG0000941	Praa.g_01376	Praj.g_01585
OG0000942	Praa.g_01377	Praj.g_01586
OG0000943	Praa.g_01378	Praj.g_01587
OG0000944	Praa.g_01379	Praj.g_01588
OG0000945	Praa.g_01380	Praj.g_01589
OG0000946	Praa.g_01381	Praj.g_01590
OG0000947	Praa.g_01382	Praj.g_01591
OG0000948	Praa.g_01383	Praj.g_01592
OG0000949	Praa.g_01384	Praj.g_01593
OG0000950	Praa.g_01395	Praj.g_01995
OG0000951	Praa.g_01458	Praj.g_01613
OG0000952	Praa.g_01459	Praj.g_01614
OG0000953	Praa.g_01460	Praj.g_01615
OG0000954	Praa.g_01461	Praj.g_01616
OG0000955	Praa.g_01462	Praj.g_01617
OG0000956	Praa.g_01464	Praj.g_01619
OG0000957	Praa.g_01465	Praj.g_01620
OG0000958	Praa.g_01466	Praj.g_01621
OG0000959	Praa.g_01467	Praj.g_01622
OG0000960	Praa.g_01468	Praj.g_01623
OG0000961	Praa.g_01469	Praj.g_01624
OG0000962	Praa.g_01470	Praj.g_01625
OG0000963	Praa.g_01471	Praj.g_01626
OG0000964	Praa.g_01472	Praj.g_01628
OG0000965	Praa.g_01474	Praj.g_01630
OG0000966	Praa.g_01475	Praj.g_01631
OG0000967	Praa.g_01478	Praj.g_01634
OG0000968	Praa.g_01479	Praj.g_01635
OG0000969	Praa.g_01480	Praj.g_01636
OG0000970	Praa.g_01481	Praj.g_01637
OG0000971	Praa.g_01482	Praj.g_01638
OG0000972	Praa.g_01483	Praj.g_01639
OG0000973	Praa.g_01485	Praj.g_01641
OG0000974	Praa.g_01486	Praj.g_01642
OG0000975	Praa.g_01487	Praj.g_01643
OG0000976	Praa.g_01488	Praj.g_01644
OG0000977	Praa.g_01489	Praj.g_01645
OG0000978	Praa.g_01490	Praj.g_01646
OG0000979	Praa.g_01491	Praj.g_01647
OG0000980	Praa.g_01492	Praj.g_00454
OG0000981	Praa.g_01493	Praj.g_01648
OG0000982	Praa.g_01494	Praj.g_01649
OG0000983	Praa.g_01495	Praj.g_01650
OG0000984	Praa.g_01499	Praj.g_01653
OG0000985	Praa.g_01500	Praj.g_01654
OG0000986	Praa.g_01501	Praj.g_01655
OG0000987	Praa.g_01503	Praj.g_01657
OG0000988	Praa.g_01504	Praj.g_01658
OG0000989	Praa.g_01505	Praj.g_01659
OG0000990	Praa.g_01506	Praj.g_01660
OG0000991	Praa.g_01507	Praj.g_01661
OG0000992	Praa.g_01508	Praj.g_01662
OG0000993	Praa.g_01509	Praj.g_01663
OG0000994	Praa.g_01510	Praj.g_01664
OG0000995	Praa.g_01511	Praj.g_01665
OG0000996	Praa.g_01512	Praj.g_01666
OG0000997	Praa.g_01514	Praj.g_01668
OG0000998	Praa.g_01517	Praj.g_01674
OG0000999	Praa.g_01519	Praj.g_01677
OG0001000	Praa.g_01520	Praj.g_01678
OG0001001	Praa.g_01521	Praj.g_01679
OG0001002	Praa.g_01523	Praj.g_01681
OG0001003	Praa.g_01524	Praj.g_01682
OG0001004	Praa.g_01525	Praj.g_01683
OG0001005	Praa.g_01526	Praj.g_01684
OG0001006	Praa.g_01528	Praj.g_01686
OG0001007	Praa.g_01529	Praj.g_01687
OG0001008	Praa.g_01530	Praj.g_01688
OG0001009	Praa.g_01531	Praj.g_01690
OG0001010	Praa.g_01532	Praj.g_01691
OG0001011	Praa.g_01533	Praj.g_01692
OG0001012	Praa.g_01534	Praj.g_01693
OG0001013	Praa.g_01535	Praj.g_01694
OG0001014	Praa.g_01536	Praj.g_01695
OG0001015	Praa.g_01537	Praj.g_01696
OG0001016	Praa.g_01538	Praj.g_01697
OG0001017	Praa.g_01539	Praj.g_01698
OG0001018	Praa.g_01541	Praj.g_01699
OG0001019	Praa.g_01542	Praj.g_01700
OG0001020	Praa.g_01543	Praj.g_01701
OG0001021	Praa.g_01544	Praj.g_01702
OG0001022	Praa.g_01545	Praj.g_01703
OG0001023	Praa.g_01546	Praj.g_01704
OG0001024	Praa.g_01548	Praj.g_01706
OG0001025	Praa.g_01549	Praj.g_01707
OG0001026	Praa.g_01550	Praj.g_01708
OG0001027	Praa.g_01551	Praj.g_01709
OG0001028	Praa.g_01552	Praj.g_01711
OG0001029	Praa.g_01553	Praj.g_01712
OG0001030	Praa.g_01556	Praj.g_01715
OG0001031	Praa.g_01557	Praj.g_01716
OG0001032	Praa.g_01565	Praj.g_01499
OG0001033	Praa.g_01572	Praj.g_01599
OG0001034	Praa.g_01600	Praj.g_00785
OG0001035	Praa.g_01629	Praj.g_01763
OG0001036	Praa.g_01630	Praj.g_01764
OG0001037	Praa.g_01636	Praj.g_01769
OG0001038	Praa.g_01637	Praj.g_01770
OG0001039	Praa.g_01638	Praj.g_01771
OG0001040	Praa.g_01639	Praj.g_01772
OG0001041	Praa.g_01641	Praj.g_01773
OG0001042	Praa.g_01642	Praj.g_01774
OG0001043	Praa.g_01643	Praj.g_01775
OG0001044	Praa.g_01644	Praj.g_01776
OG0001045	Praa.g_01645	Praj.g_01777
OG0001046	Praa.g_01646	Praj.g_01778
OG0001047	Praa.g_01647	Praj.g_01779
OG0001048	Praa.g_01649	Praj.g_01780
OG0001049	Praa.g_01650	Praj.g_01781
OG0001050	Praa.g_01651	Praj.g_01782
OG0001051	Praa.g_01652	Praj.g_01783
OG0001052	Praa.g_01653	Praj.g_01784
OG0001053	Praa.g_01654	Praj.g_01785
OG0001054	Praa.g_01655	Praj.g_01786
OG0001055	Praa.g_01656	Praj.g_01787
OG0001056	Praa.g_01657	Praj.g_01788
OG0001057	Praa.g_01659	Praj.g_01790
OG0001058	Praa.g_01660	Praj.g_01791
OG0001059	Praa.g_01661	Praj.g_01792
OG0001060	Praa.g_01662	Praj.g_01793
OG0001061	Praa.g_01663	Praj.g_01794
OG0001062	Praa.g_01665	Praj.g_01796
OG0001063	Praa.g_01666	Praj.g_01797
OG0001064	Praa.g_01667	Praj.g_01798
OG0001065	Praa.g_01668	Praj.g_01799
OG0001066	Praa.g_01669	Praj.g_01800
OG0001067	Praa.g_01670	Praj.g_01801
OG0001068	Praa.g_01671	Praj.g_01802
OG0001069	Praa.g_01674	Praj.g_01804
OG0001070	Praa.g_01676	Praj.g_01806
OG0001071	Praa.g_01677	Praj.g_01807
OG0001072	Praa.g_01678	Praj.g_01808
OG0001073	Praa.g_01679	Praj.g_01809
OG0001074	Praa.g_01680	Praj.g_01810
OG0001075	Praa.g_01682	Praj.g_01812
OG0001076	Praa.g_01684	Praj.g_01814
OG0001077	Praa.g_01685	Praj.g_01815
OG0001078	Praa.g_01686	Praj.g_01816
OG0001079	Praa.g_01687	Praj.g_01817
OG0001080	Praa.g_01688	Praj.g_01818
OG0001081	Praa.g_01689	Praj.g_01819
OG0001082	Praa.g_01690	Praj.g_01820
OG0001083	Praa.g_01691	Praj.g_01821
OG0001084	Praa.g_01692	Praj.g_01822
OG0001085	Praa.g_01693	Praj.g_01823
OG0001086	Praa.g_01699	Praj.g_01868
OG0001087	Praa.g_01700	Praj.g_01870
OG0001088	Praa.g_01701	Praj.g_01871
OG0001089	Praa.g_01703	Praj.g_01873
OG0001090	Praa.g_01704	Praj.g_01874
OG0001091	Praa.g_01705	Praj.g_01875
OG0001092	Praa.g_01706	Praj.g_01876
OG0001093	Praa.g_01707	Praj.g_01877
OG0001094	Praa.g_01708	Praj.g_01878
OG0001095	Praa.g_01709	Praj.g_01879
OG0001096	Praa.g_01710	Praj.g_01880
OG0001097	Praa.g_01711	Praj.g_01881
OG0001098	Praa.g_01712	Praj.g_01882
OG0001099	Praa.g_01713	Praj.g_01883
OG0001100	Praa.g_01714	Praj.g_01884
OG0001101	Praa.g_01715	Praj.g_01885
OG0001102	Praa.g_01718	Praj.g_01894
OG0001103	Praa.g_01719	Praj.g_01893
OG0001104	Praa.g_01720	Praj.g_01889
OG0001105	Praa.g_01722	Praj.g_01891
OG0001106	Praa.g_01724	Praj.g_01888
OG0001107	Praa.g_01725	Praj.g_01887
OG0001108	Praa.g_01726	Praj.g_01886
OG0001109	Praa.g_01733	Praj.g_01909
OG0001110	Praa.g_01735	Praj.g_01911
OG0001111	Praa.g_01736	Praj.g_01912
OG0001112	Praa.g_01737	Praj.g_01913
OG0001113	Praa.g_01738	Praj.g_01914
OG0001114	Praa.g_01739	Praj.g_01915
OG0001115	Praa.g_01740	Praj.g_01916
OG0001116	Praa.g_01741	Praj.g_01917
OG0001117	Praa.g_01742	Praj.g_01918
OG0001118	Praa.g_01743	Praj.g_01919
OG0001119	Praa.g_01744	Praj.g_01920
OG0001120	Praa.g_01745	Praj.g_01921
OG0001121	Praa.g_01746	Praj.g_01922
OG0001122	Praa.g_01747	Praj.g_01923
OG0001123	Praa.g_01748	Praj.g_01924
OG0001124	Praa.g_01749	Praj.g_01925
OG0001125	Praa.g_01750	Praj.g_01926
OG0001126	Praa.g_01751	Praj.g_01927
OG0001127	Praa.g_01752	Praj.g_01928
OG0001128	Praa.g_01753	Praj.g_01929
OG0001129	Praa.g_01754	Praj.g_01930
OG0001130	Praa.g_01755	Praj.g_01931
OG0001131	Praa.g_01756	Praj.g_01932
OG0001132	Praa.g_01757	Praj.g_01933
OG0001133	Praa.g_01758	Praj.g_01934
OG0001134	Praa.g_01759	Praj.g_01935
OG0001135	Praa.g_01760	Praj.g_01936
OG0001136	Praa.g_01761	Praj.g_01937
OG0001137	Praa.g_01762	Praj.g_01938
OG0001138	Praa.g_01763	Praj.g_01939
OG0001139	Praa.g_01764	Praj.g_01940
OG0001140	Praa.g_01765	Praj.g_01941
OG0001141	Praa.g_01767	Praj.g_01943
OG0001142	Praa.g_01768	Praj.g_01944
OG0001143	Praa.g_01769	Praj.g_01945
OG0001144	Praa.g_01771	Praj.g_01947
OG0001145	Praa.g_01773	Praj.g_01949
OG0001146	Praa.g_01774	Praj.g_01950
OG0001147	Praa.g_01776	Praj.g_01953
OG0001148	Praa.g_01777	Praj.g_01954
OG0001149	Praa.g_01778	Praj.g_01955
OG0001150	Praa.g_01781	Praj.g_01958
OG0001151	Praa.g_01782	Praj.g_01959
