Orthogroup	Praa	Praj
OG0000149	Praa.g_01633	Praj.g_01766
OG0000150	Praa.g_01672	Praj.g_01803
OG0000151	Praa.g_01675	Praj.g_01805
OG0000152	Praa.g_01695	Praj.g_01825
OG0000153	Praa.g_01734	Praj.g_01910
OG0000154	Praa.g_01770	Praj.g_01946
OG0000155	Praa.g_01788	Praj.g_01965
OG0000156	Praa.g_01817	Praj.g_01997
OG0000157	Praa.g_01849	Praj.g_02034
OG0000158	Praa.g_01911	Praj.g_02128
OG0000160	Praa.g_00001	Praj.g_00001
OG0000161	Praa.g_00002	Praj.g_00002
OG0000162	Praa.g_00004	Praj.g_00004
OG0000163	Praa.g_00005	Praj.g_00005
OG0000164	Praa.g_00006	Praj.g_00006
OG0000165	Praa.g_00007	Praj.g_00007
OG0000166	Praa.g_00008	Praj.g_00008
OG0000167	Praa.g_00009	Praj.g_00009
OG0000168	Praa.g_00010	Praj.g_00010
OG0000169	Praa.g_00012	Praj.g_00012
OG0000170	Praa.g_00014	Praj.g_00014
OG0000171	Praa.g_00015	Praj.g_00015
OG0000172	Praa.g_00016	Praj.g_00016
OG0000173	Praa.g_00017	Praj.g_00017
OG0000174	Praa.g_00018	Praj.g_00018
OG0000175	Praa.g_00019	Praj.g_00019
OG0000176	Praa.g_00020	Praj.g_00020
OG0000177	Praa.g_00021	Praj.g_00021
OG0000178	Praa.g_00022	Praj.g_00022
OG0000179	Praa.g_00024	Praj.g_00024
OG0000180	Praa.g_00025	Praj.g_00025
OG0000181	Praa.g_00026	Praj.g_00026
OG0000182	Praa.g_00027	Praj.g_00027
OG0000183	Praa.g_00028	Praj.g_00028
OG0000184	Praa.g_00029	Praj.g_00029
OG0000185	Praa.g_00032	Praj.g_00032
OG0000186	Praa.g_00035	Praj.g_00034
OG0000187	Praa.g_00036	Praj.g_00035
OG0000188	Praa.g_00037	Praj.g_00036
OG0000189	Praa.g_00040	Praj.g_00044
OG0000190	Praa.g_00042	Praj.g_00046
OG0000191	Praa.g_00043	Praj.g_00047
OG0000192	Praa.g_00044	Praj.g_00048
OG0000193	Praa.g_00045	Praj.g_00049
OG0000194	Praa.g_00046	Praj.g_00050
OG0000195	Praa.g_00047	Praj.g_00051
OG0000196	Praa.g_00048	Praj.g_00052
OG0000197	Praa.g_00050	Praj.g_00054
OG0000198	Praa.g_00051	Praj.g_00055
OG0000199	Praa.g_00052	Praj.g_00056
OG0000200	Praa.g_00064	Praj.g_00102
OG0000201	Praa.g_00065	Praj.g_00103
OG0000202	Praa.g_00066	Praj.g_00104
OG0000203	Praa.g_00069	Praj.g_00107
OG0000204	Praa.g_00070	Praj.g_00108
OG0000205	Praa.g_00073	Praj.g_00111
OG0000206	Praa.g_00075	Praj.g_00113
OG0000207	Praa.g_00077	Praj.g_00115
OG0000208	Praa.g_00078	Praj.g_00116
OG0000209	Praa.g_00079	Praj.g_00117
OG0000210	Praa.g_00080	Praj.g_00118
OG0000211	Praa.g_00081	Praj.g_00119
OG0000212	Praa.g_00082	Praj.g_00120
OG0000213	Praa.g_00083	Praj.g_00121
OG0000214	Praa.g_00084	Praj.g_00122
OG0000215	Praa.g_00085	Praj.g_00123
OG0000216	Praa.g_00086	Praj.g_00124
OG0000217	Praa.g_00088	Praj.g_00126
OG0000218	Praa.g_00089	Praj.g_00127
OG0000219	Praa.g_00090	Praj.g_00128
OG0000220	Praa.g_00091	Praj.g_00129
OG0000221	Praa.g_00094	Praj.g_00132
OG0000222	Praa.g_00095	Praj.g_00133
OG0000223	Praa.g_00096	Praj.g_00134
OG0000224	Praa.g_00097	Praj.g_00135
OG0000225	Praa.g_00098	Praj.g_00136
OG0000226	Praa.g_00099	Praj.g_00137
OG0000227	Praa.g_00100	Praj.g_00139
OG0000228	Praa.g_00101	Praj.g_00140
OG0000229	Praa.g_00102	Praj.g_00141
OG0000230	Praa.g_00103	Praj.g_00142
OG0000231	Praa.g_00104	Praj.g_00143
OG0000232	Praa.g_00106	Praj.g_00144
OG0000233	Praa.g_00107	Praj.g_00145
OG0000234	Praa.g_00108	Praj.g_00146
OG0000235	Praa.g_00109	Praj.g_00147
OG0000236	Praa.g_00110	Praj.g_00150
OG0000237	Praa.g_00111	Praj.g_00151
OG0000238	Praa.g_00112	Praj.g_00152
OG0000239	Praa.g_00114	Praj.g_00154
OG0000240	Praa.g_00115	Praj.g_00156
OG0000241	Praa.g_00116	Praj.g_00157
OG0000242	Praa.g_00117	Praj.g_00158
OG0000243	Praa.g_00120	Praj.g_00160
OG0000244	Praa.g_00122	Praj.g_00163
OG0000245	Praa.g_00123	Praj.g_00164
OG0000246	Praa.g_00124	Praj.g_00165
OG0000247	Praa.g_00127	Praj.g_00168
OG0000248	Praa.g_00129	Praj.g_00170
OG0000249	Praa.g_00130	Praj.g_00172
OG0000250	Praa.g_00131	Praj.g_00173
OG0000251	Praa.g_00132	Praj.g_00174
OG0000252	Praa.g_00133	Praj.g_00175
OG0000253	Praa.g_00134	Praj.g_00176
OG0000254	Praa.g_00136	Praj.g_01057
OG0000255	Praa.g_00137	Praj.g_00177
OG0000256	Praa.g_00140	Praj.g_00180
OG0000257	Praa.g_00142	Praj.g_00183
OG0000258	Praa.g_00145	Praj.g_00185
OG0000259	Praa.g_00146	Praj.g_00186
OG0000260	Praa.g_00147	Praj.g_00187
OG0000261	Praa.g_00148	Praj.g_00188
OG0000262	Praa.g_00149	Praj.g_00189
OG0000263	Praa.g_00151	Praj.g_00191
OG0000264	Praa.g_00152	Praj.g_00192
OG0000265	Praa.g_00153	Praj.g_00193
OG0000266	Praa.g_00154	Praj.g_00194
OG0000267	Praa.g_00155	Praj.g_00195
OG0000268	Praa.g_00156	Praj.g_00196
OG0000269	Praa.g_00158	Praj.g_00198
OG0000270	Praa.g_00159	Praj.g_00199
OG0000271	Praa.g_00160	Praj.g_00200
OG0000272	Praa.g_00161	Praj.g_00201
OG0000273	Praa.g_00162	Praj.g_00202
OG0000274	Praa.g_00163	Praj.g_00203
OG0000275	Praa.g_00164	Praj.g_00204
OG0000276	Praa.g_00165	Praj.g_00205
OG0000277	Praa.g_00167	Praj.g_00207
OG0000278	Praa.g_00168	Praj.g_00208
OG0000279	Praa.g_00169	Praj.g_00209
OG0000280	Praa.g_00171	Praj.g_00211
OG0000281	Praa.g_00173	Praj.g_00212
OG0000282	Praa.g_00174	Praj.g_00213
OG0000283	Praa.g_00175	Praj.g_00214
OG0000284	Praa.g_00176	Praj.g_00215
OG0000285	Praa.g_00177	Praj.g_00216
OG0000286	Praa.g_00178	Praj.g_00217
OG0000287	Praa.g_00179	Praj.g_00218
OG0000288	Praa.g_00181	Praj.g_00220
OG0000289	Praa.g_00182	Praj.g_00221
OG0000290	Praa.g_00183	Praj.g_00222
OG0000291	Praa.g_00185	Praj.g_00224
OG0000292	Praa.g_00186	Praj.g_00226
OG0000293	Praa.g_00187	Praj.g_00227
OG0000294	Praa.g_00188	Praj.g_00228
OG0000295	Praa.g_00189	Praj.g_00229
OG0000296	Praa.g_00190	Praj.g_00230
OG0000297	Praa.g_00191	Praj.g_00231
OG0000298	Praa.g_00193	Praj.g_00233
OG0000299	Praa.g_00194	Praj.g_00234
OG0000300	Praa.g_00195	Praj.g_00235
OG0000301	Praa.g_00196	Praj.g_00236
OG0000302	Praa.g_00197	Praj.g_00237
OG0000303	Praa.g_00198	Praj.g_00238
OG0000304	Praa.g_00200	Praj.g_00240
OG0000305	Praa.g_00201	Praj.g_00241
OG0000306	Praa.g_00204	Praj.g_00243
OG0000307	Praa.g_00205	Praj.g_00244
OG0000308	Praa.g_00206	Praj.g_00245
OG0000309	Praa.g_00207	Praj.g_00246
OG0000310	Praa.g_00208	Praj.g_00247
OG0000311	Praa.g_00209	Praj.g_00248
OG0000312	Praa.g_00210	Praj.g_00249
OG0000313	Praa.g_00211	Praj.g_00250
OG0000314	Praa.g_00212	Praj.g_00251
OG0000315	Praa.g_00213	Praj.g_00252
OG0000316	Praa.g_00214	Praj.g_00253
OG0000317	Praa.g_00215	Praj.g_00254
OG0000318	Praa.g_00216	Praj.g_00255
OG0000319	Praa.g_00217	Praj.g_00256
OG0000320	Praa.g_00218	Praj.g_00257
OG0000321	Praa.g_00219	Praj.g_00258
OG0000322	Praa.g_00220	Praj.g_00259
OG0000323	Praa.g_00221	Praj.g_00260
OG0000324	Praa.g_00222	Praj.g_00261
OG0000325	Praa.g_00223	Praj.g_00262
OG0000326	Praa.g_00224	Praj.g_00263
OG0000327	Praa.g_00225	Praj.g_00264
OG0000328	Praa.g_00226	Praj.g_00265
OG0000329	Praa.g_00227	Praj.g_00266
OG0000330	Praa.g_00228	Praj.g_00267
OG0000331	Praa.g_00229	Praj.g_00268
OG0000332	Praa.g_00230	Praj.g_00269
OG0000333	Praa.g_00231	Praj.g_00270
OG0000334	Praa.g_00232	Praj.g_00271
OG0000335	Praa.g_00233	Praj.g_00273
OG0000336	Praa.g_00235	Praj.g_00275
OG0000337	Praa.g_00236	Praj.g_00276
OG0000338	Praa.g_00240	Praj.g_00281
OG0000339	Praa.g_00242	Praj.g_00283
OG0000340	Praa.g_00244	Praj.g_00285
OG0000341	Praa.g_00245	Praj.g_00286
OG0000342	Praa.g_00246	Praj.g_00287
OG0000343	Praa.g_00247	Praj.g_00288
OG0000344	Praa.g_00250	Praj.g_00289
OG0000345	Praa.g_00253	Praj.g_00292
OG0000346	Praa.g_00254	Praj.g_00293
OG0000347	Praa.g_00257	Praj.g_00296
OG0000348	Praa.g_00259	Praj.g_00297
OG0000349	Praa.g_00260	Praj.g_00298
OG0000350	Praa.g_00262	Praj.g_00299
OG0000351	Praa.g_00263	Praj.g_00300
OG0000352	Praa.g_00264	Praj.g_00301
OG0000353	Praa.g_00265	Praj.g_00302
OG0000354	Praa.g_00266	Praj.g_00303
OG0000355	Praa.g_00267	Praj.g_00304
OG0000356	Praa.g_00268	Praj.g_00305
OG0000357	Praa.g_00269	Praj.g_00306
OG0000358	Praa.g_00270	Praj.g_00307
OG0000359	Praa.g_00271	Praj.g_00309
OG0000360	Praa.g_00275	Praj.g_00311
OG0000361	Praa.g_00276	Praj.g_00312
OG0000362	Praa.g_00277	Praj.g_00313
OG0000363	Praa.g_00278	Praj.g_00314
OG0000364	Praa.g_00282	Praj.g_00318
OG0000365	Praa.g_00283	Praj.g_00319
OG0000366	Praa.g_00285	Praj.g_00321
OG0000367	Praa.g_00286	Praj.g_00322
OG0000368	Praa.g_00287	Praj.g_00323
OG0000369	Praa.g_00288	Praj.g_00324
OG0000370	Praa.g_00289	Praj.g_00325
OG0000371	Praa.g_00290	Praj.g_00326
OG0000372	Praa.g_00291	Praj.g_00327
OG0000373	Praa.g_00292	Praj.g_00328
OG0000374	Praa.g_00294	Praj.g_00329
OG0000375	Praa.g_00295	Praj.g_00330
OG0000376	Praa.g_00298	Praj.g_00333
OG0000377	Praa.g_00299	Praj.g_00334
OG0000378	Praa.g_00300	Praj.g_00335
OG0000379	Praa.g_00301	Praj.g_00336
OG0000380	Praa.g_00302	Praj.g_00337
