Orthogroup	Prbk	Syad
OG0000135	Prbk.g_02209	Syad.g_00063
OG0000136	Prbk.g_00323	Syad.g_02445
OG0000137	Prbk.g_02113	Syad.g_02353
OG0000138	Prbk.g_02078	Syad.g_00920
OG0000139	Prbk.g_01086	Syad.g_00983
OG0000140	Prbk.g_01092	Syad.g_00987
OG0000141	Prbk.g_01154	Syad.g_02208
OG0000142	Prbk.g_02631	Syad.g_02152
OG0000143	Prbk.g_02635	Syad.g_02148
OG0000144	Prbk.g_00739	Syad.g_02024
OG0000145	Prbk.g_01863	Syad.g_00927
OG0000146	Prbk.g_02333	Syad.g_01767
OG0000147	Prbk.g_02334	Syad.g_01768
OG0000148	Prbk.g_02487	Syad.g_01861
OG0000149	Prbk.g_02544	Syad.g_01221
OG0000150	Prbk.g_02567	Syad.g_02207, Syad.g_00989
OG0000151	Prbk.g_02417	Syad.g_01956
OG0000152	Prbk.g_02324	Syad.g_01757
OG0000153	Prbk.g_02297	Syad.g_01713
OG0000154	Prbk.g_00584	Syad.g_01686
OG0000155	Prbk.g_00099	Syad.g_01189
OG0000156	Prbk.g_00164	Syad.g_01116
OG0000157	Prbk.g_00163	Syad.g_01115
OG0000158	Prbk.g_00526	Syad.g_00374
OG0000160	Prbk.g_00260	Syad.g_02279
OG0000161	Prbk.g_00274	Syad.g_02287
OG0000162	Prbk.g_00280	Syad.g_02293
OG0000163	Prbk.g_02002	Syad.g_02542
OG0000164	Prbk.g_01432	Syad.g_02659
OG0000165	Prbk.g_01423	Syad.g_02476
OG0000166	Prbk.g_00982	Syad.g_00654
OG0000167	Prbk.g_00512	Syad.g_00419
OG0000168	Prbk.g_00527	Syad.g_00371
OG0000169	Prbk.g_00220	Syad.g_00360
OG0000170	Prbk.g_00232	Syad.g_00353
OG0000171	Prbk.g_01538	Syad.g_00321
OG0000172	Prbk.g_01573	Syad.g_00244
OG0000173	Prbk.g_01594	Syad.g_00220
OG0000174	Prbk.g_02211	Syad.g_00065
OG0000175	Prbk.g_02249	Syad.g_00129
OG0000176	Prbk.g_02282	Syad.g_00166
OG0000177	Prbk.g_02283	Syad.g_00167
OG0000178	Prbk.g_02284	Syad.g_00168
OG0000179	Prbk.g_01633	Syad.g_00183
OG0000180	Prbk.g_01632	Syad.g_00184
OG0000181	Prbk.g_01631	Syad.g_00185
OG0000182	Prbk.g_01630	Syad.g_00186
OG0000183	Prbk.g_01626	Syad.g_00190
OG0000184	Prbk.g_02148	Syad.g_03018
OG0000186	Prbk.g_01326	Syad.g_02722
OG0000187	Prbk.g_01324	Syad.g_02724
OG0000188	Prbk.g_01303	Syad.g_02759
OG0000189	Prbk.g_00024	Syad.g_02788
OG0000190	Prbk.g_00022	Syad.g_02790
OG0000191	Prbk.g_00197	Syad.g_02824
OG0000192	Prbk.g_00206	Syad.g_02834
OG0000193	Prbk.g_00752	Syad.g_02877
OG0000194	Prbk.g_00755	Syad.g_02880
OG0000195	Prbk.g_00757	Syad.g_02884
OG0000196	Prbk.g_00768	Syad.g_02894
OG0000197	Prbk.g_00769	Syad.g_02895
OG0000198	Prbk.g_00770	Syad.g_02896
OG0000199	Prbk.g_00777	Syad.g_02904
OG0000200	Prbk.g_01280	Syad.g_02921
OG0000201	Prbk.g_01261	Syad.g_02937
OG0000202	Prbk.g_01260	Syad.g_02938
OG0000203	Prbk.g_01259	Syad.g_02939
OG0000204	Prbk.g_01258	Syad.g_02940
OG0000205	Prbk.g_01251	Syad.g_02948
OG0000206	Prbk.g_00632	Syad.g_02955
OG0000207	Prbk.g_00686	Syad.g_02957
OG0000208	Prbk.g_00685	Syad.g_02958
OG0000209	Prbk.g_00658	Syad.g_02981
OG0000210	Prbk.g_00657	Syad.g_02982
OG0000211	Prbk.g_01368	Syad.g_00813
OG0000212	Prbk.g_01514	Syad.g_00825
OG0000213	Prbk.g_00374	Syad.g_00556
OG0000214	Prbk.g_00401	Syad.g_00538
OG0000215	Prbk.g_00431	Syad.g_00508
OG0000216	Prbk.g_00434	Syad.g_00504, Syad.g_00285
OG0000217	Prbk.g_00438	Syad.g_00500
OG0000218	Prbk.g_00442	Syad.g_00498
OG0000219	Prbk.g_00443	Syad.g_00497
OG0000220	Prbk.g_00444	Syad.g_00496
OG0000221	Prbk.g_00449	Syad.g_00488
OG0000222	Prbk.g_00458	Syad.g_00473
OG0000223	Prbk.g_00481	Syad.g_00451
OG0000224	Prbk.g_00492	Syad.g_00444
OG0000225	Prbk.g_00889	Syad.g_00777
OG0000226	Prbk.g_00893	Syad.g_00781
OG0000227	Prbk.g_00895	Syad.g_00783
OG0000228	Prbk.g_00365	Syad.g_00784
OG0000229	Prbk.g_00328	Syad.g_02450
OG0000230	Prbk.g_00326	Syad.g_02448
OG0000231	Prbk.g_00311	Syad.g_02436
OG0000232	Prbk.g_00295	Syad.g_02392
OG0000233	Prbk.g_02092	Syad.g_02382
OG0000234	Prbk.g_02114	Syad.g_02351
OG0000235	Prbk.g_02060	Syad.g_00903
OG0000236	Prbk.g_02076	Syad.g_00918
OG0000237	Prbk.g_01047	Syad.g_00936
OG0000238	Prbk.g_01051	Syad.g_00941
OG0000239	Prbk.g_01067	Syad.g_00957
OG0000240	Prbk.g_01068	Syad.g_00958
OG0000241	Prbk.g_01965	Syad.g_02160
OG0000242	Prbk.g_01078	Syad.g_00975
OG0000243	Prbk.g_02684	Syad.g_01000
OG0000244	Prbk.g_01897	Syad.g_01012
OG0000245	Prbk.g_01894	Syad.g_01014
OG0000246	Prbk.g_01890	Syad.g_01017
OG0000247	Prbk.g_01879	Syad.g_01029
OG0000248	Prbk.g_01876	Syad.g_01032
OG0000249	Prbk.g_01874	Syad.g_01034
OG0000250	Prbk.g_01106	Syad.g_01044
OG0000251	Prbk.g_01130	Syad.g_01071
OG0000252	Prbk.g_01133	Syad.g_01078
OG0000253	Prbk.g_01139	Syad.g_01081
OG0000254	Prbk.g_01158	Syad.g_02203
OG0000255	Prbk.g_02604	Syad.g_02185
OG0000256	Prbk.g_02618	Syad.g_02167
OG0000257	Prbk.g_02624	Syad.g_02161
OG0000258	Prbk.g_02647	Syad.g_02143
OG0000259	Prbk.g_00720	Syad.g_01576
OG0000260	Prbk.g_00717	Syad.g_01587
OG0000261	Prbk.g_00714	Syad.g_01590
OG0000262	Prbk.g_00709	Syad.g_01595
OG0000263	Prbk.g_00672	Syad.g_01475
OG0000264	Prbk.g_01815	Syad.g_01360
OG0000265	Prbk.g_01835	Syad.g_01383
OG0000266	Prbk.g_00608	Syad.g_01804
OG0000267	Prbk.g_02371	Syad.g_01645
OG0000268	Prbk.g_02370	Syad.g_01646
OG0000269	Prbk.g_02463	Syad.g_01894
OG0000270	Prbk.g_02466	Syad.g_01891
OG0000271	Prbk.g_02474	Syad.g_01883
OG0000272	Prbk.g_02475	Syad.g_01882
OG0000273	Prbk.g_02526	Syad.g_01247
OG0000274	Prbk.g_02527	Syad.g_01246
OG0000275	Prbk.g_02530	Syad.g_01242
OG0000276	Prbk.g_02536	Syad.g_01229
OG0000277	Prbk.g_02537	Syad.g_01228
OG0000278	Prbk.g_02540	Syad.g_01225
OG0000279	Prbk.g_02548	Syad.g_01208
OG0000280	Prbk.g_02554	Syad.g_01198
OG0000281	Prbk.g_02568	Syad.g_00624
OG0000282	Prbk.g_02398	Syad.g_01619
OG0000283	Prbk.g_02359	Syad.g_01661
OG0000284	Prbk.g_02353	Syad.g_01787
OG0000285	Prbk.g_01698	Syad.g_01776
OG0000286	Prbk.g_02325	Syad.g_01758
