Orthogroup	Pral	Praw
OG0000173	Pral.g_00996	Praw.g_01382
OG0000174	Pral.g_00995	Praw.g_01381
OG0000175	Pral.g_00994	Praw.g_01380
OG0000176	Pral.g_00992	Praw.g_01378
OG0000177	Pral.g_00991	Praw.g_01377
OG0000178	Pral.g_00990	Praw.g_01376
OG0000179	Pral.g_00984	Praw.g_01370
OG0000180	Pral.g_00983	Praw.g_01369
OG0000181	Pral.g_00982	Praw.g_01368
OG0000182	Pral.g_00978	Praw.g_01365
OG0000183	Pral.g_00977	Praw.g_01364
OG0000184	Pral.g_00974	Praw.g_01361
OG0000185	Pral.g_00970	Praw.g_01357
OG0000186	Pral.g_00969	Praw.g_01356
OG0000187	Pral.g_00048	Praw.g_01355
OG0000188	Pral.g_00968	Praw.g_01354
OG0000189	Pral.g_00966	Praw.g_01353
OG0000190	Pral.g_00965	Praw.g_01352
OG0000191	Pral.g_00964	Praw.g_01351
OG0000192	Pral.g_00963	Praw.g_01350
OG0000193	Pral.g_00962	Praw.g_01349
OG0000194	Pral.g_00961	Praw.g_01348
OG0000195	Pral.g_00959	Praw.g_01346
OG0000196	Pral.g_00958	Praw.g_01345
OG0000197	Pral.g_00957	Praw.g_01344
OG0000198	Pral.g_00956	Praw.g_01343
OG0000199	Pral.g_00953	Praw.g_01341
OG0000200	Pral.g_00952	Praw.g_01340
OG0000201	Pral.g_00951	Praw.g_01339
OG0000202	Pral.g_00950	Praw.g_01338
OG0000203	Pral.g_00949	Praw.g_01337
OG0000204	Pral.g_00948	Praw.g_01336
OG0000205	Pral.g_00946	Praw.g_01335
OG0000206	Pral.g_00945	Praw.g_01334
OG0000207	Pral.g_00944	Praw.g_01333
OG0000208	Pral.g_00943	Praw.g_01332
OG0000209	Pral.g_00942	Praw.g_01331
OG0000210	Pral.g_00941	Praw.g_01329
OG0000211	Pral.g_00940	Praw.g_01328
OG0000212	Pral.g_00939	Praw.g_01327
OG0000213	Pral.g_00938	Praw.g_01326
OG0000214	Pral.g_00934	Praw.g_01324
OG0000215	Pral.g_00933	Praw.g_01323
OG0000216	Pral.g_00931	Praw.g_01321
OG0000217	Pral.g_00930	Praw.g_01320
OG0000218	Pral.g_00929	Praw.g_01319
OG0000219	Pral.g_00928	Praw.g_01318
OG0000220	Pral.g_00925	Praw.g_01315
OG0000221	Pral.g_00922	Praw.g_01313
OG0000222	Pral.g_00921	Praw.g_01312
OG0000223	Pral.g_00920	Praw.g_01311
OG0000224	Pral.g_00918	Praw.g_01308
OG0000225	Pral.g_00916	Praw.g_01306
OG0000226	Pral.g_00914	Praw.g_01305
OG0000227	Pral.g_00913	Praw.g_01304
OG0000228	Pral.g_00912	Praw.g_01303
OG0000229	Pral.g_00911	Praw.g_01302
OG0000230	Pral.g_00910	Praw.g_01301
OG0000231	Pral.g_00450	Praw.g_01299
OG0000232	Pral.g_00908	Praw.g_01298
OG0000233	Pral.g_00905	Praw.g_01295
OG0000234	Pral.g_00903	Praw.g_01293
OG0000235	Pral.g_00900	Praw.g_01290
OG0000236	Pral.g_00899	Praw.g_01289
OG0000237	Pral.g_00898	Praw.g_01288
OG0000238	Pral.g_00897	Praw.g_01287
OG0000239	Pral.g_00896	Praw.g_01286
OG0000240	Pral.g_00894	Praw.g_01284
OG0000241	Pral.g_00893	Praw.g_01283
OG0000242	Pral.g_00892	Praw.g_01282
OG0000243	Pral.g_00891	Praw.g_01281
OG0000244	Pral.g_00890	Praw.g_01280
OG0000245	Pral.g_00888	Praw.g_01279
OG0000246	Pral.g_00886	Praw.g_01277
OG0000247	Pral.g_00885	Praw.g_01276
OG0000248	Pral.g_00884	Praw.g_01275
