Orthogroup	Prak	Prbl
OG0000125	Prak.g_01290	Prbl.g_01736
OG0000126	Prak.g_01329	Prbl.g_00502
OG0000127	Prak.g_01379	Prbl.g_00258
OG0000128	Prak.g_01392	Prbl.g_00241
OG0000129	Prak.g_01428	Prbl.g_00709
OG0000130	Prak.g_01642	Prbl.g_00399
OG0000131	Prak.g_01681	Prbl.g_00350
OG0000132	Prak.g_01684	Prbl.g_00347
OG0000133	Prak.g_01738	Prbl.g_00957
OG0000134	Prak.g_01774	Prbl.g_00994
OG0000135	Prak.g_01776	Prbl.g_00996
OG0000136	Prak.g_01826	Prbl.g_00841
OG0000137	Prak.g_01860	Prbl.g_02053
OG0000138	Prak.g_01895	Prbl.g_02231
OG0000139	Prak.g_01926	Prbl.g_02147
OG0000140	Prak.g_00001	Prbl.g_02120
OG0000141	Prak.g_00002	Prbl.g_02119
OG0000142	Prak.g_00004	Prbl.g_02117
OG0000143	Prak.g_00005	Prbl.g_02116
OG0000144	Prak.g_00007	Prbl.g_02114
OG0000145	Prak.g_00008	Prbl.g_02112
OG0000146	Prak.g_00009	Prbl.g_02111
OG0000147	Prak.g_00010	Prbl.g_02110
OG0000148	Prak.g_00012	Prbl.g_02108
OG0000149	Prak.g_00014	Prbl.g_01955
OG0000150	Prak.g_00015	Prbl.g_01956
OG0000151	Prak.g_00016	Prbl.g_01961
OG0000152	Prak.g_00017	Prbl.g_01962
OG0000153	Prak.g_00018	Prbl.g_01963
OG0000154	Prak.g_00019	Prbl.g_01964
OG0000155	Prak.g_00020	Prbl.g_01965
OG0000156	Prak.g_00021	Prbl.g_01966
OG0000157	Prak.g_00022	Prbl.g_01967
OG0000158	Prak.g_00024	Prbl.g_01969
OG0000159	Prak.g_00025	Prbl.g_01970
OG0000160	Prak.g_00026	Prbl.g_01971
OG0000161	Prak.g_00027	Prbl.g_01972
OG0000162	Prak.g_00028	Prbl.g_01973
OG0000163	Prak.g_00030	Prbl.g_01975
OG0000164	Prak.g_00033	Prbl.g_01980
OG0000165	Prak.g_00036	Prbl.g_01985
OG0000166	Prak.g_00037	Prbl.g_01986
OG0000167	Prak.g_00038	Prbl.g_01987
OG0000168	Prak.g_00040	Prbl.g_01988
OG0000169	Prak.g_00042	Prbl.g_01990
OG0000170	Prak.g_00044	Prbl.g_02241
OG0000171	Prak.g_00045	Prbl.g_02243
OG0000172	Prak.g_00046	Prbl.g_02244
OG0000173	Prak.g_00049	Prbl.g_02251
OG0000174	Prak.g_00050	Prbl.g_02258
OG0000175	Prak.g_00051	Prbl.g_02266
OG0000176	Prak.g_00053	Prbl.g_02274
OG0000177	Prak.g_00054	Prbl.g_02275
OG0000178	Prak.g_00056	Prbl.g_02276
OG0000179	Prak.g_00068	Prbl.g_00614
OG0000180	Prak.g_00069	Prbl.g_00613
OG0000181	Prak.g_00070	Prbl.g_00612
OG0000182	Prak.g_00074	Prbl.g_00608
OG0000183	Prak.g_00075	Prbl.g_00607
OG0000184	Prak.g_00078	Prbl.g_00603
OG0000185	Prak.g_00082	Prbl.g_00597
OG0000186	Prak.g_00083	Prbl.g_00596
OG0000187	Prak.g_00717	Prbl.g_01075
OG0000188	Prak.g_00084	Prbl.g_00595
OG0000189	Prak.g_00085	Prbl.g_00592
OG0000190	Prak.g_00086	Prbl.g_00591
OG0000191	Prak.g_00087	Prbl.g_00590
OG0000192	Prak.g_00088	Prbl.g_00589
OG0000193	Prak.g_00089	Prbl.g_00588
OG0000194	Prak.g_00090	Prbl.g_00587
OG0000195	Prak.g_00092	Prbl.g_00583
OG0000196	Prak.g_00093	Prbl.g_00582
OG0000197	Prak.g_00094	Prbl.g_00576
OG0000198	Prak.g_00095	Prbl.g_00572
OG0000199	Prak.g_00098	Prbl.g_00567
OG0000200	Prak.g_00099	Prbl.g_00566
OG0000201	Prak.g_00100	Prbl.g_00565
OG0000202	Prak.g_00102	Prbl.g_00563
OG0000203	Prak.g_00103	Prbl.g_00562
OG0000204	Prak.g_00104	Prbl.g_00561
OG0000205	Prak.g_00106	Prbl.g_00559
OG0000206	Prak.g_00107	Prbl.g_00558
OG0000207	Prak.g_00108	Prbl.g_00557
OG0000208	Prak.g_00109	Prbl.g_00556
OG0000209	Prak.g_00110	Prbl.g_00555
OG0000210	Prak.g_00111	Prbl.g_00553
OG0000211	Prak.g_00113	Prbl.g_00552
OG0000212	Prak.g_00114	Prbl.g_00551
OG0000213	Prak.g_00115	Prbl.g_00548
OG0000214	Prak.g_00119	Prbl.g_00542
OG0000215	Prak.g_00120	Prbl.g_01332
OG0000216	Prak.g_00122	Prbl.g_01330
OG0000217	Prak.g_00123	Prbl.g_01328
OG0000218	Prak.g_00124	Prbl.g_01326
OG0000219	Prak.g_00125	Prbl.g_01325
OG0000220	Prak.g_00128	Prbl.g_01320
OG0000221	Prak.g_00131	Prbl.g_01315
OG0000222	Prak.g_00132	Prbl.g_01314
OG0000223	Prak.g_00133	Prbl.g_01313
OG0000224	Prak.g_00135	Prbl.g_00827
OG0000225	Prak.g_00137	Prbl.g_00825
OG0000226	Prak.g_00139	Prbl.g_00822
OG0000227	Prak.g_00140	Prbl.g_00820
OG0000228	Prak.g_00141	Prbl.g_00819
OG0000229	Prak.g_00142	Prbl.g_00818
OG0000230	Prak.g_00143	Prbl.g_00817
OG0000231	Prak.g_01035	Prbl.g_00815
OG0000232	Prak.g_00145	Prbl.g_00814
OG0000233	Prak.g_00148	Prbl.g_00809
OG0000234	Prak.g_00150	Prbl.g_00305
OG0000235	Prak.g_00156	Prbl.g_00303
OG0000236	Prak.g_00157	Prbl.g_00302
OG0000237	Prak.g_00158	Prbl.g_00301
OG0000238	Prak.g_00159	Prbl.g_00300
OG0000239	Prak.g_00160	Prbl.g_00299
OG0000240	Prak.g_00162	Prbl.g_00297
OG0000241	Prak.g_00163	Prbl.g_00296
OG0000242	Prak.g_00164	Prbl.g_00295
OG0000243	Prak.g_00165	Prbl.g_00294
OG0000244	Prak.g_00166	Prbl.g_00293
OG0000245	Prak.g_00168	Prbl.g_00291
OG0000246	Prak.g_00170	Prbl.g_00289
OG0000247	Prak.g_00171	Prbl.g_00288
OG0000248	Prak.g_00172	Prbl.g_00287
OG0000249	Prak.g_00173	Prbl.g_00286
OG0000250	Prak.g_00174	Prbl.g_00285
OG0000251	Prak.g_00175	Prbl.g_00284
OG0000252	Prak.g_00176	Prbl.g_00283
OG0000253	Prak.g_00177	Prbl.g_00282
OG0000254	Prak.g_00179	Prbl.g_00280
OG0000255	Prak.g_00180	Prbl.g_00279
OG0000256	Prak.g_00183	Prbl.g_00276
OG0000257	Prak.g_00185	Prbl.g_00275
OG0000258	Prak.g_00186	Prbl.g_00274
OG0000259	Prak.g_00187	Prbl.g_00273
OG0000260	Prak.g_00188	Prbl.g_00272
OG0000261	Prak.g_00189	Prbl.g_00271
OG0000262	Prak.g_00190	Prbl.g_00270
OG0000263	Prak.g_00191	Prbl.g_00269
OG0000264	Prak.g_00193	Prbl.g_02377
OG0000265	Prak.g_00194	Prbl.g_00066
OG0000266	Prak.g_00195	Prbl.g_00068
OG0000267	Prak.g_00197	Prbl.g_00072
OG0000268	Prak.g_00199	Prbl.g_00074
OG0000269	Prak.g_00200	Prbl.g_00077
OG0000270	Prak.g_00201	Prbl.g_00079
OG0000271	Prak.g_00202	Prbl.g_00082
OG0000272	Prak.g_00203	Prbl.g_00083
OG0000273	Prak.g_00204	Prbl.g_00086
OG0000274	Prak.g_00205	Prbl.g_00088
OG0000275	Prak.g_00206	Prbl.g_00089
OG0000276	Prak.g_00207	Prbl.g_00090
OG0000277	Prak.g_00208	Prbl.g_00091
OG0000278	Prak.g_00209	Prbl.g_00092
OG0000279	Prak.g_00210	Prbl.g_00093
OG0000280	Prak.g_00211	Prbl.g_00094
OG0000281	Prak.g_00213	Prbl.g_00096
OG0000282	Prak.g_00214	Prbl.g_00097
OG0000283	Prak.g_00217	Prbl.g_00104
OG0000284	Prak.g_00218	Prbl.g_00105
OG0000285	Prak.g_00219	Prbl.g_01283
OG0000286	Prak.g_00221	Prbl.g_01281
OG0000287	Prak.g_00223	Prbl.g_00130
OG0000288	Prak.g_00224	Prbl.g_00129
OG0000289	Prak.g_00225	Prbl.g_00127
OG0000290	Prak.g_00226	Prbl.g_00126
OG0000291	Prak.g_00227	Prbl.g_00124
OG0000292	Prak.g_00228	Prbl.g_01244
OG0000293	Prak.g_00229	Prbl.g_01245
OG0000294	Prak.g_00230	Prbl.g_01246
OG0000295	Prak.g_00231	Prbl.g_01252
OG0000296	Prak.g_00232	Prbl.g_01253
OG0000297	Prak.g_00233	Prbl.g_01256
OG0000298	Prak.g_00234	Prbl.g_01257
OG0000299	Prak.g_00235	Prbl.g_01258
OG0000300	Prak.g_00236	Prbl.g_01259
OG0000301	Prak.g_00237	Prbl.g_01260
OG0000302	Prak.g_00238	Prbl.g_01261
OG0000303	Prak.g_00239	Prbl.g_01262
OG0000304	Prak.g_00241	Prbl.g_01264
OG0000305	Prak.g_00242	Prbl.g_01265
OG0000306	Prak.g_00243	Prbl.g_01266
OG0000307	Prak.g_00245	Prbl.g_01918
OG0000308	Prak.g_00246	Prbl.g_01769
OG0000309	Prak.g_00247	Prbl.g_01770
OG0000310	Prak.g_00248	Prbl.g_01771
OG0000311	Prak.g_00249	Prbl.g_01922
OG0000312	Prak.g_00251	Prbl.g_01923
OG0000313	Prak.g_00252	Prbl.g_00199
OG0000314	Prak.g_00256	Prbl.g_00193
OG0000315	Prak.g_00257	Prbl.g_00192
OG0000316	Prak.g_00259	Prbl.g_02679
OG0000317	Prak.g_00261	Prbl.g_02666
OG0000318	Prak.g_00262	Prbl.g_01516
OG0000319	Prak.g_00263	Prbl.g_01515
